basename,source_path,family,tag,nonzero_rows,pos_rows,neg_rows,mean_abs_s4_delta,max_abs_s4_delta,active_latent_mean,inactive_latent_mean,active_current_logit_mean,active_mismatch_mean,active_overconf_mean,active_underconf_mean,delta_latent_alignment,delta_current_alignment,active_minus_inactive_latent,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e307_s4latentcensor_up_underconf_top64_a0_0700_c4504a0a.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top64_a0_0700_c4504a0a.csv,up_underconf,up_underconf_top64_a0.0700,64,64,0,0.017920000000000002,0.07,0.7134825226104571,-0.2454993626186519,-0.4382489048681708,1.491403393067873,-1.4742205716963865,1.5085862144393594,0.4185206142359231,-0.45631940546991934,0.958981885229109,promote_candidate,True,False,-0.0006900688502730003,-0.001265852767551557,-0.0001978433672527529,0.9411764705882353,0.0031843730720689245
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0900_50a04c8a.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0900_50a04c8a.csv,control_sharpen,control_sharpen_overconf_top64_s0.22_cap0.0900,64,60,4,0.021637354562444863,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14537355408835267,0.5888570909661967,-0.6744013911361292,promote_candidate,True,False,-0.0005507145138535299,-0.0010042988754619582,-0.00017659312419899121,0.9117647058823529,0.005429631890358194
submission_e307_s4latentcensor_control_up_overconf_top64_a0_0700_6e2d1164.csv,analysis_outputs/submission_e307_s4latentcensor_control_up_overconf_top64_a0_0700_6e2d1164.csv,control_wrong_overconf,control_up_overconf_top64_a0.0700,64,64,0,0.017920000000000002,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.29432347868846526,0.5396694545053853,-0.6744013911361292,promote_candidate,True,False,-0.0005488592692365984,-0.0010004076710161602,-0.00017598343887871692,0.9117647058823529,0.00684903208895532
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0900_8c836b44.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_30_cap0_0900_8c836b44.csv,control_sharpen,control_sharpen_overconf_top64_s0.30_cap0.0900,64,60,4,0.021990093472321354,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14099191042561518,0.5828139207942735,-0.6744013911361292,promote_candidate,True,False,-0.0005485447800946119,-0.00100085011253119,-0.00017371951089441062,0.9117647058823529,0.0053404217795786635
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0900_c117bd48.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0900_c117bd48.csv,control_sharpen,control_sharpen_overconf_top64_s0.16_cap0.0900,64,60,4,0.021025651387493523,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14036128469993409,0.5991434833761938,-0.6744013911361292,promote_candidate,True,False,-0.0005380891882717031,-0.000980811395209829,-0.0001730809541190009,0.9117647058823529,0.005299771606391057
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0900_d1965608.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_12_cap0_0900_d1965608.csv,control_sharpen,control_sharpen_overconf_top64_s0.12_cap0.0900,64,60,4,0.020161745913319314,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.1343703408068687,0.6123177386995367,-0.6744013911361292,promote_candidate,True,False,-0.0005183415905738687,-0.0009442235080488811,-0.00016662389319642778,0.9117647058823529,0.004984815806893916
submission_e307_s4latentcensor_up_underconf_top50_a0_0700_f2b169c1.csv,analysis_outputs/submission_e307_s4latentcensor_up_underconf_top50_a0_0700_f2b169c1.csv,up_underconf,up_underconf_top50_a0.0700,50,50,0,0.014000000000000002,0.07,0.7715209906459208,-0.19288024766148015,-0.5360739319403663,1.6493534930545206,-1.6154939031762745,1.6832130829327665,0.38576049532296014,-0.43891625120429933,0.964401238307401,promote_candidate,True,False,-0.0005207324382028358,-0.0009531417740182329,-0.00015567592906933546,0.9117647058823529,0.0035687179785687806
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0900_64b1dc05.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_08_cap0_0900_64b1dc05.csv,control_sharpen,control_sharpen_overconf_top64_s0.08_cap0.0900,64,60,4,0.018172977471591998,0.09,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.11569183015850049,0.6374426705991874,-0.6744013911361292,promote_candidate,True,False,-0.0004577622884441328,-0.0008335072006671229,-0.00014708585680106624,0.9117647058823529,0.004116129078618108
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0700_8a7d369f.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_22_cap0_0700_8a7d369f.csv,control_sharpen,control_sharpen_overconf_top64_s0.22_cap0.0700,64,60,4,0.017070068546368992,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.14296414736065202,0.5834200211288707,-0.6744013911361292,promote_candidate,True,False,-0.0004374037836194774,-0.0007961253180496138,-0.000140488952560829,0.9117647058823529,0.004187876801742874
submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0700_41b622f6.csv,analysis_outputs/submission_e307_s4latentcensor_control_sharpen_overconf_top64_s0_16_cap0_0700_41b622f6.csv,control_sharpen,control_sharpen_overconf_top64_s0.16_cap0.0700,64,60,4,0.016735184281101132,0.07,-0.5017546350052801,0.1726467561308491,1.2242252025915716,1.4217683946124913,1.5638982009328715,-1.279638588292111,-0.1447613257173542,0.5910613666019808,-0.6744013911361292,promote_candidate,True,False,-0.000436092670645271,-0.0007938063761287363,-0.0001399968933851888,0.9117647058823529,0.004207500751653159
