variant,profile_role,basename,file,top1_count,top3_count,top1_rate,top3_rate,selected_in_any_scenario,median_top_score_when_selected,p90_pct,risk_pct,bad_margin_pct,q1_specificity_pct,support_pct,compat_e349_pct,micro_scale_pct,pred_delta_vs_current_p90,p90_gain_vs_e349,public_analog_risk_score,risk_delta_vs_e349,incremental_bad_axis_vs_current,bad_axis_margin,q1_specificity_margin,q1_margin_delta_vs_e349,plateau_support_score,prob_l1_delta_vs_e349,prob_l1_delta_vs_e347,direct_bad_poscos_sum,scale_abs_delta,e351_robust_score,e351_worst_axis_pct,e351_compat_gate,selection_rank
compact_t75_s1.005_s3a0.25,e351_robust,submission_e350_compactplateau_compact_t75_s1_005_s3a0_25_58e03127.csv,analysis_outputs/submission_e350_compactplateau_compact_t75_s1_005_s3a0_25_58e03127.csv,251,310,0.22450805008944544,0.2772808586762075,True,1.430308421259446,0.4602272727272727,0.5113636363636364,0.5681818181818182,0.7897727272727273,0.6988636363636364,0.6590909090909091,0.5426136363636364,-5.019145382874916e-05,1.5610466382630833e-07,0.0447653983120426,2.918944651139621e-05,0.0147412357436607,0.0002587642563392,0.3242508758701881,0.002645493742383,35,0.0062412990445426,0.0094384248724775,0.0,0.0049999999999998,2.16228433427491,0.4602272727272727,True,1
compact_t45_s1.005_s3a0.50,,submission_e350_compactplateau_compact_t45_s1_005_s3a0_50_0ace76e5.csv,analysis_outputs/submission_e350_compactplateau_compact_t45_s1_005_s3a0_50_0ace76e5.csv,151,267,0.13506261180679785,0.23881932021466906,True,1.2792963781013125,0.4204545454545454,0.7954545454545454,0.6534090909090909,0.6590909090909091,0.9488636363636364,0.5227272727272727,0.5426136363636364,-5.018348585923969e-05,1.481366943168418e-07,0.0447357458896228,-4.629759084023855e-07,0.014738718367989,0.0002612816320109,0.3184737594835952,-0.0031316226442097,36,0.0085918929970797,0.0097363839573572,0.0,0.0049999999999998,2.1314915830005297,0.4204545454545454,True,2
compact_t40_s1.000_s3a0.50,,submission_e350_compactplateau_compact_t40_s1_000_s3a0_50_41a14c1d.csv,analysis_outputs/submission_e350_compactplateau_compact_t40_s1_000_s3a0_50_41a14c1d.csv,141,198,0.1261180679785331,0.1771019677996422,True,1.1456058666226894,0.2897727272727273,0.3636363636363636,0.8409090909090909,0.8011363636363636,0.4176136363636363,0.8181818181818182,0.8579545454545454,-5.011772050740181e-05,8.237134247895973e-08,0.0447731830725574,3.6974207026196915e-05,0.0146686820437286,0.0003313179562714,0.3247869907802713,0.0031816086524663,34,0.0043196026744066,0.0059353184959912,0.0,0.0,1.8398768845480875,0.2897727272727273,True,3
compact_t45_s1.000_s3a1.00,,submission_e350_compactplateau_compact_t45_s1_000_s3a1_00_ce85e5c5.csv,analysis_outputs/submission_e350_compactplateau_compact_t45_s1_000_s3a1_00_ce85e5c5.csv,128,225,0.11449016100178891,0.20125223613595708,True,1.1286178209128293,0.2784090909090909,0.4147727272727273,0.8068181818181818,0.5795454545454546,0.9857954545454546,0.6022727272727273,0.8579545454545454,-5.0107289029064266e-05,7.193986414141541e-08,0.044771125579501,3.49167139697959e-05,0.0146695631000698,0.0003304368999301,0.3153252434384516,-0.0062801386893533,37,0.0070268465632411,0.0024765137034802,0.0,0.0,1.84896584603688,0.2784090909090909,True,4
compact_t45_s1.000_s3a0.75,,submission_e350_compactplateau_compact_t45_s1_000_s3a0_75_c0fb8e73.csv,analysis_outputs/submission_e350_compactplateau_compact_t45_s1_000_s3a0_75_c0fb8e73.csv,78,191,0.06976744186046512,0.1708407871198569,True,1.028673230590584,0.2159090909090909,0.6079545454545454,0.8863636363636364,0.5340909090909091,0.9857954545454546,0.7045454545454546,0.8579545454545454,-5.0082593418980695e-05,4.724425405784469e-08,0.0447535972582811,1.7388392749895232e-05,0.0146674875814653,0.0003325124185347,0.3138089147596833,-0.0077964673681216,37,0.00560315046659,0.0039002098001313,0.0,0.0,1.7621151966862303,0.2159090909090909,False,5
compact_t45_s1.005_s3a0.75,,submission_e350_compactplateau_compact_t45_s1_005_s3a0_75_03f45ba1.csv,analysis_outputs/submission_e350_compactplateau_compact_t45_s1_005_s3a0_75_03f45ba1.csv,57,152,0.050983899821109124,0.13595706618962433,True,1.2723884885007584,0.5170454545454546,0.6136363636363636,0.5909090909090909,0.7102272727272727,0.9857954545454546,0.3977272727272727,0.5426136363636364,-5.020795541150984e-05,1.726062465869869e-07,0.0447533345319633,1.7125666432096787e-05,0.0147407938865934,0.0002592061134065,0.3205443227633362,-0.0010610593644687,37,0.0100156088104482,0.0083126681439887,0.0,0.0049999999999998,2.0636574044784384,0.3977272727272727,False,6
compact_t35_s1.000_s3a0.50,,submission_e350_compactplateau_compact_t35_s1_000_s3a0_50_f0d50be4.csv,analysis_outputs/submission_e350_compactplateau_compact_t35_s1_000_s3a0_50_f0d50be4.csv,52,115,0.046511627906976744,0.10286225402504472,True,0.8968137416508064,0.3068181818181818,0.4886363636363636,0.6988636363636364,0.9545454545454546,0.1704545454545454,0.7556818181818182,0.8579545454545454,-5.0141258354907766e-05,1.0590918998491585e-07,0.0447678795670016,3.167070147040013e-05,0.0146799488795138,0.0003200511204861,0.3367502922138835,0.0151449100860784,31,0.0048298525260555,0.0068561740779257,0.0,0.0,1.565477268536842,0.1704545454545454,True,7
compact_t55_s1.000_s3a1.00,,submission_e350_compactplateau_compact_t55_s1_000_s3a1_00_5e75b324.csv,analysis_outputs/submission_e350_compactplateau_compact_t55_s1_000_s3a1_00_5e75b324.csv,36,153,0.03220035778175313,0.1368515205724508,True,1.0245427009711163,0.25,0.5227272727272727,0.7045454545454546,0.7329545454545454,0.6988636363636364,0.6477272727272727,0.8579545454545454,-5.0095751787025205e-05,6.040262210235449e-08,0.044763514635425,2.730576989379979e-05,0.0146758525355735,0.0003241474644264,0.3210889769438009,-0.000516405184004,35,0.0063427549265885,0.0012286970145152,0.0,0.0,1.7682096589502343,0.25,True,8
compact_t40_s1.005_s3a0.50,e351_p90,submission_e350_compactplateau_compact_t40_s1_005_s3a0_50_94fc5e67.csv,analysis_outputs/submission_e350_compactplateau_compact_t40_s1_005_s3a0_50_94fc5e67.csv,31,46,0.027728085867620753,0.04114490161001789,True,1.0770189651997766,0.6193181818181818,0.3693181818181818,0.5397727272727273,0.6988636363636364,0.4176136363636363,0.5170454545454546,0.5426136363636364,-5.024326662440869e-05,2.0791745948583787e-07,0.0447728750621561,3.666619662490156e-05,0.0147420012286068,0.0002579987713931,0.3200110366643656,-0.0015943454634393,34,0.0087301821312237,0.0103458979528074,0.0,0.0049999999999998,1.9011593520805548,0.3693181818181818,True,9
compact_t50_s1.005_s3a0.50,,submission_e350_compactplateau_compact_t50_s1_005_s3a0_50_b77c409a.csv,analysis_outputs/submission_e350_compactplateau_compact_t50_s1_005_s3a0_50_b77c409a.csv,28,98,0.025044722719141325,0.08765652951699464,True,1.1423125249152788,0.3352272727272727,0.8977272727272727,0.6477272727272727,0.8409090909090909,0.6988636363636364,0.5284090909090909,0.5426136363636364,-5.016048544620822e-05,1.2513628128537268e-07,0.0447115490094455,-2.465985608569865e-05,0.014739058583553,0.0002609414164469,0.3270192483176823,0.0054138661898773,35,0.0081933956059222,0.0091568732157617,0.0,0.0049999999999998,1.9496219966125723,0.3352272727272727,True,10
