placement_mode,n,strict_rate,mean_median,mean_best,p90_median,p90_best
actual,1,1.0,-0.0001613102776991,-0.0001613102776991,-5.1307450763333616e-05,-5.1307450763333616e-05
dateblock,64,0.40625,-0.00016384628874275,-0.0001761187510405,-4.928627366881157e-05,-5.312213315647208e-05
row,64,0.0,-0.00013432136704185,-0.0001840035441636,-3.9037864815428673e-05,-4.9197369694654145e-05
sign,64,0.0,2.9465685546318762e-05,-6.250571052706157e-05,6.701894582585893e-05,-1.5617317364136927e-05
subject,64,0.25,-0.00016198732233375002,-0.0001788811210284,-4.786275742928648e-05,-5.271450446435037e-05
