view,features,n_feature_cols,n_all_data_bins,cv_cosine,cv_pearson,cv_spearman,cv_tv_distance,cv_js_divergence,cv_top20_overlap,cv_truth_mass_in_pred_top20,cv_pred_mass_in_truth_top20,cv_top50_overlap,cv_truth_mass_in_pred_top50,cv_pred_mass_in_truth_top50,cv_top100_overlap,cv_truth_mass_in_pred_top100,cv_pred_mass_in_truth_top100,cv_top200_overlap,cv_truth_mass_in_pred_top200,cv_pred_mass_in_truth_top200,all_cosine,all_pearson,all_spearman,all_tv_distance,all_js_divergence,all_top20_overlap,all_truth_mass_in_pred_top20,all_pred_mass_in_truth_top20,all_top50_overlap,all_truth_mass_in_pred_top50,all_pred_mass_in_truth_top50,all_top100_overlap,all_truth_mass_in_pred_top100,all_pred_mass_in_truth_top100,all_top200_overlap,all_truth_mass_in_pred_top200,all_pred_mass_in_truth_top200
target_context_tail_e72bin,"target,context_type,e95_fallback_cell,e95_moved_vs_mixmin,e72_pos_bin",5,95,0.8188186705584506,0.7802317884522388,0.877137484558824,0.2709614136644497,0.07325250730518351,0.3,0.08485478703815726,0.09442668017875355,0.56,0.2525213047547575,0.20311211548260844,0.65,0.3933022847986345,0.3527994883946479,0.68,0.6050019451364014,0.531256740686884,0.8673651984805106,0.8397658172349403,0.8920992000390158,0.23563961037227765,0.058162044574036606,0.45,0.11926690742406056,0.10714691666621426,0.62,0.2659322289267037,0.21842737305080945,0.7,0.41503856825744556,0.370085858260001,0.725,0.6256307270671356,0.549354591818378
target_tail,"target,e95_fallback_cell,e95_moved_vs_mixmin",3,13,0.6874348188791278,0.6101541506085923,0.4579736082440215,0.49686586517535386,0.21361855106301925,0.45,0.1092197379373791,0.08388600524135524,0.42,0.20998968077644178,0.1390246574753161,0.47,0.3445373548166046,0.22077122164976185,0.4,0.39083157183297174,0.3270121432328501,0.7103415893768122,0.6405796719543992,0.47135887938294696,0.4852365262819772,0.20757177586719178,0.55,0.13181273233578195,0.09295340371451995,0.48,0.2220636719393264,0.1487893421911602,0.49,0.34725472389541107,0.23205242113885616,0.445,0.4249724622190534,0.33821583907722763
target_context_tail,"target,context_type,e95_fallback_cell,e95_moved_vs_mixmin",4,26,0.670383932777856,0.5875571429108202,0.44673748513347483,0.5061664417028819,0.22039545984127495,0.35,0.10596931934891456,0.08123157035169072,0.44,0.2123345624181248,0.1384013164457584,0.49,0.3499363917777954,0.21939136737116927,0.385,0.37755500393137253,0.3219456908301019,0.7151199929284731,0.6468767166743652,0.4788302144972272,0.4823774457656715,0.20668226624522207,0.45,0.11248481252459973,0.09444688074772788,0.5,0.23086892933529915,0.1513668049589009,0.49,0.34993639177779545,0.23685362311233005,0.45,0.4247020775938942,0.34155030322163027
subject_target,"subject_id,target",2,70,0.4329197742636863,0.22902509628094078,0.3439365953141244,0.6070275520698086,0.3010989132405186,0.0,0.031887006793206565,0.02141442946338818,0.04,0.04193290822165874,0.05097208868349565,0.17,0.11989951946430402,0.09800504248333831,0.24,0.23475235429335287,0.178215739922147,0.528195979786761,0.37660763579584533,0.42780372001308825,0.5712926507107199,0.26579477845907756,0.1,0.046051027267105256,0.027886293050431395,0.18,0.09307209930318844,0.06301040189271752,0.28,0.17344485787644418,0.1171125128359705,0.34,0.32004479446022865,0.2051656128016799
target,target,1,7,0.4252999571881368,0.16761143783691845,0.25676622309946245,0.641914371050853,0.3167956471929309,0.0,0.017207959170469512,0.01262818528917855,0.0,0.037896754184313645,0.03636389152226217,0.06,0.0868440362530411,0.07166089003343448,0.2,0.18288025710407813,0.14142201713915467,0.44878924601426023,0.2224774110453122,0.2853915719699657,0.6357213739925792,0.3102009315709088,0.05,0.028189148141977934,0.015279185311083009,0.06,0.050623186975201455,0.039431256956536,0.12,0.0999765294840472,0.07584174279875096,0.205,0.18850093718037159,0.14630358438138386
target_context,"target,context_type",2,14,0.4101260011322653,0.1387762475137538,0.22735998443287397,0.6477615805023218,0.3221383669824119,0.0,0.021244622711733663,0.012484945845920647,0.04,0.042658342787075754,0.035747315544286395,0.06,0.06443727359080552,0.07043208209333228,0.145,0.1366649884071541,0.1391219600648219,0.4504345917885254,0.2264004960919979,0.28267625468016794,0.6344606512425429,0.30926795164210497,0.0,0.018958461282509366,0.015624015056480622,0.06,0.05192739400488717,0.039672152263634436,0.11,0.10711918983375877,0.07679255228931227,0.215,0.19820405212088327,0.1478772526966128
target_position,"target,pos_bin",2,35,0.4077509550168111,0.14261193016785048,0.23515692605160582,0.6503448257535506,0.32221613632376767,0.0,0.009390878399443966,0.012843073977786872,0.04,0.025563778258009442,0.03748350490164138,0.07,0.04017700803855439,0.07356531182325174,0.12,0.11067216668923617,0.14079370474081926,0.4655393539396218,0.26023968967915995,0.3006889772071242,0.6299252356705894,0.30317667796970793,0.0,0.0247273295614737,0.019005780287313694,0.06,0.04850371421685182,0.04515429306778892,0.11,0.10248802286509172,0.08398899666441875,0.21,0.219204491899153,0.15506542184866007
target_context_position,"target,context_type,pos_bin",3,63,0.3779737326298545,0.09929764651110312,0.2157396471654352,0.6618099458578922,0.33260549651339133,0.0,0.0,0.011478110663326744,0.02,0.021259290408347366,0.03626095152786229,0.06,0.03471873890023443,0.07112100073547521,0.085,0.08975501920639654,0.13448448548635955,0.4710277579164978,0.2717402935469574,0.316348602788407,0.6261021532118745,0.3000571321242149,0.0,0.02483117494393507,0.019605710640556242,0.06,0.06201364584507401,0.04670539308356947,0.16,0.13099449843898517,0.08746234531497478,0.185,0.2171614338988278,0.15890958147927575
subject_context_target,"subject_id,context_type,target",3,140,0.40052090797128564,0.09291216489918838,0.0925512963402453,0.6627493262089172,0.3366458460726316,0.05,0.013027240052111875,0.013457111560933573,0.1,0.04275083225355901,0.031785011613101745,0.14,0.10034782313598661,0.06371408773701699,0.15,0.16178310407374066,0.12468973175666319,0.5607175841486135,0.4289326174883698,0.4700219024148549,0.5495419126100988,0.24842596837834804,0.15,0.04372216342912672,0.03378208919776024,0.24,0.11304193691054118,0.07404529997123004,0.31,0.20363796484792482,0.13635769690471045,0.355,0.35346754864921826,0.23104150028080347
blocklen_context_target,"block_len_bin,context_type,target",3,56,0.3606283523071268,0.07060369652757084,0.19418909618452604,0.6703261873198278,0.34095577141763195,0.0,0.011800260280726216,0.011274561913737305,0.02,0.015236405943922036,0.03406396902083814,0.04,0.044368975858984694,0.06416966764870081,0.09,0.09162736733935262,0.13013805561194214,0.4676483762475843,0.2647021051658702,0.31825918218092386,0.6248384373272005,0.30051082158937353,0.1,0.029745908711409173,0.017784293056798222,0.12,0.06038583968926355,0.04569280667202728,0.16,0.12323999559676437,0.08599336623082221,0.255,0.22310986446140013,0.16059826103929353
