filter,candidate,n_scenarios,mean_pred_delta,median_pred_delta,p10_pred_delta,p90_pred_delta,p95_pred_delta,mean_vs_e95,median_vs_e95,p90_vs_e95,p95_vs_e95,beat_e95_rate,win_rate_live,win_rate_future
solved_all,e85,3894,-4.464838629763094e-06,-4.941391366789135e-06,-1.2263867615276558e-05,4.0349426757834335e-06,6.80959254187359e-06,1.0845861370285434e-05,1.0369308633259393e-05,1.934564267583196e-05,2.212029254192212e-05,0.028505392912172575,0.0023112480739599386,0.05829481253210067
solved_all,e86,3894,5.614805161944546e-06,1.5669404540864293e-06,-8.284605393721441e-06,2.6551410719885108e-05,3.12814707919192e-05,2.092550516199307e-05,1.6877640454134958e-05,4.1862110719933635e-05,4.6592170791967724e-05,0.0005136106831022085,0.00025680534155110427,0.037236774524910116
solved_all,noq2,3894,2.4049457364713255e-06,2.1080300055652567e-07,-1.1194788830509491e-05,1.8554028210308088e-05,2.3901535399890608e-05,1.771564573651985e-05,1.552150300060505e-05,3.386472821035662e-05,3.9212235399939135e-05,0.021314843348741654,0.005906522855675398,0.025166923472008218
solved_all,e90,3894,-1.5242976178747914e-06,-3.917627558417873e-06,-1.0738164151925383e-05,1.1214988928107933e-05,1.6786183715539067e-05,1.3786402382173735e-05,1.1393072441630654e-05,2.652568892815646e-05,3.209688371558759e-05,0.0025680534155110425,0.0015408320493066256,0.10092449922958398
solved_all,e89,3894,-1.119360421378101e-05,-1.1232010877253664e-05,-1.7854510717350005e-05,-4.443104729976979e-06,-2.0315692364172107e-06,4.117095786267517e-06,4.078689122794863e-06,1.0867595270071548e-05,1.3279130763631317e-05,0.19388803287108372,0.1877247046738572,0.7783769902413971
solved_all,e95,3894,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,-1.5310700000048527e-05,0.0,0.0,0.0,0.0,0.0,0.8022598870056498,
solved_all,e101,3894,-3.430135795468771e-05,-3.1005618341499184e-05,-5.398309180386304e-05,-1.8756513964951106e-05,-1.698725754440072e-05,-1.899065795463918e-05,-1.5694918341450657e-05,-3.44581396490258e-06,-1.676557544352193e-06,0.985362095531587,,
broad_plausible,e85,3452,-5.651556408262312e-06,-5.672245731034568e-06,-1.2613431921929779e-05,1.5784385020594063e-06,2.960619049806815e-06,9.659143591786212e-06,9.63845426901396e-06,1.6889138502107932e-05,1.8271319049855344e-05,0.03186558516801854,0.002607184241019699,0.05996523754345307
broad_plausible,e86,3452,5.03394490440771e-06,5.693975562881429e-07,-8.387829402014697e-06,2.6675888816094896e-05,3.129572555627665e-05,2.0344644904456237e-05,1.588009755633667e-05,4.198658881614342e-05,4.660642555632518e-05,0.00028968713789107763,0.00028968713789107763,0.040266512166859794
broad_plausible,noq2,3452,-2.0916471256601463e-08,-1.1788709973841561e-06,-1.1433799888348505e-05,1.3658398755598769e-05,1.618156907413358e-05,1.5289783528791926e-05,1.4131829002664371e-05,2.8969098755647296e-05,3.149226907418211e-05,0.023174971031286212,0.00608342989571263,0.022885283893395135
