candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,gradient_gate,row_gate,weight,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,hidden_delta_subject_mean,hidden_delta_calendar_count_strict,hidden_delta_raw_phone_base,hidden_delta_transition_row_safe,hidden_delta_transition_balanced_hidden_sign,hidden_delta_transition_aggressive_hidden_sign,hidden_delta_core_median,hidden_core_mean_delta,hidden_core_max_delta,hidden_core_improve_count,hidden_all_mean_delta,hidden_all_max_delta,hidden_all_improve_count,hidden_guard,validation_support_score,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
toward_teacher|all|no_q2_s3|raw_agree|grad_core_top50|all|w0.070|c0.080,toward_teacher,0.5777308381157389,-3.649590908483269e-06,0.577595381384724,0.5772148514349007,0.5780402187627803,0.00037646464997794356,0.0020147811986647958,0.005600000000003824,25996.0,all,no_q2_s3,raw_agree,grad_core_top50,all,0.07,0.08,0.3605714285714286,c3cf75de,45.0,1.0,-0.00023286378734777013,-0.00016152531589550543,-0.00010847275681813429,22.0,1.0,-0.0003009392286844048,-0.00026842069921196866,-0.0002453806992120944,11.0,1.0,-0.0005259106458460616,-0.0003009392286844603,-0.0003009392286843493,22.0,1.0,-0.00023092237898514334,-0.00017632990631214482,-0.00015870241519000405,5.208658687599954e-06,0.0005496897220640707,7.993605777301126e-18,1.0658141036401503e-17,7.246725643459084e-05,0.0005751609254376748,0.00021678668895441978,0.0006040528203247257,0.0002798327717442672,0.00042582600888393804,1.5543122344752192e-18,9.547918011776345e-18,-0.00011562370186905635,0.0004805230731351758,-0.0006244318317519537,True,-0.00025830916658253766,-0.00029240565800359164,-0.0002901005270720125,-0.0002889581305318689,-0.00025938328581320835,-0.00020742982788912734,-0.00029427206836840636,-0.0002840403848143047,-0.00025938328581320835,4.0,-0.00027012266632296466,-0.00020742982788912734,7.0,True,-0.0006244318317519537,True,False,True,True,False,False,-3.649590908483269e-06
toward_teacher|all|no_q2_s3|all|grad_core_top50|all|w0.070|c0.080,toward_teacher,0.5777309652466833,-3.5224599640448773e-06,0.577595461929359,0.57721489867498,0.5780404018384493,0.0003823984539211497,0.0020403811986647946,0.005600000000003824,24716.0,all,no_q2_s3,all,grad_core_top50,all,0.07,0.08,0.36514285714285716,4481e758,45.0,1.0,-0.0002441275314702951,-0.00016539214815378678,-0.00011681958907638901,22.0,1.0,-0.00030322968768881076,-0.00026934519108270385,-0.0002441275314702951,11.0,1.0,-0.0005342574781043163,-0.00030608606094262303,-0.00030288606094275305,22.0,1.0,-0.00024171883341034262,-0.00018339713945962898,-0.00016384924744827778,-9.789108528582113e-06,0.0005646874892802519,7.993605777301126e-18,1.0658141036401503e-17,7.246725643459084e-05,0.0005751609254376748,0.00022202831480361697,0.0006092944461739228,0.00028994115389426755,0.0004359343910339384,1.5543122344752192e-18,9.547918011776345e-18,-0.00010443484948199277,0.0004917119255222394,-0.0006351917464870016,True,-0.0002573581307940831,-0.0002945079564371511,-0.00028933074802539593,-0.00028838548410403675,-0.0002611221073327563,-0.0002189703761049655,-0.00029560675994855234,-0.0002851418929359639,-0.0002611221073327563,4.0,-0.00027218308039242016,-0.0002189703761049655,7.0,True,-0.0006351917464870016,True,False,True,True,False,False,-3.5224599640448773e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777309813040956,-3.5064025517561603e-06,0.5775953920256888,0.5772144940369531,0.5780406718045823,0.00043201652535193504,0.0022476349292396627,0.005600000000003824,25823.0,all,no_q2_s3,raw_agree,grad_all_4of6,all,0.07,0.08,0.4114285714285714,de94851a,45.0,1.0,-0.00024693130956743303,-0.0001719750329252756,-0.0001241742073836427,22.0,1.0,-0.00031333027270380454,-0.00027779585966341,-0.00027540088968236454,11.0,1.0,-0.0005404125294755646,-0.0003126824939215789,-0.0003086520036590379,22.0,1.0,-0.00024090912309177037,-0.00018880278868225187,-0.00016702609430241377,5.260550045117551e-06,0.00060592487747223,7.993605777301126e-18,1.0658141036401503e-17,0.00010879231767144592,0.0006635249943374185,0.00019625679012642795,0.0006262724846008222,0.00032475214946282426,0.000519141302265967,1.5543122344752192e-18,9.547918011776345e-18,-0.00010098607093684419,0.0006092520187870874,-0.0006432762839127026,True,-0.0002673191768175487,-0.00029918752695323736,-0.0002983027329812593,-0.0002972846867607126,-0.0002687352735215587,-0.00021691007015156583,-0.0003020750805576844,-0.00029207515350343494,-0.0002687352735215587,4.0,-0.00027854493539193815,-0.00021691007015156583,7.0,True,-0.0006432762839127026,True,False,True,True,False,False,-3.5064025517561603e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_all_top50|all|w0.070|c0.080,toward_teacher,0.5777309909959021,-3.496710745287679e-06,0.5775955718047464,0.5772148272525855,0.5780403867890226,0.00037941823241944216,0.001998258202462165,0.005600000000003824,26312.0,all,no_q2_s3,raw_agree,grad_all_top50,all,0.07,0.08,0.3577142857142857,6108e517,45.0,1.0,-0.00024743399129145693,-0.00016061740693518178,-0.00011024296076200812,22.0,1.0,-0.00030357605557695955,-0.0002765909031558045,-0.0002535509031559302,11.0,1.0,-0.0005308808497898054,-0.00030963242883086384,-0.0003064324288307718,22.0,1.0,-0.0002308652012985024,-0.00017505120772757227,-0.00016165286710012605,1.0800742893660786e-05,0.0005552818062701314,7.993605777301126e-18,1.0658141036401503e-17,7.547663588652031e-05,0.0005925131775872264,0.00021764590610586832,0.0005967151572978307,0.0003203967514983439,0.00042371111419923336,1.5543122344752192e-18,9.547918011776345e-18,-0.0001262620436524744,0.0004877063715816532,-0.0006330323561266671,True,-0.0002612964701191878,-0.0002889396665125554,-0.00028862960168951624,-0.0002878714080444267,-0.00026268383732064304,-0.00021407698289910293,-0.0002919402914225433,-0.0002830483492363145,-0.00026268383732064304,4.0,-0.00027077689400113936,-0.00021407698289910293,7.0,True,-0.0006330323561266671,True,False,True,True,False,False,-3.496710745287679e-06
toward_teacher|all|no_q2_s3|all|grad_all_top50|all|w0.070|c0.080,toward_teacher,0.5777310002601673,-3.487446480043843e-06,0.5775955412637539,0.5772148322344651,0.5780403894969748,0.00038206245349930827,0.0020110582024621656,0.005600000000003824,25032.0,all,no_q2_s3,all,grad_all_top50,all,0.07,0.08,0.36,670ee895,45.0,1.0,-0.0002517687486002229,-0.00015958762440881902,-0.00011137771807068209,22.0,1.0,-0.000306310812885513,-0.00027772566046447845,-0.00025468566046460417,11.0,1.0,-0.0005352156070985714,-0.0003139671861395188,-0.00031076718613931575,22.0,1.0,-0.00023519995860715737,-0.00017849426838210112,-0.00015958762440881902,5.375578493295008e-06,0.0005607069706704972,7.993605777301126e-18,1.0658141036401503e-17,7.547663588652031e-05,0.0005925131775872264,0.0002203051409114659,0.0005993743921034284,0.00032522369315740975,0.00042853805585829917,1.5543122344752192e-18,9.547918011776345e-18,-0.00012066383695844097,0.0004933045782756866,-0.0006388842784934734,True,-0.0002615906259241241,-0.00028976616511733333,-0.00028848139288883967,-0.00028775550285053964,-0.00026378073328514606,-0.0002184100658004784,-0.0002926532667214543,-0.00028367038950319334,-0.00026378073328514606,4.0,-0.00027177682179827363,-0.0002184100658004784,7.0,True,-0.0006388842784934734,True,False,True,True,False,False,-3.487446480043843e-06
toward_teacher|all|no_q2_s3|all|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777310736257776,-3.414080869790226e-06,0.5775954390031631,0.5772146333123286,0.5780407491424235,0.00043834822646777387,0.0022783056926026523,0.005600000000003824,24201.0,all,no_q2_s3,all,grad_all_4of6,all,0.07,0.08,0.41828571428571426,ef827553,45.0,1.0,-0.00025002276668684154,-0.00017136173150871236,-0.00012726566450316223,22.0,1.0,-0.00031627915587228994,-0.0002809664652342669,-0.00027742234447614145,11.0,1.0,-0.0005478212496068391,-0.0003156313770901198,-0.0003116008868276898,22.0,1.0,-0.00024400058021117887,-0.00018528753879096802,-0.0001605175514218793,9.253451101621235e-07,0.000613637992437392,7.993605777301126e-18,1.0658141036401503e-17,0.00011349488466336288,0.0006682275613293355,0.00020307088748884329,0.0006330865819632375,0.00033320159748684986,0.000538635224063311,1.5543122344752192e-18,9.547918011776345e-18,-9.538786424281077e-05,0.0006148502254811208,-0.0006517313705480532,True,-0.00026772788469009434,-0.00030061010530413323,-0.0002978178019459321,-0.0002970653735844264,-0.00027120909360067724,-0.00022765490052389925,-0.0003031927751518948,-0.00029320744400065935,-0.00027120909360067724,4.0,-0.00028075399068586533,-0.00022765490052389925,7.0,True,-0.0006517313705480532,True,False,True,True,False,False,-3.414080869790226e-06
toward_teacher|all|no_q2|raw_agree|grad_all_abs50|all|w0.070|c0.080,toward_teacher,0.577731081399576,-3.406307071407433e-06,0.5775953480335653,0.5772142784507266,0.5780410905677589,0.00030946616641403576,0.0016416000000000564,0.005600000000003824,11087.0,all,no_q2,raw_agree,grad_all_abs50,all,0.07,0.08,0.29314285714285715,5be43a2a,45.0,1.0,-0.00021948984159714247,-0.00014716984159719447,-0.00011388984159721449,22.0,1.0,-0.00031388984159713695,-0.00025788984159703655,-0.00019068984159709146,11.0,1.0,-0.0005202898415971324,-0.00030908984159705444,-0.00030588984159707344,22.0,1.0,-0.00021308984159706945,-0.00015292984159720466,-0.00012348984159704646,2.410555206770587e-05,0.00046743320471126623,7.993605777301126e-18,1.0658141036401503e-17,5.302100269128995e-05,0.00043016831311803506,0.00018575779695108053,0.0005064386010001737,0.00022795627074307433,0.0002459959609612744,0.0001770018150073982,0.00019799940510504876,-9.666185228760127e-05,0.00031822768000244175,-0.0006195112861561103,True,-0.00024352251418768844,-0.0002621479695857909,-0.0002624077540352987,-0.00026103341391736645,-0.00023845757166263137,-0.00019267930539623723,-0.00026599573450325487,-0.00025725225744674396,-0.00023845757166263137,4.0,-0.00024660632332689544,-0.00019267930539623723,7.0,True,-0.0006195112861561103,True,False,True,True,False,False,-3.406307071407433e-06
toward_teacher|all|no_s3|raw_agree|grad_all_abs50|all|w0.070|c0.080,toward_teacher,0.5777311064158813,-3.381290766046874e-06,0.5775959818553238,0.5772160981642496,0.5780400090730007,0.0003564048769786525,0.0018304000000000558,0.005600000000003824,19022.0,all,no_s3,raw_agree,grad_all_abs50,all,0.07,0.08,0.32685714285714285,d7bba2f9,45.0,1.0,-0.0002572519206850421,-0.0001894119206850009,-0.0001196519206849711,22.0,1.0,-0.0003660519206850066,-0.0003084519206849601,-0.0002572519206850421,11.0,1.0,-0.000615651920684912,-0.0003788519206849861,-0.0003724519206850241,22.0,1.0,-0.0002540519206849501,-0.00019549192068498694,-0.0001196519206849711,2.410555206770587e-05,0.00046743320471126623,0.00013830121514644888,0.0005265703790573668,5.302100269128995e-05,0.00043016831311803506,0.00018575779695108053,0.0005064386010001737,0.00022795627074307433,0.0002459959609612744,1.5543122344752192e-18,9.547918011776345e-18,-9.666185228760127e-05,0.00031822768000244175,-0.0007360900929246628,True,-0.00028175401643759646,-0.0002911073054226998,-0.00029487727648558337,-0.000294325682424601,-0.00024038910276713565,-0.00011138264381349572,-0.0002930923133569463,-0.0002798664995080913,-0.00024038910276713565,4.0,-0.0002581326201011512,-0.00011138264381349572,7.0,True,-0.0007360900929246628,True,False,True,True,False,False,-3.381290766046874e-06
toward_teacher|low_slack_half|no_s3|raw_agree|grad_core_abs50|all|w0.070|c0.080,toward_teacher,0.5777311279291117,-3.3597775356275505e-06,0.5775959356158314,0.5772153006643214,0.5780405340769957,0.0003319196565190509,0.0017504000000000493,0.005600000000003824,314498.0,low_slack_half,no_s3,raw_agree,grad_core_abs50,all,0.07,0.08,0.31257142857142856,642790dc,45.0,1.0,-0.000263163801048627,-0.00016972380104867123,-0.00012876380104853702,22.0,1.0,-0.000355963801048631,-0.0002017238010485921,-0.00017996380104878806,11.0,1.0,-0.000541563801048528,-0.000365563801048463,-0.000359163801048612,22.0,1.0,-0.000279163801048643,-0.00025036380104860313,-0.00016716380104864204,5.659803927878071e-06,0.0003999511066113895,0.0001356324563038187,0.0004497382852630565,4.4550325996922543e-05,0.0004414603940661804,0.00018550911203778708,0.00050942342529991,0.00017084360179540092,0.00021882161428845358,1.5543122344752192e-18,9.547918011776345e-18,-8.49573312705395e-05,0.00030404277010435634,-0.0006592711314155064,True,-0.0002592865551939161,-0.000286852846493324,-0.0002806240640488289,-0.00027877614726878885,-0.0002350557682918586,-0.0001588337204444512,-0.000285377716295554,-0.00027197759878239136,-0.0002350557682918586,4.0,-0.00025497240257667454,-0.0001588337204444512,7.0,True,-0.0006592711314155064,True,False,True,True,False,False,-3.3597775356275505e-06
toward_teacher|all|no_q2|all|grad_all_abs50|all|w0.070|c0.080,toward_teacher,0.5777311375177835,-3.350188863882053e-06,0.5775953560024979,0.577214091050111,0.578041309548251,0.0003114645215742057,0.001651200000000056,0.005600000000003824,9630.0,all,no_q2,all,grad_all_abs50,all,0.07,0.08,0.2948571428571429,4c8681ea,45.0,1.0,-0.0002233654913872396,-0.000147845491387244,-0.00011456549138733063,22.0,1.0,-0.0003177654913871786,-0.0002588854913871508,-0.0001945654913871886,11.0,1.0,-0.0005209654913871375,-0.00031296549138704055,-0.0003097654913871706,22.0,1.0,-0.0002137654913871856,-0.0001564854913871927,-0.0001241654913871626,2.410555206770587e-05,0.00046743320471126623,7.993605777301126e-18,1.0658141036401503e-17,5.302100269128995e-05,0.00043016831311803506,0.00018575779695108053,0.0005064386010001737,0.00022795627074307433,0.0002459959609612744,0.0001743975064813985,0.00020638968453220473,-9.106364559356783e-05,0.00032382588669647517,-0.0006215434133726216,True,-0.00024375254994268847,-0.00026300227528697206,-0.0002623074918191026,-0.0002609147478375151,-0.0002397193539522835,-0.0001965543048757512,-0.0002667328077441411,-0.0002579404822006248,-0.0002397193539522835,4.0,-0.0002475690759226363,-0.0001965543048757512,7.0,True,-0.0006215434133726216,True,False,True,True,False,False,-3.350188863882053e-06
toward_teacher|low_slack_half|no_q2|raw_agree|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777311510058658,-3.336700781564339e-06,0.5775943440608016,0.5772104971436867,0.5780434982857858,0.00047794386781117263,0.002488407876763595,0.005600000000003824,305770.0,low_slack_half,no_q2,raw_agree,grad_all_4of6,all,0.07,0.08,0.45771428571428574,50602878,45.0,1.0,-0.0002807112930578448,-0.00018860110678480256,-0.00013809250707985665,22.0,1.0,-0.0003579340295098987,-0.00022150598921144563,-0.0001987637777921547,11.0,1.0,-0.0005291811363705712,-0.0003634334706169584,-0.00036203458840289304,22.0,1.0,-0.00032287709878225934,-0.0002631409756725267,-0.00022783829388506316,-1.841805590023171e-05,0.0005787821176931157,7.993605777301126e-18,1.0658141036401503e-17,4.892614163989328e-05,0.000657645964816531,0.00018502982023858261,0.0006357982863170863,0.0003285069315812843,0.0004985509279990061,0.00029270553023197084,0.0004065048330762649,-0.00012732666609734667,0.0005683249447761937,-0.0006481106333305952,True,-0.0002754151421258122,-0.00032028147917961824,-0.0003090520799562402,-0.00030583651126181444,-0.0002886153084421528,-0.00026554416749735577,-0.0003187076253361454,-0.00030916412322853914,-0.0002886153084421528,4.0,-0.0002976360448284484,-0.00026554416749735577,7.0,True,-0.0006481106333305952,True,False,True,True,False,False,-3.336700781564339e-06
toward_teacher|all|no_s3|all|grad_all_abs50|all|w0.070|c0.080,toward_teacher,0.5777311538832431,-3.3338234042279424e-06,0.5775959788558155,0.5772159873361161,0.5780401389731291,0.0003578311923793399,0.0018368000000000555,0.005600000000003824,17565.0,all,no_s3,all,grad_all_abs50,all,0.07,0.08,0.328,d409e811,45.0,1.0,-0.0002596783547751391,-0.00018927835477522414,-0.00012207835477517914,22.0,1.0,-0.0003684783547752146,-0.00030767835477519824,-0.0002596783547751391,11.0,1.0,-0.0006180783547751201,-0.0003812783547750831,-0.0003748783547752321,22.0,1.0,-0.0002564783547751581,-0.00019215835477521807,-0.00012207835477517914,2.410555206770587e-05,0.00046743320471126623,0.00014268721625722769,0.0005309563801681456,5.302100269128995e-05,0.00043016831311803506,0.00018575779695108053,0.0005064386010001737,0.00022795627074307433,0.0002459959609612744,1.5543122344752192e-18,9.547918011776345e-18,-9.106364559356783e-05,0.00032382588669647517,-0.0007393657789464047,True,-0.0002820267025214207,-0.0002914448636209821,-0.00029484505279597784,-0.00029438444199603175,-0.00024114211762027438,-0.00011380874821464992,-0.00029331263909493366,-0.000280186168283042,-0.00024114211762027438,4.0,-0.00025870922369489576,-0.00011380874821464992,7.0,True,-0.0007393657789464047,True,False,True,True,False,False,-3.3338234042279424e-06
toward_teacher|low_slack_half|no_s3|raw_agree|grad_all_top70|all|w0.070|c0.080,toward_teacher,0.5777311639496415,-3.323757005846417e-06,0.5775961264247994,0.5772160341258449,0.5780401290268795,0.0002989330336987995,0.0015616000000000583,0.005600000000003824,314378.0,low_slack_half,no_s3,raw_agree,grad_all_top70,all,0.07,0.08,0.27885714285714286,7374cce6,45.0,1.0,-0.0002432709239323927,-0.0001440709239324711,-0.0001184709239323567,22.0,1.0,-0.0003552709239324492,-0.00020007092393234938,-0.00017927092393255073,11.0,1.0,-0.0005344709239323286,-0.00036487092393233667,-0.0003584709239324857,22.0,1.0,-0.0002528709239323912,-0.0002179909239324207,-0.00015367092393248072,8.608093039417397e-06,0.0003740338799813694,0.00014914733897767828,0.000420997236460096,4.5074794758187656e-05,0.00040876511867368834,0.0001895837455159005,0.0004679563325098738,0.000154909871135107,0.0001756898103344239,1.5543122344752192e-18,9.547918011776345e-18,-8.709034688753358e-05,0.00024508885793213497,-0.0006500157473086521,True,-0.00025282897776202073,-0.00026430284025291684,-0.00026636860335715884,-0.0002654759406582885,-0.00022308644928892285,-0.00012973994279918966,-0.00026693312984094053,-0.00025517275568498476,-0.00022308644928892285,4.0,-0.000238390840565634,-0.00012973994279918966,7.0,True,-0.0006500157473086521,True,False,True,True,False,False,-3.323757005846417e-06
toward_teacher|all|no_q2|raw_agree|grad_all_4of6|all|w0.070|c0.080,toward_teacher,0.5777311681731973,-3.3195334501190388e-06,0.5775944590911132,0.5772103886089098,0.5780433931263077,0.0004906470285151643,0.002551653270699381,0.005600000000003824,9960.0,all,no_q2,raw_agree,grad_all_4of6,all,0.07,0.08,0.468,42bc4ce8,45.0,1.0,-0.0002879515802349797,-0.00020202136383182798,-0.0001363049972211705,22.0,1.0,-0.00034900891734102046,-0.000301452889103837,-0.0002965794925493537,11.0,1.0,-0.0005901951121568549,-0.0003570639741733439,-0.0003562334839107839,22.0,1.0,-0.00027401559492823413,-0.00022020247332458218,-0.00018812062647999284,5.260550045117551e-06,0.00060592487747223,7.993605777301126e-18,1.0658141036401503e-17,0.00010879231767144592,0.0006635249943374185,0.00019625679012642795,0.0006262724846008222,0.00032475214946282426,0.000519141302265967,0.0002838879180096033,0.0004104135221426142,-0.00010098607093684419,0.0006092520187870874,-0.0007082562637236889,True,-0.00027973973416517417,-0.00032562318215667574,-0.00031564710691689424,-0.0003130341637322953,-0.0002939392729973678,-0.0002695887403699748,-0.0003259640685724374,-0.0003152934076608438,-0.0002939392729973678,4.0,-0.00030336232413011706,-0.0002695887403699748,7.0,True,-0.0007082562637236889,True,False,True,True,False,False,-3.3195334501190388e-06
toward_teacher|low_slack_half|no_s3|all|grad_all_top70|all|w0.070|c0.080,toward_teacher,0.5777311735062916,-3.31420035581953e-06,0.5775961347797478,0.5772160165469867,0.5780401474857703,0.0002995596052860535,0.0015648000000000586,0.005600000000003824,312913.0,low_slack_half,no_s3,all,grad_all_top70,all,0.07,0.08,0.2794285714285714,5984df72,45.0,1.0,-0.000244125960916608,-0.0001449259609166864,-0.00011932596091668302,22.0,1.0,-0.0003561259609167755,-0.0001980459609166817,-0.00017692596091678503,11.0,1.0,-0.0005353259609165439,-0.00036572596091644094,-0.000359325960916812,22.0,1.0,-0.000253725960916662,-0.0002185259609166601,-0.00015452596091669601,8.608093039417397e-06,0.0003740338799813694,0.0001535333400884571,0.0004253832375708748,4.5074794758187656e-05,0.00040876511867368834,0.0001895837455159005,0.0004679563325098738,0.000154909871135107,0.0001756898103344239,1.5543122344752192e-18,9.547918011776345e-18,-8.709034688753358e-05,0.00024508885793213497,-0.0006511700472373149,True,-0.00025310219656449195,-0.00026433546161364063,-0.0002663547408621181,-0.00026555690884533245,-0.00022365175976457596,-0.00013059477887567006,-0.0002669657512014423,-0.00025532692836044424,-0.00022365175976457596,4.0,-0.00023865165681818162,-0.00013059477887567006,7.0,True,-0.0006511700472373149,True,False,True,True,False,False,-3.31420035581953e-06
toward_teacher|low_slack_half|no_s3|all|grad_core_abs50|all|w0.070|c0.080,toward_teacher,0.5777311791323049,-3.30857434249765e-06,0.5775959444703744,0.577215360593184,0.578040572786039,0.00033584537907558145,0.0017664000000000492,0.005600000000003824,313063.0,low_slack_half,no_s3,all,grad_core_abs50,all,0.07,0.08,0.31542857142857145,675f32e3,45.0,1.0,-0.00026712428044806114,-0.00017432428044799052,-0.0001295242804477681,22.0,1.0,-0.0003567242804479731,-0.00019672428044796838,-0.00017432428044805715,11.0,1.0,-0.0005455242804479621,-0.0003663242804478051,-0.0003599242804479541,22.0,1.0,-0.0002847242804479566,-0.00025464428044802423,-0.00017432428044794612,2.3463952751229256e-07,0.0004053762710117553,0.00014122547751097892,0.00045533130647021667,4.4550325996922543e-05,0.0004414603940661804,0.00019109133714100758,0.0005150056504031305,0.00017612504228633542,0.00022410305477938808,1.5543122344752192e-18,9.547918011776345e-18,-7.935912457650606e-05,0.00030964097679838976,-0.0006638177786047195,True,-0.0002588127671065976,-0.0002883790307538492,-0.0002804731414050021,-0.0002787460749986703,-0.00023728067801076502,-0.00016599320960020147,-0.00028664526372434995,-0.00027319452847349157,-0.00023728067801076502,4.0,-0.00025661859508563367,-0.00016599320960020147,7.0,True,-0.0006638177786047195,True,False,True,True,False,False,-3.30857434249765e-06
toward_teacher|all|no_s3|raw_agree|grad_core_top50|all|w0.070|c0.080,toward_teacher,0.5777311933944591,-3.2943121882622606e-06,0.577595532142456,0.5772137530734299,0.5780413804159534,0.00047542835785030745,0.002443486086954943,0.005600000000003824,18244.0,all,no_s3,raw_agree,grad_core_top50,all,0.07,0.08,0.43714285714285717,c0c5d1eb,45.0,1.0,-0.000326193422668819,-0.00022007751819865803,-0.00015981975552659122,22.0,1.0,-0.000395656721092319,-0.00034031403792468274,-0.00031410700901901567,11.0,1.0,-0.0006843320673628472,-0.00040496065020112493,-0.0004049606502010139,22.0,1.0,-0.0003171393157667124,-0.00024292751751926463,-0.00015981975552659122,5.208658687599954e-06,0.0005496897220640707,0.00020027539567440123,0.0006927459551065578,7.246725643459084e-05,0.0005751609254376748,0.00021678668895441978,0.0006040528203247257,0.0002798327717442672,0.00042582600888393804,1.5543122344752192e-18,9.547918011776345e-18,-0.00011562370186905635,0.0004805230731351758,-0.0008181915721800104,True,-0.0003073281396928085,-0.00034159476810302625,-0.0003380438698599164,-0.00033646602000336756,-0.0002846310639266214,-0.00017366630840331965,-0.0003415567977239631,-0.0003264566249033818,-0.0002846310639266214,4.0,-0.00030332670967328897,-0.00017366630840331965,7.0,True,-0.0008181915721800104,True,False,True,True,False,False,-3.2943121882622606e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_core_2of3|all|w0.070|c0.080,toward_teacher,0.5777312210996015,-3.266607045859793e-06,0.5775957142889311,0.5772146179550749,0.5780410049078153,0.00044605878864481665,0.0023440834732472732,0.005600000000003824,25649.0,all,no_q2_s3,raw_agree,grad_core_2of3,all,0.07,0.08,0.4308571428571429,2887d536,45.0,1.0,-0.00025553226600438794,-0.00018450025483585097,-0.00013380936070117588,22.0,1.0,-0.0003132586859975195,-0.0002823203500831761,-0.0002724003500831351,11.0,1.0,-0.0005520409953135852,-0.00031421090721528433,-0.0003101804169526323,22.0,1.0,-0.0002476404204277971,-0.00019016695797010593,-0.00018169445720928046,5.260550045117551e-06,0.00060592487747223,7.993605777301126e-18,1.0658141036401503e-17,9.304095097933962e-05,0.0006880557885815769,0.0001947307127632164,0.0006342770078394801,0.0002937884307084928,0.0005837226931095423,1.5543122344752192e-18,9.547918011776345e-18,-0.00010988958521957127,0.0006104311535108671,-0.0006561469487178451,True,-0.00026536722927472667,-0.0003029127098922446,-0.00030147649686762534,-0.0003005080927057646,-0.00026174919264099206,-0.00019533681174455086,-0.0003051059877174911,-0.0002928110967795883,-0.00026174919264099206,4.0,-0.00027606521726334217,-0.00019533681174455086,7.0,True,-0.0006561469487178451,True,False,True,True,False,False,-3.266607045859793e-06
toward_teacher|low_slack_half|no_q2|raw_agree|grad_all_top50|all|w0.070|c0.080,toward_teacher,0.5777312582012207,-3.229505426638468e-06,0.5775947578791732,0.5772114197271403,0.5780429588699889,0.0004259780514891535,0.002243992946730127,0.005600000000003824,306439.0,low_slack_half,no_q2,raw_agree,grad_all_top50,all,0.07,0.08,0.4017142857142857,c9edcfb1,45.0,1.0,-0.0002679936260079341,-0.0001736315281628542,-0.0001246071496798784,22.0,1.0,-0.000350645063018018,-0.00021981557516237418,-0.0001935751083906867,11.0,1.0,-0.0005281126696722316,-0.0003570450630179245,-0.0003538450630180545,22.0,1.0,-0.0003036932310667151,-0.00026306760555854235,-0.00021262865966276134,-6.494051051395833e-06,0.0005469945262366327,7.993605777301126e-18,1.0658141036401503e-17,6.036423918904721e-05,0.0006040816738109973,0.00019701757979454626,0.0006011777834902278,0.0003116295672210636,0.00040769177652422026,0.0002752277114883946,0.0003563104592770546,-0.0001236465580834396,0.0004655901410849317,-0.0006441732980275062,True,-0.0002684425402428303,-0.00030986962169055055,-0.00029926687299652865,-0.0002965471641496187,-0.00027900073648512436,-0.0002638604948580481,-0.000309128078875065,-0.00029931632751181714,-0.00027900073648512436,4.0,-0.00028944507275682367,-0.0002638604948580481,7.0,True,-0.0006441732980275062,True,False,True,True,False,False,-3.229505426638468e-06
