candidate_name,policy,fold_kind,n_folds,cv_delta_mean,cv_delta_p10,cv_delta_p50,cv_delta_p90,cv_delta_worst,cv_win_rate,selector_abs_error_mean,selector_abs_error_p90,candidate_index,actual_anchor_mean__inverse_top,actual_anchor_score__inverse_top,actual_anchor_std__inverse_top,actual_anchor_mean__raw05_compatible,actual_anchor_score__raw05_compatible,actual_anchor_std__raw05_compatible,actual_anchor_mean__all_sign,actual_anchor_score__all_sign,actual_anchor_std__all_sign,actual_anchor_score_final,mean_actual_anchor,min_set_score,max_set_score,name,file,source_name_x,source_file_x,variant_x,combo_sources,combo_weights,target_group,cell_gate,sign_gate,axis_group,anti_lambda,projection_mode,scale_x,delta_cap,active_cells_x,active_rows_x,mean_active_energy_x,p10_active_energy,mean_abs_logit_delta,mean_abs_move_vs_a2c8,max_abs_move_vs_a2c8,prediction_hash,before_bad_align_pos_mean,after_bad_align_pos_mean,before_bad_align_abs_mean,after_bad_align_abs_mean,removed_norm,removed_norm_ratio,cheap_priority,source_name_robust,source_file_robust,variant_robust,combo_sources_robust,combo_weights_robust,target_group_robust,cell_gate_robust,sign_gate_robust,axis_group_robust,anti_lambda_robust,projection_mode_robust,scale_robust,delta_cap_robust,active_cells_robust,active_rows_robust,mean_active_energy_robust,p10_active_energy_robust,mean_abs_logit_delta_robust,mean_abs_move_vs_a2c8_x,max_abs_move_vs_a2c8_x,prediction_hash_robust,before_bad_align_pos_mean_robust,after_bad_align_pos_mean_robust,before_bad_align_abs_mean_robust,after_bad_align_abs_mean_robust,removed_norm_robust,removed_norm_ratio_robust,cheap_priority_robust,robust_expected_public,robust_delta_vs_a2c8,robust_p10_delta_vs_a2c8,robust_p50_delta_vs_a2c8,robust_p90_delta_vs_a2c8,robust_worst_delta_vs_a2c8,robust_win_rate_vs_a2c8,mean_abs_move_vs_a2c8_y,max_abs_move_vs_a2c8_y,mean_abs_move_vs_raw05,logit_cosine_to_a2c8_move,logit_orth_ratio_to_a2c8_move,best_case_gain_vs_raw05_if_all_correct,cv_stability_score,source_name_y,source_file_y,variant_y,scale_y,active_cells_y,active_rows_y,mean_active_energy_y
direns_afcc68d9,low_error_best5,l2o,15,-0.0008421417384610663,-0.0010976344815454286,-0.0009822892458782873,-0.0004657537669917389,-0.0004061009259028747,1.0,0.0004199861533892457,0.001037445570604875,200,0.5770726015983535,0.5771567587303514,9.212776875831507e-05,0.5777688397271952,0.5781115877091687,0.0005749691681107776,0.5781623493196387,0.5782422119447466,0.00015798398456823743,0.5778368527947556,0.5776679302150626,0.5771567587303514,0.5782422119447466,direns_afcc68d9,submission_direns_afcc68d9.csv,solo_ladder_898_f465_full_s1p5,submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5,1.00,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.050773109191867144,0.009354120324585545,0.028117417477031614,88bef11c1bcb,0.0,0.0,0.0,0.0,0.0,0.0,2.2427153913919852e-05,solo_ladder_898_f465_full_s1p5,submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5,1.00,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.050773109191867144,0.009354120324585545,0.028117417477031614,88bef11c1bcb,0.0,0.0,0.0,0.0,0.0,0.0,2.2427153913919852e-05,0.5760185766770062,-0.001420768545966479,-0.0016242045352234946,-0.0014489935088385364,-0.0012242335758642087,-0.0007213518337991776,1.0,0.009354120324585545,0.028117417477031614,0.010376791977216422,0.3010914467384709,0.9535952709094851,0.028113436815410002,-0.001258144507783217,solo_ladder_898_f465_full_s1p5,submission_sparseladder_89817541.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_656bab60,low_error_best5,l2o,15,-0.0008376627023647536,-0.0010846271923321993,-0.0009714067375616864,-0.00047330706042232335,-0.00041270120246961195,1.0,0.0004199861533892457,0.001037445570604875,57,0.5770845000998903,0.5771683697261035,9.209586910494978e-05,0.5777561127461687,0.5780893966436412,0.0005597509572728053,0.5781390193534228,0.578217895069843,0.0001563595745503064,0.5778252204798626,0.5776598773998273,0.5771683697261035,0.578217895069843,direns_656bab60,submission_direns_656bab60.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.65_0.35,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04947497173008763,0.009058202932745452,0.028117417477031614,22a632a1fb39,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002734902379261732,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.65_0.35,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04947497173008763,0.009058202932745452,0.028117417477031614,22a632a1fb39,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002734902379261732,0.5760351777620261,-0.0014041674609467495,-0.0016051297067102067,-0.0014319799275214207,-0.0012157933718742963,-0.000713753541297768,1.0,0.009058202932745452,0.028117417477031614,0.010080874585376326,0.30594896111852576,0.952047915385825,0.027428010452900654,-0.0012536654716869045,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_2e4d45ec,low_error_best5,l2o,15,-0.0008324343899487848,-0.0010617756813868784,-0.0009562619116953996,-0.0004900839844882211,-0.000431965681767843,1.0,0.0004199861533892457,0.001037445570604875,358,0.5770874901751555,0.5771600426779151,8.343770022971303e-05,0.5777112867494099,0.5780305788171485,0.0005367664819560619,0.5780789777817428,0.5781516150081347,0.00014508125565168285,0.5777807455010661,0.5776259182354361,0.5771600426779151,0.5781516150081347,direns_2e4d45ec,submission_direns_2e4d45ec.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.65_0.35,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05301880576616873,0.009805245628860376,0.024744926588893656,c8da55ce3e7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0005376701204273433,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.65_0.35,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05301880576616873,0.009805245628860376,0.024744926588893656,c8da55ce3e7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0005376701204273433,0.5760728955306055,-0.0013664496923670914,-0.0015372498094767372,-0.0013884446360826752,-0.001212902221322265,-0.0007184531751882606,1.0,0.009805245628860376,0.024744926588893656,0.010481487633312024,0.3168863815356494,0.9484635054640969,0.02860664883226971,-0.0012484371592709357,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,1.1,1256.0,250.0,1.146752178998714
direns_dd5471a5,low_error_best5,l2o,15,-0.0008323561348903219,-0.0010757082636355885,-0.0009632499133407357,-0.0004728070310221711,-0.0004118577606897489,1.0,0.0004199861533892457,0.001037445570604875,62,0.5770927792177946,0.5771763294112819,9.20064381009438e-05,0.5777537350648806,0.578083366491251,0.0005531427176824696,0.5781320464951283,0.57821044089848,0.00015583694335919354,0.577823378933671,0.5776595202592678,0.5771763294112819,0.57821044089848,direns_dd5471a5,submission_direns_dd5471a5.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.50_0.50,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04891862710361071,0.008931590522870077,0.028117417477031614,234bf2e22b46,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026328369354170297,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.50_0.50,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04891862710361071,0.008931590522870077,0.028117417477031614,234bf2e22b46,0.0,0.0,0.0,0.0,0.0,0.0,-0.00026328369354170297,0.5760456060743954,-0.0013937391485774142,-0.0015923422698622014,-0.0014219105020558676,-0.0012105916210326528,-0.0007077856883228595,1.0,0.008931590522870077,0.028117417477031614,0.009954262175500949,0.30735751490147634,0.9515941141230271,0.027131199663009666,-0.0012483589042124729,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_1b92c211,low_error_best5,l2o,15,-0.0008257327731112282,-0.0010511620130864152,-0.000946749651029033,-0.0004883991706634561,-0.00042996857174770753,1.0,0.0004199861533892457,0.001037445570604875,330,0.5770974017186175,0.5771697061083214,8.340639204452299e-05,0.5777093517686938,0.5780238843682817,0.0005294042021259097,0.5780719306515152,0.5781440836662627,0.00014441101917206977,0.5777792247142886,0.5776262280462755,0.5771697061083214,0.5781440836662627,direns_1b92c211,submission_direns_1b92c211.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.50_0.50,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05231033605524339,0.009642743580594023,0.024744926588893656,33b112df4e99,0.0,0.0,0.0,0.0,0.0,0.0,0.0003751680721609904,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.50_0.50,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05231033605524339,0.009642743580594023,0.024744926588893656,33b112df4e99,0.0,0.0,0.0,0.0,0.0,0.0,0.0003751680721609904,0.5760850464051904,-0.001354298817782184,-0.0015257692454138994,-0.0013779459701325214,-0.0012058750472401236,-0.0007098196427852699,1.0,0.009642743580594023,0.024744926588893656,0.010318985585045671,0.3185989559933672,0.9478896060406699,0.028234723695071923,-0.001241735542433379,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,1.1,1256.0,250.0,1.146752178998714
direns_831d33e1,low_error_best5,l2o,15,-0.0008250205007691432,-0.0010647862219315574,-0.0009530005196988212,-0.00047006898933212867,-0.00040881532192127423,1.0,0.0004199861533892457,0.001037445570604875,133,0.577102963176621,0.5771860835595658,9.189054028657668e-05,0.5777532004621376,0.5780789670357008,0.0005464850863695068,0.5781268862067284,0.5782051535939252,0.0001554063336377382,0.5778234013963973,0.5776610166151623,0.5771860835595658,0.5782051535939252,direns_831d33e1,submission_direns_831d33e1.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.35_0.65,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04836228247713377,0.00880511896190948,0.028117417477031614,61f72f35adfa,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013681213258110602,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.35_0.65,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04836228247713377,0.00880511896190948,0.028117417477031614,61f72f35adfa,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013681213258110602,0.5760580193292868,-0.0013813258936858238,-0.0015831336421980647,-0.001407957327785203,-0.001204439423109438,-0.0007001906023322846,1.0,0.00880511896190948,0.028117417477031614,0.009827790614540356,0.3083297932536328,0.9512795270540474,0.026832557740841822,-0.001241023270091294,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_7682edba,low_error_best5,l2o,15,-0.0008240505216517314,-0.001070002759794253,-0.0009587873326287744,-0.0004612830740320151,-0.0004037397612678406,1.0,0.0004199861533892457,0.001037445570604875,87,0.5770931213696526,0.5771748699027105,8.970540792236671e-05,0.5777559598209987,0.5780866203178864,0.0005546702812687193,0.5781352495966636,0.578211745608592,0.00015183607730606712,0.577824411943063,0.5776614435957717,0.5771748699027105,0.578211745608592,direns_7682edba,submission_direns_7682edba.csv,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5,0.35_0.65,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.049356047024373524,0.009116213539765688,0.026806041726260943,10d9695a8b6a,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021547963090593636,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5,0.35_0.65,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.049356047024373524,0.009116213539765688,0.026806041726260943,10d9695a8b6a,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021547963090593636,0.5760565174069231,-0.0013828278160495965,-0.0015784973935587087,-0.0014090291095677498,-0.0011941564365031798,-0.000707966345040445,1.0,0.009116213539765688,0.026806041726260943,0.010138885192396564,0.30585196955153765,0.9520790790272857,0.027451667898363508,-0.0012400532909738822,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_e868366f,low_error_best5,l2o,15,-0.0008204423174419754,-0.0010587671017799672,-0.0009493052628449794,-0.00046845627401723714,-0.00040996173290441806,1.0,0.0004199861533892457,0.001037445570604875,19,0.5771036956001039,0.5771853055462944,8.981127635853303e-05,0.5777446645205471,0.578066462875128,0.0005411281052648683,0.5781145311977568,0.5781903130754849,0.0001506063172876461,0.5778140271656357,0.5776542971061359,0.5771853055462944,0.5781903130754849,direns_e868366f,submission_direns_e868366f.csv,b01_898_f1ee,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.33_0.33_0.33,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.048187204783035585,0.008845716746268575,0.026868492696500434,ed2fe25bbd39,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004274099169402009,b01_898_f1ee,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.33_0.33_0.33,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.048187204783035585,0.008845716746268575,0.026868492696500434,ed2fe25bbd39,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004274099169402009,0.5760707198363119,-0.0013686253866607209,-0.0015623194835664655,-0.0013946693277696598,-0.0011873092601099478,-0.0007013375314868231,1.0,0.008845716746268575,0.026868492696500434,0.009868388398899449,0.3105754076059101,0.9505487447734713,0.02683019095155441,-0.0012364450867641263,b01_898_f1ee,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
direns_03284c6a,low_error_best5,l2o,15,-0.0008171266682760766,-0.0010386238061978804,-0.0009353138556021934,-0.0004846777052599505,-0.0004259603966607628,1.0,0.0004199861533892457,0.001037445570604875,291,0.5771091832043627,0.57718137966556,8.338276204152353e-05,0.577709264018715,0.5780194216715263,0.0005220299435420455,0.5780667242644786,0.5781385289538196,0.00014381346405189903,0.5777797767636352,0.5776283904958521,0.57718137966556,0.5781385289538196,direns_03284c6a,submission_direns_03284c6a.csv,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.35_0.65,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05160186634431806,0.00948035409350871,0.024744926588893656,e484acbb1e69,0.0,0.0,0.0,0.0,0.0,0.0,0.0002127785850756767,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,ladder_898_f465_full_s1p5+ladder_f1ee_f465_noq2_s1p5,0.35_0.65,full,all_cells,none,none,0.0,positive,1.1,0.3,1256.0,250.0,1.146752178998714,0.45126459488564136,0.05160186634431806,0.00948035409350871,0.024744926588893656,e484acbb1e69,0.0,0.0,0.0,0.0,0.0,0.0,0.0002127785850756767,0.5760990842281725,-0.001340260994800074,-0.0015150659729118664,-0.0013655732363260231,-0.001197767712578779,-0.0006994654214831364,1.0,0.00948035409350871,0.024744926588893656,0.010156596097960355,0.31980162921962185,0.9474845212184076,0.027860974438224835,-0.0012331294375982275,898_x_f1ee,submission_sparseladder_89817541.csv+submission_sparseladder_f1ee16b0.csv,full/all_cells/none/none,1.1,1256.0,250.0,1.146752178998714
direns_299b1c74,low_error_best5,l2o,15,-0.0008157930962865804,-0.0010576518963910208,-0.0009482236340908612,-0.0004588440386366744,-0.0004021947023776784,1.0,0.0004199861533892457,0.001037445570604875,44,0.5771024210565032,0.5771831171981128,8.866422653726169e-05,0.5777509273834969,0.578076114316067,0.0005459660922770316,0.5781241182729806,0.5781992813991488,0.00014920990488783404,0.5778195043044428,0.5776591555709936,0.5771831171981128,0.5781992813991488,direns_299b1c74,submission_direns_299b1c74.csv,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5,0.50_0.50,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04874873466687626,0.009014226209149082,0.02624396359355813,433c362bb977,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031746696152254293,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,ladder_b01_282_full_s1p3+ladder_898_f465_full_s1p5,0.50_0.50,full,energy_top70,none,none,0.0,positive,1.25,0.3,879.0,245.0,1.4215421600212523,0.7702460202154963,0.04874873466687626,0.009014226209149082,0.02624396359355813,433c362bb977,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031746696152254293,0.5760732790891155,-0.0013660661338571582,-0.0015583267719396776,-0.001391380136308018,-0.0011808860510522877,-0.0007018152525040122,1.0,0.009014226209149082,0.02624396359355813,0.010036897861779956,0.3079095656314382,0.9514156291509295,0.027167557188422883,-0.0012317958656087313,b01_x_898,submission_sparseladder_b01acaa1.csv+submission_sparseladder_89817541.csv,full/energy_top70/none/none,1.25,879.0,245.0,1.4215421600212523
