row_idx,feature_block,pred_action_cliff,pred_actual_p90,pred_null_common,pred_null_rare,pred_null_strict_rate,pred_readiness_distance,pred_safe_invisible,pred_strict_health,pred_visible_null_common,experiment,basename,family,target_norm,selector_visible,null_rare,null_common,visible_null_common,strict_health,actual_p90,null_strict_rate,readiness_distance,failure_mode,pred_health_rank,pred_submission_hope
1327,full_safe,0.0102533162139198,-4.271017538747946e-05,0.0024297990227536465,0.9976843882171946,-0.033979765437262444,2.767100324779463,0.9973668080754896,3.5491141868159613e-06,0.0032454887449584707,e310,submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_diff_top64_s007_3c930841.csv,cashflow_stress,multi,False,True,False,False,False,-4.856871123013865e-05,0.0,0.5014312887698613,safe_but_too_small_or_wrong_sign,-4128.0,0.04833850601351231
1336,full_safe,0.008606079566169796,-3.859625166723811e-05,0.001786587839582855,0.9987252543231999,-0.05301032143023754,2.704709841237168,0.9985390754338792,3.93877650245065e-06,0.0024885410662543192,e310,submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs96_s004_bc5bcc90.csv,cashflow_stress,multi,False,False,False,False,False,-4.635403317680061e-05,0.1111111111111111,0.5869793001565328,no_local_edge,-4119.0,0.04621223359018382
1328,full_safe,0.008073172997619083,-3.5526906790982104e-05,0.0016258165674029918,0.9984483508675582,-0.040449619586523156,2.740106831331186,0.9982122853771961,4.001793322665527e-06,0.0022852225187190794,e310,submission_e310_pair_cashflow_stress_Q1_S1_raw_human_context_subject5_topabs64_s004_022cb388.csv,cashflow_stress,multi,False,True,False,False,False,-4.490131140304686e-05,0.0,0.5050986885969532,safe_but_too_small_or_wrong_sign,-4125.0,0.0447587522985832
1342,full_safe,0.01836404575221562,-6.698966272514853e-05,0.019012658415885158,0.9739876846644998,0.02433891987430492,1.6074255629678902,0.9734775742699686,4.884058126143169e-06,0.013383434968282653,e310,submission_e310_pair_cashflow_stress_Q1_S1_hybrid_context_subject5_joint_centered_s010_71d2b41a.csv,cashflow_stress,multi,False,False,False,False,False,-4.587183542889907e-05,0.3333333333333333,1.2263503867933232,no_local_edge,-2372.0,0.04382914376753583
1343,full_safe,0.022702368120253773,-7.280431465636107e-05,0.045576498980350995,0.9162912502133468,0.10919878287706464,1.2270880652526266,0.9270757653865613,5.064282127779246e-06,0.02138738557458515,e310,submission_e310_pair_cashflow_stress_S1_S3_hybrid_context_subject5_topabs96_s010_39ebc7b6.csv,cashflow_stress,multi,False,False,False,False,False,-4.9994895805160474e-05,0.3888888888888889,1.3111162153059506,no_local_edge,-476.0,0.04372203137809686
903,full_safe,0.012981473352184658,-4.695121688974471e-06,0.010571884819005407,0.992440801892857,-0.08731721117869462,0.6680522588321338,0.9938550743828689,5.660024667544596e-06,0.013482223835476126,e292,submission_e292_contrastlife_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax25_bf70__06636bce.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax25_bf70,Q3,False,True,False,False,False,-4.36309711142748e-05,0.0,0.6063690288857252,safe_but_too_small_or_wrong_sign,-70.0,0.04284338112667589
904,full_safe,0.012981473352184658,-4.695121688974471e-06,0.010571884819005407,0.992440801892857,-0.08731721117869462,0.6680522588321338,0.9938550743828689,5.660024667544596e-06,0.013482223835476126,e292,submission_e292_contrastlife_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax35_bf70__06636bce.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax35_bf70,Q3,False,True,False,False,False,-4.36309711142748e-05,0.0,0.5397023622190585,safe_but_too_small_or_wrong_sign,-70.0,0.04284338112667589
905,full_safe,0.012981473352184658,-4.695121688974471e-06,0.010571884819005407,0.992440801892857,-0.08731721117869462,0.6680522588321338,0.9938550743828689,5.660024667544596e-06,0.013482223835476126,e292,submission_e292_contrastlife_Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax50_bf70__06636bce.csv,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv_base_lowmax50_bf70,Q3,False,True,False,False,False,-4.36309711142748e-05,0.0,0.6063690288857252,safe_but_too_small_or_wrong_sign,-70.0,0.04284338112667589
1344,full_safe,0.01425668867215942,-5.2563314924174254e-05,0.0294638327429727,0.9045587264317131,0.09432304351364706,1.0437570434750274,0.9252537520955818,5.478167202503794e-06,0.010041240921941641,e310,submission_e310_pair_home_recovery_Q1_S3_hybrid_context_dateblock5_diff_top64_s007_4d8fa86b.csv,home_recovery,multi,False,False,False,False,False,-4.395552376522449e-05,0.3888888888888889,1.90048892067922,no_local_edge,-227.0,0.03858886021799927
1345,full_safe,0.014415586934250846,-5.159600515351954e-05,0.03245506959914115,0.8790837777948046,0.11149044551017262,1.1105822333669018,0.9038665711175099,5.412806689539826e-06,0.010641748480940112,e310,submission_e310_pair_home_recovery_Q1_S3_hybrid_context_dateblock5_topabs32_s010_4922eea0.csv,home_recovery,multi,False,False,True,False,False,-4.3928153410325435e-05,0.6111111111111112,2.4560718465896745,no_local_edge,-291.0,0.037363224978365105
1329,full_safe,0.016366081681079902,-5.628070676665892e-05,0.031464624882083535,0.8600814540414315,0.09919277141158656,1.653194932466974,0.8770991796252329,5.0149003239095605e-06,0.012672077521884376,e310,submission_e310_pair_cashflow_stress_S1_S2_raw_human_context_subject5_opp_sign_top64_s014_d9e0a872.csv,cashflow_stress,multi,False,True,False,False,False,-4.3087875079986456e-05,0.0,0.5069121249200136,safe_but_too_small_or_wrong_sign,-2557.0,0.03589303212886876
1095,full_safe,0.028169691430360827,-3.783919487060578e-05,0.09977233833383037,0.8835476539716092,0.21273805472494178,1.2380715320411415,0.912891740942942,5.631588081470465e-07,0.0238054037399218,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p850_7137ac6b.csv,unknown,multi,False,True,False,False,False,-4.4430079198682693e-05,0.0,0.7293794446108411,safe_but_too_small_or_wrong_sign,-487.0,0.03533942012495907
1094,full_safe,0.03458761482241656,-4.483625733050475e-05,0.11938136162704244,0.8192132397701585,0.21434678949645658,1.2682450868983803,0.8580954865133985,1.0332865445486637e-06,0.02993194363062379,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p920_5d275714.csv,unknown,multi,False,True,False,False,False,-4.821437557499664e-05,0.0,0.5827380053773843,safe_but_too_small_or_wrong_sign,-519.0,0.034782547128733715
1097,full_safe,0.020968250611698103,-2.784525660649544e-05,0.07674032945384633,0.9406285657276374,0.21044080820024647,1.194967099233395,0.9583128589716681,2.3662271337837203e-07,0.017126760174662477,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p750_ae748958.csv,unknown,multi,False,True,False,False,False,-3.902490675476438e-05,0.0,0.8300227122928547,safe_but_too_small_or_wrong_sign,-442.0,0.03389096250048794
1039,full_safe,0.020449289397705517,-5.039213873338046e-05,0.10290383375017578,0.777293583609182,0.19154613824259492,1.4972759331616494,0.814544823410484,4.518606233434178e-06,0.02191179506506909,e297,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs16_s015_c61fbdcd.csv,routine_fragmentation,S1,False,True,False,False,False,-4.650222899020353e-05,0.0952380952380952,0.5368311043431298,safe_but_too_small_or_wrong_sign,-1498.0,0.03242633415732804
1099,full_safe,0.015579384708273154,-1.7853556550545525e-05,0.058683013652929286,0.9706572393501953,0.20814469683621706,1.1518634410655348,0.9805529862738244,9.941710771748871e-08,0.012299200764973511,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p650_d6a90e6c.csv,unknown,multi,False,True,False,False,False,-3.3620892547133506e-05,0.0,0.7401886312623903,safe_but_too_small_or_wrong_sign,-323.0,0.03071927998981234
1041,full_safe,0.01751572907560462,-3.754432395591405e-05,0.07877760070765939,0.7324716387777236,0.19658625946640296,1.4890054836426998,0.7806563043611244,5.75199772326929e-06,0.020960942817004558,e297,submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_topabs64_s010_44b82f59.csv,bedtime_arousal,S1,False,True,False,False,False,-4.470163736969346e-05,0.0952380952380952,0.7195840769160209,safe_but_too_small_or_wrong_sign,-1479.0,0.03016329168460175
909,full_safe,0.05128973401508097,2.776907813881234e-05,0.07650566951880391,0.893973559839115,0.11642849090416085,1.0239944144964124,0.9089045191027556,5.256122368062168e-06,0.05628000014357133,e292,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contra_d5bb7a2b.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv_contrast_half_bf35,S4,False,True,False,False,False,-3.639716191399325e-05,0.0,0.8802695047526734,safe_but_too_small_or_wrong_sign,-216.0,0.030048751247992687
906,full_safe,0.07344963184251453,2.5628671524302235e-05,0.12643978557184252,0.7943927335888704,0.08532959887900038,0.9476199845194291,0.8181114105812884,5.04760906258549e-06,0.0779192920600778,e292,submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contras_c6e9e3a6.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_contrast_half_bf50,S4,False,True,False,False,False,-4.0446014788980464e-05,0.0,0.9595539852110195,safe_but_too_small_or_wrong_sign,-185.0,0.02806750738003942
863,full_safe,0.1208570991033748,-1.6731773141548774e-05,0.07391648187509814,0.6506802970685653,0.16090517542608396,1.2346935060387523,0.6767980916611775,4.660041515244917e-06,0.041634895810797455,e291,submission_e291_lifeblock_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_bf35_ra_db7e643e.csv,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,S4,False,True,False,False,False,-4.634094614540992e-05,0.0,1.0703257205212569,safe_but_too_small_or_wrong_sign,-483.0,0.027924326533376193
1098,full_safe,0.027064799390731514,-3.754793104197133e-05,0.16436586883423304,0.8640853637516269,0.21574995488351512,1.0995551728537727,0.9050227449092298,1.867827516800705e-07,0.028325087262078903,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p750_1ada9515.csv,unknown,multi,False,True,False,False,False,-3.822746771230376e-05,0.0,0.6403439608591248,safe_but_too_small_or_wrong_sign,-270.0,0.02760249560270233
1100,full_safe,0.01936130101345435,-2.670894382571942e-05,0.1233160186587562,0.9303365211047196,0.21212996628083136,1.0542728847614473,0.954434185119973,8.033767469556966e-08,0.019487184669836923,e299,submission_e299_bridge_visible_low_null_near_e292_contrastlife_S4_family_jepa_context_dateblock5_cluste_m0p650_9b454b59.csv,unknown,multi,False,True,False,False,False,-3.2941995650538214e-05,0.0,0.8527722900637477,safe_but_too_small_or_wrong_sign,-234.0,0.026867858142467817
