kind,target,config,n,mean_fit_delta,mean_val_delta,val_win_rate
subject,S1,rank_logit_p0.75_w0.08,2,-0.00039110800309133387,-0.0015525665113364229,0.5
subject,Q2,center_temp_p0.5_w0.3,14,-0.0006968493125951,-0.0013757368614979529,1.0
subject,S3,center_temp_p0.5_w0.3,38,-0.0011055217795832733,-0.0010788063033673467,1.0
subject,S4,rank_logit_p0.75_w0.3,3,-0.0004383293716955598,-0.000542329907218031,1.0
subject,S2,center_temp_p0.5_w0.3,3,-0.0003685970338358491,-0.00036345488537203874,1.0
subject,S4,rank_logit_p1_w0.3,5,-0.00034348434438515876,-0.0003477942234019871,0.4
logit,S1,scale1_shift-0.12_w0.2,5,-0.0004246138443748104,-0.000322107132434446,1.0
logit,Q2,scale1.3_shift0_w0.2,17,-0.0004317552630624356,-0.00031931834923472265,0.7647058823529411
subject,S1,center_temp_p0.7_w0.2,1,-0.0003025774209040044,-0.0002623596018187513,1.0
subject,Q2,rank_logit_p0.75_w0.3,3,-0.000642160648382554,-0.00022607889589036181,1.0
logit,Q1,scale1.15_shift-0.08_w0.2,2,-0.00043424848681750117,8.834575930094513e-05,0.0
logit,S3,scale1.15_shift-0.08_w0.2,1,-0.0002646821775270647,0.00033221916189030143,0.0
logit,S1,scale1.15_shift-0.08_w0.2,13,-0.0005836283819611535,0.00043300374075529917,0.15384615384615385
logit,Q1,scale0.85_shift0.08_w0.2,4,-0.00045309901758253113,0.0005153746164686113,0.0
logit,Q2,scale1.15_shift-0.08_w0.2,4,-0.00034705632973100475,0.0006858168766894768,0.0
subject,Q3,center_temp_p0.5_w0.3,15,-0.0005642892260139846,0.0007993124293453521,0.2
logit,S2,scale1_shift-0.12_w0.2,2,-0.0002686939227681262,0.0008164879874617559,0.0
logit,S3,scale1.15_shift0.08_w0.2,1,-0.00024049788561364416,0.0008745623915242806,0.0
subject,S2,rank_logit_p1_w0.3,1,-0.0005404345726143234,0.0008888172979232278,0.0
subject,S4,rank_logit_p1.5_w0.3,4,-0.0005966277261765518,0.0009253480435381656,0.25
subject,S4,center_temp_p0.5_w0.3,3,-0.0005816564588485932,0.0009366064505470136,0.0
subject,S1,rank_logit_p0.75_w0.15,1,-0.0012487607161631442,0.0009564474545988855,0.0
logit,Q2,scale1.15_shift0.08_w0.2,1,-0.0004318419504348858,0.0009776667716734355,0.0
logit,Q1,scale1.3_shift0_w0.2,5,-0.0006661317209196715,0.0009837586729808168,0.4
subject,Q1,center_temp_p0.5_w0.2,4,-0.0007194099652279295,0.000994292428533744,0.0
subject,S2,rank_logit_p0.75_w0.3,9,-0.00047008596916448605,0.0010258785172955506,0.1111111111111111
logit,Q3,scale1.15_shift-0.08_w0.2,1,-0.0005648956317995113,0.001067543699173834,0.0
logit,S4,scale0.85_shift-0.08_w0.2,1,-0.000397259440664266,0.001070636952273385,0.0
logit,Q3,scale1.15_shift0.08_w0.2,1,-0.00025419609254473396,0.0011764648138650191,0.0
logit,Q1,scale1.15_shift0.08_w0.2,4,-0.0004369441764855708,0.0012718707930340356,0.0
logit,S3,scale0.85_shift0.08_w0.2,1,-0.00026619080956769015,0.0013342262251435644,0.0
logit,S4,scale1.15_shift0.08_w0.2,3,-0.0003635796884009501,0.001592301444499659,0.0
logit,S3,scale1.3_shift0_w0.2,1,-0.0004886416095778445,0.001603646251267632,0.0
logit,Q1,scale1_shift0.12_w0.2,5,-0.00035459226357972275,0.0016600488025714899,0.0
logit,Q3,scale1.3_shift0_w0.2,1,-0.0005976860128112937,0.0017429421780480459,0.0
logit,S1,scale1.3_shift0_w0.2,8,-0.000773727588501423,0.0018249356679078954,0.0
logit,Q3,scale0.85_shift-0.08_w0.2,4,-0.000588785970294825,0.0018391650715427754,0.0
logit,Q3,scale1_shift0.12_w0.2,2,-0.0005101421475871559,0.0019073907417037073,0.0
logit,S4,scale0.75_shift0_w0.2,6,-0.000591280721153109,0.002075401631094135,0.0
logit,S3,scale1_shift0.12_w0.2,3,-0.0007213549404379386,0.0024184183792134903,0.0
logit,S2,scale0.85_shift-0.08_w0.2,8,-0.000648778150694404,0.002779116229303949,0.0
subject,Q1,center_temp_p0.5_w0.3,2,-0.0010181537232385462,0.0028836976285331883,0.0
subject,Q1,center_temp_p2_w0.08,2,-0.00020685431974437618,0.002968511151717257,0.0
logit,S3,scale0.75_shift0_w0.2,3,-0.0007793273248147825,0.0032790183649193763,0.0
subject,S1,center_temp_p0.5_w0.2,2,-0.000757928857247403,0.003305390431158739,0.0
logit,S2,scale0.75_shift0_w0.2,7,-0.001495183831231674,0.0036369199558043885,0.0
logit,S2,scale1.3_shift0_w0.2,1,-0.0003983494346579963,0.0036490324471757374,0.0
logit,Q3,scale0.75_shift0_w0.2,4,-0.0008146508334779534,0.00395513152230248,0.0
subject,S4,rank_logit_p2_w0.3,2,-0.001410702607228087,0.004937621531977743,0.0
subject,S1,center_temp_p0.5_w0.3,1,-0.002086565338565327,0.006694736613098828,0.0
subject,Q2,center_temp_p2_w0.2,1,-0.00045176235880961535,0.006791635742660951,0.0
subject,Q1,center_shift_p0.75_w0.3,1,-0.0015879581675702914,0.009906485327705439,0.0
subject,S2,rank_logit_p2_w0.3,1,-0.0020771454361261377,0.01425042994200576,0.0
subject,Q1,center_temp_p2_w0.3,1,-0.002357008393556237,0.015189636805242102,0.0
