mask_name,rows,strict,e144_submit,best_all_minus_e95,best_strict_all_minus_e95,best_submit_all_minus_e95,max_keep_strict,min_q2s3_l1_strict,best_post101_p95,best_strict_post101_p95
top_q2s3_weighted_24,7,4,3,-9.940901448901585e-06,-9.72592963266461e-06,-9.72592963266461e-06,0.15,0.0009200000000000163,-3.50631300651382e-06,-3.4304890503887105e-06
top_q2s3_weighted_23,7,3,2,-9.955010738527115e-06,-9.672798483295608e-06,-9.672798483295608e-06,0.1,0.0009600000000000162,-3.511289575890445e-06,-3.411748854538147e-06
q2s3,26,8,1,-1.0067106123945457e-05,-9.57604051687877e-06,-9.57604051687877e-06,0.57,0.0009400000000000339,-3.5508273894260517e-06,-3.3776207910144256e-06
s3_non_e101,26,4,1,-1.0132767322645897e-05,-9.577739626176474e-06,-9.577739626176474e-06,0.53,0.0010200000000000328,-3.573987131649635e-06,-3.378220093709524e-06
top_tension_24,7,4,1,-9.827494275471693e-06,-9.566318781684124e-06,-9.566318781684124e-06,0.15,0.0009200000000000174,-3.4663125046203926e-06,-3.3741917814085976e-06
top_q2s3_weighted_22,7,2,1,-9.953174503030127e-06,-9.595749740243242e-06,-9.595749740243242e-06,0.05,0.001000000000000016,-3.510641906618277e-06,-3.384572545499304e-06
top_tension_23,7,3,0,-9.849039773857093e-06,-9.511059509526021e-06,,0.1,0.0009600000000000175,-3.473911942318156e-06,-3.354700963026142e-06
top_tension_22,7,2,0,-9.892961799429223e-06,-9.511582688026543e-06,,0.05,0.0010000000000000174,-3.4894039347021074e-06,-3.3548854963494584e-06
top_q2s3_weighted_21,7,1,0,-9.994785325928568e-06,-9.551357769921331e-06,,0.0,0.0010399999999999858,-3.525318701302393e-06,-3.3689147961770574e-06
top_tension_21,7,1,0,-9.912348813867489e-06,-9.469925475680263e-06,,0.0,0.0010400000000000175,-3.4962420410078355e-06,-3.3401923393741396e-06
top_q2s3_weighted_15,7,0,0,-1.018278956366192e-05,,,,,-3.5916307664035867e-06,
top_q2s3_weighted_14,7,0,0,-1.0180849595253783e-05,,,,,-3.5909465088946827e-06,
top_q2s3_weighted_16,7,0,0,-1.0164537790902095e-05,,,,,-3.5851930777745775e-06,
top_tension_14,7,0,0,-1.0151875428521251e-05,,,,,-3.580726862498491e-06,
top_tension_15,7,0,0,-1.0139743047310468e-05,,,,,-3.576447579954748e-06,
top_tension_16,7,0,0,-1.0124331667915598e-05,,,,,-3.5710117429435577e-06,
top_q2s3_weighted_17,7,0,0,-1.0082249379039787e-05,,,,,-3.5561686547600994e-06,
top_q2s3_weighted_18,7,0,0,-1.006275454840111e-05,,,,,-3.549292519976998e-06,
top_tension_18,7,0,0,-1.005224377370606e-05,,,,,-3.545585203672612e-06,
top_tension_17,7,0,0,-1.0047743513763585e-05,,,,,-3.543997890887137e-06,
top_tension_19,7,0,0,-1.0034007211223717e-05,,,,,-3.539152879948792e-06,
top_q2s3_weighted_19,7,0,0,-1.0032861527342618e-05,,,,,-3.538748779142209e-06,
top_q2s3_weighted_20,7,0,0,-1.0013479027182193e-05,,,,,-3.5319122650936026e-06,
top_tension_20,7,0,0,-9.942187866651686e-06,,,,,-3.5067667463795837e-06,
