prior,expected_delta_e144_minus_e143,expected_delta_total,hard_support_cells,hard_support_flip_share,mean_support_probability,top10_support_rate,edge_support_rate,prefers_e144
nearest_hard085,-1.0294767091702997e-05,-0.018015842410480244,10,0.6315789473684292,0.44166666666666665,0.7,0.5714285714285714,True
both_equal_beta,-6.541181674852315e-06,-0.011447067930991551,10,0.6315789473684292,0.42595276747062466,0.7,0.5714285714285714,True
nearest_beta,-5.02025815392881e-06,-0.008785451769375417,10,0.6315789473684292,0.4223753263931835,0.7,0.5714285714285714,True
edge_endpoint_beta,-5.02025815392881e-06,-0.008785451769375417,10,0.6315789473684292,0.4223753263931835,0.7,0.5714285714285714,True
global,-4.480163917099431e-06,-0.007840286854924003,10,0.5087719298245644,0.472962962962963,0.6,0.42857142857142855,True
both_distance_beta,-3.693019035399944e-06,-0.006462783311949902,10,0.6315789473684292,0.43664138018254134,0.7,0.5714285714285714,True
conflict_flat,-3.693019035399944e-06,-0.006462783311949902,10,0.6315789473684292,0.43664138018254134,0.7,0.5714285714285714,True
next_beta,-2.9428122421882172e-06,-0.0051499214238293805,10,0.6315789473684292,0.4300187741753045,0.7,0.5714285714285714,True
prev_beta,-1.9935603440591445e-06,-0.0034887306021035027,10,0.6315789473684292,0.4325272299694041,0.7,0.5714285714285714,True
subject,-1.0972893993273336e-06,-0.001920256448822834,9,0.35964912280703815,0.42522965625644193,0.6,0.2857142857142857,True
