candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,hidden_delta_subject_mean,hidden_delta_calendar_count_strict,hidden_delta_raw_phone_base,hidden_delta_transition_row_safe,hidden_delta_transition_balanced_hidden_sign,hidden_delta_transition_aggressive_hidden_sign,hidden_delta_core_median,hidden_core_mean_delta,hidden_core_max_delta,hidden_core_improve_count,hidden_all_mean_delta,hidden_all_max_delta,hidden_all_improve_count,hidden_guard,validation_support_score,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
reverse_control|low_slack_half|all|support60|grad_core_top50|teacher_row_top50|flat|s0.10|c0.080,reverse_control,0.5777346412316214,1.535249740669542e-07,0.5776021060247785,0.5772359823830575,0.578034553506021,0.00017693973362642538,0.0007634285714286579,0.008000000000000673,9618.0,low_slack_half,all,support60,grad_core_top50,teacher_row_top50,flat,0.1,0.08,0.09542857142857143,6c2fd687,45.0,0.0,0.00021296708471862935,0.00031170994186131563,0.0003135385132900792,22.0,0.0,0.0002015385132899672,0.0003135385132900792,0.0003135385132900792,11.0,0.0,0.0003089670847185033,0.0003135385132900792,0.0003135385132900792,22.0,0.0,0.0002403956561471965,0.0003071385132899285,0.0003135385132900792,5.163201934792139e-06,0.00012747167629259358,-0.00015748378311520805,0.00026050844790306263,-0.00013177154014999047,0.00021692303726369267,-0.00015393203383249392,0.00020818352616362208,-0.0001483492451355709,0.00017826797218347112,-0.00012048402423569149,0.00012048402423570259,-4.8365881070705166e-05,0.00012673945134283293,0.00040864842151288607,False,6.916345759100384e-05,5.844850494285403e-05,6.59229161079633e-05,6.683483080649477e-05,9.183222421982329e-05,0.0001042826868888902,7.015994198600328e-05,7.159089681416098e-05,9.183222421982329e-05,0.0,7.523493750614753e-05,0.0001042826868888902,0.0,False,0.006208800980485495,False,False,True,False,False,False,3.150737630307488e-05
reverse_control|low_slack_half|all|support60|grad_core_top50|teacher_row_top50|core_gain|s0.10|c0.080,reverse_control,0.5777346551065489,1.67399901496168e-07,0.5776016971904361,0.577234594263579,0.5780355233401655,0.00010949707962508505,0.00046714214032520624,0.008000000000000451,9639.0,low_slack_half,all,support60,grad_core_top50,teacher_row_top50,core_gain,0.1,0.08,0.09542857142857143,29f54437,45.0,0.0,0.00015033569157119064,0.00020628012235466287,0.00020810869378340424,22.0,0.0,0.0001314193050646617,0.00020810869378329322,0.00020810869378340424,11.0,0.0,0.00020353726521171733,0.00020810869378329322,0.00020810869378340424,22.0,0.0,0.0001592088558622362,0.00020285535359402252,0.00020810869378329322,8.477296434536874e-06,6.251823369215215e-05,-8.586743533721442e-05,0.00016794556918096304,-6.507546129985953e-05,0.00011748309386200561,-9.084680858484423e-05,0.00012152832191471702,-0.00011326266282977826,0.00012402818774179337,-8.862310978584386e-05,8.862310978585498e-05,-3.094942618431651e-05,8.435304119810916e-05,0.0002705980078146597,False,5.1037621607963324e-05,4.5552162816542285e-05,4.931686156384174e-05,5.0242321355975506e-05,5.946551239499609e-05,5.9173653984223584e-05,5.213171810469763e-05,5.161656372001944e-05,5.946551239499609e-05,0.0,5.241712168974859e-05,5.946551239499609e-05,0.0,False,0.004415934264810798,False,False,True,False,False,False,2.097826927982549e-05
reverse_control|all|all|support60|grad_core_top50|teacher_row_top50|core_gain|s0.10|c0.080,reverse_control,0.577734701371543,2.1366489566521096e-07,0.5776018779350175,0.5772350300713391,0.5780354076366577,0.00011173516659573183,0.00047770812201317834,0.008000000000000486,3591.0,all,all,support60,grad_core_top50,teacher_row_top50,core_gain,0.1,0.08,0.09657142857142857,72810624,45.0,0.0,0.00014584594191846545,0.00021061411264728936,0.00021518554121890965,22.0,0.0,0.0001496033270114161,0.00021472839836166326,0.00021518554121890965,11.0,0.0,0.00021061411264722274,0.00021518554121879863,0.00021518554121890965,22.0,0.0,0.00014916181163676656,0.0002105437360235829,0.00021061411264744478,1.593188801012413e-05,5.193213689219878e-05,-7.821686841058662e-05,0.00018192575983963554,-8.210015708942941e-05,0.00011496559175226218,-8.619016264726259e-05,0.00011221527010039716,-0.00015216969929422576,0.00015216969929424018,-8.394345244466983e-05,8.394345244468093e-05,-1.4624544821968955e-05,8.499425584670795e-05,0.00027899509214376894,False,5.314041063819719e-05,4.5598468529362e-05,5.19044131758184e-05,5.303275787993389e-05,6.330007038168883e-05,5.053479152006268e-05,5.4611089234546384e-05,5.3853510330353904e-05,6.330007038168883e-05,0.0,5.3160285908515625e-05,6.330007038168883e-05,0.0,False,0.004573411430135316,False,False,True,False,False,False,2.1732219017545075e-05
reverse_control|low_slack_half|no_q2|support60|grad_core_top50|teacher_row_top50|flat|s0.10|c0.080,reverse_control,0.577734710513667,2.2280701961197025e-07,0.5776019059350977,0.5772354305403328,0.5780349742141565,0.00013972424106884653,0.0006034285714286569,0.008000000000000673,11886.0,low_slack_half,no_q2,support60,grad_core_top50,teacher_row_top50,flat,0.1,0.08,0.07542857142857143,f51a6cb8,45.0,0.0,0.00015841888107104296,0.0002434474524995789,0.00024527602392820924,22.0,0.0,0.00013784745249967312,0.00024527602392820924,0.00024527602392820924,11.0,0.0,0.00024070459535663336,0.00024527602392820924,0.00024527602392820924,22.0,0.0,0.00017670459535673588,0.00023933316678521614,0.00024527602392820924,5.163201934792139e-06,0.00012747167629259358,7.993605777301126e-18,1.0658141036401503e-17,-0.00013177154014999047,0.00021692303726369267,-0.00015393203383249392,0.00020818352616362208,-0.0001483492451355709,0.00017826797218347112,-0.00012048402423569149,0.00012048402423570259,-4.8365881070705166e-05,0.00012673945134283293,0.00031786548944578996,False,5.341872853348306e-05,4.635664002328177e-05,5.17962953805462e-05,5.231574084874069e-05,7.742366030527581e-05,9.76487658058689e-05,5.614872637083046e-05,5.793133051998356e-05,7.742366030527581e-05,0.0,6.215836532400385e-05,9.76487658058689e-05,0.0,False,0.005036912627124881,False,False,True,False,False,False,2.4750409412432896e-05
reverse_control|all|no_s3|support60|grad_core_top50|teacher_row_top50|core_gain|s0.10|c0.080,reverse_control,0.5777347222774806,2.3457083320188588e-07,0.5776017516203514,0.5772339113324949,0.5780361095290978,9.974324481792163e-05,0.00042076371958818504,0.008000000000000486,5103.0,all,no_s3,support60,grad_core_top50,teacher_row_top50,core_gain,0.1,0.08,0.08571428571428572,0214c006,45.0,0.0,0.00013293273708681053,0.0001917027764524848,0.00019627420502399406,22.0,0.0,0.00013611596153417782,0.00019581706216675876,0.00019627420502399406,11.0,0.0,0.00019170277645241818,0.00019627420502399406,0.00019627420502399406,22.0,0.0,0.00013750975710208335,0.00019163239982876722,0.00019170277645264022,1.593188801012413e-05,5.193213689219878e-05,-7.821686841058662e-05,0.00018192575983963554,-8.210015708942941e-05,0.00011496559175226218,-8.619016264726259e-05,0.00011221527010039716,-0.00015216969929422576,0.00015216969929424018,1.5543122344752192e-18,9.547918011776345e-18,-1.4624544821968955e-05,8.499425584670795e-05,0.00025406460141709774,False,4.98592767707029e-05,4.183877560359761e-05,4.936203177463572e-05,5.086936738574188e-05,5.588126898181667e-05,3.595147942259125e-05,5.051324411531333e-05,4.939883011884083e-05,5.588126898181667e-05,0.0,4.7753634864914195e-05,5.588126898181667e-05,0.0,False,0.004173067105845831,False,False,True,False,False,False,1.9861991335601294e-05
reverse_control|low_slack_half|all|support60|grad_all_4of6|teacher_row_top50|core_gain|s0.10|c0.080,reverse_control,0.5777347257565143,2.3804986692965713e-07,0.5776017842961051,0.5772347783559565,0.5780355148383517,0.00011144086006674035,0.0004776067714486512,0.008000000000000451,9723.0,low_slack_half,all,support60,grad_all_4of6,teacher_row_top50,core_gain,0.1,0.08,0.10228571428571429,061703a4,45.0,0.0,0.0001518070350303713,0.00020863944615840958,0.00021046801758706213,22.0,0.0,0.00013463340904223964,0.00021046801758705102,0.00021046801758706213,11.0,0.0,0.00020589658901559726,0.00021046801758706213,0.00021046801758706213,22.0,0.0,0.00015865320970837038,0.0002054840959398674,0.00021046801758706213,8.477296434536874e-06,6.251823369215215e-05,-7.99589226777837e-05,0.00016603233729923982,-6.681315342303484e-05,0.00011910948256216269,-8.734324163101787e-05,0.00011802475496089154,-0.00011480195767687984,0.00012556748258889494,-9.416587967863532e-05,9.416587967864643e-05,-3.6629431066525944e-05,9.466784968519481e-05,0.0002736942969153999,False,5.1915317520689896e-05,4.47497179378864e-05,4.9485320814057765e-05,5.057923293239064e-05,6.019613931074197e-05,6.201201729860717e-05,5.167692662233492e-05,5.1527026171255264e-05,6.019613931074197e-05,0.0,5.2944953205244106e-05,6.201201729860717e-05,0.0,False,0.004424214931295598,False,False,True,False,False,False,2.128485162563587e-05
reverse_control|low_slack_half|no_s3|support60|grad_core_top50|teacher_row_top50|core_gain|s0.10|c0.080,reverse_control,0.5777347389816838,2.5127503644473137e-07,0.5776016202647732,0.5772334213372952,0.5780363296769321,9.683663536996428e-05,0.0004096327069355441,0.008000000000000451,11151.0,low_slack_half,no_s3,support60,grad_core_top50,teacher_row_top50,core_gain,0.1,0.08,0.08514285714285715,35ca2952,45.0,0.0,0.00013083707317440574,0.00018469802342360175,0.0001865265948521877,22.0,0.0,0.00012727061981693266,0.0001865265948521877,0.0001865265948521877,11.0,0.0,0.00018195516628072284,0.0001865265948521877,0.0001865265948521877,22.0,0.0,0.00014518384201939183,0.00018127325466301694,0.0001865265948521877,8.477296434536874e-06,6.251823369215215e-05,-8.586743533721442e-05,0.00016794556918096304,-6.507546129985953e-05,0.00011748309386200561,-9.084680858484423e-05,0.00012152832191471702,-0.00011326266282977826,0.00012402818774179337,1.5543122344752192e-18,9.547918011776345e-18,-3.094942618431651e-05,8.435304119810916e-05,0.00024167052231121032,False,4.820966766261314e-05,4.120290675335703e-05,4.641784867642773e-05,4.7995570174208524e-05,5.311354252746092e-05,4.343068892531665e-05,4.776511292248209e-05,4.712485271993194e-05,5.311354252746092e-05,0.0,4.687647680598087e-05,5.311354252746092e-05,0.0,False,0.0040066912216267445,False,False,True,False,False,False,1.8903934521663503e-05
