score,top_frac,selected_n,auc_harmful,ap_harmful,auc_tail10,auc_tail20,benefit_spearman_neg,selected_mean_benefit,population_mean_benefit,drop_delta_vs_full_per_row,harmful_rate_selected,harmful_rate_population,tail20_rate_selected,smooth_gain_mean_selected
score_allpca_incoming,0.05,22,0.45544603350189633,0.4782811447103408,0.48784636488340183,0.513611111111111,-0.046749832405700645,0.013896558357759712,0.004262113094773704,0.0006793872974904748,0.5,0.49777777777777776,0.36363636363636365,0.17324915826783788
score_neg_trainpca_smooth_sum,0.05,22,0.5321784134007586,0.5330102703799022,0.5019753086419753,0.49481481481481476,0.02257664252414489,0.01632710415060231,0.004262113094773704,0.000798213980696113,0.5909090909090909,0.49777777777777776,0.36363636363636365,0.33494889369626485
score_trainpca_incoming,0.05,22,0.43909015486725655,0.46527002692423425,0.4986556927297668,0.4985185185185185,-0.0795511604144098,0.017921441630941226,0.004262113094773704,0.0008761593686237933,0.4090909090909091,0.49777777777777776,0.36363636363636365,0.1660556519840749
score_trainpca_smooth_sum,0.05,22,0.46782158659924145,0.4669676443366916,0.49802469135802474,0.5051851851851852,-0.02257664252414489,0.0296307906515572,0.004262113094773704,0.0014486164318539075,0.36363636363636365,0.49777777777777776,0.36363636363636365,0.30656042550369955
score_allpca_smooth_sum,0.05,22,0.44856194690265483,0.461634536514432,0.44776406035665295,0.47825617283950617,-0.07415521331070374,0.03241793390651641,0.004262113094773704,0.0015848767687630244,0.4090909090909091,0.49777777777777776,0.4090909090909091,0.311521700929704
score_amp,0.05,22,0.5134718710493047,0.4916183780378651,0.8983813443072703,0.8143518518518519,-0.011564369865200983,0.03735000382508182,0.004262113094773704,0.001826000187004,0.45454545454545453,0.49777777777777776,0.45454545454545453,0.26251529609738566
score_trainpca_source,0.05,22,0.49156526548672563,0.488219963907777,0.5164334705075446,0.5007716049382717,-0.002115895222527848,0.03881758802208564,0.004262113094773704,0.0018977487477464092,0.36363636363636365,0.49777777777777776,0.36363636363636365,0.22231428019968105
score_trainpca_amp_smooth,0.05,22,0.470271017699115,0.4679973184953154,0.4858984910836762,0.4997530864197531,-0.024100546916091228,0.04363183439425944,0.004262113094773704,0.0021331119037193503,0.3181818181818182,0.49777777777777776,0.3181818181818182,0.06399290968721463
score_trainpca_smooth_mean,0.05,22,0.4803650442477877,0.4755559446652473,0.48529492455418377,0.5019135802469137,-0.004347173187167343,0.04660375191736011,0.004262113094773704,0.002278405649293161,0.3181818181818182,0.49777777777777776,0.3181818181818182,0.20637103196440582
score_allpca_source,0.05,22,0.46691292667509476,0.4694235011436339,0.43604938271604937,0.4686111111111112,-0.06599598022706286,0.04909231557752879,0.004262113094773704,0.0024000687615680742,0.3181818181818182,0.49777777777777776,0.3181818181818182,0.22539514230277902
score_allpca_smooth_mean,0.05,22,0.4502903761061947,0.45668966605581196,0.44074074074074077,0.46182098765432095,-0.07798920603346693,0.05637342255535003,0.004262113094773704,0.00275603399159489,0.2727272727272727,0.49777777777777776,0.2727272727272727,0.2174168604206618
