pool,shape,scale,rows,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sets_beating_base,best_sets_tail_neutral,best_world,best_raw,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95
score_top_local,sign,0.02,7,0,0,0,0,-1.3973289434643377e-05,3,1,-0.0007136176184531662,-0.0003488076960461717,-7.1820711523573435e-06,1.6103092910554946e-05
score_top_local,sign,0.01,7,0,0,0,0,-8.267254463456553e-06,3,1,-0.00036515120408024405,-0.00021121463303108712,-5.042483839565278e-06,7.69683810278347e-06
score_top_local,sign,0.005,7,0,0,0,0,-4.513085379298509e-06,3,1,-0.0001882478686117961,-0.0001418814388334244,-2.950477782237762e-06,3.681488467571439e-06
score_top_local,sign,0.04,7,0,0,0,0,-1.7556387998829415e-05,2,1,-0.0014352044149009257,-0.0006197034432359194,-2.58982897285146e-06,3.6592937384411484e-05
tail_world_local_primitive,sign,0.01,7,0,0,0,0,-4.072137930744013e-06,3,1,-0.00035326130043402684,-0.00022156825328667473,-1.2138950298083157e-06,7.444437752023246e-06
tail_world_local_primitive,sign,0.02,7,0,0,0,0,-6.901806775871933e-06,3,1,-0.0006852797403138656,-0.00036952831614567305,-1.012217892983549e-06,1.5796176213741873e-05
tail_world_local_primitive,sign,0.005,7,0,0,0,0,-2.1724690634217225e-06,3,1,-0.00018099097408618705,-0.00014432469059422193,-7.627306530988592e-07,3.6219194572257404e-06
score_top_local,sqrt,0.02,7,0,0,0,0,-6.033057535770325e-07,3,1,-0.0012795502873925613,-0.0008290685218763638,-2.9844995031009003e-07,3.5493646585004514e-06
tail_world_local_primitive,sqrt,0.02,7,0,0,0,0,-6.033057535770325e-07,3,1,-0.0007503255248221875,-0.0005295161424291317,-2.9844995031009003e-07,3.5493646585004514e-06
score_top_local,sqrt,0.01,7,0,0,0,0,-6.050701245596812e-07,3,1,-0.0006912451190007108,-0.0004844965837279558,-2.9677983268849973e-07,3.5157888203573797e-06
tail_world_local_primitive,sqrt,0.01,7,0,0,0,0,-6.050701245596812e-07,3,1,-0.00039634279005018033,-0.00031060922046755035,-2.9677983268849973e-07,3.5157888203573797e-06
score_top_local,sqrt,0.005,7,0,0,0,0,-6.522918080120732e-07,3,1,-0.00036491593465450277,-0.000286791105569395,-2.8995743426706435e-07,3.4470892698650484e-06
tail_world_local_primitive,sqrt,0.005,7,0,0,0,0,-6.509279244504285e-07,3,1,-0.00019650401832070895,-0.00016526023202034779,-2.8995743426706435e-07,3.4470892698650484e-06
strict_primitive,sqrt,0.005,7,0,0,0,0,-5.092783528226619e-08,3,1,-6.6643666228216765e-06,-5.2743449314718305e-06,4.8321109471113435e-09,2.1690731457112147e-07
strict_primitive,sqrt,0.01,7,0,0,0,0,-9.273091861050631e-08,3,1,-1.3314878799680651e-05,-1.0538427310469167e-05,2.0075741198644414e-08,4.3673325124811195e-07
strict_primitive,sign,0.005,7,0,0,0,0,-4.2373600517287e-08,3,1,-6.1482562469683695e-06,-4.765904098369411e-06,2.2279488939479778e-08,1.4147818825963742e-07
strict_primitive,sign,0.01,7,0,0,0,0,-7.569020865627607e-08,3,1,-1.2283421817316242e-05,-9.522111399151711e-06,5.4886505428341575e-08,2.8472103977084523e-07
strict_primitive,sqrt,0.02,7,0,0,0,0,-1.4676189619144964e-07,3,1,-2.6574197712170305e-05,-2.1035699148796994e-05,8.426285045025289e-08,8.857437351190995e-07
strict_primitive,sign,0.02,7,0,0,0,0,-1.1220628215458106e-07,3,1,-2.4514461139113497e-05,-1.9005420949680385e-05,1.5438097402669636e-07,5.768999323004515e-07
score_top_local,sqrt,0.04,7,0,0,0,0,-5.364772077687263e-07,1,1,-0.0021935622178229255,-0.0013210203510684027,1.632120912361698e-07,7.978059286805795e-06
tail_world_local_primitive,sqrt,0.04,7,0,0,0,0,-5.364772077687263e-07,1,1,-0.0013872399515416467,-0.0009086765246620887,1.632120912361698e-07,7.978059286805795e-06
strict_primitive,sqrt,0.04,7,0,0,0,0,-1.3816404653699266e-07,3,0,-5.4006440885984185e-05,-4.19059385962095e-05,3.4561376990328535e-07,1.8207495904652052e-06
tail_world_local_primitive,sign,0.04,7,0,0,0,0,-7.972858394711402e-06,2,1,-0.0013384434034452385,-0.0006611987936261388,4.615798277823364e-07,1.2011825101807418e-05
strict_primitive,sign,0.04,7,0,0,0,0,-6.542886910043677e-08,2,0,-4.881924094078395e-05,-3.785552238999568e-05,4.897573850794331e-07,1.1839815193723275e-06
