rank,source,active_weights,score,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,w::submission_public_entropyproj_public2d0_g100.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g075.csv,w::submission_public2dblend_budget0p0.csv,w::submission_public_entropyproj_public2d0_g050.csv,w::submission_public_entropyproj_public2d0_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s3_s4_g050.csv
42,dirichlet_0.3,13,0.5749372348370576,0.5746334756125525,0.580872711448977,6.611355707387922e-05,0.00012953130583021055,0.00013441746416243406,0.0001679287697318177,-0.000731961823711867,-0.00028478207888891214,1.0,0.3026198884631154,,0.13463855062651262,0.2195965281464803,0.015034939079100265,0.04016496650439909,0.003935951002557502,0.20041135695100298,0.05688225490735545,0.001918663366988409,,0.0005818016279788216,0.00773824084268486,0.005816721940964169,0.010598071002807746
43,sparse5,5,0.5749375638095752,0.5746393014422623,0.5808885522910874,7.193938678357589e-05,0.00011535478694434387,0.00011960012120886263,0.00018257552998357518,-0.0007261359940021703,-0.00025650918813937553,1.0,0.31228291191831326,,,,0.27260642902392834,,,0.02479992711925821,,,0.34575985625549965,,,0.04455087568300056,
44,dirichlet_0.7,14,0.5749378493059049,0.5746346970338372,0.5808726199650229,6.733497835854312e-05,0.00012539823235364623,0.00013328020249190884,0.00019528064748008944,-0.0007307404024272032,-0.00028010393057397164,1.0,0.2971844109137947,0.15212050753678977,0.019527157291404775,0.10256935168156411,0.034079849392646945,0.025638405255097755,0.03252365635289671,0.040078569877765736,0.15630762681987018,,0.0547025465762721,0.0035741482270962395,0.0011995053987350105,0.04524844704958053,0.035238552459575606
45,sparse3,3,0.5749379529732734,0.5746352589652612,0.5808744387565618,6.789690978259231e-05,0.00012545444873082178,0.0001309827322800161,0.00017400113292498354,-0.0007301784710031539,-0.0002670973027387946,1.0,0.44300820715901673,,,0.29106556177392895,,,,,,,,,,0.26592623106705426,
46,dirichlet_0.3,12,0.5749380103789645,0.5746359120411282,0.5808734985882462,6.854998564954539e-05,0.00012380641509810442,0.00012821954198547478,0.00018274131885565037,-0.0007295253951362009,-0.00028533607603129505,1.0,0.09754460295619655,0.00013119858811162262,0.01844785708690808,0.07928020681216982,0.09174274124752148,0.4759541321303538,,0.012335614314396559,0.025286244193592634,0.01668817682272629,0.1713238644251723,0.005925926457511669,0.005231540536001861,,
47,dirichlet_0.7,15,0.5749381933865606,0.5746336014399476,0.58087003147894,6.623938446881369e-05,0.00012937373276166177,0.00013494466458837672,0.0001800655753315672,-0.0007318359963169325,-0.00029088736734631524,1.0,0.20510565858791815,0.06135832469092798,0.1261925159739871,0.10661739427872494,0.002031172120623321,0.0961325028486579,0.007791504248979125,0.08042442936977993,0.20722058976192376,0.025234176939929104,0.00667835297198952,0.03138878328031834,0.0022458610132449898,0.015023385272178832,0.026555348640817173
48,dirichlet_0.7,15,0.5749390657138788,0.5746334445260669,0.5808694140342329,6.608247058816687e-05,0.00013055723392161323,0.00013498013051158606,0.00018307960172003757,-0.0007319929101975794,-0.0002921660892875266,1.0,0.22376613242212243,0.0903120827523378,0.10006791356273959,0.026530262591695407,0.04721115273765518,0.10697209976269643,0.0037499413659862852,0.11534431834732121,0.04088667707973302,0.026907019260889037,0.14857466677835315,0.045238110406206955,0.004379994909025442,0.011151336811266357,0.008908291211971592
49,sparse5,5,0.5749393791855419,0.5746368531792472,0.5808741759750201,6.949112376848093e-05,0.00012229070503663177,0.00012835787087148715,0.0001832717200656031,-0.0007285842570172652,-0.0002797221682236728,1.0,0.29785541603642973,,0.13026433499213658,0.09904848620214021,,0.2632877144532891,,,,,,,,,0.2095440483160045
50,sparse5,5,0.5749400742904994,0.574636299159544,0.5808777427826032,6.893710406525947e-05,0.00012394230231524972,0.00013148681692493614,0.00018173832556900305,-0.0007291382767204867,-0.0002550312484405737,1.0,0.33231416503174804,,0.3092613832934007,,,,,0.10613846800397651,0.04486087440267183,,0.20742510926820307,,,,
51,sparse5,4,0.5749406144450654,0.5746357509420751,0.5808710607329691,6.838888659633549e-05,0.00012671488596961434,0.0001311061301285721,0.0001718862259180165,-0.0007296864941894108,-0.0002900718831417736,1.0,0.5511741584006516,,,0.23356477129405084,,0.03880829595800495,0.17644985819814038,,,,,,,,
52,dirichlet_0.3,15,0.5749412454944207,0.5746374143111992,0.5808742816784144,7.005225572050693e-05,0.00012292499696023862,0.00012747444649546246,0.0001786612639301799,-0.0007280231250652391,-0.0002840873871682303,1.0,0.39634449205888667,0.0051812537729564526,0.04310806564427009,0.1282358577801686,0.0335056464633311,0.10970884774216039,0.03254838535565559,0.01091647182512708,0.0071192461861681435,0.01300415812904974,0.008621381221715008,0.0002249936429386871,0.00014707428260379,0.018975877932690507,0.19235824796227788
53,dirichlet_0.3,11,0.5749415823780951,0.5746341209530179,0.5808706716066732,6.675889753915579e-05,0.00012994733215049292,0.00013587790226642354,0.00020053644563500228,-0.0007313164832465904,-0.00028173032294616097,1.0,0.2580917723656876,0.023298562808199638,0.3406167738290806,0.0006121811797506052,0.07445087363359564,0.05612389017109624,,0.059015753943858315,0.031477297114433,0.021568604570411626,,,0.008906622440909527,,0.125736195751629
54,dirichlet_0.15,10,0.5749417789594344,0.5746340719484845,0.5808727985852932,6.670989300587776e-05,0.00013168578800130116,0.0001365754402025354,0.00016915153772489866,-0.0007313654877798685,-0.0002882587657715652,1.0,0.2725008764855134,0.00015134848579950337,,0.24960146808592265,,0.2505046320988159,0.00019838005414436524,,,0.1832208523866931,,0.02293267961982535,0.00048025098922516667,0.0001791161027940619,0.020184771105129885
55,sparse4,4,0.5749421551742515,0.574634798131581,0.580870115161553,6.743607610229871e-05,0.00012913822619987637,0.00013490292599095953,0.0001924186553659002,-0.0007306393046834476,-0.00029157948840683454,1.0,,,0.12094996728918603,,0.05917768471867587,0.6592743062203931,,,,,0.16059804177174503,,,,
56,dirichlet_0.15,12,0.5749421784077209,0.5746354074674702,0.5808748119662338,6.804541199148386e-05,0.00012684575158026235,0.00013493223871254836,0.00020202610018771328,-0.0007300299687942624,-0.00028281349866612345,1.0,0.14065984346208527,0.15313947930023045,,0.1547755896360478,,0.13221416200900796,0.010195831521722577,0.01907306790518338,0.34767724367315406,0.001880879096299661,0.008208071135013768,,0.00022415390859041432,0.00044276814541680535,0.03148324061124192
57,dirichlet_0.3,14,0.5749422707678464,0.5746392977139757,0.580882170215046,7.193565849695264e-05,0.00011896482452515844,0.00012329367321398108,0.00018626988096370756,-0.0007261397222887934,-0.00027317529017102383,1.0,0.3053369686507695,0.00010778806679450196,0.00020591170476633443,0.06433433336001933,0.11012703255114566,0.080726764721323,0.014899729293452487,0.025554596276265586,0.0894800675731659,0.005330905705239662,0.21024439826476654,,0.0035979843033611928,0.0009869819657024863,0.08906320872535488
