policy_id,q3_mode,s4_mode,delta_mean,geometry_win_rate,ungated_delta_mean,keep_abs_share,geometry_vs_raw
baseline_q3raw_s4closer,raw,closer_binary,-0.0006295924554222954,0.875,-0.000907522493934429,0.7641688494914669,0.0002779300385121336
baseline_q3raw_s4toward,raw,toward_binary,-0.0006109539991044355,0.875,-0.000907522493934429,0.7906685995667582,0.0002965684948299935
baseline_raw_raw,raw,raw,-0.000907522493934429,0.875,-0.000907522493934429,0.999999999999973,0.0
q3benefit_margin_s4benefit_margin,margin,margin,-0.0005822014907629208,0.75,-0.000907522493934429,0.31855252245282145,0.00032532100317150814
q3benefit_prob_s4benefit_prob,prob,prob,-0.000721698336665702,0.875,-0.000907522493934429,0.5286912887786721,0.00018582415726872692
q3benefit_prob_s4benefit_toward,prob,toward_prob,-0.00048278986555905234,0.875,-0.000907522493934429,0.4090001732785934,0.0004247326283753766
q3benefit_rank_s4benefit_rank,rank,rank,-0.0007705451929509582,0.875,-0.000907522493934429,0.5253998731858013,0.00013697730098347072
q3benefit_rank_s4benefit_toward_rank,rank,toward_rank,-0.0005027423539628179,0.875,-0.000907522493934429,0.39960230238156896,0.0004047801399716111
q3raw_s4benefit_closer,raw,closer_prob,-0.0007251329097729131,0.875,-0.000907522493934429,0.6117676504014228,0.00018238958416151585
q3raw_s4benefit_closer_rank,raw,closer_rank,-0.0007710453977118753,0.875,-0.000907522493934429,0.5937875133496516,0.00013647709622255366
q3raw_s4benefit_margin,raw,margin,-0.0008764685458821642,0.875,-0.000907522493934429,0.6252012441173581,3.10539480522648e-05
q3raw_s4benefit_prob,raw,prob,-0.000941984917811084,0.875,-0.000907522493934429,0.7449722763591089,-3.446242387665499e-05
q3raw_s4benefit_rank,raw,rank,-0.000986803560077465,0.875,-0.000907522493934429,0.7332946129857973,-7.928106614303598e-05
q3raw_s4benefit_toward,raw,toward_prob,-0.0007030764467044898,0.875,-0.000907522493934429,0.6252811608590302,0.0002044460472299392
q3raw_s4benefit_toward_rank,raw,toward_rank,-0.0007190007210893384,0.875,-0.000907522493934429,0.6074970421815651,0.00018852177284509053
