pred_index,active_delta_cells,support_label_1_cells,support_label_0_cells,all_support_delta_vs_e95,all_adverse_delta_vs_e95,global_prior_expected_delta_vs_e95,subject_prior_expected_delta_vs_e95,global_prior_p_beats_e95,global_prior_p_beats_e101_edge,global_prior_q05,global_prior_q50,global_prior_q95,subject_prior_p_beats_e95,subject_prior_p_beats_e101_edge,subject_prior_q05,subject_prior_q50,subject_prior_q95
5,31,21,29,-4.091944121042836e-05,2.777772908618934e-05,-7.837603221747587e-06,-1.946739393554555e-06,0.8955,0.1151875,-1.8100163837041857e-05,-7.781810500965712e-06,2.3302194722877384e-06,0.6339125,0.0068625,-1.08243978343367e-05,-1.8335963482668933e-06,6.712594197921134e-06
6,29,23,27,-2.7683823425541642e-05,3.851019909835847e-05,-4.0722212382444e-07,-1.6683970629958737e-06,0.5313625,0.0061375,-1.0439676782573503e-05,-4.962873383913844e-07,9.919533604190511e-06,0.6359375,0.001875,-9.377092185098051e-06,-1.6356380848786405e-06,5.93147014190154e-06
1,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,11,14,36,-6.815432548515859e-06,1.2961767439383705e-05,2.9039102617763494e-06,2.1087860554504538e-06,0.1760375,0.0,-1.9125413468534634e-06,3.0001451800622957e-06,8.030575117508781e-06,0.2459,0.0,-2.2834866626929216e-06,1.8631125809752685e-06,6.731566416306322e-06
15,11,14,36,-1.3617118627909776e-05,2.5937281347881833e-05,5.821566992671029e-06,4.231318580019063e-06,0.1760375,0.0,-3.8113362245868138e-06,6.014036829245393e-06,1.607489670413585e-05,0.2459,0.0,-4.55322685626701e-06,3.7399716310681102e-06,1.3476879301731725e-05
16,11,14,36,-2.0405074811638237e-05,3.8926525152045507e-05,8.752953619231143e-06,6.367581000253176e-06,0.175225,0.0041,-5.696401206654317e-06,9.041658374093147e-06,2.4132948186428074e-05,0.2422375,0.00545,-6.809237154176207e-06,5.630560576827019e-06,2.023592208282293e-05
17,11,14,36,-2.7179317706705306e-05,5.1929482244871264e-05,1.1698053534453045e-05,8.517556709148995e-06,0.1743875,0.007925,-7.567752900060489e-06,1.2082993207603225e-05,3.220471295738262e-05,0.2394875,0.0127,-9.051534163423477e-06,7.534862811247217e-06,2.700867815257585e-05
42,7,14,36,-3.5512112240715866e-06,6.593033904004085e-05,1.9918112420695282e-05,-6.56146629733182e-07,0.055775,0.0,-3.551211224071141e-06,1.827874795009065e-05,4.09541892720753e-05,0.745725,0.0,-3.5512112240713948e-06,-3.5512112240710775e-06,8.067982578752241e-06
162,8,15,35,-4.300966849320344e-06,7.31310060922478e-05,2.1853832899831565e-05,-5.777332260803033e-07,0.0368125,0.0,3.166440597038324e-06,2.2604163124313664e-05,4.4928957364422446e-05,0.6683875,0.0,-4.3009668493201635e-06,-4.300966849319846e-06,1.204275067109919e-05
86,8,15,35,-1.0761223174714526e-05,5.27706387387654e-05,1.1177859263378393e-05,-1.013034462062694e-06,0.1729125,0.0,-7.935130317931836e-06,1.1113069989180015e-05,3.0896345574869404e-05,0.64765,0.0,-1.0761223174711161e-05,-2.443532003237563e-07,1.1374840602498036e-05
