prior,condition,group,mean_component_delta,share_of_total_mean
global,near_observed_1pct,e154_to_e216_s2_graft,0.0008499851443955816,1.0232705383588352
global,near_observed_1pct,e95_to_e154_body,-1.9329797121708278e-05,-0.023270538358835243
global,ge_observed,e154_to_e216_s2_graft,0.0011536896780049925,1.0152292270857695
global,ge_observed,e95_to_e154_body,-1.730624141237628e-05,-0.015229227085769657
global,loss_gt0,e154_to_e216_s2_graft,0.0002938717496947567,1.121388080059371
global,loss_gt0,e95_to_e154_body,-3.181104571509794e-05,-0.12138808005937096
subject,near_observed_1pct,e154_to_e216_s2_graft,0.0009328662698807214,0.9970427382066938
subject,near_observed_1pct,e95_to_e154_body,2.766912262100376e-06,0.002957261793306102
subject,ge_observed,e154_to_e216_s2_graft,0.0011275144595764334,0.9929193993122803
subject,ge_observed,e95_to_e154_body,8.04041059467684e-06,0.007080600687719544
subject,loss_gt0,e154_to_e216_s2_graft,0.00030332627077201714,1.0300102571451792
subject,loss_gt0,e95_to_e154_body,-8.837678383889608e-06,-0.030010257145179325
nearest_hard085,near_observed_1pct,e154_to_e216_s2_graft,0.0009407433115911026,1.010450288112129
nearest_hard085,near_observed_1pct,e95_to_e154_body,-9.729363988854065e-06,-0.010450288112128994
nearest_hard085,ge_observed,e154_to_e216_s2_graft,0.0011444900131318528,1.009073594270203
nearest_hard085,ge_observed,e95_to_e154_body,-1.0291259313913944e-05,-0.009073594270203097
nearest_hard085,loss_gt0,e154_to_e216_s2_graft,0.00030941940158593385,1.0615904763733672
nearest_hard085,loss_gt0,e95_to_e154_body,-1.7951638383139867e-05,-0.0615904763733672
focus_mean,near_observed_1pct,e154_to_e216_s2_graft,0.0009201693325773443,1.0043702168583148
focus_mean,near_observed_1pct,e95_to_e154_body,-4.003841872484707e-06,-0.004370216858314885
focus_mean,ge_observed,e154_to_e216_s2_graft,0.0011359254961737105,1.0032776856620094
focus_mean,ge_observed,e95_to_e154_body,-3.711043079227687e-06,-0.003277685662009476
focus_mean,loss_gt0,e154_to_e216_s2_graft,0.0003043172278987089,1.0646387442779592
focus_mean,loss_gt0,e95_to_e154_body,-1.8476392653606495e-05,-0.06463874427795939
