world_row,world_id,objective,source_role,exclude_name,mode,anchor_count,residual_mean,cancellation_mean,positive_share_mean,movement_loss_corr_mean,target_entropy_mean,residual_rz,cancellation_rz,positive_gap_rz,corr_gap_rz,anchor_energy,anchor_energy_rank,anchor_energy_quantile
0,c0bf242d5185,frontier_box_fit,slack,__all__,shape,8,0.00011972116523935913,3.0674135686608466,0.6216093196875689,0.34939829916794324,0.793216916644542,1.4430995319259419,0.0,0.5628379807817088,0.7147124753838892,0.9201942184736533,20,0.6896551724137931
1,15e0682b980e,pair_sensor_1bb_min,pair_sensor_1bb,__all__,shape,8,5.545986250839979e-05,3.993010094913587,0.6592211760757057,0.42995502091089877,0.8311216458876183,-0.1894619808871061,1.3122812903335428,0.07083496946291717,0.0,1.38311625979646,22,0.7586206896551724
2,3d2adab6abd2,pair_sensor_1bb_max,pair_sensor_1bb,__all__,shape,8,6.00149196962112e-05,3.1845360140376417,0.7161986409170589,0.3157378067379189,0.8456382488203945,-0.07374053209206502,0.16605247468713216,-0.6744907594765952,1.0133538965686721,-0.001761336505126998,14,0.5
3,154255b46d2b,pair_sensor_1bb_s0p65_min,pair_sensor_1bb_s0p65,__all__,shape,8,5.366404612549219e-05,4.212507722709846,0.6205298673505328,0.41935696055728283,0.8622027102749688,-0.23508478319922968,1.6234780397376936,0.5769583633258787,0.09402773332522102,2.2474502697261824,25,0.8620689655172413
4,f590efd660f5,pair_sensor_1bb_s0p65_max,pair_sensor_1bb_s0p65,__all__,shape,8,8.548607548109028e-05,3.246503085879823,0.6908623869117543,0.3344400437699918,0.8578986217916307,0.5733554160768373,0.25390741654226656,-0.343065659436082,0.8474245757720746,0.33455404499222186,17,0.5862068965517241
5,d42d7be6d14c,pair_sensor_6b_min,pair_sensor_6b,__all__,shape,8,4.392039955454905e-05,4.762826770568751,0.6205298673505328,0.4547346499995965,0.8540267996810282,-0.4826225969402977,2.4037028674421737,0.5769583633258787,-0.21984894198635307,2.870736759774876,26,0.896551724137931
6,3d2adab6abd2,pair_sensor_6b_max,pair_sensor_6b,__all__,shape,8,6.00149196962112e-05,3.1845360140376417,0.7161986409170589,0.3157378067379189,0.8456382488203945,-0.07374053209206502,0.16605247468713216,-0.6744907594765952,1.0133538965686721,-0.001761336505126998,15,0.5
7,9ae600f0db62,mixmin_0c916_min,mixmin_0c916,__all__,shape,8,0.0011978589744030712,4.104512748263009,0.7259524457264144,0.4736234082640973,0.8455753043031551,6.0,1.4703662027795497,-0.8020808812854259,-0.3874331098131647,0.47456876658754144,18,0.6206896551724138
8,5528fcf0b22c,mixmin_0c916_max,mixmin_0c916,__all__,shape,8,0.0012547964870053068,4.154686327023202,0.5419360595978849,0.30744797983142363,0.8008657487316522,6.0,1.5415007055662422,1.6050488060382304,1.0869026033761622,3.6900008132925537,27,0.9310344827586207
9,e5b3428f2f46,inverse7blend_1040_min,inverse7blend_1040,__all__,shape,8,0.0007997230808207867,6.016466339956177,0.6725961547242955,0.3695002571338627,0.8028803303695502,6.0,4.181073141711878,-0.10412395049898762,0.5363646004079369,4.3451314914168595,28,0.9655172413793104
