pair,target,n_cells,n_rows,expected_delta_focus_mean,swing_sum,mean_support_prob_focus
ablate_q2_to0p75_vs_e174,Q2,21,21,9.833196570429668e-07,6.0358403311397805e-06,0.508888888888889
ablate_q2_to0p75_vs_e172,S3,25,25,-3.233654964383819e-06,2.697783187428864e-05,0.32503764172335603
ablate_q2_to0p75_vs_e172,S2,11,11,-2.6816570008474624e-06,1.5983660795652465e-05,0.5219069482705847
ablate_q2_to0p75_vs_e172,Q2,21,21,-1.9698752875865638e-06,1.2071680662280862e-05,0.49111111111111105
ablate_q2_to0p75_vs_e172,S1,7,7,-1.4705083696106205e-06,1.1819143489295422e-05,0.36984126984126986
ablate_q2_to0p75_vs_e172,Q1,5,5,-8.332647072315107e-07,3.6260089326498758e-06,0.47259439927732616
ablate_q2_to0p75_vs_e172,Q3,4,4,-4.1437969397489287e-07,3.383818018239631e-06,0.44908536585365855
ablate_q2_to0p75_vs_e172,S4,2,2,-8.517275680801815e-08,5.586849643733111e-07,0.43999999999999995
