new,base,moved_cells,moved_rows,targets_moved,all_support_delta,all_adverse_delta,total_swing,top1_swing,top3_swing,top5_swing,top10_swing,top1_swing_share,top5_swing_share,cells_for_2e6_guard,cells_for_e95_edge,expected_delta_global,hard_delta_global,support_prob_mean_global,support_prob_swing_weighted_global,cells_to_flip_expected_global,expected_delta_subject,hard_delta_subject,support_prob_mean_subject,support_prob_swing_weighted_subject,cells_to_flip_expected_subject,expected_delta_nearest_hard085,hard_delta_nearest_hard085,support_prob_mean_nearest_hard085,support_prob_swing_weighted_nearest_hard085,cells_to_flip_expected_nearest_hard085,expected_delta_focus_mean,hard_delta_focus_mean,support_prob_mean_focus_mean,support_prob_swing_weighted_focus_mean,cells_to_flip_expected_focus_mean
e154,e95,294,139,"Q1,Q3,S2,S3,S4",-0.001093576567895393,0.0009240703798555904,0.0020176469477509833,1.5339633652824394e-05,4.3627421410451254e-05,7.04601978722272e-05,0.00013543134402313104,0.007602734298943168,0.034921965882468826,1,1,-4.592464362156299e-05,0.00017151523582357807,0.48018896447467874,0.48075557746035824,4,-1.9128475358954992e-05,-9.480432299572277e-05,0.47947211170203,0.4674746770072454,2,-2.445955505884405e-05,1.380533067323373e-06,0.48095238095238096,0.47011690324302535,2,-2.983755801312066e-05,2.771141250690181e-05,0.4802044857096966,0.47278238590354293,3
e154,e144,294,139,"Q1,Q3,S2,S3,S4",-0.00013645618899043438,0.00012629753894414722,0.00026275372793458165,1.4419512399597536e-05,3.1895941273948154e-05,4.0971483695698564e-05,5.817438203183323e-05,0.0548784312707738,0.15593112233939196,1,2,3.940871406941107e-06,3.461757624890867e-05,0.4862962962962963,0.465670529202423,1,7.601036219480235e-07,-1.41626828467684e-06,0.49586447992680105,0.47777603883684766,1,-2.7857860620839436e-06,-1.80284079305838e-06,0.5166666666666667,0.4912711458783539,1,6.383963222683939e-07,1.6708957893771696e-06,0.4996091476299213,0.47823923797254153,1
e154,e155,294,139,"Q1,Q3,S2,S3,S4",-0.00010231624505063811,9.474905090029817e-05,0.00019706529595093627,1.0814634299698042e-05,2.3921955955460794e-05,3.0728612771773584e-05,4.3630786523874744e-05,0.05487843127077323,0.15593112233939022,1,2,2.981550247393737e-06,2.5989078878872104e-05,0.4862962962962963,0.46567052920242213,1,5.959744086513876e-07,-1.0363045213159703e-06,0.49586447992680105,0.4777760388368344,1,-2.0634428543730344e-06,-1.326233902602916e-06,0.5166666666666667,0.4912711458783427,1,5.046939338906968e-07,1.2790685342240942e-06,0.4996091476299213,0.47823923797253304,1
e154,e157,294,139,"Q1,Q3,S2,S3,S4",-0.00010281705946470391,9.558006587623142e-05,0.00019839712534093536,1.0814634299698042e-05,2.8291063174048662e-05,3.509771999036145e-05,4.8427604663954936e-05,0.05451003526948107,0.1769063938302927,1,2,3.370874822738741e-06,2.696450533147318e-05,0.4862962962962963,0.46477080197122755,1,1.0394152650845662e-06,-2.509302333976542e-06,0.49586447992680105,0.4765222804951612,1,-1.0377485282447384e-06,6.82864428944833e-08,0.5166666666666667,0.486992007764444,1,1.1241805198595228e-06,1.9719405998593227e-06,0.4996091476299213,0.47609503007694426,1
e154,e156,294,139,"Q1,Q3,S2,S3,S4",-0.00011709858216570873,0.00010803485804638708,0.0002251334402120958,1.4419512399597536e-05,3.1895941273948154e-05,4.0971483695698564e-05,5.717997375404292e-05,0.06404873654492672,0.1819875521695034,1,2,2.6719093974225656e-06,2.8003166173803365e-05,0.4862962962962963,0.46800221481847926,1,7.04343040934145e-07,1.8033495977734152e-06,0.49586447992680105,0.4767417710329394,1,2.7815915384272885e-07,2.3395968167728285e-06,0.5166666666666667,0.4786347989486942,1,1.2181371973998122e-06,3.7083885596220513e-06,0.4996091476299213,0.4744595949333709,1
e155,e144,294,139,"Q1,Q3,S2,S3,S4",-3.413994393979629e-05,3.154848804384906e-05,6.568843198364535e-05,3.604878099899495e-06,7.973985318487364e-06,1.0242870923924983e-05,1.4543595507958488e-05,0.05487843127077554,0.15593112233939732,1,12,9.59321159547369e-07,8.628497370036557e-06,0.4862962962962963,0.4656705292024259,1,1.6412921329663568e-07,-3.799637633608698e-07,0.49586447992680105,0.47777603883688796,1,-7.223432077109101e-07,-4.7660689045546616e-07,0.5166666666666667,0.49127114587838755,1,1.3370238837769783e-07,3.918272551530727e-07,0.4996091476299213,0.47823923797256707,1
e157,e155,129,66,"S2,S3,S4",-1.1734054862592815e-05,1.1403854300725377e-05,2.313790916331819e-05,2.1845536092940216e-06,5.025327899670505e-06,6.176489739387083e-06,8.378977780868094e-06,0.09441447772460425,0.2669424318243506,1,40,-3.893245753450045e-07,-9.75426452601073e-07,0.48484065460809644,0.5096907759827651,1,-4.4344085643317883e-07,1.4729978126605695e-06,0.4614737191564434,0.5120296338590838,1,-1.0256943261282954e-06,-1.3945203454973989e-06,0.4810077519379845,0.5371941146073356,1,-6.194865859688262e-07,-6.928720656352267e-07,0.47577404190084144,0.5196381748163948,1
e156,e155,190,121,"Q3,S2,S3",-2.5500968793228606e-05,2.699749876221031e-05,5.249846755543892e-05,3.604878099899495e-06,7.973985318487364e-06,1.0447650599189807e-05,1.5069533707856781e-05,0.06866634909090835,0.19900867750390963,1,11,3.096408499711709e-07,-2.014087294931255e-06,0.49212865497076025,0.5083549892967159,1,-1.0836863228275707e-07,-2.839654119089386e-06,0.4727461262311706,0.5163173070884213,1,-2.341602008215763e-06,-3.665830719375741e-06,0.47421052631578947,0.5588563273669596,1,-7.134432635091162e-07,-2.429320025397953e-06,0.4796951025059068,0.5278428745840322,1
e161_best_control_grade,e154,2,2,Q3,-1.567878547170411e-05,5.844070459465159e-06,2.152285593116927e-05,1.0761427965584833e-05,2.152285593116927e-05,2.152285593116927e-05,2.152285593116927e-05,0.5000000000000092,1.0,1,2,-4.917357506119515e-06,-4.917357506119673e-06,0.5,0.5000000000000018,1,-1.4144992178230162e-06,5.844070459465159e-06,0.33724937343358397,0.33724937343358596,1,-1.2450357082028718e-05,-1.567878547170411e-05,0.85,0.85,2,-6.2607379353237505e-06,-4.917357506119673e-06,0.5624164578111948,0.562416457811196,1
e161_best_local_any,e154,1,1,Q3,-7.165200388775059e-06,3.596227576809774e-06,1.0761427965584833e-05,1.0761427965584833e-05,1.0761427965584833e-05,1.0761427965584833e-05,1.0761427965584833e-05,1.0,1.0,1,-1,-2.8606292025411253e-06,-7.165200388775059e-06,0.6,0.6,1,-1.2079813363977402e-06,3.596227576809774e-06,0.4464285714285714,0.44642857142857134,1,-5.5509861939373335e-06,-7.165200388775059e-06,0.85,0.8499999999999999,1,-3.2065322442920665e-06,-7.165200388775059e-06,0.6321428571428571,0.6321428571428571,1
