candidate,direction,actual_anchor_score_final,anchor_delta_vs_mixmin,mean_actual_anchor,min_set_score,max_set_score,mean_abs_prob_move_vs_mixmin,mean_abs_logit_move_vs_mixmin,max_abs_logit_move_vs_mixmin,pred_index,band,target_mask,base_cell_gate,gradient_gate,row_gate,shape,scale,cap,active_gate_mean,hash,world_all_worlds,world_all_better_rate,world_all_median_delta,world_all_p90_delta,world_all_max_delta,raw_energy_half_worlds,raw_energy_half_better_rate,raw_energy_half_median_delta,raw_energy_half_p90_delta,raw_energy_half_max_delta,raw_energy_quarter_worlds,raw_energy_quarter_better_rate,raw_energy_quarter_median_delta,raw_energy_quarter_p90_delta,raw_energy_quarter_max_delta,low_slack_half_worlds,low_slack_half_better_rate,low_slack_half_median_delta,low_slack_half_p90_delta,low_slack_half_max_delta,mean_prob_delta_Q1,mean_abs_prob_delta_Q1,mean_prob_delta_Q2,mean_abs_prob_delta_Q2,mean_prob_delta_Q3,mean_abs_prob_delta_Q3,mean_prob_delta_S1,mean_abs_prob_delta_S1,mean_prob_delta_S2,mean_abs_prob_delta_S2,mean_prob_delta_S3,mean_abs_prob_delta_S3,mean_prob_delta_S4,mean_abs_prob_delta_S4,world_support_score,prefilter_keep,hidden_delta_subject_mean,hidden_delta_calendar_count_strict,hidden_delta_raw_phone_base,hidden_delta_transition_row_safe,hidden_delta_transition_balanced_hidden_sign,hidden_delta_transition_aggressive_hidden_sign,hidden_delta_core_median,hidden_core_mean_delta,hidden_core_max_delta,hidden_core_improve_count,hidden_all_mean_delta,hidden_all_max_delta,hidden_all_improve_count,hidden_guard,validation_support_score,anchor_beats_mixmin,anchor_margin_gate,movement_guard,world_guard,eligible_submission_gate,diagnostic_reverse_gate,selection_score
mixmin,reference,0.5777344877066474,0.0,0.5776007350054972,0.5772305660209559,0.578037556989407,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
a2c8,reference,0.5778270681645602,9.258045791282754e-05,0.5777841604763623,0.5777214450713848,0.5779985663687973,0.00849582438014208,0.04561420000223732,0.08210850000001058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
raw05,reference,0.5779059943862466,0.00017150667959919819,0.5778501495454361,0.5777302084275879,0.5781360888903859,0.009174226027820472,0.049029823053049724,0.1855896083238608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,False,,
toward_teacher|all|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,toward_teacher,0.5777284927631129,-5.9949435344819335e-06,0.577591183696661,0.5771972676140203,0.578045744486033,0.0007841956979682487,0.0041897142857143365,0.015600000000003611,3317.0,all,no_q2_s3,raw_agree,grad_all_abs50,all,flat,0.13,0.12,0.26857142857142857,e93bbcea,45.0,1.0,-0.0005330929820857033,-0.0003405444106572064,-0.0002478358392286051,22.0,1.0,-0.0008049786963714722,-0.0006578929820856394,-0.0005152644106570792,11.0,1.0,-0.0013442929820856042,-0.0007737786963712967,-0.0007648644106571512,22.0,1.0,-0.0005108072677999509,-0.00035035012494289965,-0.00033697869637128175,6.724439950889021e-05,0.00130413244617113,7.993605777301126e-18,1.0658141036401503e-17,0.00014678283840649785,0.0011994570341080832,0.0005169414062830933,0.0014129064041187775,0.0006346216449272393,0.0006850766860804336,1.5543122344752192e-18,9.547918011776345e-18,-0.0002702356091823237,0.0008877973152992966,-0.0015910469543869987,True,-0.0006530017470521843,-0.0006841379393006664,-0.0006992626999806628,-0.0006978892536557701,-0.0006153596711189202,-0.00042645430959720176,-0.0006972913829967897,-0.0006740129233492598,-0.0006153596711189202,4.0,-0.0006390567148145994,-0.00042645430959720176,7.0,True,-0.00158266752581557,True,False,True,True,False,False,-5.9949435344819335e-06
toward_teacher|all|no_q2_s3|all|grad_all_abs50|all|flat|s0.130|c0.120,toward_teacher,0.5777285692139412,-5.918492706147305e-06,0.5775911632858816,0.577197102042363,0.5780459821830141,0.0007864233328640989,0.0041986285714286226,0.015600000000003611,3005.0,all,no_q2_s3,all,grad_all_abs50,all,flat,0.13,0.12,0.26914285714285713,6c38bf55,45.0,1.0,-0.000537459307085375,-0.0003395621642282131,-0.0002522021642282768,22.0,1.0,-0.000809345021371144,-0.0006622593070853111,-0.0005196307356567509,11.0,1.0,-0.001348659307085165,-0.0007781450213708574,-0.0007692307356568229,22.0,1.0,-0.0005151735927996226,-0.0003538250213711346,-0.0003324307356566969,6.724439950889021e-05,0.00130413244617113,7.993605777301126e-18,1.0658141036401503e-17,0.00014678283840649785,0.0011994570341080832,0.0005169414062830933,0.0014129064041187775,0.0006346216449272393,0.0006850766860804336,1.5543122344752192e-18,9.547918011776345e-18,-0.0002546421649113726,0.0009033907595702477,-0.0015969414931364168,True,-0.0006529891246833675,-0.0006849762678383664,-0.0006992004125715434,-0.0006978162484311268,-0.0006158714235175999,-0.00043082027584873117,-0.0006978031353955805,-0.0006744628098307726,-0.0006158714235175999,4.0,-0.000639925269755188,-0.00043082027584873117,7.0,True,-0.0015885442359935597,True,False,True,True,False,False,-5.918492706147305e-06
toward_teacher|low_slack_half|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.130|c0.120,toward_teacher,0.5777287604333822,-5.727273265199173e-06,0.5775917301037551,0.5771960377680899,0.5780465744929916,0.0007783518572716139,0.004171885714285767,0.015600000000003611,16891.0,low_slack_half,no_q2_s3,raw_agree,grad_all_abs50,all,flat,0.13,0.12,0.2674285714285714,e2b31a86,45.0,1.0,-0.0005884032410256035,-0.0003477175267399435,-0.00024074609816848724,22.0,1.0,-0.0007577746695970888,-0.00044220895531139583,-0.0003833746695971474,11.0,1.0,-0.0012569746695969553,-0.000784517526739914,-0.0007666889553114009,22.0,1.0,-0.0005973175267399711,-0.0005367003838828155,-0.0004368603838827978,2.5453862984414766e-08,0.0011563150227214343,7.993605777301126e-18,1.0658141036401503e-17,0.0001342795291195663,0.0013347478153972437,0.0004850504533953495,0.0014385963449390646,0.0005498680787882444,0.0006506048988607047,1.5543122344752192e-18,9.547918011776345e-18,-0.00025396654062144664,0.000868198918982829,-0.0015119443753844942,True,-0.0006296850590034042,-0.000679227199238408,-0.000678104586552486,-0.0006747422120920721,-0.000630289201840939,-0.0005435832246635242,-0.0006877925678823171,-0.0006688533888785375,-0.000630289201840939,4.0,-0.0006462034358961644,-0.0005435832246635242,7.0,True,-0.0015036006039559227,True,False,True,True,False,False,-5.727273265199173e-06
toward_teacher|low_slack_half|no_q2_s3|all|grad_all_abs50|all|flat|s0.130|c0.120,toward_teacher,0.5777288838673492,-5.603839298151669e-06,0.5775916725044796,0.5771958275837263,0.5780468465732241,0.0007828003407382495,0.004189714285714338,0.015600000000003611,16579.0,low_slack_half,no_q2_s3,all,grad_all_abs50,all,flat,0.13,0.12,0.26857142857142857,4d5ec2ec,45.0,1.0,-0.0005969645186154615,-0.00034736451861550055,-0.0002493073757584563,22.0,1.0,-0.0007574216614726348,-0.00044274737575841186,-0.00038302166147274885,11.0,1.0,-0.0012566216614725567,-0.0007841645186154045,-0.0007663359471868914,22.0,1.0,-0.0006058788043297736,-0.0005372388043297315,-0.00043650737575839926,2.5453862984414766e-08,0.0011563150227214343,7.993605777301126e-18,1.0658141036401503e-17,0.0001342795291195663,0.0013347478153972437,0.0005005963933908477,0.0014541422849345628,0.0005498680787882444,0.0006506048988607047,1.5543122344752192e-18,9.547918011776345e-18,-0.00023837309635049554,0.00088379236325378,-0.001512359242987954,True,-0.0006292076489651244,-0.0006811704295477394,-0.0006779188259811164,-0.0006751165486680311,-0.0006327250210358404,-0.0005521439770346248,-0.0006894092220526282,-0.0006703058746543311,-0.0006327250210358404,4.0,-0.0006482416676121579,-0.0005521439770346248,7.0,True,-0.0015039798144165252,True,False,True,True,False,False,-5.603839298151669e-06
toward_teacher|all|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.095|c0.120,toward_teacher,0.5777289181134104,-5.569593236942616e-06,0.5775925728608137,0.5772051836844857,0.5780423337251908,0.0005727882685257574,0.003061714285714342,0.011400000000004074,3316.0,all,no_q2_s3,raw_agree,grad_all_abs50,all,flat,0.095,0.12,0.26857142857142857,d532e849,45.0,1.0,-0.0003907717222380036,-0.0002500631508094431,-0.00018231457938089335,22.0,1.0,-0.0005894574365238325,-0.0004819717222379727,-0.0003777431508095175,11.0,1.0,-0.0009835717222380636,-0.000566657436523732,-0.0005601431508095445,22.0,1.0,-0.0003744860079523127,-0.00025722886509520475,-0.00024745743652376806,4.911163471738411e-05,0.0009524076919212607,7.993605777301126e-18,1.0658141036401503e-17,0.00010754671804386417,0.0008761803025030083,0.0003779275041984388,0.0010318606456976211,0.00046388536108138455,0.0005006943993821419,1.5543122344752192e-18,9.547918011776345e-18,-0.00019718409787540392,0.0006483748401762492,-0.0011643132535927969,True,-0.00047839735817511997,-0.0005011507294335749,-0.0005122034391613628,-0.0005111997668468815,-0.0004508896873006707,-0.0003128434615733422,-0.0005107628613654214,-0.0004937516793152574,-0.0004508896873006707,4.0,-0.00046820675769376763,-0.0003128434615733422,7.0,True,-0.0011581898250213683,True,False,True,True,False,False,-5.569593236942616e-06
toward_teacher|all|no_q2_s3|all|grad_all_abs50|all|flat|s0.095|c0.120,toward_teacher,0.5777290068372332,-5.480869414209444e-06,0.5775925545018596,0.5772050605396429,0.5780425687401451,0.0005744162272694164,0.003068228571428627,0.011400000000004074,3004.0,all,no_q2_s3,all,grad_all_abs50,all,flat,0.095,0.12,0.26914285714285713,187f9974,45.0,1.0,-0.00039396591668527936,-0.0002493487738281397,-0.0001855087738281691,22.0,1.0,-0.0005926516309711083,-0.00048516591668524845,-0.00038093734525679324,11.0,1.0,-0.0009867659166853393,-0.0005698516309710078,-0.0005633373452568202,22.0,1.0,-0.00037768020239958844,-0.00025977163097106175,-0.00024413734525674524,4.911163471738411e-05,0.0009524076919212607,7.993605777301126e-18,1.0658141036401503e-17,0.00010754671804386417,0.0008761803025030083,0.0003779275041984388,0.0010318606456976211,0.00046388536108138455,0.0005006943993821419,1.5543122344752192e-18,9.547918011776345e-18,-0.00018578838666979104,0.000659770551381862,-0.0011686254160966191,True,-0.00047839155262241473,-0.0005017667726202601,-0.0005121613399253766,-0.0005111498353611577,-0.0004512670786934736,-0.0003160373938585481,-0.0005111402527582243,-0.0004940838609993337,-0.0004512670786934736,4.0,-0.00046884488940563643,-0.0003160373938585481,7.0,True,-0.0011624889589537618,True,False,True,True,False,False,-5.480869414209444e-06
toward_teacher|low_slack_half|no_q2_s3|raw_agree|grad_all_abs50|all|flat|s0.095|c0.120,toward_teacher,0.5777290676721164,-5.420034530967399e-06,0.5775929732166898,0.5772040942881861,0.5780429450429021,0.0005685126758122824,0.0030486857142857714,0.011400000000004074,16890.0,low_slack_half,no_q2_s3,raw_agree,grad_all_abs50,all,flat,0.095,0.12,0.2674285714285714,3ca625c4,45.0,1.0,-0.0004311817956507147,-0.00025529608136503067,-0.00017712465279362544,22.0,1.0,-0.0005549532242221655,-0.0003243475099365287,-0.0002813532242222916,11.0,1.0,-0.0009197532242221085,-0.0005744960813650613,-0.0005614675099364641,22.0,1.0,-0.00043769608136506877,-0.00039339893850789395,-0.000320438938507972,3.7489543049273875e-08,0.0008444160726097439,7.993605777301126e-18,1.0658141036401503e-17,9.844529969459914e-05,0.0009749982081843033,0.0003546517670493137,0.001050611694397018,0.0004019905731500454,0.00047550639428202624,1.5543122344752192e-18,9.547918011776345e-18,-0.00018531562172389616,0.0006340563612128652,-0.0011064954241284453,True,-0.00046134927801921854,-0.000497553149729435,-0.0004967327789204834,-0.0004942756591223008,-0.0004617907670158017,-0.00039842870677075926,-0.0005038124575844627,-0.0004899722883125457,-0.0004617907670158017,4.0,-0.00047342039959463733,-0.00039842870677075926,7.0,True,-0.0011003980526998738,True,False,True,True,False,False,-5.420034530967399e-06
