candidate,moved_cells_vs_e224,q3_cells_vs_e224,overlap_with_e237_cells,jaccard_with_e237_cells,q3_overlap_with_e237,q3_jaccard_with_e237,same_as_e237
e237_cell25,25,25,25,1.0,25,1.0,True
e230_swing25,25,25,13,0.35135135135135137,13,0.35135135135135137,False
e230_risk21,21,21,11,0.3142857142857143,11,0.3142857142857143,False
e230_risk13,13,13,7,0.22580645161290322,7,0.22580645161290322,False
