prior,n_sims,mean_delta_vs_e95,std_delta_vs_e95,p_e101_beats_e95,p_e101_beats_by_5e-6,p_e101_matches_e95_edge_vs_mixmin,p_e101_worse_by_2e-5,q05,q25,q50,q75,q95,mean_support_probability
global,200000,4.897063867834456e-05,2.3415260687012228e-05,0.01661,0.009195,0.002165,0.892395,1.0810110479773951e-05,3.293743441185706e-05,4.875457749193161e-05,6.476282217103446e-05,8.782921629718409e-05,0.49800000000000005
subject,200000,7.854324369275885e-06,1.7643384128388132e-05,0.33536,0.237125,0.090855,0.242705,-2.0449701525928264e-05,-4.264422910769571e-06,7.381803235680199e-06,1.9571462324768705e-05,3.758207033405444e-05,0.5876858135598737
