design,n,e176_win_rate,e154_win_rate,e144_win_rate,e176_margin_mean,e176_margin_p05,e176_margin_p50,e176_margin_p95
family_loguniform_0p25_4,20000,0.7713,0.2287,0.0,4.518640620441595,-6.511733058747671,4.738517107117559,14.524514528270746
family_loguniform_0p5_2,20000,0.90595,0.09405,0.0,3.5789761094741306,-0.8492852270056466,3.6657042393888473,7.792113847133332
family_dropout_20pct,20000,0.8965,0.1035,0.0,2.6634474999999997,-1.6749999999999998,3.325,7.699999999999999
