target,holdout_delta_mean,holdout_delta_median,holdout_win_rate,n_folds
S4,-0.012374625713856627,-0.011525572205983825,1.0,8
Q1,-0.003524206926315082,-0.004302990499379766,0.875,8
S3,-0.0033846250597769773,-0.004121204601341161,0.75,8
S1,-0.0031617338724115387,-0.0034790797162547737,0.75,8
S2,-0.00220953987230086,-0.0033308027823916175,0.75,8
Q3,0.0017533979032475083,0.004423362179870272,0.25,8
