model,file,public_lb,loo_pred,loo_error,abs_error,rank_actual
raw05_a2c8_compat,submission_e95_hardtail_541e3973.csv,0.5762913298,0.5770459027081051,0.0007545729081051,0.0007545729081051,1
raw05_a2c8_compat,submission_mixmin_0c916bb4.csv,0.5763066405,0.5771231371418948,0.0008164966418947595,0.0008164966418947595,2
raw05_a2c8_compat,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.5770926236719303,0.0006848464719302338,0.0006848464719302338,3
raw05_a2c8_compat,submission_frontier_cvjepa_refine_a2c8d2c8.csv,0.577439321,0.5771186165814439,-0.00032070441855602816,0.00032070441855602816,4
raw05_a2c8_compat,submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,0.5775263072,0.5770938069565131,-0.0004325002434868441,0.0004325002434868441,5
raw05_a2c8_compat,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,0.5779449757,0.5773797481627138,-0.0005652275372862725,0.0005652275372862725,6
raw05_a2c8_compat,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,0.5783033652,0.5780728471321689,-0.00023051806783114248,0.00023051806783114248,7
raw05_a2c8_compat,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,0.5784273528,0.5792855886789462,0.0008582358789461786,0.0008582358789461786,8
raw05_a2c8_compat,submission_jepa_latent_q2_w0p45.csv,0.5798012862,0.5797988653783925,-2.4208216075072286e-06,2.4208216075072286e-06,9
raw05_a2c8_compat,submission_lejepa_targetwise_strict_best_scale0p5.csv,0.5802468192,0.5796551869284745,-0.0005916322715254774,0.0005916322715254774,10
raw05_a2c8_compat,submission_jepa_latent_residual_probe.csv,0.5812273278,0.580763435509101,-0.00046389229089893735,0.00046389229089893735,11
good_bad_axes,submission_e95_hardtail_541e3973.csv,0.5762913298,0.5769704614282068,0.0006791316282068749,0.0006791316282068749,1
good_bad_axes,submission_mixmin_0c916bb4.csv,0.5763066405,0.5769599022963997,0.0006532617963996845,0.0006532617963996845,2
good_bad_axes,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,0.5764077772,0.5769536613993085,0.0005458841993084551,0.0005458841993084551,3
