pred_index,base_index,tag,struct_tag,struct_source_file,struct_row_gate,struct_scale,struct_all_delta,struct_sets_beating_base,struct_sets_tail_neutral,q_tag,q_row_gate,q_target_scope,q_scale,q_all_delta,struct_weight,q_weight,mean_abs_logit_move_raw,mean_abs_q2s3_logit_move_raw,active_cells,active_rows,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,materialized_submission,materialized_sensor
36,0,e84_sw1.00_qw1.50_1c74da00,e83_all_rows_non_q2s3_0.25_903f64a6,submission_jepa_block_consensus_rawcorr_refine_aeabeb26.csv,all_rows,0.25,-2.5290982621051228e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009867354176565113,0.003960784228165095,1289,250,-3.2149991066710015e-05,-3.2149991066710015e-05,-8.796623481188703e-05,8.572779307958189e-05,8.572779307958189e-05,6.6562320817809e-05,-8.074379372846607e-05,-8.074379372846607e-05,-8.796623481188703e-05,-0.00010143397255124587,-0.00010143397255124587,-8.796623481188703e-05,-0.00010143397255124587,8.572779307958189e-05,2,2,35,-7.23646514960763e-05,-5.006850475441915e-06,-0.00024385924395026182,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009867354176565113,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,True
132,0,e84_sw1.00_qw1.50_70d605a6,e83_all_rows_non_q2s3_0.25_c41df1a9,submission_jepa_block_consensus_gate_299a7455.csv,all_rows,0.25,-2.522570419638548e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009935560389685145,0.003960784228165095,1289,250,-3.208987441083444e-05,-3.208987441083444e-05,-8.756173715307458e-05,8.690839309610787e-05,8.690839309610787e-05,6.738657224780731e-05,-8.126778925499067e-05,-8.126778925499067e-05,-8.756173715307458e-05,-0.00010191022707328745,-0.00010191022707328745,-8.756173715307458e-05,-0.00010191022707328745,8.690839309610787e-05,2,2,131,-4.505016444764087e-05,1.6593293871713932e-05,-0.00022246919657473163,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009935560389685145,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
228,0,e84_sw1.00_qw1.50_f62744c9,e83_all_rows_non_q2s3_0.25_dcb21c92,submission_jepa_block_consensus_gate_5738e95e.csv,all_rows,0.25,-2.5223336710733513e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009935389480562924,0.003960784228165095,1289,250,-3.2088810979491456e-05,-3.2088810979491456e-05,-8.75655008546472e-05,8.690477038186817e-05,8.690477038186817e-05,6.738769896852403e-05,-8.126481786241424e-05,-8.126481786241424e-05,-8.75655008546472e-05,-0.00010190638545781727,-0.00010190638545781727,-8.75655008546472e-05,-0.00010190638545781727,8.690477038186817e-05,2,2,227,-4.493478924547656e-05,1.6682132469414412e-05,-0.00022249291874243404,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009935389480562924,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
420,0,e84_sw1.00_qw1.50_13704b35,e83_all_rows_non_q2s3_0.25_3432ad1b,submission_jepa_block_consensus_gate_aa97b049.csv,all_rows,0.25,-2.521462802262953e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009934986201488832,0.003960784228165095,1289,250,-3.2080039008675065e-05,-3.2080039008675065e-05,-8.752562823055587e-05,8.692046989000612e-05,8.692046989000612e-05,6.745502972682615e-05,-8.1261061863791e-05,-8.1261061863791e-05,-8.752562823055587e-05,-0.00010189952505201827,-0.00010189952505201827,-8.752562823055587e-05,-0.00010189952505201827,8.692046989000612e-05,2,2,419,-4.5279815951360106e-05,1.6419151123381326e-05,-0.00022242159310773002,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009934986201488832,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
324,0,e84_sw1.00_qw1.50_4c2e1626,e83_all_rows_non_q2s3_0.25_431a8264,submission_jepa_block_consensus_gate_eef3daf0.csv,all_rows,0.25,-2.5215391999955372e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009935079280579124,0.003960784228165095,1289,250,-3.207961508111534e-05,-3.207961508111534e-05,-8.752382966770167e-05,8.692009536703793e-05,8.692009536703793e-05,6.745451254031032e-05,-8.126010833520159e-05,-8.126010833520159e-05,-8.752382966770167e-05,-0.00010189883227507135,-0.00010189883227507135,-8.752382966770167e-05,-0.00010189883227507135,8.692009536703793e-05,2,2,323,-4.514570742554791e-05,1.648486263727822e-05,-0.00022251209773338498,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009935079280579124,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
612,0,e84_sw1.00_qw1.50_7e134d7c,e83_all_rows_non_q2s3_0.25_af9c7fa8,submission_jepa_block_consensus_gate_76aff53b.csv,all_rows,0.25,-2.519910934473124e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009933621877456984,0.003960784228165095,1289,250,-3.2066305497902015e-05,-3.2066305497902015e-05,-8.750807217361434e-05,8.692901991991242e-05,8.692901991991242e-05,6.749377768122677e-05,-8.125111375911764e-05,-8.125111375911764e-05,-8.750807217361434e-05,-0.00010187682265450082,-0.00010187682265450082,-8.750807217361434e-05,-0.00010187682265450082,8.692901991991242e-05,2,2,611,-4.5287875981570025e-05,1.6440170377940433e-05,-0.00022236797413383025,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009933621877456984,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
516,0,e84_sw1.00_qw1.50_b4e1121a,e83_all_rows_non_q2s3_0.25_a31f8863,submission_jepa_block_consensus_gate_c28e6346.csv,all_rows,0.25,-2.519959401980909e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009933426724747181,0.003960784228165095,1289,250,-3.206524882548578e-05,-3.206524882548578e-05,-8.750713713145952e-05,8.693331180698038e-05,8.693331180698038e-05,6.74993840554805e-05,-8.125223320754049e-05,-8.125223320754049e-05,-8.750713713145952e-05,-0.00010187682507567519,-0.00010187682507567519,-8.750713713145952e-05,-0.00010187682507567519,8.693331180698038e-05,2,2,515,-4.535563509995844e-05,1.6449136831186983e-05,-0.00022244791389749996,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009933426724747181,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,False,False
708,0,e84_sw1.00_qw1.50_8d01c0dd,e83_all_rows_non_q2s3_0.25_64795ff4,submission_jepa_block_consensus_rawcorr_refine_d9aefe69.csv,all_rows,0.25,-2.5192060206569167e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009849644603019118,0.003960784228165095,1289,250,-3.2062312229519385e-05,-3.2062312229519385e-05,-8.818715091363227e-05,8.542946621725722e-05,8.542946621725722e-05,6.642088296571202e-05,-8.04051532968808e-05,-8.04051532968808e-05,-8.818715091363227e-05,-0.00010121124960893457,-0.00010121124960893457,-8.818715091363227e-05,-0.00010121124960893457,8.542946621725722e-05,2,2,707,-9.024701336615704e-05,-1.8947386963952262e-05,-0.00025519594783612876,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009849644603019118,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False
804,0,e84_sw1.00_qw1.50_39fe13e4,e83_all_rows_non_q2s3_0.25_330b86b7,submission_jepa_block_consensus_rawcorr_refine_e8508f79.csv,all_rows,0.25,-2.519081481544561e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009851039792507052,0.003960784228165095,1289,250,-3.205993490473791e-05,-3.205993490473791e-05,-8.817115259984742e-05,8.548312692580051e-05,8.548312692580051e-05,6.645706608754409e-05,-8.042995267776298e-05,-8.042995267776298e-05,-8.817115259984742e-05,-0.00010123297896225125,-0.00010123297896225125,-8.817115259984742e-05,-0.00010123297896225125,8.548312692580051e-05,2,2,803,-8.937520821120093e-05,-1.82594384864343e-05,-0.0002544549846881794,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009851039792507052,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False
900,0,e84_sw1.00_qw1.50_d8b1a2ee,e83_all_rows_non_q2s3_0.25_6eadf884,submission_jepa_block_consensus_rawcorr_refine_1f86615e.csv,all_rows,0.25,-2.5189526243751818e-05,2,2,e83_e82_energy_top50_s_all_1.00_00b01914,e82_energy_top50,s_all,1.0,-7.026511547714165e-06,1.0,1.5,0.009852520097626435,0.003960784228165095,1289,250,-3.2057513751126976e-05,-3.2057513751126976e-05,-8.815511842508172e-05,8.553683414769253e-05,8.553683414769253e-05,6.64932923770678e-05,-8.045470898421225e-05,-8.045470898421225e-05,-8.815511842508172e-05,-0.00010125466641675018,-0.00010125466641675018,-8.815511842508172e-05,-0.00010125466641675018,8.553683414769253e-05,2,2,899,-8.85058287804219e-05,-1.7571446538577895e-05,-0.0002537139780697806,0.0,-0.00043211959005300116,-0.00021605979502650058,-0.00037777562274271347,9.759021446267332e-05,0.7222222222222222,0.9444444444444444,True,0.009852520097626435,0.003960784228165095,True,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False
