ablation_family,strategy,rows,all_four_health,e155_submit,best_all_minus_base,best_body_norm_ratio,best_post101_p95,best_e72_gap,lowest_risk_submit_tag,lowest_risk_submit_body_ratio,lowest_risk_submit_all_minus
target_drop,target_drop,12,12,12,-1.2158049659705128e-05,1.0000000000000016,-4.653086188939701e-06,-2.859820270722244e-06,e155_10c1b6be,0.41957176661150575,-1.0505030831664541e-05
target_only,target_only,12,12,7,-1.1724045011596296e-05,0.8208395530303363,-4.314676787184559e-06,2.8189256484623115e-18,e155_93cc160e,0.336807099186157,-1.0215316239681194e-05
body_amplitude,branch_body_alpha,10,8,6,-1.284310306182146e-05,1.3000000000000003,-5.023573213862882e-06,-3.5727229261929474e-06,e155_d27e7965,0.25000000000000294,-1.0362490513560196e-05
source_s3_repair,source_repair_keep,6,2,2,-1.2257879977162212e-05,0.8835470421698113,-4.688297919218098e-06,-2.859820270717907e-06,e155_9f2e2e73,0.9999999999999988,-1.2158049659705128e-05
control,control_e144,1,1,0,-9.72592963266461e-06,0.0,-3.4304890503887524e-06,-1.5178830414797062e-18,,,
control,control_e154,1,1,0,-1.2158049659705128e-05,1.0,-4.653086188939701e-06,-2.859820270722244e-06,,,
control,control_source_unrepaired,1,0,0,-1.2257879977162212e-05,0.8835470421698125,-4.688297919218098e-06,-2.859820270717907e-06,,,
control,control_e95,1,0,0,0.0,5.4903239765197736,4.065758146820627e-21,0.0,,,
