candidate,scenario,source,direction,rank,feature,family,target_family,value_scaled,coef,contribution,pair_id,new_file,base_file,pair_context,new_tag,base_tag
e144,global_t010,branch,positive,1,abs__z__target_top1_S2_support_swing,target,S2,4.8007935851918315,0.2898367106961244,1.3914462214630545,,,,,,
e144,global_t010,branch,positive,2,abs__z__target_between_S4_support_swing,target,S4,4.571741848958785,0.14965445399042585,0.684181530191107,,,,,,
e144,global_t010,branch,positive,3,abs__z__target_between_S2_support_swing,target,S2,6.449347603055169,0.09267948392709448,0.5977222075175969,,,,,,
e144,global_t010,branch,positive,4,abs__z__target_all_S4_support_swing,target,S4,0.31419528393270585,0.25225010761895744,0.07925579418539394,,,,,,
e144,global_t010,branch,positive,5,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05,,,,,,
e144,global_t010,branch,positive,6,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05,,,,,,
e144,global_t010,branch,positive,7,abs__z__target_all_S2_support_swing,target,S2,9.717564075970847e-15,0.20887936356769235,2.029798599617061e-15,,,,,,
e144,global_t010,branch,positive,8,abs__z__target_top16_S2_support_swing,target,S2,2.3423276626701417e-14,0.009163430071039527,2.1463755740339306e-16,,,,,,
e144,global_t010,branch,positive,9,abs__z__target_not_e72_S1_swing_share,target,S1,0.0,0.0,0.0,,,,,,
e144,global_t010,branch,positive,10,abs__z__target_not_e72_S1_cell_share,target,S1,0.0,0.0,0.0,,,,,,
e144,global_t010,branch,positive,11,abs__z__target_not_e72_S2_cell_share,target,S2,0.0,0.0,0.0,,,,,,
e144,global_t010,branch,positive,12,abs__z__target_not_e72_S2_swing_share,target,S2,0.0,0.0,0.0,,,,,,
e144,global_t010,branch,negative,1,abs__z__target_between_not_e72_S2_support_swing,target,S2,5.8311530270551675,-0.1123949564986742,-0.655392190812978,,,,,,
e144,global_t010,branch,negative,2,abs__z__target_between_not_e72_S4_support_swing,target,S4,4.152596585128772,-0.12688434205282148,-0.5268994855148575,,,,,,
e144,global_t010,branch,negative,3,abs__z__shape_between_support_label_mean,shape,no_target,3.0994989335834973,-0.15820799537082791,-0.490365512936264,,,,,,
e144,global_t010,branch,negative,4,abs__z__target_not_e72_S3_support_swing,target,S3,2.338423767422934,-0.18076163103514722,-0.4226972942507233,,,,,,
e144,global_t010,branch,negative,5,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.3652673839597833,-0.16985016284345572,-0.4017410503338837,,,,,,
e144,global_t010,branch,negative,6,abs__z__target_all_Q1_support_swing,target,Q1,2.6195410637315444,-0.1219791444471967,-0.31952937779827334,,,,,,
e144,global_t010,branch,negative,7,abs__z__target_not_e72_S2_support_swing,target,S2,2.6785194188598966,-0.09786179929576609,-0.2621247297782792,,,,,,
e144,global_t010,branch,negative,8,abs__z__target_not_e72_Q1_support_swing,target,Q1,1.5474943200254239,-0.1649430552596996,-0.2552484411420248,,,,,,
e144,global_t010_subject_t010,branch,positive,1,abs__z__target_between_S4_support_swing,target,S4,4.800328941406726,0.14965445399042585,0.7183906067006626,,,,,,
e144,global_t010_subject_t010,branch,positive,2,abs__z__target_between_S2_support_swing,target,S2,6.449347603055169,0.09267948392709448,0.5977222075175969,,,,,,
e144,global_t010_subject_t010,branch,positive,3,abs__z__target_all_S2_support_swing,target,S2,0.6483558215035563,0.20887936356769235,0.13542815136107117,,,,,,
e144,global_t010_subject_t010,branch,positive,4,abs__z__target_all_S4_support_swing,target,S4,0.28112209615030825,0.25225010761895744,0.07091307900798216,,,,,,
e144,global_t010_subject_t010,branch,positive,5,abs__z__target_top16_S2_support_swing,target,S2,0.8682227151260014,0.009163430071039527,0.007955898136145185,,,,,,
