combo,ops,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
mp_stage2_nonq2,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5675309246898171,0.5616434916677123,-0.0058874330221048154,-0.004915057439836101,1.0,-0.0066750127086484205,0.0,-0.01081622041534187,-0.003448457232413743,-0.004955345809165884,-0.004493213807321056,-0.004017152105961819
mp_stage2_nonq2_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.2|w0.3; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5675309246898171,0.5632333465064677,-0.004297578183349415,-0.003475615075080751,1.0,-0.0050410112558066265,0.0,-0.007195517928770589,-0.002483165617386879,-0.003222497818890502,-0.003157070139210183,-0.0032300427655004627
mp_stage2_noq2_noq3,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5675309246898171,0.5634379885472608,-0.004092936142556347,-0.0033698830947872403,1.0,-0.0066750127086484205,0.0,0.0,-0.003448457232413743,-0.004955345809165884,-0.004493213807321056,-0.004017152105961819
mp_stage2_q1_s2_s3_s4,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5675309246898171,0.5638212367657146,-0.003709687924102534,-0.0028772463472995892,0.9,-0.0066750127086484205,0.0,0.0,0.0,-0.004955345809165884,-0.004493213807321056,-0.004017152105961819
mp_stage2_watch_s1_s2_q3,S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45,0.5675309246898171,0.5643421391393023,-0.0031887855505148277,-0.00274571763670306,0.9,0.0,0.0,-0.01081622041534187,-0.003448457232413743,-0.004955345809165884,0.0,0.0
mp_stage2_noq2_noq3_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5675309246898171,0.5645246924487226,-0.003006232241094531,-0.002447683942399248,1.0,-0.0050410112558066265,0.0,0.0,-0.002483165617386879,-0.003222497818890502,-0.003157070139210183,-0.0032300427655004627
mp_stage2_q1_s2_s3_s4_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5675309246898171,0.5648101473133018,-0.0027207773765153265,-0.0020929459970582378,1.0,-0.0050410112558066265,0.0,0.0,0.0,-0.003222497818890502,-0.003157070139210183,-0.0032300427655004627
mp_stage2_q3_hr,Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45,0.5675309246898171,0.5657364278102687,-0.0017944968795484684,-0.0015451743450487943,0.9,0.0,0.0,-0.01081622041534187,0.0,0.0,0.0,0.0
mp_stage2_usage_q1_s3,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45,0.5675309246898171,0.566160817199186,-0.0013701074906311561,-0.0015954609308527878,0.9,-0.0066750127086484205,0.0,0.0,0.0,0.0,-0.004493213807321056,0.0
mp_stage2_s4_sensor_count,S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5675309246898171,0.5662023847088583,-0.0013285399809588316,-0.0005738788722802534,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.004017152105961819
