candidate_id,family,status,pair_kind,candidate_file,base_file,note,moved_cells,moved_rows,targets_moved,expected_focus,expected_global,expected_subject,expected_nearest_hard085,hard_delta_focus,support_delta,adverse_delta,total_swing,top1_swing,top5_swing,top10_swing,top25_swing,support_prob_focus_mean,support_prob_focus_swing_weighted,mean_abs_prob_delta,mean_abs_logit_delta,max_abs_logit_delta,adverse_over_e216_miss,cells_for_2e6_guard,cells_for_e95_edge,cells_to_flip_expected_focus,top1_over_abs_expected,top5_over_abs_expected,top1_swing_share,top5_swing_share,support_tail_gate,q3_scale,s4_mode,s4_scale,anchor,anchor_scale,submission_file,delta,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate,geometry_vs_ungated_delta,survival_score,e211_frontier_gate,vs_e95_expected_delta_focus_mean,vs_e95_top1_over_abs_expected,e222_tail_survival_score,e222_decision,q3_top1_over_abs_expected,q3_adverse_delta,s4_expected_focus,s4_top1_over_abs_expected,e223_gate,e223_score
e223_q3s0p75_closer_e95,e223_q3_tail_rebalance,generated,graft_vs_anchor,submission_e223_jepa_q3s0p75_s4closer_e95_a0p5_dac78e4d.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,354,250,"Q3,S4",-0.0006283262434158764,-0.0007980525119894377,-0.00057233809512869,-0.0005145881231295016,-4.213368963445098e-05,-0.005777485272296346,0.00384125825300822,0.009618743525304566,0.00011800618610035448,0.0005352310065476063,0.0009744625250967316,0.0020496833148346562,0.47935511523238455,0.46467446446261,0.009977973147984261,0.047550285788935005,0.2065108256756203,3.8598666702253275,1,1,7,0.18781037293431746,0.8518361474730695,0.012268357690368707,0.055644586544962356,False,0.75,closer,1.0,e95,0.5,submission_e223_jepa_q3s0p75_s4closer_e95_a0p5_dac78e4d.csv,-0.0011834095631464,-0.0011890063504061,0.9653846153846154,-0.0005561385446014,0.875,0.0005021175049618,0.0337859400706621,True,-0.0006283262434158,0.1878103729343174,0.6312611363083984,expected_good_but_low_support,0.9202585414390533,0.002665378405018893,-0.0005000946858844218,0.1689857248047206,True,0.6244507946508363
e223_q3s0p75_closer_e95,e223_q3_tail_rebalance,generated,actual_vs_e95,submission_e223_jepa_q3s0p75_s4closer_e95_a0p5_dac78e4d.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,354,250,"Q3,S4",-0.0006283262434158764,-0.0007980525119894377,-0.00057233809512869,-0.0005145881231295016,-4.213368963445098e-05,-0.005777485272296346,0.00384125825300822,0.009618743525304566,0.00011800618610035448,0.0005352310065476063,0.0009744625250967316,0.0020496833148346562,0.47935511523238455,0.46467446446261,0.009977973147984261,0.047550285788935005,0.2065108256756203,3.8598666702253275,1,1,7,0.18781037293431746,0.8518361474730695,0.012268357690368707,0.055644586544962356,False,0.75,closer,1.0,e95,0.5,submission_e223_jepa_q3s0p75_s4closer_e95_a0p5_dac78e4d.csv,-0.0011834095631464,-0.0011890063504061,0.9653846153846154,-0.0005561385446014,0.875,0.0005021175049618,0.0337859400706621,True,-0.0006283262434158,0.1878103729343174,0.6312611363083984,expected_good_but_low_support,0.9202585414390533,0.002665378405018893,-0.0005000946858844218,0.1689857248047206,False,0.6244507946508363
e223_q3s0p75_closer_e154,e223_q3_tail_rebalance,generated,graft_vs_anchor,submission_e223_jepa_q3s0p75_s4closer_e154_a0p5_794b0349.csv,submission_e154_s3repair_9f2e2e73.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,355,250,"Q3,S4",-0.0006369678404733209,-0.0008038164907055527,-0.000570646426324088,-0.0005364406043903219,-6.987220841162574e-05,-0.005805223791073524,0.003852759984340082,0.009657983775413605,0.00011800618610035448,0.0005352310065476059,0.0009744625250967309,0.002049683314834656,0.4794508285228098,0.4648721647517086,0.009985967106567357,0.0476097791745741,0.2065108256756203,3.8714241200226622,1,1,7,0.1852623925450709,0.8402794812213503,0.012218511528334064,0.0554185033847486,False,0.75,closer,1.0,e154,0.5,submission_e223_jepa_q3s0p75_s4closer_e154_a0p5_794b0349.csv,-0.0011834095631464,-0.0011890063504061,0.9653846153846154,-0.0005561385446014,0.875,0.0005021175049618,0.0357098978241904,True,-0.0006668053984864,0.176972451585144,0.6399422734236626,expected_good_but_low_support,0.9366490938998548,0.002667622346837168,-0.0005109802247601395,0.16538577986034095,True,0.6324763096676684
e223_q3s0p75_closer_e154,e223_q3_tail_rebalance,generated,actual_vs_e95,submission_e223_jepa_q3s0p75_s4closer_e154_a0p5_794b0349.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,534,250,"Q1,Q3,S2,S3,S4",-0.0006668053984864417,-0.0008497411343271155,-0.0005897749016830433,-0.0005609001594491661,-4.216079590472444e-05,-0.006655216527637221,0.004533246532863977,0.011188463060501199,0.00011800618610035448,0.0005253772834512764,0.0009851593753983194,0.0020718842389703235,0.4816063532526707,0.4647691021752793,0.007588022665848195,0.036666311527859735,0.2065108256756203,4.555207186711053,1,1,7,0.17697245158514405,0.7879019645668915,0.010547131045813925,0.04695705572877331,False,0.75,closer,1.0,e154,0.5,submission_e223_jepa_q3s0p75_s4closer_e154_a0p5_794b0349.csv,-0.0011834095631464,-0.0011890063504061,0.9653846153846154,-0.0005561385446014,0.875,0.0005021175049618,0.0357098978241904,True,-0.0006668053984864,0.176972451585144,0.6694816153281421,expected_good_but_low_support,0.9366490938998548,0.002667622346837168,-0.0005109802247601395,0.16538577986034095,False,0.6620156515721479
e223_q3s0p75_toward_e95,e223_q3_tail_rebalance,generated,graft_vs_anchor,submission_e223_jepa_q3s0p75_s4toward_e95_a0p5_55d326e5.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,358,250,"Q3,S4",-0.000635268826538363,-0.0008021174767705948,-0.0005689474123891302,-0.0005347415904553641,-6.751879410764783e-05,-0.005862013078504198,0.003912768826812758,0.009774781905316955,0.00011800618610035448,0.0005352310065476063,0.0009744625250967316,0.0020496833148346562,0.4794554305184288,0.4652827753504386,0.010040479901259324,0.04778175512375606,0.2065108256756203,3.931723666609432,1,1,7,0.1857578731564412,0.8425267921048923,0.012072513457938685,0.054756311878065476,False,0.75,toward,1.0,e95,0.5,submission_e223_jepa_q3s0p75_s4toward_e95_a0p5_55d326e5.csv,-0.0011863299681142,-0.0011964620092489,0.9807692307692308,-0.0005953224042733,0.875,0.0004629336452899,0.034233949280934,True,-0.0006352688265383,0.1857578731564412,0.6383253816084506,expected_good_but_low_support,0.9202585414390533,0.002665378405018893,-0.0005070372690069084,0.16667189599432908,True,0.6315150399508885
e223_q3s0p75_toward_e95,e223_q3_tail_rebalance,generated,actual_vs_e95,submission_e223_jepa_q3s0p75_s4toward_e95_a0p5_55d326e5.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,358,250,"Q3,S4",-0.000635268826538363,-0.0008021174767705948,-0.0005689474123891302,-0.0005347415904553641,-6.751879410764783e-05,-0.005862013078504198,0.003912768826812758,0.009774781905316955,0.00011800618610035448,0.0005352310065476063,0.0009744625250967316,0.0020496833148346562,0.4794554305184288,0.4652827753504386,0.010040479901259324,0.04778175512375606,0.2065108256756203,3.931723666609432,1,1,7,0.1857578731564412,0.8425267921048923,0.012072513457938685,0.054756311878065476,False,0.75,toward,1.0,e95,0.5,submission_e223_jepa_q3s0p75_s4toward_e95_a0p5_55d326e5.csv,-0.0011863299681142,-0.0011964620092489,0.9807692307692308,-0.0005953224042733,0.875,0.0004629336452899,0.034233949280934,True,-0.0006352688265383,0.1857578731564412,0.6383253816084506,expected_good_but_low_support,0.9202585414390533,0.002665378405018893,-0.0005070372690069084,0.16667189599432908,False,0.6315150399508885
e223_q3s0p75_toward_e154,e223_q3_tail_rebalance,generated,graft_vs_anchor,submission_e223_jepa_q3s0p75_s4toward_e154_a0p5_b5bc6d7c.csv,submission_e154_s3repair_9f2e2e73.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,358,250,"Q3,S4",-0.0006322080309962782,-0.0007990566812285103,-0.0005658866168470454,-0.0005316807949132792,-6.445799856556183e-05,-0.005858952282962114,0.003915829622354844,0.009774781905316958,0.00011800618610035448,0.0005352310065476059,0.0009744625250967309,0.002049683314834656,0.4794554305184288,0.46528277535043855,0.010043894633085628,0.04778175512375607,0.2065108256756203,3.9347992897305852,1,1,7,0.18665720825215074,0.8466058327417179,0.012072513457938682,0.05475631187806542,False,0.75,toward,1.0,e154,0.5,submission_e223_jepa_q3s0p75_s4toward_e154_a0p5_b5bc6d7c.csv,-0.0011863299681142,-0.0011964620092489,0.9807692307692308,-0.0005953224042733,0.875,0.0004629336452899,0.0355727874044858,True,-0.0006620455890093,0.1782448037708762,0.6352645860663659,expected_good_but_low_support,0.9366490938998548,0.002667622346837168,-0.0005062204152830968,0.16694084318568533,True,0.6277986223103718
e223_q3s0p75_toward_e154,e223_q3_tail_rebalance,generated,actual_vs_e95,submission_e223_jepa_q3s0p75_s4toward_e154_a0p5_b5bc6d7c.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,537,250,"Q1,Q3,S2,S3,S4",-0.000662045589009399,-0.0008449813248500729,-0.0005850150922060006,-0.0005561403499721234,-3.6746586058660426e-05,-0.006708945019525812,0.004596316170878739,0.01130526119040455,0.00011800618610035448,0.0005253772834512764,0.0009851593753983194,0.0020718842389703235,0.48159737921215295,0.4651251900620592,0.007640037354518024,0.03684209885141148,0.2065108256756203,4.618582356418976,1,1,7,0.1782448037708762,0.7935666246751742,0.01043816539157126,0.0464719279460076,False,0.75,toward,1.0,e154,0.5,submission_e223_jepa_q3s0p75_s4toward_e154_a0p5_b5bc6d7c.csv,-0.0011863299681142,-0.0011964620092489,0.9807692307692308,-0.0005953224042733,0.875,0.0004629336452899,0.0355727874044858,True,-0.0006620455890093,0.1782448037708762,0.6647613358436014,expected_good_but_low_support,0.9366490938998548,0.002667622346837168,-0.0005062204152830968,0.16694084318568533,False,0.6572953720876072
e223_q3s1p0_closer_e95,e223_q3_tail_rebalance,generated,graft_vs_anchor,submission_e223_jepa_q3s1p0_s4closer_e95_a0p5_8e3dc02d.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,354,250,"Q3,S4",-0.0006473869916041573,-0.000842418082858683,-0.0005963116760325914,-0.0005034312159211973,9.674028686374553e-05,-0.0069097943882089246,0.004753400825670053,0.011663195213878978,0.00015734158146713927,0.0007136413420634749,0.0012948508617786935,0.002534135404769915,0.47935511523238455,0.4630624557194564,0.012221113524118109,0.057657038486689856,0.2753477675674938,4.776427984985608,1,1,5,0.24304099944495838,1.1023411828142333,0.013490435389429631,0.06118746441063212,False,1.0,closer,1.0,e95,0.5,submission_e223_jepa_q3s1p0_s4closer_e95_a0p5_8e3dc02d.csv,-0.0013150639731217,-0.0013200449750927,0.9615384615384616,-0.0006198400634343,0.875,0.0004384159861288,0.0350240936801983,True,-0.0006473869916041,0.2430409994449583,0.6496112687555559,expected_good_but_low_support,1.0682267529067364,0.003577520977680727,-0.0005000946858844218,0.1689857248047206,False,0.6368821986392864
e223_q3s1p0_closer_e95,e223_q3_tail_rebalance,generated,actual_vs_e95,submission_e223_jepa_q3s1p0_s4closer_e95_a0p5_8e3dc02d.csv,submission_e95_hardtail_541e3973.csv,Q3 reduced after E222; S4 dependency-gated body preserved.,354,250,"Q3,S4",-0.0006473869916041573,-0.000842418082858683,-0.0005963116760325914,-0.0005034312159211973,9.674028686374553e-05,-0.0069097943882089246,0.004753400825670053,0.011663195213878978,0.00015734158146713927,0.0007136413420634749,0.0012948508617786935,0.002534135404769915,0.47935511523238455,0.4630624557194564,0.012221113524118109,0.057657038486689856,0.2753477675674938,4.776427984985608,1,1,5,0.24304099944495838,1.1023411828142333,0.013490435389429631,0.06118746441063212,False,1.0,closer,1.0,e95,0.5,submission_e223_jepa_q3s1p0_s4closer_e95_a0p5_8e3dc02d.csv,-0.0013150639731217,-0.0013200449750927,0.9615384615384616,-0.0006198400634343,0.875,0.0004384159861288,0.0350240936801983,True,-0.0006473869916041,0.2430409994449583,0.6496112687555559,expected_good_but_low_support,1.0682267529067364,0.003577520977680727,-0.0005000946858844218,0.1689857248047206,False,0.6368821986392864
