group_name,field,value,selected_records,budget_mass,budget_share,weight_share,n_scenarios
broad,block_len_bin,11-16,49411,405.64615583973176,0.6639414002842559,0.6069436216405006,3452
broad,block_len_bin,6-10,18568,133.87672116338405,0.21912274142146804,0.2288336992320447,3421
broad,block_len_bin,3-5,9285,54.28879146628943,0.08885718675492428,0.11459039758107313,3060
broad,block_len_bin,1-2,3997,17.155136230619398,0.02807867153935198,0.049632281546381336,2127
broad,context_type,between_train_runs,48616,330.3451845789523,0.5406925254165761,0.5994423079713617,3452
broad,context_type,after_train_run,32645,280.6216201210724,0.45930747458342414,0.40055769202863806,3452
broad,e101_active,False,65418,394.08715088111205,0.6450221973591558,0.8086927581715545,3452
broad,e101_active,True,15843,216.87965381891263,0.3549778026408444,0.19130724182844533,3415
broad,e95_fallback_cell,True,34977,388.77185864919693,0.6363223920816419,0.4258489319730203,3452
broad,e95_fallback_cell,False,46284,222.19494605082775,0.36367760791835835,0.5741510680269796,3060
broad,edge_like,False,43633,350.55132934391673,0.5737649355860375,0.536118035089983,3452
broad,edge_like,True,37628,260.4154753561079,0.42623506441396264,0.4638819649100168,3451
broad,pos_bin,interior,43633,350.55132934391673,0.5737649355860375,0.536118035089983,3452
broad,pos_bin,near_edge,17008,125.64027739138116,0.20564174096671034,0.20933824155833625,3409
broad,pos_bin,left_edge,11126,79.94567127920038,0.13085108824930758,0.13730264462488387,3264
broad,pos_bin,right_edge,8943,53.34673378828826,0.08731527372339107,0.11037525148001344,3040
broad,pos_bin,single,551,1.482792897238106,0.002426961474553654,0.0068658272467832515,477
broad,subject_id,id01,11254,114.06145174505272,0.18669009652832966,0.13732251546770405,3361
broad,subject_id,id07,11980,89.49593505920359,0.1464824837793679,0.14760533500533957,3333
broad,subject_id,id04,10529,86.40741278592485,0.14142734453199887,0.1293745161863394,3278
broad,subject_id,id10,8345,81.17294616152184,0.1328598305784821,0.10215004800817507,3189
broad,subject_id,id02,6911,51.41852304109866,0.08415927452285132,0.08488555454244756,2828
broad,subject_id,id08,6588,44.793374010897956,0.07331556095406988,0.08119715521940025,2906
broad,subject_id,id03,6268,44.040224645786154,0.0720828436291383,0.07726108888596873,2793
