scenario,global_band,subject_target_band,interpretation,solver_success,status,message,mip_gap,mip_dual_bound,mip_node_count,elapsed_sec,time_limit,has_incumbent,slack_upper_bound,world_id,fit_objective_value,slack_sum,sum_abs_residual,max_abs_residual,mean_abs_residual,max_residual_over_frontier_raw05_gap,positive_cell_count,frontier_scale_fit
global_t010,0.1,,current anchors with global target prior only,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0,0.0,2573,6.026033163070679,6.0,True,8.698620000002766e-05,6d6bf80067e6,0.00041235023993191344,0.00041235023993191344,0.00041235023993102526,7.843191012479878e-05,3.4362519994252105e-05,0.9016592301396524,881,True
global_t010_subject_t020,0.1,0.2,current anchors with weak subject-target prior,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0,0.0,3436,6.023064851760864,6.0,True,8.698620000002766e-05,deddbeed7fb5,0.00020736442958100264,0.00020736442958100264,0.00020736442958235735,5.1314759890397355e-05,1.728036913186311e-05,0.589918399589602,899,True
global_t010_subject_t010,0.1,0.1,current anchors with tight subject-target prior,False,1,Time limit reached. (HiGHS Status 13: Time limit reached),1.0,0.0,2742,6.016523838043213,6.0,True,8.698620000002766e-05,24a638cac8c6,0.0004943567367879671,0.0004943567367879671,0.0004943567367846624,7.629250616525418e-05,4.11963947320552e-05,0.8770644787935319,975,True
