experiment,target_norm,family,outcome_quadrant,n,ready_like,selector_visible,null_rare,best_actual_p90,best_actual_mean,median_null_strict_rate,best_p90_dominance,best_mean_dominance,best_worst_mode_dominance,min_readiness_distance
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,visible_but_null_common,37,0,37,0,-0.0002288406569589,-0.0007443355168516,1.0,0.9523809523809524,0.7142857142857143,0.8571428571428571,0.6857142857142857
e290,Q3,Q3_raw_human_context_subject5_pc_good_dateblock5_hgb_shallow,visible_but_null_common,16,0,16,0,-0.0002988339993271,-0.0004713025151316,1.0,0.6,0.5333333333333333,0.4,1.4166666666666665
e279,multi,unknown,visible_but_null_common,13,0,13,0,-0.0001293142160211,-0.0002290747831013,0.9523809523809524,0.7142857142857143,0.4761904761904761,0.5714285714285714,1.092857142857143
e297,S1,routine_fragmentation,visible_but_null_common,10,0,10,0,-0.00056547497621,-0.0012843998199157,1.0,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8047619047619048
e297,S1,bedtime_arousal,visible_but_null_common,10,0,10,0,-0.0005254630682927,-0.0009241382382179,1.0,0.9047619047619048,0.5714285714285714,0.8571428571428571,0.7428571428571429
e290,Q3,Q3_raw_human_context_subject5_pc_good_dateblock5_lr_l2,visible_but_null_common,8,0,8,0,-0.0003082526114092,-0.0004946496956193,1.0,0.2666666666666666,0.5333333333333333,0.0,2.216666666666667
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,visible_but_null_common,8,0,8,0,-0.0002454462314389,-0.0008533760388764,1.0,1.0,0.6666666666666666,1.0,1.0285714285714285
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,visible_but_null_common,6,0,6,0,-0.00022654056625,-0.000749194416636,1.0,0.9333333333333332,0.6,0.8,1.0166666666666666
e289,Q3,family_jepa_context,visible_but_null_common,4,0,4,0,-0.0004174271326008,-0.0006738819934856,1.0,0.8,0.7333333333333333,0.6,1.1333333333333333
e289,Q3,raw_human_context,visible_but_null_common,4,0,4,0,-0.0003858934039123,-0.0007193258708823,1.0,0.8,0.9333333333333332,0.4,1.05
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_subject_cv,visible_but_null_common,4,0,4,0,-0.0001900846152541,-0.000631045018088,1.0,0.8,0.5333333333333333,0.6,1.2666666666666666
e293,multi,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,visible_but_null_common,3,0,3,0,-0.0002676222838103,-0.000938228295069,1.0,0.9523809523809524,0.3809523809523809,0.8571428571428571,1.2190476190476192
e290,Q3,Q3_raw_human_context_subject5_pc_strong35_dateblock5_hgb_shallow,visible_but_null_common,3,0,3,0,-0.0001054632273138,-0.0002016599893893,1.0,0.3333333333333333,0.4666666666666667,0.2,2.0166666666666666
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,visible_but_null_common,2,0,2,0,-0.0003141511233707,-0.0004692717994625,1.0,0.9333333333333332,0.7333333333333333,0.8,0.9
e289,S4,family_jepa_context,visible_but_null_common,2,0,2,0,-0.0002687271004895,-0.0008650350983128,1.0,0.8666666666666667,0.4666666666666667,0.6,1.2
e291,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekday_strong35_subject_cv,visible_but_null_common,2,0,2,0,-0.0002685878974901,-0.0004110646551896,1.0,0.5333333333333333,0.3333333333333333,0.2,1.8833333333333335
e291,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_mean_good_dateblock_cv,visible_but_null_common,2,0,2,0,-0.0002399850768156,-0.0007956203968677,1.0,0.8,0.5333333333333333,0.6,1.1333333333333333
e289,S4,raw_human_context,visible_but_null_common,2,0,2,0,-0.0002381595252949,-0.0007423959328812,1.0,0.6,0.5333333333333333,0.4,1.4166666666666665
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l1,visible_but_null_common,2,0,2,0,-0.0002330680144196,-0.0003443683403785,1.0,1.0,0.6666666666666666,1.0,0.9333333333333333
e290,Q3,Q3_family_jepa_context_dateblock5_pc_strong35_dateblock5_lr_l2,visible_but_null_common,2,0,2,0,-0.0001830779463355,-0.0002705717814826,1.0,0.8666666666666667,0.6666666666666666,0.6,0.9333333333333333
