policy_id,policy_note,split,model,n_cells,n_rows,n_good,mean_benefit_delta,median_benefit_delta,prevalence,auc,ap,ap_lift,top_frac,selected_cells,actual_delta,null_q20,null_median,null_best,dominance,placebo_adjusted_vs_median,placebo_adjusted_vs_best,row_dominance,row_null_q20,row_null_best,subject_dominance,subject_null_q20,subject_null_best,dateblock_dominance,dateblock_null_q20,dateblock_null_best,train_gate,train_gate_bool
mobility_q3,Q3 mobility/context state only,dateblock_oof,hgb_shallow,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.5425925925925925,0.7027703255434861,-0.0031120273976904533,0.7,36.0,-0.0002537692965077776,-0.0002000322541052313,-0.00016204383707874026,-0.0004015849007111827,0.9222222222222223,-9.172545942903731e-05,0.00014781560420340512,0.8666666666666667,-0.00020669043799255158,-0.0003189148427723554,0.9,-0.00021565589030370091,-0.0004015849007111827,1.0,-0.00018394603983351576,-0.0002303856986000108,1.0,True
q3_only,Q3-only subjective sleep row action,subject_oof,lr_l1,160,131,121,-0.011548494997564326,-0.012284787439924394,0.75625,0.5183301546937911,0.7571257711312972,0.0008757711312972205,0.7,112.0,-0.0009785420193992866,-0.0009507739179766439,-0.000901059747145605,-0.001182088344046761,0.9,-7.748227225368165e-05,0.00020354632464747446,0.7833333333333333,-0.0009885161173536882,-0.001182088344046761,0.9833333333333333,-0.000914059552115365,-0.001015971939369864,0.9333333333333333,-0.0009441829068828955,-0.000998175091043385,1.0,True
mobility_q3,Q3 mobility/context state only,dateblock_oof,lr_l2,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.43703703703703706,0.6734045399386613,-0.03247781300251518,0.7,36.0,-0.00021395032349369458,-0.00020360780899186803,-0.0001516718725171895,-0.0003284863118869774,0.8444444444444444,-6.227845097650508e-05,0.00011453598839328283,0.8,-0.0002138984572222391,-0.0003284863118869774,0.7833333333333333,-0.00022753607184948786,-0.00028026752527576804,0.95,-0.00015643167730094998,-0.00021654068790721848,1.0,True
bedtime_q3,Q3 bedtime-phone state only,subject_oof,lr_l2,24,24,19,-0.021279106090458372,-0.019186607814070833,0.7916666666666666,0.7473684210526316,0.9321291168183858,0.1404624501517192,0.35,8.0,-0.00018106759752878343,-0.00017452607377641539,-0.00014901229291780504,-0.00020837563062980902,0.8888888888888888,-3.2055304610978386e-05,2.7308033101025586e-05,0.8666666666666667,-0.00016486409877198847,-0.00020837563062980902,0.8666666666666667,-0.0001669532883123992,-0.0001962678228810688,0.9333333333333333,-0.00017688568221918555,-0.00018377538866232168,0.0,False
bedtime_q3,Q3 bedtime-phone state only,dateblock_oof,lr_l2,24,24,19,-0.015525054537759998,-0.01834781873507041,0.7916666666666666,0.8526315789473684,0.9608901117802047,0.16922344511353804,0.2,5.0,-0.00013256166285158244,-0.00013256166285158244,-0.00012535946045366675,-0.00015128514890616618,0.7611111111111111,-7.202202397915691e-06,1.8723486054583738e-05,1.0,-7.455860239413692e-05,-0.00012339800134386625,0.48333333333333334,-0.00013999736127308094,-0.00015128514890616618,0.8,-0.0001308989654453363,-0.00013256166285158244,0.0,False
bedtime_q3,Q3 bedtime-phone state only,subject_oof,lr_l2,24,24,19,-0.021279106090458372,-0.019186607814070833,0.7916666666666666,0.7473684210526316,0.9321291168183858,0.1404624501517192,0.2,5.0,-9.86059186013355e-05,-9.952514292723701e-05,-7.499088310997104e-05,-0.00017581235098562686,0.75,-2.3615035491364456e-05,7.720643238429137e-05,0.6,-0.00011936706489250604,-0.00017581235098562686,0.8833333333333333,-8.045445481781321e-05,-0.00011550140840621559,0.7666666666666667,-9.86059186013355e-05,-0.0001050242216427133,0.0,False
bedtime_q3,Q3 bedtime-phone state only,dateblock_oof,lr_l2,24,24,19,-0.015525054537759998,-0.01834781873507041,0.7916666666666666,0.8526315789473684,0.9608901117802047,0.16922344511353804,0.35,8.0,-0.0002089296820634301,-0.0002100740843390403,-0.00020323709633596199,-0.00022601212913508917,0.7388888888888889,-5.6925857274681135e-06,1.7082447071659068e-05,1.0,-0.0001304839103642541,-0.0002073460304429231,0.45,-0.00021664379946380042,-0.00022601212913508917,0.7666666666666667,-0.0002089296820634301,-0.0002151416840175946,0.0,False
q3_only,Q3-only subjective sleep row action,dateblock_oof,lr_l1,160,131,121,-0.007464694088306764,-0.010429729684362343,0.75625,0.5119728756092392,0.7735756848848007,0.017325684884800685,0.7,112.0,-0.000602610066939957,-0.0006393053153072037,-0.0005380711089932322,-0.0008374145866962834,0.7277777777777777,-6.453895794672482e-05,0.00023480451975632644,0.5,-0.0006851450291207372,-0.0008374145866962834,0.7166666666666667,-0.0006393910360648958,-0.0007805670463146841,0.9666666666666667,-0.0005244521918026601,-0.0006582047031252758,0.0,False
mobility_q3,Q3 mobility/context state only,dateblock_oof,lr_l2,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.43703703703703706,0.6734045399386613,-0.03247781300251518,0.5,26.0,-0.00014259823854112508,-0.00016724845749840344,-0.00010733103015969636,-0.0003018469440015936,0.7222222222222222,-3.5267208381428716e-05,0.00015924870546046854,0.55,-0.0002046643317242136,-0.0003018469440015936,0.7666666666666667,-0.0001504263735317535,-0.0002448992520908133,0.85,-0.00013666432606396217,-0.0001752660345059054,0.0,False
mobility_q3,Q3 mobility/context state only,dateblock_oof,lr_l1,51,48,36,-0.006367874671432666,-0.012120917011804289,0.7058823529411765,0.6185185185185185,0.7987111736489465,0.09282882070776999,0.5,26.0,-0.00016140883644644166,-0.000169939961341381,-0.00013005894954148944,-0.00028100657165186504,0.6833333333333333,-3.134988690495222e-05,0.00011959773520542338,0.8333333333333334,-0.00015663436501840434,-0.00028100657165186504,0.8166666666666667,-0.00015614057627963974,-0.00022168727689841905,0.4,-0.00017506363308139594,-0.00020103759540246458,0.0,False
