source,cv_mode,method,group,strength,concentration,base_mix,scale,rows,mean_delta,min_delta,max_delta,mean_oof
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,20.0,0.0,0.5,1,-0.0033342170184963,-0.0033342170184963,-0.0033342170184963,0.5448809102093695
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,8.0,0.0,0.5,1,-0.0032866183086458,-0.0032866183086458,-0.0032866183086458,0.54492850891922
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.9,20.0,0.35,0.5,1,-0.0032799096679413,-0.0032799096679413,-0.0032799096679413,0.5449352175599245
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.9,8.0,0.35,0.5,1,-0.0032542049920762,-0.0032542049920762,-0.0032542049920762,0.5449609222357895
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.9,4.0,0.35,0.5,1,-0.0032101869372694,-0.0032101869372694,-0.0032101869372694,0.5450049402905963
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,4.0,0.0,0.5,1,-0.0031962161625193,-0.0031962161625193,-0.0031962161625193,0.5450189110653465
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.7,20.0,0.0,0.5,1,-0.0031813451067328,-0.0031813451067328,-0.0031813451067328,0.545033782121133
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.5,20.0,0.0,0.5,1,-0.003177845811271,-0.003177845811271,-0.003177845811271,0.5450372814165948
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.9,20.0,0.35,0.5,1,-0.0031751845668603,-0.0031751845668603,-0.0031751845668603,0.5450399426610054
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.9,8.0,0.35,0.5,1,-0.0031494825012301,-0.0031494825012301,-0.0031494825012301,0.5450656447266357
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.9,20.0,0.35,0.5,1,-0.0031385791961757,-0.0031385791961757,-0.0031385791961757,0.54507654803169
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.7,8.0,0.0,0.5,1,-0.0031381879164197,-0.0031381879164197,-0.0031381879164197,0.5450769393114461
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.5,8.0,0.0,0.5,1,-0.0031309670103564,-0.0031309670103564,-0.0031309670103564,0.5450841602175094
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.9,2.0,0.35,0.5,1,-0.0031269902498847,-0.0031269902498847,-0.0031269902498847,0.5450881369779811
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.9,8.0,0.35,0.5,1,-0.0031106857888089,-0.0031106857888089,-0.0031106857888089,0.5451044414390569
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.9,4.0,0.35,0.5,1,-0.0031049655702315,-0.0031049655702315,-0.0031049655702315,0.5451101616576343
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.9,4.0,0.35,0.5,1,-0.0030636647544393,-0.0030636647544393,-0.0030636647544393,0.5451514624734265
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.7,20.0,0.0,0.5,1,-0.0030623274314418,-0.0030623274314418,-0.0030623274314418,0.545152799796424
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.7,4.0,0.0,0.5,1,-0.0030525378344273,-0.0030525378344273,-0.0030525378344273,0.5451625893934384
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.5,4.0,0.0,0.5,1,-0.0030411955520633,-0.0030411955520633,-0.0030411955520633,0.5451739316758024
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.9,2.0,0.35,0.5,1,-0.0030202902602363,-0.0030202902602363,-0.0030202902602363,0.5451948369676295
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.7,8.0,0.0,0.5,1,-0.0030194345113261,-0.0030194345113261,-0.0030194345113261,0.5451956927165397
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,20.0,0.35,0.5,1,-0.003017110161356,-0.003017110161356,-0.003017110161356,0.5451980170665097
mp_count_conditioning,geometry,mpj_ridge_resid_heavy,q_only,0.5,20.0,0.0,0.5,1,-0.0030155264415374,-0.0030155264415374,-0.0030155264415374,0.5451996007863283
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,2.0,0.0,0.5,1,-0.0030128719307572,-0.0030128719307572,-0.0030128719307572,0.5452022552971085
mp_count_conditioning,geometry,mpj_ridge_resid,q_only,0.5,20.0,0.0,0.5,1,-0.0030036878056347,-0.0030036878056347,-0.0030036878056347,0.545211439422231
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.35,20.0,0.0,0.75,1,-0.0029942645382646,-0.0029942645382646,-0.0029942645382646,0.5452208626896011
mp_count_conditioning,geometry,mpj_ridge_rate,q_only,0.7,8.0,0.35,0.5,1,-0.002989726211345,-0.002989726211345,-0.002989726211345,0.5452254010165207
