combo,note,ops,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
presleep_core_prectx_s2wlight_s3light_q3hr_ble_ambnext,aggressive future-context Q3 ambience-next residual added to temporal S2/S3,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3; Q3:prectx__presleep_ambience_core5h_top_is_speech_count_next1|subject_z|c0.5|w0.45,0.5783036700435742,0.5688202058541918,-0.009483464189382396,-0.010067777209832273,1.0,-0.007497775913720717,0.0,-0.018358729692402053,-0.017254516225068905,-0.007591293463126753,-0.01034118189466473,-0.009430943279842697
presleep_core_prectx_s2charge_s3light_q3hr_ble_ambnext,aggressive future-context Q3 ambience-next residual added to temporal S2/S3,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3; Q3:prectx__presleep_ambience_core5h_top_is_speech_count_next1|subject_z|c0.5|w0.45,0.5783036700435742,0.5689784133675649,-0.009325256676009253,-0.009913980150124924,1.0,-0.007497775913720717,0.0,-0.018358729692402053,-0.017254516225068905,-0.006514714045175185,-0.01034118189466473,-0.009430943279842697
presleep_core_prectx_s2wlight_s3light_q3hr_ble,core plus temporal-context S2 watch-light/S3 and Q3 HR/BLE,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5701320274723811,-0.008171642571193072,-0.008819556922197668,1.0,-0.007497775913720717,0.0,-0.009621187678959763,-0.017254516225068905,-0.007591293463126753,-0.01034118189466473,-0.009430943279842697
presleep_core_prectx_s2charge_s3light_q3hr_ble,core plus temporal-context S2/S3 and Q3 HR/BLE,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5702902349857544,-0.008013435057819818,-0.008665759862490297,1.0,-0.007497775913720717,0.0,-0.009621187678959763,-0.017254516225068905,-0.006514714045175185,-0.01034118189466473,-0.009430943279842697
presleep_core_all_s2quiet_q3hr_ble,largest OOF candidate with quiet S2,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:quiet__quiet_w22_32_screen_step_end|subject_z|c0.5|w0.45; S3:presleep__presleep_activity_pre1h_m_activity_last|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5709839941285189,-0.007319675915055335,-0.0072676887075399325,1.0,-0.007497775913720717,0.0,-0.009621187678959763,-0.017254516225068905,-0.005373285008158308,-0.001696112847029091,-0.009430943279842697
presleep_core_all_s2charge_q3hr_ble,largest presleep-heavy candidate,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:presleep__presleep_charge_pre3h_m_charging_mean|subject_rank|c0.5|w0.45; S3:presleep__presleep_activity_pre1h_m_activity_last|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5713200510316155,-0.006983619011958653,-0.006906353251207542,1.0,-0.007497775913720717,0.0,-0.009621187678959763,-0.017254516225068905,-0.0028439368138314046,-0.001696112847029091,-0.009430943279842697
presleep_core_prectx_s2wlight_s3light,core plus temporal-context S2 watch-light and S3 light,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_wlight_pre1h_w_light_min_dprev1|global_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45,0.5783036700435742,0.5724200539982861,-0.005883616045288087,-0.007445101539489141,1.0,-0.007497775913720717,0.0,0.0,-0.017254516225068905,-0.007591293463126753,-0.01034118189466473,-0.009430943279842697
presleep_core_q1_s1_s4_q3hr_ble,core plus sequential Q3 HR and BLE residuals,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5724438294819476,-0.005859840561626584,-0.006257774728227439,1.0,-0.007497775913720717,0.0,-0.009621187678959763,-0.017254516225068905,0.0,0.0,-0.009430943279842697
presleep_core_soft_q3hr_ble,conservative core plus sequential Q3 residuals,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.2|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.2|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_z|c0.5|w0.45; Q3:presleep__presleep_hr_pre6h_hr_points_count|subject_z|c0.5|w0.45; Q3:deep__ble_morning_unique_max|subject_rank|c0.2|w0.3,0.5783036700435742,0.5725097312206568,-0.005793938822917344,-0.00626642765587806,1.0,-0.007224705941111043,0.0,-0.009621187678959763,-0.016634389465241584,0.0,0.0,-0.010384710505834083
presleep_core_prectx_s2charge_s3light,core plus temporal-context S2 charge and S3 light,Q1:presleep__presleep_charge_core5h_m_charging_min|subject_z|c0.5|w0.45; S1:presleep__presleep_mlight_core5h_m_light_min|subject_z|c0.5|w0.45; S4:presleep__presleep_mlight_pre3h_m_light_sum|subject_center|c0.5|w0.45; S2:prectx__presleep_charge_pre3h_m_charging_mean_dprev1|subject_z|c0.5|w0.45; S3:prectx__presleep_mlight_pre3h_m_light_max_future2dev|subject_z|c0.5|w0.45,0.5783036700435742,0.5725782615116594,-0.005725408531914833,-0.007291304479781768,1.0,-0.007497775913720717,0.0,0.0,-0.017254516225068905,-0.006514714045175185,-0.01034118189466473,-0.009430943279842697
