kind,target,config,n,mean_fit_delta,mean_val_delta,val_win_rate
subject,S4,rank_logit_p0.75_w0.3,2,-0.0005248985326686828,-0.0007047397972635427,1.0
subject,S4,rank_logit_p1_w0.3,1,-0.0005405637824071885,-0.0005254526249419689,1.0
subject,Q2,center_temp_p0.5_w0.3,1,-0.00044566975563331557,-0.0003313997263563184,1.0
subject,S3,center_temp_p0.5_w0.3,5,-0.00035884369906642456,-0.00030919724909598265,1.0
logit,S1,scale1_shift-0.12_w0.2,1,-0.0004819705942072927,-0.00022376359029724346,1.0
logit,S1,scale1.15_shift-0.08_w0.2,3,-0.0005640559881620785,0.00043063881110377844,0.3333333333333333
logit,Q1,scale0.85_shift0.08_w0.2,3,-0.0006813810781486351,0.0006178389487894916,0.0
subject,S1,rank_logit_p0.75_w0.08,1,-0.0004091518638344449,0.0006374425668609351,0.0
subject,S4,rank_logit_p1.5_w0.3,3,-0.0006435983669631865,0.00082126459978867,0.3333333333333333
subject,S2,rank_logit_p0.75_w0.3,3,-0.000454172018349482,0.00082422268714194,0.0
subject,S4,center_temp_p0.5_w0.3,3,-0.000669337426021932,0.0009287808445080555,0.0
logit,Q2,scale1_shift-0.12_w0.2,1,-0.0005455690822984138,0.001173879498416741,0.0
subject,Q1,center_temp_p2_w0.15,1,-0.0008338845466241418,0.0012172033834665363,0.0
subject,Q2,rank_logit_p1_w0.3,1,-0.0003958201594996824,0.0012343588309893239,0.0
logit,S1,scale0.85_shift-0.08_w0.2,1,-0.0005098185357146345,0.0012583502261743207,0.0
logit,Q1,scale1_shift0.12_w0.2,2,-0.00046648828732248626,0.0016038985278366558,0.0
logit,Q3,scale1.3_shift0_w0.2,1,-0.0005528485684122009,0.001605136708238808,0.0
subject,Q3,center_temp_p0.5_w0.3,3,-0.000540971409344837,0.001648191942240455,0.0
logit,S3,scale1.3_shift0_w0.2,1,-0.0004953076356382091,0.0016826993254686062,0.0
logit,S2,scale0.85_shift-0.08_w0.2,2,-0.0005592024963480546,0.0016858976870014197,0.0
logit,Q3,scale1_shift0.12_w0.2,1,-0.0006499135385045207,0.001822577635003264,0.0
logit,Q1,scale1.3_shift0_w0.2,1,-0.0008547534113417798,0.0018808787449142716,0.0
subject,Q3,center_temp_p2_w0.3,1,-0.0004073926953958029,0.0018823297865901978,0.0
logit,S1,scale1.3_shift0_w0.2,3,-0.0009208436499636244,0.0020386102123997793,0.0
subject,S1,center_temp_p0.5_w0.2,1,-0.0006176426527350065,0.002166709212182538,0.0
logit,S4,scale0.75_shift0_w0.2,3,-0.0007526230338180673,0.0022769498310822867,0.0
logit,Q3,scale0.85_shift-0.08_w0.2,2,-0.0006396243681607849,0.002285502431896236,0.0
logit,S3,scale1_shift0.12_w0.2,2,-0.0007460291350398496,0.0023398568090031158,0.0
logit,Q1,scale0.75_shift0_w0.2,1,-0.0004598176991820191,0.002406060281428757,0.0
logit,S3,scale0.85_shift-0.08_w0.2,1,-0.0006820345623497204,0.0025540940854278937,0.0
subject,S1,center_shift_p0.25_w0.3,1,-0.00044837467094532846,0.0028682617103105157,0.0
subject,S2,rank_logit_p1.5_w0.3,1,-0.000830938379190016,0.002986267985387925,0.0
subject,S2,rank_logit_p1_w0.3,2,-0.000830635019867132,0.0034304444953233704,0.0
logit,S2,scale1.3_shift0_w0.2,1,-0.000589679980078639,0.0034318728581987923,0.0
logit,S3,scale0.75_shift0_w0.2,1,-0.0007521249806400343,0.0036102567716153056,0.0
logit,S2,scale0.75_shift0_w0.2,7,-0.0012601242004654273,0.0037495095451784183,0.0
logit,Q3,scale0.75_shift0_w0.2,2,-0.0012510176175971055,0.004048554750165245,0.0
subject,S4,rank_logit_p2_w0.3,2,-0.001410702607228087,0.004937621531977743,0.0
subject,Q1,center_temp_p2_w0.1,1,-0.0004908606981415264,0.006062596639539897,0.0
subject,Q2,center_temp_p2_w0.3,3,-0.0009841665098298351,0.0069402440941266725,0.0
subject,S1,center_temp_p0.5_w0.3,1,-0.0015957370201530874,0.006961427425579703,0.0
subject,Q1,center_temp_p2_w0.3,2,-0.003411719914360123,0.01209204393145491,0.0
subject,S2,rank_logit_p2_w0.3,1,-0.0029248221639675,0.014499575541873533,0.0
