gate_class,rows,best_all_minus_base,best_post101_p95,best_e72_gap,median_q_share,median_s_share,median_q2s3_share,median_share_Q3,median_share_S3,median_cos_e144,median_cos_e72,median_tail_equal_cosine,median_tail_equal_resid
missing_actionable,102,-1.280321492236336e-05,-5.662452736043309e-06,-1.071463990816421e-05,0.5786229735367847,0.4213770264632154,0.1586552706064082,0.3484223092308062,0.15865527060640683,0.9882148225757911,-0.03388660607593018,0.9704034282894672,0.249947863067185
missing_relaxed,1,-1.0614210494863665e-05,-2.244261720810342e-06,2.818925648462312e-18,0.6398934469074862,0.36010655309251366,0.12013391227472511,0.29339860002591295,0.12013391227472131,0.11999023182942234,-0.05865185642057264,0.972920898876939,0.2402793889310759
other,2777,-4.554676752266395e-05,-1.2274438458796876e-05,-2.62835836398283e-05,0.6132708078208418,0.3867291921791582,0.14645853422747956,0.3639438259482419,0.146246162039336,0.24170095455463703,-0.02043016666942831,0.9441072475286312,0.3519016162060357
