mask_name,keep_factor,rows,relaxed,strict_submit,budget_post,best_all_minus_e95,best_e101_active_l1,best_q2s3_l1,best_post101_p95,best_e72_gap
top_q2s3_weighted_21,0.0,1,1,1,1,-9.551357769921331e-06,0.00080000000000022,0.001040000000000016,-3.368914796177015e-06,2.8189256484623115e-18
s3_non_e101,0.5,1,1,1,1,-9.491752851142898e-06,0.0016000000000002252,0.0010200000000000328,-3.3478911995706826e-06,2.8189256484623115e-18
top_tension_21,0.0,1,1,1,1,-9.469925475680263e-06,2.34257058195908e-16,0.0010400000000000175,-3.3401923393741396e-06,2.8189256484623115e-18
q2s3,0.5,1,1,1,1,-9.367025505468973e-06,0.0008000000000002355,0.0009400000000000339,-3.303897894068924e-06,2.8189256484623115e-18
top_tension_55,0.5,1,1,1,1,-9.296705911210346e-06,0.0008000000000002355,0.0009400000000000339,-3.2790950621296695e-06,2.8189256484623115e-18
top_tension_34,0.25,1,1,1,1,-9.186942921401986e-06,0.00040000000000021854,0.000860000000000022,-3.2403799213773797e-06,2.8189256484623115e-18
top_q2s3_weighted_34,0.25,1,1,1,1,-9.162810564400381e-06,0.0007000000000002133,0.0008600000000000212,-3.2318680577735105e-06,2.8189256484623115e-18
s3_non_e101,0.25,1,1,1,1,-8.729660864292832e-06,0.0016000000000002252,0.0005900000000000348,-3.079089314813294e-06,2.8189256484623115e-18
top_tension_34,0.0,1,1,1,1,-8.4918402979417e-06,2.34257058195908e-16,0.0005200000000000206,-2.9952062435144082e-06,2.8189256484623115e-18
q2s3,0.25,1,1,1,1,-8.472868633480068e-06,0.00040000000000021854,0.0004700000000000342,-2.988514637707938e-06,2.8189256484623115e-18
top_q2s3_weighted_34,0.0,1,1,1,1,-8.454895143894525e-06,0.00040000000000022407,0.0005200000000000199,-2.982175103951348e-06,2.8189256484623115e-18
top_tension_55,0.25,1,1,1,1,-8.328325659445746e-06,0.00040000000000021854,0.0004700000000000342,-2.453099608757194e-06,2.8189256484623115e-18
s3_non_e101,0.0,1,1,1,1,-7.880262301029894e-06,0.0016000000000002252,0.0001600000000000371,-2.7762611110949453e-06,2.8189256484623115e-18
q2s3,0.0,1,1,1,1,-7.55857369327817e-06,2.34257058195908e-16,3.7991094645195573e-17,-2.559380047489437e-06,2.8189256484623115e-18
top_tension_55,0.0,1,1,1,1,-7.310719020603429e-06,2.34257058195908e-16,3.7991094645195573e-17,-1.1880611384567993e-06,2.8189256484623115e-18
top_q2s3_weighted_1,0.75,1,1,0,1,-1.065463572280656e-05,0.0016000000000002252,0.0018700000000000305,-3.758058361867292e-06,2.8189256484623115e-18
top_q2s3_weighted_2,0.75,1,1,0,1,-1.0649497071968383e-05,0.0016000000000002252,0.001860000000000028,-3.7562458785263754e-06,2.8189256484623115e-18
