combo,n_ops,targets,base_loss,candidate_loss,delta,subject_half_delta,subject_half_win_rate,geometry_delta,geometry_win_rate
q3_center_s4_rank,2,"Q3,S4",0.5675309246898171,0.566160735070303,-0.0013701896195141838,-0.0013946017761587107,0.9192307692307692,-0.0009789842216516437,0.75
q3_z_s4_rank,2,"Q3,S4",0.5675309246898171,0.5662532160651051,-0.0012777086247119929,-0.0013157199785332999,0.9,-0.0012108878986153149,0.875
q3_center_c010_s4_rank,2,"Q3,S4",0.5675309246898171,0.5662582008300898,-0.0012727238597273205,-0.0012971056932321496,0.9,-0.000794598083125167,0.75
q3_rank_s4_rank,2,"Q3,S4",0.5675309246898171,0.5662590468163465,-0.001271877873470606,-0.0013125816588717442,0.8961538461538462,-0.0012999433919354403,1.0
q3_center,1,Q3,0.5675309246898171,0.5666084143314142,-0.0009225103584029615,-0.0009175799966035155,0.9307692307692308,-0.00033900891518734433,0.75
q3_z,1,Q3,0.5675309246898171,0.5667008953262164,-0.0008300293636007705,-0.0008386981989781025,0.9115384615384615,-0.0005709125921509878,0.875
q3_center_c010,1,Q3,0.5675309246898171,0.566705880091201,-0.0008250445986160981,-0.0008200839136769504,0.9307692307692308,-0.00015462277666085378,0.5
q3_rank,1,Q3,0.5675309246898171,0.5667067260774578,-0.0008241986123593836,-0.0008355598793165463,0.9153846153846154,-0.0006599680854711132,1.0
s4_rank,1,S4,0.5675309246898171,0.5670832454287059,-0.00044767926111122236,-0.00047702177955520684,0.8,-0.000639975306464341,0.875
