group,row_idx,subject_id,lifelog_date,nn_row_idx,nn_dist,rollback_amp_abs,single_row_smooth_gain_sum,e237_drop,e230_swing25,e230_risk21,amp_rank,smooth_sum_rank,near_test_edge_2,gap_adjacent_2
common,5,id01,2024-08-05,11,5.756405478481782,0.0731736661368184,0.2926946645472736,True,False,True,28.0,1.0,0.0,0.0
common,150,id06,2024-08-23,149,7.804752591141333,0.1307908862678006,0.2615817725356013,False,True,True,7.0,2.0,1.0,0.0
common,212,id09,2024-08-16,227,5.5823837003622705,0.0616984782630443,0.1850954347891329,False,False,False,41.0,3.0,0.0,0.0
common,51,id02,2024-10-07,57,5.758088413883473,0.0863429588230653,0.1726859176461306,False,True,True,17.0,4.0,0.0,0.0
common,223,id09,2024-09-15,216,10.892144420714692,0.1645552303998897,0.1645552303998897,True,True,True,2.0,5.0,0.0,0.0
common,196,id08,2024-09-10,93,6.724752710461967,0.0816401430010416,0.163280286002083,False,True,False,21.0,6.0,0.0,1.0
common,52,id02,2024-10-08,58,8.525645771036846,0.0764335485965866,0.1528670971931733,True,False,True,26.0,7.0,0.0,0.0
common,235,id10,2024-08-17,149,24.507019557314052,0.1269701091708307,0.1269701091708307,True,True,True,8.0,8.0,0.0,0.0
common,237,id10,2024-08-19,31,21.952995420432725,0.1252549821431367,0.1252549821431368,True,True,True,9.0,9.0,0.0,0.0
common,160,id07,2024-07-21,176,7.502250759687329,0.0582946816303348,0.1165893632606696,False,False,False,50.0,10.0,0.0,0.0
common,158,id07,2024-07-19,176,8.400505750657741,0.0876244113429944,0.0876244113429944,True,True,False,15.0,14.0,0.0,0.0
common,222,id09,2024-09-13,127,11.328305168929584,0.0870791131760106,0.0870791131760106,True,True,False,16.0,15.0,0.0,0.0
common,105,id04,2024-10-28,92,6.976889510879171,0.0846397046455831,0.0846397046455831,False,True,False,19.0,16.0,1.0,1.0
common,230,id10,2024-08-06,11,12.431508997714946,0.0794694465977551,0.0794694465977551,True,True,False,24.0,19.0,1.0,0.0
common,236,id10,2024-08-18,249,24.194023458195023,0.0735161086499315,0.0735161086499315,False,False,False,27.0,23.0,0.0,0.0
common,164,id07,2024-07-25,145,7.187945776527853,0.0728378426325324,0.0728378426325322,True,False,False,29.0,24.0,0.0,0.0
common,166,id07,2024-07-27,225,9.522033581852236,0.0671588097040317,0.0671588097040317,True,False,False,37.0,25.0,0.0,1.0
common,247,id10,2024-09-24,229,9.988407218754595,0.0611428403293122,0.0611428403293121,True,False,False,43.0,26.0,1.0,0.0
common,231,id10,2024-08-07,62,7.559314486265566,0.0596775805620338,0.0596775805620337,True,False,False,46.0,28.0,0.0,0.0
common,116,id05,2024-10-15,192,12.365574710481862,0.0592338964327928,0.0592338964327927,True,False,False,47.0,29.0,0.0,0.0
common,109,id05,2024-09-30,101,7.692863508957739,0.0590759771822986,0.0590759771822986,False,False,False,49.0,30.0,1.0,0.0
e247_only,162,id07,2024-07-23,178,7.605421900157918,0.0552378160491121,0.1104756320982243,False,False,False,55.0,11.0,0.0,0.0
e247_only,168,id07,2024-08-15,41,6.857151059953294,0.0550181757757608,0.1100363515515217,False,False,False,56.0,12.0,0.0,1.0
e247_only,76,id03,2024-10-03,61,5.0769484625909325,0.0538219893284253,0.1076439786568506,False,False,False,58.0,13.0,0.0,0.0
e247_only,48,id02,2024-10-04,40,5.38835929058398,0.0231027418616631,0.0840789826609311,False,False,False,139.0,17.0,0.0,0.0
e247_only,64,id03,2024-08-22,61,7.5824148429460045,0.041985654768396,0.083971309536792,False,False,False,85.0,18.0,0.0,0.0
e247_only,46,id02,2024-10-02,54,6.552474134453187,0.0390473269466175,0.078094653893235,False,False,False,92.0,20.0,0.0,0.0
e247_only,134,id06,2024-07-12,130,4.906629945399914,0.0388313544172131,0.0776627088344263,False,False,False,94.0,21.0,0.0,1.0
e247_only,99,id04,2024-10-19,135,5.456103936537417,0.0380288512458142,0.0760577024916284,False,False,False,95.0,22.0,0.0,1.0
e247_only,108,id05,2024-09-29,107,6.63600084712051,0.0303765471916344,0.0607530943832688,False,False,False,114.0,27.0,1.0,1.0
e247_only,90,id04,2024-09-23,93,5.5747031040276696,0.0287115793273518,0.0574231586547036,False,False,False,118.0,31.0,0.0,0.0
e247_only,77,id03,2024-10-04,74,5.423085663624527,0.0267722096169393,0.0535444192338787,False,False,False,126.0,32.0,1.0,0.0
e247_only,65,id03,2024-08-23,74,5.832526615779385,0.0522658509389329,0.0522658509389329,False,False,False,59.0,33.0,0.0,0.0
e247_only,103,id04,2024-10-25,101,6.65429017686869,0.0254255690647542,0.0508511381295084,False,False,False,133.0,34.0,0.0,1.0
e256_only,87,id04,2024-09-19,97,6.507120274638133,0.0980623046647013,0.0298193786571678,False,True,False,13.0,56.0,0.0,1.0
e256_only,188,id08,2024-08-09,187,6.840844610342543,0.1481170428386313,0.0194704949415196,True,True,False,4.0,73.0,0.0,1.0
e256_only,96,id04,2024-10-16,91,7.41189294923651,0.1183940394619154,-0.0,False,True,False,10.0,110.0,0.0,0.0
e256_only,138,id06,2024-07-17,148,8.162324539967575,0.0766942855030159,-0.0,False,True,False,25.0,112.0,0.0,0.0
