pred_index,base_index,tag,strategy,source,fallback,row_quantile,cell_quantile,blend_e86_weight,beta,projection_scope,projection_coeff,active_cells,active_rows,mean_abs_logit_move_raw,q_group_abs_logit_mean,s_group_abs_logit_mean,q2s3_abs_logit_mean,all_delta_vs_mixmin,all_minus_base,all_worst_minus_base,set_inverse_top_delta_vs_mixmin,set_inverse_top_minus_base,set_inverse_top_worst_minus_base,set_raw05_compatible_delta_vs_mixmin,set_raw05_compatible_minus_base,set_raw05_compatible_worst_minus_base,set_all_sign_delta_vs_mixmin,set_all_sign_minus_base,set_all_sign_worst_minus_base,best_set_delta_vs_mixmin,worst_set_delta_vs_mixmin,sets_beating_base,sets_tail_neutral,row_id,world_support_minus_base,raw_energy_q_p90_minus_base,hidden_core_minus_base,hidden_q2_minus_base,hidden_s3_minus_base,hidden_q2s3_mean_minus_base,block_q2s3_mean_minus_base,block_q2s3_max_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,nonanchor_evaluated,mean_abs_logit_move_vs_mixmin,mean_abs_q2s3_logit_move_vs_mixmin,all_beats_base,all_margin_vs_mixmin,all_sets_beat_base,all_sets_tail_neutral,hidden_q2s3_beats_base,world_nonworse,block_majority_beats,block_tail_safe,strict_gate,loose_gate,deployable_gate,structural_all_sets_tail_neutral,structural_all_sets_beat_base,structural_hidden_core_beats_base,structural_world_nonworse,structural_raw_energy_nonworse,structural_strict_gate,structural_loose_gate,high_mixmin_cell_mass_frac,high_e72_failed_cell_mass_frac,high_e72_failed_row_mass_frac,e72_failed_overlap_ratio,mixmin_overlap_ratio,mixmin_reversal_index,e72_failed_contamination_index,weighted_cell_corr_with_mixmin_move,weighted_cell_corr_with_e72_failed_move,weighted_row_corr_with_e72_failed_row_move,materialized_submission
2,0,e89_control_a3f7c96f,control,e86,,,,,,,,579,250,0.006064145347338554,0.0008505692486175739,0.009974327421379287,0.005556388911177608,-2.7705869828476004e-05,-2.7705869828476004e-05,-3.498042661254086e-05,-6.9100032192848104e-06,-6.9100032192848104e-06,-1.3700079533940368e-05,-3.533869208549589e-05,-3.533869208549589e-05,-3.498042661254086e-05,-4.086891418064731e-05,-4.086891418064731e-05,-3.498042661254086e-05,-4.086891418064731e-05,-6.9100032192848104e-06,3,3,1,-0.0003074391775771235,-0.00017278562923006557,-0.00023918120377530716,-0.000290814306410897,-0.00046435628805567564,-0.0003775852972332863,-0.0005349503017765972,5.947623346206196e-17,0.7777777777777778,1.0,True,0.0060641453473385615,0.005556388911177618,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.2985107847706478,0.4434568800773327,0.35597623589266236,0.8192880814122396,0.8268046349993333,0.6270625307172869,0.7723793763446426,-0.7584168063085333,0.7245239059063573,0.7254706712770456,False
12,0,e89_blend_e86_noq2_4a5e962f,blend_e86_noq2,e86+noq2,,,,0.85,,,,579,250,0.006028588706811074,0.0007229838613249439,0.01000779234092567,0.005431539627821126,-2.7700469957814278e-05,-2.7700469957814278e-05,-3.4913237439759826e-05,-7.065162204500375e-06,-7.065162204500375e-06,-1.371331875965609e-05,-3.523983661124497e-05,-3.523983661124497e-05,-3.4913237439759826e-05,-4.079641105769749e-05,-4.079641105769749e-05,-3.4913237439759826e-05,-4.079641105769749e-05,-7.065162204500375e-06,3,3,11,-0.0002857581239302964,-0.0001551796154531937,-0.00023397606543315574,-0.0002478142518095028,-0.0004710135809914001,-0.00035941391640045145,-0.0005220729337059656,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006028588706811086,0.0054315396278211345,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.30105284807249977,0.4401577377527977,0.3537901784329407,0.8131929048419656,0.833845552204545,0.6287747650060174,0.7653119194426167,-0.7540662216685625,0.727470012888728,0.7174309340432677,False
11,0,e89_blend_e86_noq2_95bb4241,blend_e86_noq2,e86+noq2,,,,0.75,,,,579,250,0.006004884279792755,0.0006379269364631908,0.010030102287289929,0.0053483067722501386,-2.7681674358515096e-05,-2.7681674358515096e-05,-3.4813216809093106e-05,-7.149319222077288e-06,-7.149319222077288e-06,-1.3708104406706667e-05,-3.5170533866479836e-05,-3.5170533866479836e-05,-3.4813216809093106e-05,-4.0725169987099186e-05,-4.0725169987099186e-05,-3.4813216809093106e-05,-4.0725169987099186e-05,-7.149319222077288e-06,3,3,10,-0.00027113809351348437,-0.00014342346195983513,-0.0002304871622295368,-0.00021902545001134532,-0.0004754421984172197,-0.0003472338242142825,-0.0005134296961073881,5.947623346206196e-17,0.7777777777777778,1.0,True,0.006004884279792771,0.0053483067722501654,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.30276428170177966,0.43793660379524463,0.35231842426797294,0.8090893523650576,0.8385858206617451,0.6297622026478018,0.7606859767373721,-0.7509812199672582,0.7301866904653974,0.7122826011096866,False
10,0,e89_blend_e86_noq2_8952f93d,blend_e86_noq2,e86+noq2,,,,0.6,,,,579,250,0.005969327639265275,0.0005103415491705609,0.010063567206836311,0.005223457488893657,-2.762084075391691e-05,-2.762084075391691e-05,-3.458040067660928e-05,-7.24664409779141e-06,-7.24664409779141e-06,-1.367922985329173e-05,-3.503191226461588e-05,-3.503191226461588e-05,-3.458040067660928e-05,-4.058396589923241e-05,-4.058396589923241e-05,-3.458040067660928e-05,-4.058396589923241e-05,-7.24664409779141e-06,3,3,9,-0.00024914155238557335,-0.00012576102840766712,-0.00022522560411214476,-0.00017565919480810877,-0.0004820707542270153,-0.000328864974517562,-0.0005003773927100731,6.938893903907228e-17,0.7777777777777778,1.0,True,0.005969327639265286,0.005223457488893686,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.30535691777574897,0.43457182708118164,0.35008887655146936,0.8028729160387917,0.8457668125460794,0.6311066677899971,0.7539313307313161,-0.746194646595468,0.7354542711577673,0.7049897454238405,False
25,0,e89_row_e72_fallback_a1c511b2,row_e72_fallback,e86,noq2,0.9,,,,,,565,250,0.005982356865655421,0.000516944910557945,0.01008141583197853,0.005269684991268315,-2.7583786208151828e-05,-2.7583786208151828e-05,-3.396346965711672e-05,-7.009785866429752e-06,-7.009785866429752e-06,-1.334249388507125e-05,-3.5104925969475786e-05,-3.5104925969475786e-05,-3.396346965711672e-05,-4.0636646788438924e-05,-4.0636646788438924e-05,-3.396346965711672e-05,-4.0636646788438924e-05,-7.009785866429752e-06,3,3,24,-0.0002571103648970452,-0.0001287851146453134,-0.00022171142851235004,-0.00014939940246563865,-0.00048362654150016504,-0.00031651297198290185,-0.000490887601796144,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005982356865655439,0.005269684991268322,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3060451979753958,0.43583124903763765,0.3471713907426533,0.8051997023504922,0.847673186748551,0.6299515843860172,0.7553579851711794,-0.7431538406946007,0.7492401912727302,0.7055162679918664,False
9,0,e89_blend_e86_noq2_b48ca4b0,blend_e86_noq2,e86+noq2,,,,0.5,,,,579,250,0.005945623212246956,0.00042528462430880783,0.010085877153200567,0.00514022463332267,-2.755836464196637e-05,-2.755836464196637e-05,-3.437003289563645e-05,-7.2922608069792005e-06,-7.2922608069792005e-06,-1.3645949331841933e-05,-3.491588924586786e-05,-3.491588924586786e-05,-3.437003289563645e-05,-4.046694387294103e-05,-4.046694387294103e-05,-3.437003289563645e-05,-4.046694387294103e-05,-7.2922608069792005e-06,3,3,8,-0.00023445181905024648,-0.0001139672782001222,-0.00022169910419428396,-0.00014662637897522313,-0.0004864802091539139,-0.0003165532940645685,-0.0004916175833078909,1.6898280697273374e-06,0.75,0.9722222222222222,True,0.005945623212246967,0.005140224633322706,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3071025693301815,0.43230628439271723,0.34858769654550004,0.7986873182817655,0.8506018566045631,0.6319637060636835,0.7495820971550797,-0.7429606474013112,0.739793176304876,0.700476876028394,False
8,0,e89_blend_e86_noq2_39a99ceb,blend_e86_noq2,e86+noq2,,,,0.4,,,,579,250,0.0059219187852286356,0.00034022769944705455,0.010108187099564823,0.005056991777751681,-2.7472608054024406e-05,-2.7472608054024406e-05,-3.411556603694077e-05,-7.322469887771632e-06,-7.322469887771632e-06,-1.3601447794719945e-05,-3.477985173860887e-05,-3.477985173860887e-05,-3.411556603694077e-05,-4.031550253547067e-05,-4.031550253547067e-05,-3.411556603694077e-05,-4.031550253547067e-05,-7.322469887771632e-06,3,3,7,-0.00022186407352133285,-0.00010215849857087012,-0.000218157574854827,-0.00011749602484883992,-0.0004908819966090716,-0.00030418901072895577,-0.00048281117428208755,1.4054862171287873e-05,0.75,0.9722222222222222,True,0.0059219187852286555,0.0050569917777517044,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.30886219597322184,0.43002260454524516,0.3470744986064308,0.7944682120623088,0.8554756083701882,0.6328282273735245,0.7453795880834233,-0.739738481356773,0.744816326456739,0.6962909641045377,False
26,0,e89_row_e72_q2_remove_b4fb0071,row_e72_q2_remove,e86,q2_zero,0.9,,,,,,565,250,0.005921163488170142,0.0005169449105579447,0.009974327421379289,0.005055952404088165,-2.7459233683191364e-05,-2.7459233683191364e-05,-3.3913995358347826e-05,-6.486576828446111e-06,-6.486576828446111e-06,-1.314071549929352e-05,-3.5141228370116906e-05,-3.5141228370116906e-05,-3.3913995358347826e-05,-4.074989585078903e-05,-4.074989585078903e-05,-3.3913995358347826e-05,-4.074989585078903e-05,-6.486576828446111e-06,3,3,25,-0.0002559121346789317,-0.00013389075004510698,-0.00021897907464030197,-0.00014939940246563865,-0.00046435628805567564,-0.00030687784526065714,-0.000472140175752823,5.947623346206196e-17,0.7777777777777778,1.0,True,0.00592116348817015,0.005055952404088176,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3057191023713359,0.4300177020926487,0.34042461072225794,0.7944591547646043,0.846769978654757,0.6434454648194612,0.7407208733686281,-0.7598822360727614,0.7277473413688275,0.686982591972652,False
7,0,e89_blend_e86_noq2_e456f638,blend_e86_noq2,e86+noq2,,,,0.25,,,,579,250,0.005886362144701157,0.0002126423121544248,0.010141652019111205,0.004932142494395199,-2.7305529721965982e-05,-2.7305529721965982e-05,-3.365122987930569e-05,-7.3389043467875226e-06,-7.3389043467875226e-06,-1.351366294022327e-05,-3.453828330746145e-05,-3.453828330746145e-05,-3.365122987930569e-05,-4.003940151142693e-05,-4.003940151142693e-05,-3.365122987930569e-05,-4.003940151142693e-05,-7.3389043467875226e-06,3,3,6,-0.00020569717250992214,-8.441716060048066e-05,-0.00021281711231901923,-7.361769392180695e-05,-0.0004974702981925538,-0.0002855439960571804,-0.00046951422299175313,3.2690795435313523e-05,0.75,0.9722222222222222,True,0.005886362144701158,0.004932142494395217,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.31152820855193347,0.42656259828585874,0.3447818504724662,0.7880758388299153,0.862859835907357,0.6342063330228722,0.7393927108277025,-0.7350050455830526,0.753670405650554,0.6907095828254898,False
47,0,e89_project_away_e72_9c322c06,project_away_e72,e86,,,,,0.15,e86_active_top80cell,0.9702688313384309,579,250,0.005867755246812506,0.0006406965075327068,0.009788049301272356,0.0048572772511257765,-2.7254077030303137e-05,-2.7254077030303137e-05,-3.477284624275878e-05,-4.810309741754004e-06,-4.810309741754004e-06,-1.2582521410120506e-05,-3.557793597908088e-05,-3.557793597908088e-05,-3.477284624275878e-05,-4.137398536974146e-05,-4.137398536974146e-05,-3.477284624275878e-05,-4.137398536974146e-05,-4.810309741754004e-06,3,3,46,-0.0002161118068998713,-0.00010900820978376746,-0.00020367482091623867,-0.00021996439120483546,-0.00042556334564662623,-0.00032276386842573085,-0.0004686648811409967,5.947623346206196e-17,0.7777777777777778,1.0,True,0.005867755246812524,0.004857277251125794,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3042899726490646,0.42482972971552085,0.34436722248513363,0.7848743583024644,0.8428116255945917,0.6677298166382226,0.7464810315490988,-0.7922646014370633,0.662965915374539,0.7080877047957332,False
21,0,e89_row_e72_fallback_2fbf12ac,row_e72_fallback,e86,noq2,0.8,,,,,,551,250,0.0058919042782046216,0.00023905082740140215,0.010131544366307036,0.0049528839822930186,-2.7226543860114916e-05,-2.7226543860114916e-05,-3.3597540962548855e-05,-6.952691180672765e-06,-6.952691180672765e-06,-1.3229907278589081e-05,-3.456907237231466e-05,-3.456907237231466e-05,-3.3597540962548855e-05,-4.015786802713528e-05,-4.015786802713528e-05,-3.3597540962548855e-05,-4.015786802713528e-05,-6.952691180672765e-06,3,3,20,-0.00020134586721948233,-8.701866266913605e-05,-0.00021049152028984608,-5.780148630321613e-05,-0.0004967258931946328,-0.00027726368974892446,-0.0004689039879474818,0.00012411200796253916,0.7222222222222222,0.9444444444444444,True,0.005891904278204638,0.0049528839822930255,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3122127308962813,0.42716254143563137,0.33714915784798916,0.7891842358223081,0.8647558017348639,0.6377795436854202,0.7428118230214947,-0.7375256024948473,0.7603765863120439,0.6964394102206813,False
6,0,e89_blend_e86_noq2_91221f91,blend_e86_noq2,e86+noq2,,,,0.15,,,,579,250,0.005862657717682837,0.00012758538729267156,0.010163961965475463,0.0048489096388242125,-2.717242453131874e-05,-2.717242453131874e-05,-3.3286615208627524e-05,-7.330614419820414e-06,-7.330614419820414e-06,-1.3441122594048949e-05,-3.435444043919933e-05,-3.435444043919933e-05,-3.3286615208627524e-05,-3.983221873482545e-05,-3.983221873482545e-05,-3.3286615208627524e-05,-3.983221873482545e-05,-7.330614419820414e-06,3,3,5,-0.00019247907987814393,-7.257083072220727e-05,-0.00020923803273062425,-4.424366337726915e-05,-0.0005018529107890385,-0.0002730482870831538,-0.00046059138807060456,4.762620480399965e-05,0.7222222222222222,0.9444444444444444,True,0.005862657717682836,0.00484890963882423,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.31332351604235575,0.4242326110967506,0.34323796864659367,0.7837711796406236,0.867832415224619,0.635220747958715,0.7356390821152815,-0.7319624582060609,0.7604740705914154,0.6875069845899394,False
22,0,e89_row_e72_q2_remove_6b4585f5,row_e72_q2_remove,e86,q2_zero,0.8,,,,,,551,250,0.005802066023960194,0.00023905082740140115,0.009974327421379289,0.00463911127935335,-2.7137420319789385e-05,-2.7137420319789385e-05,-3.3547900809116626e-05,-6.243355883062129e-06,-6.243355883062129e-06,-1.305320255262643e-05,-3.474504615519347e-05,-3.474504615519347e-05,-3.3547900809116626e-05,-4.0423858921112554e-05,-4.0423858921112554e-05,-3.3547900809116626e-05,-4.0423858921112554e-05,-6.243355883062129e-06,3,3,21,-0.00020278137828345645,-9.40847060488803e-05,-0.0002058936580457138,-5.780148630321613e-05,-0.00046435628805567564,-0.0002610788871794459,-0.0004336374826720489,0.0001083969838792109,0.7222222222222222,0.9444444444444444,True,0.0058020660239602026,0.004639111279353361,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3119945169741011,0.418317827247207,0.3268856823484904,0.7728435965321698,0.864151400515596,0.657836429649702,0.724875840825142,-0.7612513608809797,0.7302512410059946,0.6769080851181142,False
17,0,e89_row_e72_fallback_73e3c821,row_e72_fallback,e86,noq2,0.7,,,,,,545,250,0.0058627981092546815,0.0001239359068537717,0.010166944761055362,0.004850725590569535,-2.7016806538493476e-05,-2.7016806538493476e-05,-3.248791538645879e-05,-7.1426793706308445e-06,-7.1426793706308445e-06,-1.3157351158810116e-05,-3.4225303514379135e-05,-3.4225303514379135e-05,-3.248791538645879e-05,-3.968243673035943e-05,-3.968243673035943e-05,-3.248791538645879e-05,-3.968243673035943e-05,-7.1426793706308445e-06,3,3,16,-0.00018760837659587693,-7.864610747077005e-05,-0.00020611304711712353,-2.3109620650718643e-05,-0.0005008455975079457,-0.00026197760907933215,-0.00045192357818106207,0.00012411200796253916,0.6388888888888888,0.9444444444444444,True,0.005862798109254697,0.004850725590569545,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3137686678437235,0.4243038391640738,0.3388229525389855,0.7839027737352057,0.8690653809713405,0.6361618886256862,0.7358514288255501,-0.732006938206028,0.7676441459993422,0.6878000839158945,False
