axis,metric,mean_delta,median_delta,p_favorable,lowbody_mean_delta,lowbody_p_favorable,n,lowbody_n
Q1,all_minus_base,-1.2191207500822365e-07,-1.2132564713995989e-07,1.0,-1.2128876020024184e-07,1.0,2500,157
Q1,post101_p95_vs_e95_e101_sensor,-8.217509333021627e-08,-8.70436885971947e-08,1.0,-8.391803360147797e-08,1.0,2500,157
Q1,e72_plausible_gap_vs_e95,0.0,0.0,0.0008,0.0,0.006369426751592357,2500,157
Q1,body_norm_ratio,0.0273352542472877,0.0252911473747921,0.0,0.041024127000081144,0.0,2500,157
Q1,transfer_shrinkage_risk_index,-7.045020935306488e-05,-7.043147986962595e-05,1.0,-8.384113287889041e-05,1.0,2500,157
Q3,all_minus_base,-3.8333459011958835e-07,-3.78044022086855e-07,1.0,-4.0332753607560257e-07,1.0,2500,157
Q3,post101_p95_vs_e95_e101_sensor,-1.3295552560048438e-07,-1.2987765609394026e-07,1.0,-1.403298423983791e-07,1.0,2500,157
Q3,e72_plausible_gap_vs_e95,0.0,0.0,0.0008,0.0,0.006369426751592357,2500,157
Q3,body_norm_ratio,0.11699349751661298,0.1300752413316788,0.0,0.10328662510400885,0.0,2500,157
Q3,transfer_shrinkage_risk_index,-2.8325925391970406e-05,-2.8290760306193263e-05,0.5,-0.0001466028866307712,1.0,2500,157
S2,all_minus_base,-4.3238134027800954e-08,-4.28715857814224e-08,1.0,-4.1997915612034204e-08,1.0,2500,144
S2,post101_p95_vs_e95_e101_sensor,-7.300585624738792e-08,-6.187954889731168e-08,1.0,-8.12756863919919e-08,1.0,2500,144
S2,e72_plausible_gap_vs_e95,-7.149550676801381e-07,-5.942102719972168e-07,1.0,-7.384435491585348e-07,1.0,2500,144
S2,body_norm_ratio,0.009199676970299333,0.008033995574424968,0.0,0.02103618674610309,0.0,2500,144
S2,transfer_shrinkage_risk_index,-5.796048033060695e-05,-5.791671923288666e-05,1.0,-6.314621257445884e-05,1.0,2500,144
S3,all_minus_base,-2.943609103169821e-08,-2.9748378094219555e-08,1.0,-2.896520123893283e-08,1.0,2500,157
S3,post101_p95_vs_e95_e101_sensor,-1.020930535232977e-08,-1.0130753603665324e-08,1.0,-1.0050739818718619e-08,1.0,2500,157
S3,e72_plausible_gap_vs_e95,0.0,0.0,0.0008,0.0,0.006369426751592357,2500,157
S3,body_norm_ratio,0.059892413983588584,0.06049482004164736,0.0,0.06609934731218266,0.0,2500,157
S3,transfer_shrinkage_risk_index,-0.0001589781621147034,-0.00015897816211474236,1.0,-0.00015897816211471195,1.0,2500,157
S4,all_minus_base,-3.078415810842118e-08,-3.067453524519066e-08,1.0,-2.995324931737949e-08,1.0,2500,140
S4,post101_p95_vs_e95_e101_sensor,-1.0677707190693137e-08,-1.0763790545501615e-08,1.0,-1.0380871263101647e-08,1.0,2500,140
S4,e72_plausible_gap_vs_e95,-3.2504889350883794e-20,0.0,0.1504,-3.8703355454184007e-20,0.17857142857142858,2500,140
S4,body_norm_ratio,0.006556822381619467,0.0056698286865030645,0.0,0.016048294233359447,0.0,2500,140
S4,transfer_shrinkage_risk_index,-2.0320349926677927e-05,-2.031510176042639e-05,1.0,-2.0464292309078726e-05,1.0,2500,140
