pair,target,moved_cells,abs_logit_sum,abs_logit_share,mean_signed_logit_delta,max_abs_logit_delta
e230_risk21_vs_e224_clean,Q2,0,0.0,0.0,0.0,0.0
e230_risk21_vs_e224_clean,Q3,21,2.007949219192949,0.9999999999999991,0.008031796876771757,0.17209235472968332
e230_risk21_vs_e224_clean,S1,0,0.0,0.0,0.0,0.0
e230_risk21_vs_e224_clean,S2,0,0.0,0.0,0.0,0.0
e230_risk21_vs_e224_clean,S3,0,0.0,0.0,0.0,0.0
e230_risk21_vs_e224_clean,S4,0,1.6930901125533637e-15,8.431936905425639e-16,-6.772360450213455e-18,6.661338147750939e-16
e230_risk13_vs_e224_clean,Q1,0,0.0,0.0,0.0,0.0
e230_risk13_vs_e224_clean,Q2,0,0.0,0.0,0.0,0.0
e230_risk13_vs_e224_clean,Q3,13,1.4663926659504263,0.9999999999999988,0.005865570663801668,0.17209235472968332
e230_risk13_vs_e224_clean,S1,0,0.0,0.0,0.0,0.0
e230_risk13_vs_e224_clean,S2,0,0.0,0.0,0.0,0.0
e230_risk13_vs_e224_clean,S3,0,0.0,0.0,0.0,0.0
e230_risk13_vs_e224_clean,S4,0,1.6930901125533637e-15,1.154595322158137e-15,-6.772360450213455e-18,6.661338147750939e-16
