basename,source_path,bridge_lane,source_basename,source_experiment,source_target,source_family,source_quadrant,source_failure_mode,multiplier,source_actual_p90,source_null_strict_rate,nonzero_cells,nonzero_rows,mean_abs_delta,max_abs_delta,mean_abs_delta_Q1,mean_abs_delta_Q2,mean_abs_delta_Q3,mean_abs_delta_S1,mean_abs_delta_S2,mean_abs_delta_S3,mean_abs_delta_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p990_9c74921f.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p990_9c74921f.csv,visible_common_scale_down,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,e297,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,0.99,-0.00056547497621,0.9047619047619048,250,250,0.010023449186604553,0.1930500000000005,0.0,0.0,1.7763568394002505e-18,0.07087287303659784,0.0,0.0,0.0,promote_candidate,True,False,-0.0012671675369421126,-0.0017996149415307257,-0.0005571610986172015,0.9411764705882353,-0.001961399179699619
submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p970_882116d4.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p970_882116d4.csv,visible_common_scale_down,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,e297,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,0.97,-0.00056547497621,0.9047619047619048,250,250,0.009820955263642845,0.18915000000000048,0.0,0.0,1.7763568394002505e-18,0.07087287303659784,0.0,0.0,0.0,promote_candidate,True,False,-0.0012327341472959743,-0.0017490862043481835,-0.0005405610047819121,0.9411764705882353,-0.0019217749538470996
submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p990_d717b4f8.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p990_d717b4f8.csv,visible_common_scale_down,submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,e297,S1,bedtime_arousal,visible_but_null_common,matched_null_hallucination,0.99,-0.0005254630682927,1.0,250,250,0.009334760073166604,0.1930500000000005,0.0,0.0,1.7763568394002505e-18,0.06600335405269317,0.0,0.0,0.0,promote_candidate,True,False,-0.0009098311009329168,-0.001408402006404708,-0.0005171320932247505,0.9411764705882353,-0.005977796403179636
submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p970_73623e56.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p970_73623e56.csv,visible_common_scale_down,submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,e297,S1,bedtime_arousal,visible_but_null_common,matched_null_hallucination,0.97,-0.0005254630682927,1.0,250,250,0.009146179061587482,0.18915000000000048,0.0,0.0,1.7763568394002505e-18,0.06600335405269317,0.0,0.0,0.0,promote_candidate,True,False,-0.0008815042508123318,-0.0013641846316722007,-0.0005006451089818424,0.9411764705882353,-0.005857032839478971
submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p920_3fe20b68.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p920_3fe20b68.csv,visible_common_scale_down,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,e297,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,0.92,-0.00056547497621,0.9047619047619048,250,250,0.009314720456238575,0.17940000000000048,0.0,0.0,1.7763568394002505e-18,0.07087287303659784,0.0,0.0,0.0,promote_candidate,True,False,-0.001147383683527894,-0.001623975350965754,-0.0004995356168186453,0.9411764705882353,-0.0018227143892157183
submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p920_5be1d0b2.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p920_5be1d0b2.csv,visible_common_scale_down,submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,e297,S1,bedtime_arousal,visible_but_null_common,matched_null_hallucination,0.92,-0.0005254630682927,1.0,250,250,0.008674726532639676,0.17940000000000048,0.0,0.0,1.7763568394002505e-18,0.06600335405269317,0.0,0.0,0.0,promote_candidate,True,False,-0.0008119503239746965,-0.0012556543634510504,-0.00046020630427899176,0.9411764705882353,-0.005555123930227446
submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p850_17ab72f3.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_routine_fragmentation_S1_raw_human_contex_m0p850_17ab72f3.csv,visible_common_scale_down,submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s030_f8fc2700.csv,e297,S1,routine_fragmentation,visible_but_null_common,matched_null_hallucination,0.85,-0.00056547497621,0.9047619047619048,250,250,0.008605991725872595,0.16575000000000042,0.0,0.0,1.7763568394002505e-18,0.07087287303659784,0.0,0.0,0.0,promote_candidate,True,False,-0.001028792983169706,-0.0014503824595888948,-0.0004427508388416481,0.9411764705882353,-0.0016840295987319842
submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p850_010deaff.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e297_epstate_bedtime_arousal_S1_raw_human_context_date_m0p850_010deaff.csv,visible_common_scale_down,submission_e297_epstate_bedtime_arousal_S1_raw_human_context_dateblock5_all_centered_s030_11e075f1.csv,e297,S1,bedtime_arousal,visible_but_null_common,matched_null_hallucination,0.85,-0.0005254630682927,1.0,250,250,0.008014692992112741,0.16575000000000042,0.0,0.0,1.7763568394002505e-18,0.06600335405269317,0.0,0.0,0.0,promote_candidate,True,False,-0.0007177791708545807,-0.001108813686420718,-0.0004055618417668832,0.9411764705882353,-0.005132451457275422
submission_e299_bridge_visible_common_scale_down_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_ce_m0p990_5c9d13c8.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_ce_m0p990_5c9d13c8.csv,visible_common_scale_down,submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s050_a5007702.csv,e289,Q3,family_jepa_context,visible_but_null_common,matched_null_hallucination,0.99,-0.0003986788385278,1.0,115,115,0.002316100465337653,0.039600000000001134,0.0,0.0,0.016376467936730883,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0005769987456223943,-0.0007335613413500994,-0.00039469147782194354,1.0,0.000411032947291029
submission_e299_bridge_visible_common_scale_down_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_ce_m0p970_2c5bd47f.csv,analysis_outputs/submission_e299_bridge_visible_common_scale_down_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_ce_m0p970_2c5bd47f.csv,visible_common_scale_down,submission_e289_lifeslice_Q3_family_jepa_context_dateblock5_pc_centered_s050_a5007702.csv,e289,Q3,family_jepa_context,visible_but_null_common,matched_null_hallucination,0.97,-0.0003986788385278,1.0,115,115,0.002269310556946994,0.03880000000000111,0.0,0.0,0.016376467936730883,0.0,0.0,0.0,0.0,promote_candidate,True,False,-0.0005648350933921367,-0.000718050866001917,-0.00038671574998559125,1.0,-0.00018605921209563503
