view,source,target,model,source_support_rate,target_support_rate,auc,logloss,brier,corr_benefit,mean_pred,n_source,n_target
movement,only_q3_e224,s4_e224,lr_l2_c0p10,0.5022222222222222,0.27111111111111114,0.7454518192722911,0.5991414667547696,0.20445919659002837,0.018660194264935925,0.4462252953797933,450,450
movement,q3_s4_e224,s2_e216,hgb_shallow,0.38666666666666666,0.5511111111111111,0.7454088150750557,0.6063831169770848,0.20804253276801243,0.02844108913887296,0.4989465115368557,900,450
movement,only_q3_e224,s2_e216,hgb_shallow,0.5022222222222222,0.5511111111111111,0.7286509900990098,0.6036491444175729,0.20717576284455508,-0.0011657433598237666,0.5148017027724391,450,450
movement,s2_q3,s4_e224,lr_l2_c0p10,0.5266666666666666,0.27111111111111114,0.7104908036785287,0.6418262857861683,0.2239005762421312,-0.03720278019444884,0.48945902126114876,900,450
latent_with_targetid,q3_s4_e224,s2_e216,hgb_shallow,0.38666666666666666,0.5511111111111111,0.7070025550942192,0.637292557980344,0.22292011793947014,0.022976670978678143,0.4825806509217559,900,450
latent_no_targetid,q3_s4_e224,s2_e216,hgb_shallow,0.38666666666666666,0.5511111111111111,0.7070025550942192,0.637292557980344,0.22292011793947014,0.022976670978678143,0.4825806509217559,900,450
movement,s2_s4,q3_e224,hgb_shallow,0.4111111111111111,0.5022222222222222,0.6837764696586599,0.6363076359989407,0.22287349558761263,0.014946272826854533,0.5076520140400373,900,450
movement,only_s4_e224,s2_e216,hgb_shallow,0.27111111111111114,0.5511111111111111,0.6826393324816353,0.6657142654411556,0.23293536635834627,-0.007784667323305186,0.46510804268563183,450,450
latent_no_targetid,s2_s4,q3_e224,hgb_shallow,0.4111111111111111,0.5022222222222222,0.6757071744627053,0.6417333384427517,0.22548146663402702,0.06281302174994156,0.5127815271532791,900,450
latent_with_targetid,s2_s4,q3_e224,hgb_shallow,0.4111111111111111,0.5022222222222222,0.6757071744627053,0.6417333384427517,0.22548146663402702,0.06281302174994156,0.5127815271532791,900,450
movement,only_q3_e224,s2_e216,lr_l2_c0p10,0.5022222222222222,0.5511111111111111,0.6754032258064517,0.6613696195135916,0.2345626916656846,0.050769837868375994,0.46337550955275775,450,450
movement,only_s2_e216,q3_e224,hgb_shallow,0.5511111111111111,0.5022222222222222,0.6749071586599242,0.6424198779109721,0.22589885004827698,0.030943558494626263,0.5354099201095133,450,450
movement,only_s2_e216,s4_e224,lr_l2_c0p10,0.5511111111111111,0.27111111111111114,0.6716063574570172,0.6298040438147147,0.21774712007727057,-0.040519820157310496,0.4683297964386442,450,450
movement,only_s2_e216,q3_e224,lr_l2_c0p10,0.5511111111111111,0.5022222222222222,0.6568228508217446,0.6653602710229389,0.23620550101958215,-0.013570324738520982,0.5109663839303301,450,450
latent_no_targetid,s2_q3,s4_e224,lr_l2_c0p10,0.5266666666666666,0.27111111111111114,0.6499900039984007,0.6792942117645803,0.2381632817465229,0.07641323902830532,0.46828163010572516,900,450
latent_with_targetid,s2_q3,s4_e224,lr_l2_c0p10,0.5266666666666666,0.27111111111111114,0.6470161935225909,0.7362979283147428,0.26236671983136844,0.07363569446986624,0.5178887636413678,900,450
movement,q3_s4_e224,s2_e216,lr_l2_c0p10,0.38666666666666666,0.5511111111111111,0.6469378792717981,0.6884897562403525,0.23863931795229013,0.029733640411451323,0.49120614126203466,900,450
movement,s2_s4,q3_e224,lr_l2_c0p10,0.4111111111111111,0.5022222222222222,0.6367335651074588,0.6953306686626317,0.24845357229543658,0.07613366345811012,0.597889116683452,900,450
movement,only_s4_e224,q3_e224,hgb_shallow,0.27111111111111114,0.5022222222222222,0.6352520543615676,0.6712672419380628,0.2388798540520739,0.03358328835273023,0.46235561362801564,450,450
latent_with_targetid,s2_s4,q3_e224,lr_l2_c0p10,0.4111111111111111,0.5022222222222222,0.6324273072060682,0.7511543683207098,0.264088556835851,0.13822347613986138,0.6088203552588258,900,450
latent_no_targetid,only_s2_e216,q3_e224,hgb_shallow,0.5511111111111111,0.5022222222222222,0.625513590391909,0.6759873894742672,0.2409276286719839,0.03916529180931082,0.5066194307103988,450,450
latent_with_targetid,only_s2_e216,q3_e224,hgb_shallow,0.5511111111111111,0.5022222222222222,0.625513590391909,0.6759873894742672,0.2409276286719839,0.03916529180931082,0.5066194307103988,450,450
latent_no_targetid,s2_s4,q3_e224,lr_l2_c0p10,0.4111111111111111,0.5022222222222222,0.6211283185840708,0.733767454068653,0.2583515721981632,0.15765299727429807,0.48860008407633737,900,450
movement,only_s4_e224,s2_e216,lr_l2_c0p10,0.27111111111111114,0.5511111111111111,0.6130828808687321,0.7601458351831785,0.2622519447734603,0.016903154044414902,0.6125061746886664,450,450
latent_no_targetid,q3_s4_e224,s2_e216,lr_l2_c0p10,0.38666666666666666,0.5511111111111111,0.6041400511018844,0.777079032264198,0.2671222240872604,0.011717754840300725,0.5255573169850258,900,450
latent_no_targetid,only_s4_e224,q3_e224,lr_l2_c0p10,0.27111111111111114,0.5022222222222222,0.6011180467762326,0.9079234283791885,0.2926923926740322,0.09500028096571467,0.4580390058734063,450,450
latent_with_targetid,only_s4_e224,q3_e224,lr_l2_c0p10,0.27111111111111114,0.5022222222222222,0.6011180467762326,0.9079234283791877,0.29269239267403185,0.09500028096571483,0.45803900587340624,450,450
movement,only_s4_e224,q3_e224,lr_l2_c0p10,0.27111111111111114,0.5022222222222222,0.600367414664981,0.7238156142283096,0.259208934340278,0.0990364548660035,0.5486802873451714,450,450
latent_with_targetid,q3_s4_e224,s2_e216,lr_l2_c0p10,0.38666666666666666,0.5511111111111111,0.5979519322900032,0.7922219875663986,0.27425575565474464,-0.0005703803152176721,0.4650191434752503,900,450
latent_no_targetid,only_q3_e224,s4_e224,lr_l2_c0p10,0.5022222222222222,0.27111111111111114,0.5961615353858457,0.7427970128247704,0.26148963814861903,0.06747685384764714,0.47557454647631303,450,450
latent_with_targetid,only_q3_e224,s4_e224,lr_l2_c0p10,0.5022222222222222,0.27111111111111114,0.5961615353858457,0.7427970128247704,0.26148963814861903,0.0674768538476472,0.47557454647631303,450,450
latent_no_targetid,only_q3_e224,s2_e216,hgb_shallow,0.5022222222222222,0.5511111111111111,0.5929814755669116,0.6935253540460138,0.25003204727269046,-0.027314796997610833,0.5059720614797911,450,450
