feature,family,support_rescue_abs_mean,shape_only_win_abs_mean,abs_mean_diff_rescue_minus_shapewin,support_rescue_aligned_mean,shape_only_win_aligned_mean,aligned_mean_diff_rescue_minus_shapewin,sort_abs_diff
z__sup_top16_focus_mean_hard_rate,support,0.7083333333333334,0.75,-0.04166666666666663,0.7083333333333334,-0.75,1.4583333333333335,1.4583333333333335
z__sup_top4_flank_mean_swing,support,0.4919805768383854,0.9191243492108776,-0.4271437723724922,0.4919805768383854,-0.9191243492108776,1.411104926049263,1.411104926049263
z__sup_top4_flank_mean_mean,support,0.4925499321433984,0.9182687892915168,-0.4257188571481184,0.4925499321433984,-0.9182687892915168,1.4108187214349153,1.4108187214349153
z__sup_top4_nearest_hard085_swing,support,0.7000000000000001,0.7000000000000001,0.0,0.7000000000000001,-0.7000000000000001,1.4000000000000001,1.4000000000000001
z__sup_top1_nearest_hard085_swing,support,0.7000000000000001,0.7,1.1102230246251565e-16,0.7000000000000001,-0.7,1.4,1.4
z__sup_top4_nearest_hard085_mean,support,0.7000000000000001,0.7,1.1102230246251565e-16,0.7000000000000001,-0.7,1.4,1.4
z__sup_top1_nearest_hard085_mean,support,0.7000000000000001,0.7,1.1102230246251565e-16,0.7000000000000001,-0.7,1.4,1.4
z__sup_top16_subject_hard_rate,support,0.5833333333333334,0.75,-0.16666666666666663,0.5833333333333334,-0.75,1.3333333333333335,1.3333333333333335
z__target_top1_S3_support_swing,target,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333333,-1.0,1.3333333333333333,1.3333333333333333
z__sup_top4_global_hard_rate,support,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333333,-1.0,1.3333333333333333,1.3333333333333333
z__target_top4_S3_support_swing,target,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333333,-1.0,1.3333333333333333,1.3333333333333333
z__shape_top4_support_label_mean,shape,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333333,-1.0,1.3333333333333333,1.3333333333333333
z__shape_top4_support_label_swing,shape,0.33357140195943796,1.0,-0.666428598040562,0.33309526470722867,-1.0,1.3330952647072287,1.3330952647072287
z__sup_top1_subject_swing,support,0.4067460317460317,0.9166666666666669,-0.5099206349206351,0.4067460317460317,-0.9166666666666669,1.3234126984126986,1.3234126984126986
z__sup_top1_subject_mean,support,0.4067460317460317,0.9166666666666669,-0.5099206349206351,0.4067460317460317,-0.9166666666666669,1.3234126984126986,1.3234126984126986
z__sup_top1_flank_mean_mean,support,0.35176986313349956,0.9388888888888892,-0.5871190257553897,0.35176986313349956,-0.9388888888888892,1.2906587520223889,1.2906587520223889
z__sup_top1_flank_mean_swing,support,0.3517698631334996,0.938888888888889,-0.5871190257553893,0.3517698631334996,-0.938888888888889,1.2906587520223887,1.2906587520223887
z__sup_top4_subject_swing,support,0.38611471781976664,0.8865185928427816,-0.5004038750230149,0.38611471781976664,-0.8865185928427816,1.2726333106625483,1.2726333106625483
z__sup_top4_subject_mean,support,0.3862393534649633,0.8854166666666667,-0.49917731320170344,0.3862393534649633,-0.8854166666666667,1.27165602013163,1.27165602013163
z__sup_top16_all_prior_support_rate,support,0.5833333333333334,0.6875,-0.10416666666666663,0.5833333333333334,-0.6875,1.2708333333333335,1.2708333333333335
z__sup_top16_all_prior_adverse_rate,support,0.5833333333333334,0.6875,-0.10416666666666663,-0.5833333333333334,0.6875,-1.2708333333333335,1.2708333333333335
z__sup_top4_visible_mean_swing,support,0.457457719917846,0.798208633447248,-0.340750913529402,0.457457719917846,-0.798208633447248,1.255666353365094,1.255666353365094
z__sup_top4_visible_mean_mean,support,0.4577981757409577,0.797562324039597,-0.3397641482986393,0.4577981757409577,-0.797562324039597,1.2553604997805548,1.2553604997805548
z__sup_top16_flank_mean_swing,support,0.5672350610573121,0.673504829597223,-0.10626976853991088,0.5672350610573121,-0.673504829597223,1.240739890654535,1.240739890654535
z__sup_top16_flank_mean_mean,support,0.5609676331816354,0.6657699122530443,-0.10480227907140882,0.5609676331816354,-0.6657699122530443,1.2267375454346796,1.2267375454346796
z__sup_top1_visible_mean_mean,support,0.4033507305585227,0.813809523809524,-0.41045879325100126,0.4033507305585227,-0.813809523809524,1.2171602543680466,1.2171602543680466
z__sup_top1_visible_mean_swing,support,0.4033507305585227,0.813809523809524,-0.41045879325100126,0.4033507305585227,-0.813809523809524,1.2171602543680466,1.2171602543680466
z__sup_top16_subject_swing,support,0.5296396973389293,0.6403523413347036,-0.1107126439957743,0.5296396973389293,-0.6403523413347036,1.1699920386736329,1.1699920386736329
z__sup_top16_subject_mean,support,0.5238848551732516,0.6339994868585781,-0.11011463168532654,0.5238848551732516,-0.6339994868585781,1.1578843420318297,1.1578843420318297
z__sup_top1_focus_mean_mean,support,0.47212522045855376,0.6470370370370373,-0.17491181657848354,0.47212522045855376,-0.6470370370370373,1.119162257495591,1.119162257495591
z__sup_top1_focus_mean_swing,support,0.4721252204585536,0.6470370370370373,-0.1749118165784837,0.4721252204585536,-0.6470370370370373,1.1191622574955908,1.1191622574955908
z__shape_top16_support_label_swing,shape,0.4679573169792059,0.6368947030750938,-0.16893738609588788,0.4679573169792059,-0.6368947030750938,1.1048520200542997,1.1048520200542997
z__shape_top16_support_label_mean,shape,0.4583333333333333,0.625,-0.16666666666666669,0.4583333333333333,-0.625,1.0833333333333333,1.0833333333333333
z__sup_top16_global_hard_rate,support,0.4583333333333333,0.625,-0.16666666666666669,0.4583333333333333,-0.625,1.0833333333333333,1.0833333333333333
z__sup_top16_visible_mean_swing,support,0.49484900080374317,0.5819408712065438,-0.08709187040280064,0.49484900080374317,-0.5819408712065438,1.0767898720102869,1.0767898720102869
z__sup_top16_visible_mean_mean,support,0.48917669562589644,0.5749795590926475,-0.08580286346675109,0.48917669562589644,-0.5749795590926475,1.064156254718544,1.064156254718544
z__sup_top4_focus_mean_swing,support,0.41142724402379355,0.6369876790957423,-0.22556043507194873,0.41142724402379355,-0.6369876790957423,1.0484149231195359,1.0484149231195359
z__sup_top4_focus_mean_mean,support,0.41146250053770395,0.6366203703703706,-0.2251578698326666,0.41146250053770395,-0.6366203703703706,1.0480828709080745,1.0480828709080745
z__sup_top16_nearest_hard085_swing,support,0.5018344125394706,0.532577490613404,-0.030743078073933394,0.5018344125394706,-0.532577490613404,1.0344119031528747,1.0344119031528747
z__sup_top16_nearest_hard085_mean,support,0.4958333333333333,0.5249999999999999,-0.02916666666666662,0.4958333333333333,-0.5249999999999999,1.0208333333333333,1.0208333333333333
z__target_top16_Q2_support_swing,target,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0
z__target_between_Q2_support_swing,target,0.22410295959504378,0.7295519098212592,-0.5054489502262154,0.22410295959504378,-0.7295519098212592,0.953654869416303,0.953654869416303
z__sup_top16_focus_mean_swing,support,0.39833425379898446,0.4598555933523054,-0.06152133955332095,0.39833425379898446,-0.4598555933523054,0.8581898471512899,0.8581898471512899
z__sup_top33_flank_mean_hard_rate,support,0.5151515151515152,0.3333333333333333,0.18181818181818193,0.5151515151515152,-0.3333333333333333,0.8484848484848486,0.8484848484848486
z__sup_top33_visible_mean_hard_rate,support,0.5151515151515152,0.3333333333333333,0.18181818181818193,0.5151515151515152,-0.3333333333333333,0.8484848484848486,0.8484848484848486
z__sup_top16_focus_mean_mean,support,0.3934554455515777,0.4539257548787855,-0.060470309327207816,0.3934554455515777,-0.4539257548787855,0.8473812004303631,0.8473812004303631
z__target_top16_S3_support_swing,target,0.16380566418242745,0.6368947030750938,-0.4730890388926663,0.16380566418242745,-0.6368947030750938,0.8007003672575213,0.8007003672575213
z__sup_top33_flank_mean_swing,support,0.4112036045803999,0.3857345966386803,0.02546900794171958,0.4112036045803999,-0.3857345966386803,0.7969382012190802,0.7969382012190802
z__target_top33_Q2_support_swing,target,0.7811597681108694,0.0,0.7811597681108694,-0.7811597681108694,0.0,-0.7811597681108694,0.7811597681108694
z__sup_top33_nearest_hard085_hard_rate,support,0.494949494949495,0.2727272727272727,0.22222222222222227,0.494949494949495,-0.2727272727272727,0.7676767676767677,0.7676767676767677
z__sup_top33_focus_mean_hard_rate,support,0.494949494949495,0.2727272727272727,0.22222222222222227,0.494949494949495,-0.2727272727272727,0.7676767676767677,0.7676767676767677
z__sup_top33_subject_swing,support,0.3840043836820824,0.3789727766566843,0.0050316070253981215,0.3840043836820824,-0.3789727766566843,0.7629771603387667,0.7629771603387667
z__sup_top33_visible_mean_swing,support,0.3520723432650745,0.3283338064069858,0.023738536858088743,0.3520723432650745,-0.3283338064069858,0.6804061496720604,0.6804061496720604
z__sup_top33_flank_mean_mean,support,0.4004465628017632,0.2679927007923222,0.13245386200944104,0.4004465628017632,-0.2679927007923222,0.6684392635940855,0.6684392635940855
z__target_top4_S1_support_swing,target,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
z__target_top1_S2_support_swing,target,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
z__target_top4_Q2_support_swing,target,0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666
z__target_top16_S1_support_swing,target,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
z__sup_top33_subject_mean,support,0.3726641078849204,0.2762911582764708,0.09637294960844955,0.3726641078849204,-0.2762911582764708,0.6489552661613912,0.6489552661613912
z__sup_top33_nearest_hard085_swing,support,0.35227224989264383,0.2958813033768518,0.05639094651579202,0.35227224989264383,-0.2958813033768518,0.6481535532694956,0.6481535532694956
z__sup_top1_global_mean,support,0.3096296296296296,0.3244444444444446,-0.014814814814815003,0.3096296296296296,-0.3244444444444446,0.6340740740740742,0.6340740740740742
z__sup_top1_global_swing,support,0.3096296296296296,0.3244444444444446,-0.014814814814815003,0.3096296296296296,-0.3244444444444446,0.6340740740740742,0.6340740740740742
z__sup_top33_subject_hard_rate,support,0.27272727272727276,0.3333333333333333,-0.06060606060606055,0.27272727272727276,-0.3333333333333333,0.6060606060606061,0.6060606060606061
z__sup_top33_visible_mean_mean,support,0.3428211111032464,0.2240951431213999,0.11872596798184654,0.3428211111032464,-0.2240951431213999,0.5669162542246463,0.5669162542246463
z__sup_top33_all_prior_support_rate,support,0.3333333333333333,0.2121212121212121,0.12121212121212122,0.3333333333333333,-0.2121212121212121,0.5454545454545454,0.5454545454545454
z__sup_top33_all_prior_adverse_rate,support,0.3333333333333333,0.2121212121212121,0.12121212121212122,-0.3333333333333333,0.2121212121212121,-0.5454545454545454,0.5454545454545454
z__sup_top33_nearest_hard085_mean,support,0.3464646464646464,0.1909090909090909,0.15555555555555553,0.3464646464646464,-0.1909090909090909,0.5373737373737373,0.5373737373737373
z__target_top33_S1_support_swing,target,0.5331923798073793,0.0,0.5331923798073793,0.5331923798073793,0.0,0.5331923798073793,0.5331923798073793
z__sup_top33_focus_mean_swing,support,0.2732306615113076,0.251799419431393,0.021431242079914592,0.2732306615113076,-0.251799419431393,0.5250300809427006,0.5250300809427006
z__sup_between_subject_swing,support,0.08152605845070098,0.4434813372176872,-0.3619552787669862,0.08152605845070098,-0.4434813372176872,0.5250073956683882,0.5250073956683882
z__sup_between_flank_mean_swing,support,0.10749428543475466,0.4170887516603667,-0.30959446622561204,0.10749428543475466,-0.4170887516603667,0.5245830370951213,0.5245830370951213
z__sup_top4_global_swing,support,0.1481670142516136,0.3244444444444446,-0.176277430192831,0.1481670142516136,-0.3244444444444446,0.4726114586960582,0.4726114586960582
z__sup_top4_global_mean,support,0.14814814814814817,0.3244444444444446,-0.17629629629629642,0.14814814814814817,-0.3244444444444446,0.4725925925925928,0.4725925925925928
z__shape_top33_support_label_swing,shape,0.2074644881586454,0.2482526042280095,-0.04078811606936408,0.2074644881586454,-0.2482526042280095,0.4557170923866549,0.4557170923866549
z__sup_all_flank_mean_swing,support,0.11694863990497245,0.3278291529549148,-0.21088051304994238,0.11694863990497245,-0.3278291529549148,0.4447777928598873,0.4447777928598873
z__sup_between_visible_mean_swing,support,0.09037817217174975,0.3519937201362264,-0.2616155479644766,0.09037817217174975,-0.3519937201362264,0.44237189230797613,0.44237189230797613
z__sup_top33_focus_mean_mean,support,0.26598717550522416,0.165565066226837,0.10042210927838716,0.26598717550522416,-0.165565066226837,0.4315522417320612,0.4315522417320612
z__sup_all_subject_swing,support,0.0890042401356399,0.3220067630546785,-0.2330025229190386,0.0890042401356399,-0.3220067630546785,0.4110110031903184,0.4110110031903184
z__sup_all_flank_mean_hard_rate,support,0.15909905227007035,0.24,-0.08090094772992965,0.15909905227007035,-0.24,0.39909905227007036,0.39909905227007036
z__sup_all_visible_mean_hard_rate,support,0.1570790252674503,0.24,-0.0829209747325497,0.1570790252674503,-0.24,0.3970790252674503,0.3970790252674503
z__sup_all_nearest_hard085_swing,support,0.13872709850027284,0.2540050402759786,-0.11527794177570574,0.13872709850027284,-0.2540050402759786,0.39273213877625146,0.39273213877625146
z__sup_between_nearest_hard085_swing,support,0.12454129174815694,0.254483160421724,-0.12994186867356705,0.12454129174815694,-0.254483160421724,0.3790244521698809,0.3790244521698809
z__sup_all_visible_mean_swing,support,0.09910816176219567,0.2775397527236715,-0.17843159096147582,0.09910816176219567,-0.2775397527236715,0.37664791448586715,0.37664791448586715
z__target_top33_S3_support_swing,target,0.12311542366007337,0.2482526042280095,-0.1251371805679361,0.12311542366007337,-0.2482526042280095,0.3713680278880829,0.3713680278880829
z__sup_top16_global_swing,support,0.16352865151855364,0.2066369481088082,-0.04310829659025456,0.16352865151855364,-0.2066369481088082,0.37016559962736184,0.37016559962736184
z__sup_top16_global_mean,support,0.1606481481481481,0.2027777777777779,-0.042129629629629795,0.1606481481481481,-0.2027777777777779,0.363425925925926,0.363425925925926
z__shape_between_support_label_swing,shape,0.018008954501850135,0.3276587865092045,-0.30964983200735435,0.018008954501850135,-0.3276587865092045,0.34566774101105463,0.34566774101105463
z__sup_all_nearest_hard085_hard_rate,support,0.1396453294629816,0.1999999999999999,-0.06035467053701829,0.1396453294629816,-0.1999999999999999,0.33964532946298154,0.33964532946298154
z__target_top16_S2_support_swing,target,0.3336925504512369,0.0,0.3336925504512369,0.3336925504512369,0.0,0.3336925504512369,0.3336925504512369
z__sup_between_focus_mean_swing,support,0.06755668782107643,0.2652003447707072,-0.19764365694963076,0.06755668782107643,-0.2652003447707072,0.33275703259178363,0.33275703259178363
z__target_all_S4_support_swing,target,0.3252703755620686,0.0,0.3252703755620686,0.3252703755620686,0.0,0.3252703755620686,0.3252703755620686
z__sup_all_focus_mean_hard_rate,support,0.12379243135170316,0.1999999999999999,-0.07620756864829674,0.12379243135170316,-0.1999999999999999,0.32379243135170305,0.32379243135170305
z__sup_between_subject_mean,support,0.0487528437250069,0.2739072002940515,-0.22515435656904462,0.0487528437250069,-0.2739072002940515,0.3226600440190584,0.3226600440190584
z__sup_all_focus_mean_swing,support,0.07532085757182654,0.2104872190820136,-0.13516636151018707,0.07532085757182654,-0.2104872190820136,0.2858080766538401,0.2858080766538401
z__sup_between_flank_mean_mean,support,0.0717985692815948,0.2128655660075833,-0.1410669967259885,0.0717985692815948,-0.2128655660075833,0.2846641352891781,0.2846641352891781
z__sup_top33_global_hard_rate,support,0.19191919191919193,0.0909090909090909,0.10101010101010104,0.19191919191919193,-0.0909090909090909,0.2828282828282828,0.2828282828282828
z__shape_top33_support_label_mean,shape,0.19191919191919193,0.0909090909090909,0.10101010101010104,0.19191919191919193,-0.0909090909090909,0.2828282828282828,0.2828282828282828
z__sup_between_flank_mean_hard_rate,support,0.12744772085965408,0.1333333333333333,-0.005885612473679219,0.12744772085965408,-0.1333333333333333,0.26078105419298736,0.26078105419298736
z__sup_all_flank_mean_mean,support,0.08432964210781224,0.1720990292042253,-0.08776938709641305,0.08432964210781224,-0.1720990292042253,0.2564286713120375,0.2564286713120375
z__sup_between_visible_mean_hard_rate,support,0.11262286557036057,0.1333333333333333,-0.020710467762972737,0.11262286557036057,-0.1333333333333333,0.24595619890369386,0.24595619890369386
z__sup_all_subject_mean,support,0.06473617757853879,0.1753716271197474,-0.11063544954120862,0.06473617757853879,-0.1753716271197474,0.2401078046982862,0.2401078046982862
z__sup_all_nearest_hard085_mean,support,0.09775173062408705,0.1399999999999999,-0.04224826937591285,0.09775173062408705,-0.1399999999999999,0.23775173062408694,0.23775173062408694
z__sup_not_e72_subject_hard_rate,support,0.23376623376623373,0.0,0.23376623376623373,0.23376623376623373,0.0,0.23376623376623373,0.23376623376623373
z__sup_between_visible_mean_mean,support,0.059349135105073274,0.172894050459039,-0.11354491535396571,0.059349135105073274,-0.172894050459039,0.23224318556411228,0.23224318556411228
z__sup_between_all_prior_support_rate,support,0.06095231058786976,0.1666666666666667,-0.10571435607879695,0.06095231058786976,-0.1666666666666667,0.22761897725453648,0.22761897725453648
z__target_between_S4_support_swing,target,0.21849786593774298,0.0,0.21849786593774298,0.21849786593774298,0.0,0.21849786593774298,0.21849786593774298
z__sup_all_visible_mean_mean,support,0.07014533311106433,0.142823963419521,-0.07267863030845667,0.07014533311106433,-0.142823963419521,0.21296929653058533,0.21296929653058533
z__sup_between_nearest_hard085_hard_rate,support,0.13671810989015154,0.0666666666666666,0.07005144322348494,0.13671810989015154,-0.0666666666666666,0.20338477655681814,0.20338477655681814
z__sup_between_not_e72_subject_hard_rate,support,0.20289855072463772,0.0,0.20289855072463772,0.20289855072463772,0.0,0.20289855072463772,0.20289855072463772
z__sup_between_all_prior_adverse_rate,support,0.0313026000092827,0.1666666666666667,-0.135364066657384,-0.0313026000092827,0.1666666666666667,-0.1979692666759494,0.1979692666759494
z__shape_all_support_label_swing,shape,0.017018958187985867,0.176345089876213,-0.15932613168822712,0.017018958187985867,-0.176345089876213,0.19336404806419888,0.19336404806419888
z__target_all_S2_support_swing,target,0.1930505721042515,0.0,0.1930505721042515,-0.1930505721042515,0.0,-0.1930505721042515,0.1930505721042515
z__sup_all_all_prior_support_rate,support,0.07087670811893272,0.12,-0.049123291881067274,0.07087670811893272,-0.12,0.1908767081189327,0.1908767081189327
z__target_between_not_e72_S2_support_swing,target,0.18573671010325662,0.0,0.18573671010325662,0.18573671010325662,0.0,0.18573671010325662,0.18573671010325662
z__sup_between_focus_mean_hard_rate,support,0.11556870289383527,0.0666666666666666,0.04890203622716867,0.11556870289383527,-0.0666666666666666,0.18223536956050185,0.18223536956050185
z__shape_between_support_label_mean,shape,0.030768370989848737,0.1999999999999999,-0.16923162901015115,-0.030768370989848737,-0.1999999999999999,0.16923162901015115,0.16923162901015115
z__sup_between_subject_hard_rate,support,0.0340741498512399,0.1333333333333333,-0.0992591834820934,0.0340741498512399,-0.1333333333333333,0.1674074831845732,0.1674074831845732
z__sup_all_all_prior_adverse_rate,support,0.046636384087492135,0.12,-0.07336361591250787,-0.046636384087492135,0.12,-0.16663638408749212,0.16663638408749212
z__sup_between_global_hard_rate,support,0.03406278327635836,0.1999999999999999,-0.16593721672364153,-0.03406278327635836,-0.1999999999999999,0.16593721672364153,0.16593721672364153
z__sup_not_e72_focus_mean_hard_rate,support,0.16450216450216446,0.0,0.16450216450216446,0.16450216450216446,0.0,0.16450216450216446,0.16450216450216446
z__sup_top33_global_swing,support,0.08341535095919612,0.080544178260643,0.0028711726985531233,0.08341535095919612,-0.080544178260643,0.16395952921983914,0.16395952921983914
z__sup_between_focus_mean_mean,support,0.042749889536377865,0.1195986963943134,-0.07684880685793555,0.042749889536377865,-0.1195986963943134,0.16234858593069126,0.16234858593069126
z__sup_between_not_e72_nearest_hard085_hard_rate,support,0.1594202898550724,0.0,0.1594202898550724,0.1594202898550724,0.0,0.1594202898550724,0.1594202898550724
z__sup_not_e72_nearest_hard085_hard_rate,support,0.15584415584415587,0.0,0.15584415584415587,0.15584415584415587,0.0,0.15584415584415587,0.15584415584415587
z__sup_all_focus_mean_mean,support,0.05123292111540064,0.1037905423732491,-0.05255762125784846,0.05123292111540064,-0.1037905423732491,0.15502346348864973,0.15502346348864973
z__sup_not_e72_visible_mean_hard_rate,support,0.1471861471861472,0.0,0.1471861471861472,0.1471861471861472,0.0,0.1471861471861472,0.1471861471861472
z__sup_not_e72_flank_mean_hard_rate,support,0.1471861471861472,0.0,0.1471861471861472,0.1471861471861472,0.0,0.1471861471861472,0.1471861471861472
z__target_between_S3_support_swing,target,0.34504827409632305,0.3022679906326239,0.042780283463699165,-0.155100991441031,-0.3022679906326239,0.14716699919159287,0.14716699919159287
z__sup_not_e72_flank_mean_swing,support,0.14544202647902793,0.0,0.14544202647902793,0.14544202647902793,0.0,0.14544202647902793,0.14544202647902793
z__sup_between_not_e72_focus_mean_hard_rate,support,0.14492753623188406,0.0,0.14492753623188406,0.14492753623188406,0.0,0.14492753623188406,0.14492753623188406
z__sup_between_nearest_hard085_mean,support,0.09570267692310593,0.0466666666666666,0.049036010256439326,0.09570267692310593,-0.0466666666666666,0.14236934358977252,0.14236934358977252
z__target_not_e72_S2_support_swing,target,0.14063558744222152,0.0,0.14063558744222152,0.14063558744222152,0.0,0.14063558744222152,0.14063558744222152
z__sup_not_e72_subject_swing,support,0.13973893353342862,0.0,0.13973893353342862,0.13973893353342862,0.0,0.13973893353342862,0.13973893353342862
z__sup_not_e72_flank_mean_mean,support,0.13650373628296966,0.0,0.13650373628296966,0.13650373628296966,0.0,0.13650373628296966,0.13650373628296966
z__sup_between_not_e72_flank_mean_hard_rate,support,0.13043478260869565,0.0,0.13043478260869565,0.13043478260869565,0.0,0.13043478260869565,0.13043478260869565
z__sup_between_not_e72_visible_mean_hard_rate,support,0.13043478260869565,0.0,0.13043478260869565,0.13043478260869565,0.0,0.13043478260869565,0.13043478260869565
z__sup_not_e72_subject_mean,support,0.12731616636532542,0.0,0.12731616636532542,0.12731616636532542,0.0,0.12731616636532542,0.12731616636532542
z__target_between_not_e72_S1_support_swing,target,0.12684845380417328,0.0,0.12684845380417328,-0.12684845380417328,0.0,-0.12684845380417328,0.12684845380417328
z__target_all_Q2_support_swing,target,0.0113606434805209,0.1375424599547144,-0.1261818164741935,-0.010979807125771563,-0.1375424599547144,0.12656265282894283,0.12656265282894283
z__sup_not_e72_visible_mean_swing,support,0.1222899611311618,0.0,0.1222899611311618,0.1222899611311618,0.0,0.1222899611311618,0.1222899611311618
z__sup_between_not_e72_flank_mean_mean,support,0.1170520628853276,0.0,0.1170520628853276,0.1170520628853276,0.0,0.1170520628853276,0.1170520628853276
z__sup_not_e72_nearest_hard085_swing,support,0.1163570359646912,0.0,0.1163570359646912,0.1163570359646912,0.0,0.1163570359646912,0.1163570359646912
z__target_between_S2_support_swing,target,0.11555505452760144,0.0,0.11555505452760144,-0.11555505452760144,0.0,-0.11555505452760144,0.11555505452760144
z__sup_not_e72_visible_mean_mean,support,0.11225282627655386,0.0,0.11225282627655386,0.11225282627655386,0.0,0.11225282627655386,0.11225282627655386
z__sup_between_not_e72_nearest_hard085_mean,support,0.11159420289855072,0.0,0.11159420289855072,0.11159420289855072,0.0,0.11159420289855072,0.11159420289855072
z__sup_not_e72_nearest_hard085_mean,support,0.10909090909090913,0.0,0.10909090909090913,0.10909090909090913,0.0,0.10909090909090913,0.10909090909090913
z__sup_top33_global_mean,support,0.07883277216610557,0.0294949494949496,0.04933782267115597,0.07883277216610557,-0.0294949494949496,0.10832772166105517,0.10832772166105517
z__sup_not_e72_all_prior_support_rate,support,0.10389610389610393,0.0,0.10389610389610393,0.10389610389610393,0.0,0.10389610389610393,0.10389610389610393
z__sup_not_e72_all_prior_adverse_rate,support,0.10389610389610393,0.0,0.10389610389610393,-0.10389610389610393,0.0,-0.10389610389610393,0.10389610389610393
z__sup_all_subject_hard_rate,support,0.05862463470346497,0.04,0.018624634703464968,0.05862463470346497,-0.04,0.09862463470346497,0.09862463470346497
z__sup_between_not_e72_subject_mean,support,0.09846346777204533,0.0,0.09846346777204533,0.09846346777204533,0.0,0.09846346777204533,0.09846346777204533
z__sup_between_not_e72_visible_mean_mean,support,0.09726320167784534,0.0,0.09726320167784534,0.09726320167784534,0.0,0.09726320167784534,0.09726320167784534
z__sup_between_not_e72_flank_mean_swing,support,0.09621218689809767,0.0,0.09621218689809767,0.09621218689809767,0.0,0.09621218689809767,0.09621218689809767
z__sup_between_global_swing,support,0.0034593810366962807,0.0976365366727096,-0.09417715563601332,-0.003397286735628653,-0.0976365366727096,0.09423924993708095,0.09423924993708095
z__sup_between_not_e72_all_prior_support_rate,support,0.09420289855072467,0.0,0.09420289855072467,0.09420289855072467,0.0,0.09420289855072467,0.09420289855072467
z__sup_between_not_e72_all_prior_adverse_rate,support,0.09420289855072467,0.0,0.09420289855072467,-0.09420289855072467,0.0,-0.09420289855072467,0.09420289855072467
z__sup_between_not_e72_subject_swing,support,0.09355869180098653,0.0,0.09355869180098653,0.09355869180098653,0.0,0.09355869180098653,0.09355869180098653
z__sup_not_e72_focus_mean_swing,support,0.09142054066734052,0.0,0.09142054066734052,0.09142054066734052,0.0,0.09142054066734052,0.09142054066734052
z__sup_between_not_e72_visible_mean_swing,support,0.08053162844105527,0.0,0.08053162844105527,0.08053162844105527,0.0,0.08053162844105527,0.08053162844105527
z__sup_not_e72_focus_mean_mean,support,0.07991827960133267,0.0,0.07991827960133267,0.07991827960133267,0.0,0.07991827960133267,0.07991827960133267
