tag,strategy,source,fallback,row_quantile,cell_quantile,beta,projection_scope,pred_index,cleaner_than_e85_noq2,eligible,pareto_score,margin_retention_vs_e86_e85,decontam_gain_vs_e86_to_min,hidden_retention_vs_e86_e85,world_retention_vs_e86_e85,all_delta_vs_mixmin,e72_failed_contamination_index,hidden_q2s3_mean_minus_base,world_support_minus_base,block_q2s3_beats_base_rate,block_q2s3_tail_safe_rate,mixmin_reversal_index,materialized_submission
e89_row_e72_fallback_28925de5,row_e72_fallback,e86,e85,0.9,,,,27,True,True,0.749619305025506,0.7980482856188881,0.589422121889632,0.5186714882358985,0.6812722458267232,-2.6932385085221e-05,0.7157842012048675,-0.0002998384676441,-0.0002509993672111,0.7777777777777778,1.0,0.63882455651664,True
e89_row_e72_fallback_e6493417,row_e72_fallback,e86,e85,0.8,,,,23,True,True,0.6976753368838949,0.6873168545367371,0.8467201383967012,0.2055067102879008,0.4288545107501072,-2.6508278398118534e-05,0.6910789419915715,-0.0002492543696126,-0.0002063016309324,0.7222222222222222,0.9444444444444444,0.6512577637762818,False
e89_row_e72_q2_remove_6b4585f5,row_e72_q2_remove,e86,q2_zero,0.8,,,,22,True,True,0.6415103947466514,0.8515816196512667,0.49473536629247755,0.2787119776002321,0.40897488653339986,-2.7137420319789385e-05,0.724875840825142,-0.0002610788871794,-0.0002027813782834,0.7222222222222222,0.9444444444444444,0.657836429649702,False
e89_row_e72_fallback_7c2e4987,row_e72_fallback,e86,e85,0.7,,,,19,True,True,0.6165172902843649,0.5712549124784884,0.8406004991013845,0.08863914151325947,0.2745009540088863,-2.6063755598548788e-05,0.6916665379518323,-0.0002303772768746,-0.0001789689454109,0.6388888888888888,0.9444444444444444,0.6526818172784952,False
e89_row_e72_q2_remove_85f7ef06,row_e72_q2_remove,e86,q2_zero,0.7,,,,18,True,True,0.6129459170998576,0.8053034461065022,0.553895537798782,0.17132377827983694,0.3272970653067581,-2.696017269754325e-05,0.7191953952779602,-0.0002437329543531,-0.0001883179979195,0.6388888888888888,0.9444444444444444,0.6635492437437819,False
e89_cell_e72_fallback_8e24187e,cell_e72_fallback,e86,e85,,0.9,,,39,True,True,0.6026404995423601,0.6862046820423426,0.8424378102976374,0.0,0.16980346242827957,-2.650401872417163e-05,0.6914901228749688,-0.0002160597950265,-0.0001604292779573,0.6388888888888888,0.9444444444444444,0.6879818013918344,False
e89_row_e72_q2_remove_ad12b148,row_e72_q2_remove,e86,q2_zero,0.6,,,,14,True,True,0.5938261045774712,0.7815517046704633,0.6054454170727784,0.1286049564973173,0.19781512757329256,-2.686920238970103e-05,0.7142456753105573,-0.000236832775211,-0.0001653895396481,0.6388888888888888,0.9444444444444444,0.669068821994981,False
e89_cell_e72_fallback_00d7807f,cell_e72_fallback,e86,e85,,0.8,,,36,True,True,0.5895421209194367,0.5274424991017145,1.0,0.0,0.056989048966318276,-2.5895951955901e-05,0.6763613053595627,-0.0002160597950265,-0.000140452278719,0.6388888888888888,0.9444444444444444,0.6816475688192822,False
e89_row_e72_fallback_3a92956a,row_e72_fallback,e86,e85,0.6,,,,15,True,True,0.560326169468069,0.43306239352392367,0.9061476504869183,0.04295225726598744,0.1435553633165231,-2.553447162900735e-05,0.6853728269172263,-0.0002229976799523,-0.0001557813057712,0.6388888888888888,0.9444444444444444,0.6562139145954701,False
e89_cell_e72_fallback_f0e327cd,cell_e72_fallback,e86,e85,,0.7,,,33,True,True,0.5044926599325934,0.4125144016607925,0.9348949218497088,0.0,-0.012458819505975065,-2.545577183554748e-05,0.6826125693748866,-0.0002160597950265,-0.0001281545591901,0.6388888888888888,0.9444444444444444,0.6773448666744241,False
e89_project_away_e72_3a962fb0,project_away_e72,e86,,,,0.25,e86_active_top80cell,48,True,True,0.503999908334782,0.7712540419933628,0.45874368429235673,0.4323266996182317,0.11502342475535915,-2.6829761848201628e-05,0.728331692702302,-0.0002858915822997,-0.0001507289148806,0.7777777777777778,1.0,0.6956786786373065,False
e89_project_away_e72_3e43e09e,project_away_e72,e86,,,,0.4,e86_active_top80cell,49,True,True,0.45678119857562477,0.5551410840136862,0.7796108645162065,0.08690214152894153,-0.4442227844034719,-2.6002038863381927e-05,0.697522645014786,-0.0002300967070798,-5.169847407477945e-05,0.7777777777777778,1.0,0.7394515077660818,False
e89_cell_e72_fallback_01dc4bf6,cell_e72_fallback,e86,e85,,0.6,,,30,True,True,0.43952919347533276,0.29296107478607714,0.8424157136452676,0.0,-0.11449968347810624,-2.499787686482957e-05,0.6914922445529046,-0.0002160597950265,-0.000110085323183,0.6388888888888888,0.9444444444444444,0.6644524767889594,False
e89_control_a3f7c96f,control,e86,,,,,,2,False,False,0.7388888888888888,1.0,0.0,1.0,1.0,-2.7705869828476004e-05,0.7723793763446426,-0.0003775852972332,-0.0003074391775771,0.7777777777777778,1.0,0.6270625307172869,False
e89_blend_e86_noq2_4a5e962f,blend_e86_noq2,e86+noq2,,,,,,12,False,False,0.7271813172541512,0.9985901297380707,0.07360548727462073,0.8875014744758597,0.877562424604643,-2.770046995781428e-05,0.7653119194426167,-0.0003594139164004,-0.0002857581239302,0.7777777777777778,1.0,0.6287747650060174,False
e89_row_e72_fallback_a1c511b2,row_e72_fallback,e86,noq2,0.9,,,,25,False,False,0.7216084028570126,0.9681247799167103,0.17727278832864884,0.6219028920142446,0.7157823647579227,-2.7583786208151828e-05,0.7553579851711794,-0.0003165129719829,-0.000257110364897,0.7777777777777778,1.0,0.6299515843860172,False
e89_blend_e86_noq2_95bb4241,blend_e86_noq2,e86+noq2,,,,,,11,False,False,0.7175831531027663,0.9936827239561322,0.12178332148630099,0.8120948543459099,0.7949999668204338,-2.7681674358515096e-05,0.7606859767373721,-0.0003472338242142,-0.0002711380935134,0.7777777777777778,1.0,0.6297622026478018,False
e89_row_e72_q2_remove_b4fb0071,row_e72_q2_remove,e86,q2_zero,0.9,,,,26,False,False,0.7113566851395212,0.9356049452779432,0.3297140074906717,0.562252083995272,0.7090157008743807,-2.7459233683191364e-05,0.7407208733686281,-0.0003068778452606,-0.0002559121346789,0.7777777777777778,1.0,0.6434454648194612,False
e89_blend_e86_noq2_8952f93d,blend_e86_noq2,e86+noq2,,,,,,10,False,False,0.6996059442384189,0.9777994750003912,0.19213097518063127,0.6983738044451094,0.6707807657314958,-2.762084075391691e-05,0.7539313307313161,-0.0003288649745175,-0.0002491415523855,0.7777777777777778,1.0,0.6311066677899971,False
e89_blend_e86_noq2_b48ca4b0,blend_e86_noq2,e86+noq2,,,,,,9,False,False,0.6809885004875907,0.9614873783154825,0.23742696510852954,0.6221525249269991,0.5878246805674501,-2.755836464196637e-05,0.7495820971550797,-0.0003165532940645,-0.0002344518190502,0.75,0.9722222222222222,0.6319637060636835,False
e89_blend_e86_noq2_39a99ceb,blend_e86_noq2,e86+noq2,,,,,,8,False,False,0.6657762585438629,0.9390969044174807,0.2811948624276649,0.5456055823904716,0.5167389728637276,-2.747260805402441e-05,0.7453795880834233,-0.0003041890107289,-0.0002218640735213,0.75,0.9722222222222222,0.6328282273735245,False
e89_row_e72_fallback_2fbf12ac,row_e72_fallback,e86,noq2,0.8,,,,21,False,False,0.6417592167815821,0.8748511823897799,0.3079373811596604,0.378911651016438,0.4008682466536309,-2.7226543860114916e-05,0.7428118230214947,-0.0002772636897489,-0.0002013458672194,0.7222222222222222,0.9444444444444444,0.6377795436854202,False
e89_blend_e86_noq2_e456f638,blend_e86_noq2,e86+noq2,,,,,,7,False,False,0.6408583132991658,0.8954738648043887,0.3435464301513184,0.43017480262455926,0.4254410039674797,-2.7305529721965985e-05,0.7393927108277025,-0.0002855439960571,-0.0002056971725099,0.75,0.9722222222222222,0.6342063330228722,False
