prior,target,cells,expected_delta_per_all,expected_delta_total,prefers_e144,hard_support_cells,mean_support_probability,flip_benefit_total
both_distance_beta,Q3,56,-1.217718004528312e-05,-0.02131006507924546,True,25,0.4822556093249147,1.1200000000000019
both_distance_beta,Q1,38,-1.1207712810607614e-05,-0.019613497418563323,True,20,0.49971899953076154,0.7600000000000029
both_distance_beta,S4,21,-2.8223390628513546e-06,-0.004939093359989871,True,8,0.3688114075769841,0.41999999999999754
both_distance_beta,S2,23,-2.31936045458924e-07,-0.000405888079553117,True,12,0.5798259957894427,0.45999999999999003
both_distance_beta,S3,47,1.071963986976537e-05,0.018759369772089397,False,11,0.3852925661758351,0.531999999999994
both_equal_beta,Q1,38,-1.5978557093265624e-05,-0.02796247491321484,True,22,0.5107044962342505,0.7600000000000029
both_equal_beta,Q3,56,-1.3621099660079323e-05,-0.023836924405138814,True,28,0.4845117337230337,1.1200000000000019
both_equal_beta,S4,21,-8.507913403871112e-06,-0.014888848456774448,True,12,0.392501300664566,0.41999999999999754
both_equal_beta,S2,23,-4.17592207905316e-06,-0.007307863638343031,True,15,0.5948302904824644,0.45999999999999003
both_equal_beta,S3,47,2.942973981790267e-05,0.05150204468132968,False,11,0.3309550125659548,0.531999999999994
conflict_flat,Q3,56,-1.7557002180730526e-05,-0.03072475381627842,True,39,0.49066158141155153,1.1200000000000019
conflict_flat,Q1,38,-1.05940982372615e-05,-0.018539671915207626,True,20,0.4983060712368726,0.7600000000000029
conflict_flat,S4,21,-2.8223390628513546e-06,-0.004939093359989871,True,8,0.3688114075769841,0.41999999999999754
conflict_flat,S2,23,-2.31936045458924e-07,-0.000405888079553117,True,12,0.5798259957894427,0.45999999999999003
conflict_flat,S3,47,1.071963986976537e-05,0.018759369772089397,False,11,0.3852925661758351,0.531999999999994
edge_endpoint_beta,Q1,38,-2.019871142043836e-05,-0.03534774498576713,True,22,0.52042195685603,0.7600000000000029
edge_endpoint_beta,S4,21,-8.218135154909117e-06,-0.014381736521090954,True,12,0.39129389129389136,0.41999999999999754
edge_endpoint_beta,S2,23,-6.575427335701246e-06,-0.011506997837477181,True,15,0.6039588430892778,0.45999999999999003
edge_endpoint_beta,Q3,56,8.597911463596969e-07,0.0015046345061294694,False,25,0.4618853418379728,1.1200000000000019
edge_endpoint_beta,S3,47,2.193455473088093e-05,0.03838547077904163,False,11,0.34956709956709947,0.531999999999994
global,S4,21,-3.636474410151724e-05,-0.06363830217765516,True,12,0.5085714285714285,0.41999999999999754
global,Q1,38,-1.0313874284233032e-05,-0.018049279997407807,True,9,0.4976608187134502,0.7600000000000029
global,Q3,56,-9.819304363051637e-06,-0.017183782635340365,True,22,0.4785714285714286,1.1200000000000019
global,S3,47,-5.4835687782617666e-06,-0.009596245361958092,True,14,0.43442080378250586,0.531999999999994
global,S2,23,1.2115976498559583e-05,0.02120295887247927,False,14,0.5328502415458937,0.45999999999999003
nearest_beta,Q1,38,-2.019871142043836e-05,-0.03534774498576713,True,22,0.52042195685603,0.7600000000000029
nearest_beta,S4,21,-8.218135154909117e-06,-0.014381736521090954,True,12,0.39129389129389136,0.41999999999999754
nearest_beta,S2,23,-6.575427335701246e-06,-0.011506997837477181,True,15,0.6039588430892778,0.45999999999999003
nearest_beta,Q3,56,8.597911463596969e-07,0.0015046345061294694,False,25,0.4618853418379728,1.1200000000000019
nearest_beta,S3,47,2.193455473088093e-05,0.03838547077904163,False,11,0.34956709956709947,0.531999999999994
nearest_hard085,Q1,38,-3.532974730010551e-05,-0.06182705777518464,True,22,0.555263157894737,0.7600000000000029
nearest_hard085,S4,21,-2.230760124437518e-05,-0.03903830217765657,True,9,0.44999999999999996,0.41999999999999754
nearest_hard085,S2,23,-7.249102866519807e-06,-0.012685930016409662,True,15,0.6065217391304347,0.45999999999999003
nearest_hard085,Q3,56,8.466409922662117e-06,0.014816217364658706,False,24,0.45,1.1200000000000019
nearest_hard085,S3,47,3.4746272491578274e-05,0.06080597686026198,False,11,0.3138297872340426,0.531999999999994
next_beta,Q3,56,-1.120583639188152e-05,-0.01961021368579266,True,23,0.48073788486647473,1.1200000000000019
next_beta,Q1,38,-5.149357899263068e-06,-0.009011376323710369,True,22,0.48576884019542865,0.7600000000000029
next_beta,S4,21,-3.824571141372405e-06,-0.006692999497401708,True,7,0.37298737457082215,0.41999999999999754
next_beta,S2,23,1.623356575220137e-06,0.00284087400663524,False,12,0.5727678173412074,0.45999999999999003
next_beta,S3,47,5.257368626825643e-06,0.009200395096944876,False,11,0.3947471622722691,0.531999999999994
prev_beta,Q1,38,-1.3394862667854925e-05,-0.02344100966874612,True,20,0.5047551998599497,0.7600000000000029
prev_beta,Q3,56,-1.1022044246882766e-05,-0.019288577432044842,True,28,0.4804507096399143,1.1200000000000019
prev_beta,S4,21,-2.735112679908223e-06,-0.00478644718983939,True,7,0.36844796431472115,0.41999999999999754
prev_beta,S2,23,-1.9226475131526077e-06,-0.0033646331480170636,True,12,0.5862580502861036,0.45999999999999003
prev_beta,S3,47,7.342576836534141e-06,0.012849509463934747,False,11,0.39671235118417436,0.531999999999994
subject,Q3,56,-9.800661098934257e-06,-0.01715115692313495,True,27,0.4785422984712449,1.1200000000000019
subject,Q1,38,-7.490336337747758e-06,-0.013108088591058577,True,24,0.49115925107351843,0.7600000000000029
subject,S4,21,-3.744830681604483e-06,-0.006553453692807845,True,6,0.3726551226551227,0.41999999999999754
subject,S2,23,-2.385895702920426e-07,-0.0004175317480110746,True,15,0.5798513081121778,0.45999999999999003
subject,S3,47,1.3858387076755264e-06,0.0024252177384321712,False,20,0.4073293727549046,0.531999999999994
