gate_class,passed_gate_count,projection_mode,source_family,source_tag,alpha,top_k,all_minus_base,post101_p95_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,tail_equal_law_cosine,tail_equal_law_resid_ratio,q2s3_share,share_Q3,share_S3,cos_e144,cos_e72,fail_action_cos,fail_action_active_q2s3,fail_relaxed_tail,fail_relaxed_world,fail_relaxed_raw,tag
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_44d71d03,0.1,100,-1.280321492236336e-05,-5.662452736043309e-06,2.818925648462312e-18,0.969068433383114,0.2562818893753427,0.15702465144648695,0.35332691550337,0.15702465144648564,0.9820778495496819,-0.04072633125461773,True,True,False,False,False,e152_14f03eec
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_46382460,0.1,100,-1.2794387207248905e-05,-5.654021686392988e-06,2.818925648462312e-18,0.9690868326882336,0.2561983873088072,0.15703509201674234,0.3533044391968394,0.15703509201674104,0.9821919923380851,-0.04067244141141271,True,True,False,False,False,e152_c7c68547
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_a1b50678,0.1,100,-1.276121475712877e-05,-5.6038294315344254e-06,2.818925648462312e-18,0.9692141422429952,0.2556197743369941,0.15788456614483046,0.3531549634807521,0.15788456614482915,0.9830530184026461,-0.03995421592874729,True,True,False,False,False,e152_4acbdc73
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_1fa9b255,0.1,100,-1.2756347300246771e-05,-5.599422708315639e-06,2.818925648462312e-18,0.9692232520773756,0.2555783137321639,0.1578903323238157,0.3531373408891292,0.1578903323238144,0.9831104955109181,-0.03992801853703511,True,True,False,False,False,e152_2ac8771f
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_02d30c7d,0.1,100,-1.2537018065139628e-05,-5.239519426265465e-06,2.818925648462312e-18,0.9697616121171028,0.2531130874333927,0.1595046874526685,0.35187503235667156,0.15950468745266716,0.986920185589195,-0.03700265305122353,True,True,False,False,False,e152_f1bf70c9
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_4df5582b,0.1,100,-1.2524378177114492e-05,-5.019922861874949e-06,2.818925648462312e-18,0.9698671951781322,0.2526411478574182,0.15953271389057788,0.3518419083705978,0.15953271389057658,0.987191074735795,-0.03659807244186315,True,True,False,False,False,e152_9d5d8200
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_36b09f34,0.1,100,-1.2508869034477677e-05,-4.726388170207096e-06,2.818925648462312e-18,0.9699811029850895,0.2521966982250468,0.1610123586034909,0.348859008406491,0.16101235860348959,0.9873730523744627,-0.03640029451327994,True,True,False,False,False,e152_0a49b46b
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_0aee7116,0.1,100,-1.2497097155450554e-05,-4.624497320106563e-06,2.818925648462312e-18,0.9700506295462248,0.2514179444759888,0.16171024684184138,0.3488058310249383,0.16171024684184004,0.9879813350522805,-0.035838515169478086,True,True,False,False,False,e152_3cc21d18
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_c04699c9,0.1,100,-1.248810809506562e-05,-4.5944914279393775e-06,2.818925648462312e-18,0.9699362455259788,0.2519021092897713,0.15961349555512655,0.35103764627027956,0.15961349555512522,0.987810211721728,-0.03593175398170633,True,True,False,False,False,e152_63dfca26
missing_actionable,3,e144_plus_orth_top100,e138,e138_blocktarget_vetonull_overlap_6327a967,0.1,100,-1.2478667955062583e-05,-4.6172629533359015e-06,2.818925648462312e-18,0.9700912920566273,0.2512383707410792,0.16173805009539985,0.3488504753900156,0.16173805009539852,0.9880826839299103,-0.03552889636338658,True,True,False,False,False,e152_cacfe566
