candidate_id,family,status,pair_kind,candidate_file,base_file,note,moved_cells,moved_rows,targets_moved,expected_focus,expected_global,expected_subject,expected_nearest_hard085,hard_delta_focus,support_delta,adverse_delta,total_swing,top1_swing,top5_swing,top10_swing,top25_swing,support_prob_focus_mean,support_prob_focus_swing_weighted,mean_abs_prob_delta,mean_abs_logit_delta,max_abs_logit_delta,adverse_over_e216_miss,cells_for_2e6_guard,cells_for_e95_edge,cells_to_flip_expected_focus,top1_over_abs_expected,top5_over_abs_expected,top1_swing_share,top5_swing_share,support_tail_gate,source_scope,view,model,split,target_kind,tail_q,policy,q3_dropped_cells,s4_dropped_cells,oof_loss_vs_full,oof_active_policy_delta,oof_tail_auc,oof_subject_win_rate,e230_q3_risk_top21_overlap,e230_q3_risk_top21_jaccard,e230_q3_swing_top25_overlap,e230_q3_swing_top25_jaccard,e230_q3_expected_positive_overlap,e230_q3_expected_positive_jaccard,baseline_expected_focus,baseline_adverse_delta,baseline_support_prob_focus_swing_weighted,expected_loss_vs_e224,adverse_reduction_vs_e224,support_gain_vs_e224,q3_top1_over_abs_expected,q3_adverse_delta,q3_expected_focus,s4_top1_over_abs_expected,s4_adverse_delta,s4_expected_focus,actual_expected_focus,actual_adverse_delta,actual_support_prob_focus_swing_weighted,actual_expected_delta_vs_e224,actual_adverse_reduction_vs_e224,actual_support_gain_vs_e224,e237_gate,e237_score
q3s4_latent_no_targetid_featnn1_hgb_shallow_row5_contrast_q0p10_drop_global_top100,e237_cell_decisive_q3s4,generated,actual_vs_e95,q3s4_latent_no_targetid_featnn1_hgb_shallow_row5_contrast_q0p10_drop_global_top100,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,489,226,"Q1,Q3,S2,S3,S4",-0.0006168758950151848,-0.000750196895403615,-0.0005113562592249574,-0.0005890745304169816,-0.00025641525239335997,-0.005348893225096504,0.0035335362184113657,0.00888242944350787,9.833848841696186e-05,0.0004523085819444272,0.0008396440617576557,0.0018172344240241342,0.48142633925062095,0.46726091547623483,0.0064595574150936,0.03178783543177663,0.17209235472968332,3.5506539209642893,1,1,8,0.15941373169483497,0.7332246009277009,0.011071125196365848,0.050921719651262486,False,q3s4,latent_no_targetid_featnn1,hgb_shallow,row5,contrast,0.1,drop_global_top100,49,51,-0.0001591044615761,-0.0040052288197326,0.4721933171464909,0.6,4,0.06060606060606061,4,0.05714285714285714,18,0.1267605633802817,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,6.475699858804408e-06,-0.00013276164889701545,0.0012767833963005515,0.7800891425484822,0.0017283960098461414,-0.00012606057827660403,0.18332525022210036,0.0010600288882424646,-0.00046097775872546,-0.0006168758950151848,0.0035335362184113657,0.46726091547623483,3.6313257871924934e-05,0.0005605331184541824,0.0014714083878249462,False,-0.014080620198230118
all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_top21,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_row5_risk_q0p10_drop_q3_top21,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,525,245,"Q1,Q3,S2,S3,S4",-0.0006540346109812694,-0.0007814749651998119,-0.0005441201374159069,-0.0006365087303280899,-0.00022768328869431697,-0.005428779602949817,0.0035920049209632234,0.00902078452391304,9.673998182827695e-05,0.00042031713191778623,0.0007743356663657728,0.0016623397875230891,0.48008245607944505,0.47069515081407165,0.006089059690330446,0.0300692817463768,0.16929496819948486,3.6094058666462794,1,1,9,0.14791263368024943,0.6426527355902018,0.010724120676181835,0.04659429906607068,False,all3,latent_no_targetid_featnn1,hgb_shallow,row5,risk,0.1,drop_q3_top21,21,0,-0.0001850232084085,-0.0040311475665649,0.8873565975136907,0.8,10,0.3125,14,0.4375,13,0.1092436974789916,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-3.0683016107280214e-05,-0.00019123035144887317,0.004711018734137373,0.6601284497969919,0.001691366209710647,-0.00011321682820801036,0.16538577986034125,0.0011851376375029135,-0.0005109802247601385,-0.0006540346109812694,0.0035920049209632234,0.47069515081407165,-8.454580941596882e-07,0.0005020644159023247,0.004905643725661768,False,-0.014450531391137098
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top100,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top100,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,485,224,"Q1,Q3,S2,S3,S4",-0.0006190822240766049,-0.0007796042476466933,-0.0005399149690161111,-0.0005377274555670105,-1.722077182849058e-05,-0.005554212520513536,0.003578214498297044,0.00913242701881058,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018449654237761095,0.47737144003197496,0.45960364246308644,0.006706820212375204,0.03295205625344025,0.17209235472968332,3.5955486382821564,1,1,7,0.15884560175126836,0.7507857334763414,0.010768056313443127,0.05089535352739719,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_top100,51,49,-0.0006763195555065,-0.0045224439136629,0.5942519019442095,0.8,1,0.014084507042253521,3,0.0410958904109589,16,0.1095890410958904,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,4.269370797384329e-06,-0.0001774399287826937,-0.00638048961684784,0.9409569515934627,0.0017749855546517277,-0.00010450901951511238,0.1743401038626417,0.001088788158866431,-0.00048473564654837205,-0.0006190822240766049,0.003578214498297044,0.45960364246308644,3.4106928810504855e-05,0.0005158548385685042,-0.006185864625323445,False,-0.02148560244400662
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_p20,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_p20,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,485,224,"Q1,Q3,S2,S3,S4",-0.0006190822240766049,-0.0007796042476466933,-0.0005399149690161111,-0.0005377274555670105,-1.722077182849058e-05,-0.005554212520513536,0.003578214498297044,0.00913242701881058,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018449654237761095,0.47737144003197496,0.45960364246308644,0.006706820212375204,0.03295205625344025,0.17209235472968332,3.5955486382821564,1,1,7,0.15884560175126836,0.7507857334763414,0.010768056313443127,0.05089535352739719,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_p20,51,49,-0.0003401735285044,-0.0041862978866609,0.5942519019442095,0.7,1,0.014084507042253521,3,0.0410958904109589,16,0.1095890410958904,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,4.269370797384329e-06,-0.0001774399287826937,-0.00638048961684784,0.9409569515934627,0.0017749855546517277,-0.00010450901951511238,0.1743401038626417,0.001088788158866431,-0.00048473564654837205,-0.0006190822240766049,0.003578214498297044,0.45960364246308644,3.4106928810504855e-05,0.0005158548385685042,-0.006185864625323445,False,-0.02148560244400662
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_p15,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_p15,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,496,229,"Q1,Q3,S2,S3,S4",-0.0006325615118900436,-0.0007898868893599692,-0.0005455157309301135,-0.0005622819153800482,-3.0939313127837566e-05,-0.005638042337745073,0.003641108112267754,0.009279150450012827,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018449654237761095,0.47871382859801115,0.46056690719481647,0.006678215791808543,0.03273893807968236,0.17209235472968332,3.658746931223134,1,1,8,0.15546075214588104,0.7347871992665799,0.010597790061354799,0.05009058794653728,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_p15,38,37,-0.0003707217288487,-0.0042168460870052,0.5942519019442095,0.8,1,0.017241379310344827,3,0.05,14,0.1037037037037037,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-9.209917016054386e-06,-0.00024033354275340355,-0.005417224885117811,0.8332084178719503,0.001839127895020743,-0.00011802387770892009,0.17435289805045578,0.0010901426659761144,-0.0004847000761680029,-0.0006325615118900436,0.003641108112267754,0.46056690719481647,2.062764099706614e-05,0.00045296122459779434,-0.005222599893593416,False,-0.023177343883902166
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top75,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top75,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,496,229,"Q1,Q3,S2,S3,S4",-0.0006325615118900436,-0.0007898868893599692,-0.0005455157309301135,-0.0005622819153800482,-3.0939313127837566e-05,-0.005638042337745073,0.003641108112267754,0.009279150450012827,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018449654237761095,0.47871382859801115,0.46056690719481647,0.006678215791808543,0.03273893807968236,0.17209235472968332,3.658746931223134,1,1,8,0.15546075214588104,0.7347871992665799,0.010597790061354799,0.05009058794653728,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_top75,38,37,-0.000194924655433,-0.0040410490135894,0.5942519019442095,0.8,1,0.017241379310344827,3,0.05,14,0.1037037037037037,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-9.209917016054386e-06,-0.00024033354275340355,-0.005417224885117811,0.8332084178719503,0.001839127895020743,-0.00011802387770892009,0.17435289805045578,0.0010901426659761144,-0.0004847000761680029,-0.0006325615118900436,0.003641108112267754,0.46056690719481647,2.062764099706614e-05,0.00045296122459779434,-0.005222599893593416,False,-0.023177343883902166
all3_latent_no_targetid_featnn1_lr_l2_c0p10_row5_contrast_q0p20_drop_q3_top50,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_lr_l2_c0p10_row5_contrast_q0p20_drop_q3_top50,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,507,237,"Q1,Q3,S2,S3,S4",-0.0006371862619651951,-0.0007925655182508405,-0.0005592211354541963,-0.0005597721321905484,-0.0002024559331197852,-0.005491164719773066,0.003643935563669786,0.009135100283442851,9.673998182827695e-05,0.0004466387123180863,0.0008246269489772619,0.0017701768613140327,0.480067416561607,0.46864530139799465,0.00641934277062869,0.0315314112347633,0.16929496819948486,3.661588079802467,1,1,8,0.15182370933408662,0.7009547113281658,0.010589920069472673,0.04889258995083045,False,all3,latent_no_targetid_featnn1,lr_l2_c0p10,row5,contrast,0.2,drop_q3_top50,50,0,-0.000193116010286,-0.0040392403684424,0.5055248618784531,0.7,5,0.07575757575757576,7,0.10294117647058823,21,0.15,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-1.3834667091205846e-05,-0.00024316099415543557,0.0026611693180603746,0.975750172846733,0.001728787992257794,-9.636847919193594e-05,0.16538577986034125,0.0011851376375029135,-0.0005109802247601385,-0.0006371862619651951,0.003643935563669786,0.46864530139799465,1.600289092191468e-05,0.0004501337731957623,0.0028557943095847693,False,-0.026191539812216332
q3s4_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top75,e237_cell_decisive_q3s4,generated,actual_vs_e95,q3s4_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_global_top75,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,498,233,"Q1,Q3,S2,S3,S4",-0.0006272432341433239,-0.000772377417255023,-0.0005322490390681342,-0.0005771032461068142,-0.00016223308142932868,-0.005550108560878988,0.0036684833993141184,0.009218591960193107,9.833848841696186e-05,0.0004523085819444272,0.0008396440617576557,0.0018172344240241342,0.48069660134430126,0.4659851148642723,0.006593912124603959,0.03239465046252598,0.17209235472968332,3.68625483386815,1,1,8,0.1567788747076253,0.7211055573396199,0.010667408736778702,0.04906482290327475,False,q3s4,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_global_top75,39,36,-0.0001820402683698,-0.0040281646265263,0.4680594131143581,0.7,3,0.05263157894736842,3,0.04918032786885246,13,0.0948905109489051,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-3.891639269334632e-06,-0.00026770882979976814,9.827843380216805e-07,0.8435557798645509,0.0018277896285195847,-0.00011657615390028149,0.1757563940193293,0.0011095487400663267,-0.00048082952222992163,-0.0006272432341433239,0.0036684833993141184,0.4659851148642723,2.5945918743785893e-05,0.00042558593755142975,0.0001956077758624164,False,-0.026225974859522924
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_q3_top50,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_q3_top50,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,497,229,"Q1,Q3,S2,S3,S4",-0.0006466862665091424,-0.0008062038024440523,-0.0005663271582442141,-0.0005675278388391609,-4.3228828329155565e-05,-0.005707482267080739,0.0036792877551794453,0.009386770022260182,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018455872084668617,0.478635933570651,0.4608586352312659,0.00673628855616087,0.03305200712063445,0.17209235472968332,3.697111529864877,1,1,8,0.15206521849891738,0.7187381668000019,0.01047628611159726,0.049516298000619664,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_top50,50,0,-0.0007066954149185,-0.0045528197730749,0.5942519019442095,0.8,1,0.014285714285714285,3,0.041666666666666664,16,0.1103448275862069,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-2.3334671635153164e-05,-0.00027851318566509504,-0.005125496848668365,0.9288740609744921,0.001782312566405634,-0.00010586848373588327,0.16538577986034125,0.0011851376375029135,-0.0005109802247601385,-0.0006466862665091424,0.0036792877551794453,0.4608586352312659,6.502886377967362e-06,0.00041478158168610285,-0.00493087185714397,False,-0.02714464714547832
all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_q3_p20,e237_cell_decisive_q3s4,generated,actual_vs_e95,all3_latent_no_targetid_featnn1_hgb_shallow_subject5_contrast_q0p10_drop_q3_p20,submission_e95_hardtail_541e3973.csv,Cell-level bad-tail predictor rolls selected E224 Q3/S4 cells back toward E154.,497,229,"Q1,Q3,S2,S3,S4",-0.0006466862665091424,-0.0008062038024440523,-0.0005663271582442141,-0.0005675278388391609,-4.3228828329155565e-05,-0.005707482267080739,0.0036792877551794453,0.009386770022260182,9.833848841696186e-05,0.0004647981016855185,0.000860291149049125,0.0018455872084668617,0.478635933570651,0.4608586352312659,0.00673628855616087,0.03305200712063445,0.17209235472968332,3.697111529864877,1,1,8,0.15206521849891738,0.7187381668000019,0.01047628611159726,0.049516298000619664,False,all3,latent_no_targetid_featnn1,hgb_shallow,subject5,contrast,0.1,drop_q3_p20,50,0,-0.0002946403506161,-0.0041407647087725,0.5942519019442095,0.7,1,0.014285714285714285,3,0.041666666666666664,16,0.1103448275862069,-0.0006233515948739892,0.0034007745695143502,0.4659841320799343,-2.3334671635153164e-05,-0.00027851318566509504,-0.005125496848668365,0.9288740609744921,0.001782312566405634,-0.00010586848373588327,0.16538577986034125,0.0011851376375029135,-0.0005109802247601385,-0.0006466862665091424,0.0036792877551794453,0.4608586352312659,6.502886377967362e-06,0.00041478158168610285,-0.00493087185714397,False,-0.02714464714547832
