q3_scale,s4_mode,s4_scale,fold,delta_mean,ungated_delta_mean,keep_abs_share
0.75,raw,0.5,geom_r00,-0.0010157141938206271,-0.0015558685406182882,0.6393348586748863
0.75,raw,0.5,geom_r01,-0.0007116243368249231,-0.0009929555117198507,0.6318048887341228
0.75,raw,0.5,geom_r02,-0.0010363166664463241,-0.0014817035922308763,0.6157495191943855
0.75,raw,0.5,geom_r03,-0.0003919962148997147,-0.0006136397348490696,0.646851948629206
0.75,raw,0.5,geom_r04,-0.0016309247197010546,-0.0022858323321223173,0.6023105931664127
0.75,raw,0.5,geom_r05,0.0006324247751877676,0.001165922372909689,0.621495667960715
0.75,raw,0.5,geom_r06,-0.0014712292795362458,-0.0018891100189175614,0.6074795201663291
0.75,raw,0.5,geom_r07,-0.0009280358034682301,-0.000812861038957835,0.6125122051477427
0.75,raw,0.75,geom_r00,-0.0012830730226371934,-0.0015558685406182882,0.7499999999999784
0.75,raw,0.75,geom_r01,-0.0008747647940767767,-0.0009929555117198507,0.7499999999999808
0.75,raw,0.75,geom_r02,-0.0012060202294017497,-0.0014817035922308763,0.7499999999999778
0.75,raw,0.75,geom_r03,-0.0006150341459199016,-0.0006136397348490696,0.7499999999999817
0.75,raw,0.75,geom_r04,-0.001807529977147837,-0.0022858323321223173,0.7499999999999759
0.75,raw,0.75,geom_r05,0.0006882219251492794,0.001165922372909689,0.7499999999999833
0.75,raw,0.75,geom_r06,-0.0015219877939695037,-0.0018891100189175614,0.7499999999999769
0.75,raw,0.75,geom_r07,-0.0007899571699495622,-0.000812861038957835,0.749999999999984
0.75,raw,1.0,geom_r00,-0.0015260077479898326,-0.0015558685406182882,0.8606651413250703
0.75,raw,1.0,geom_r01,-0.0010060159919662581,-0.0009929555117198507,0.8681951112658394
0.75,raw,1.0,geom_r02,-0.001343954618154175,-0.0014817035922308763,0.8842504808055704
0.75,raw,1.0,geom_r03,-0.0008084432814110531,-0.0006136397348490696,0.8531480513707577
0.75,raw,1.0,geom_r04,-0.0019467744596204373,-0.0022858323321223173,0.8976894068335388
0.75,raw,1.0,geom_r05,0.0007959823358545393,0.001165922372909689,0.8785043320392517
0.75,raw,1.0,geom_r06,-0.0015316545415698934,-0.0018891100189175614,0.8925204798336249
0.75,raw,1.0,geom_r07,-0.0005895679409853027,-0.000812861038957835,0.8874877948522247
0.75,toward,0.5,geom_r00,-0.00068682480509763,-0.0015558685406182882,0.5609111980779351
0.75,toward,0.5,geom_r01,-0.0005843142480219665,-0.0009929555117198507,0.5107522675089838
0.75,toward,0.5,geom_r02,-0.0006110065254667507,-0.0014817035922308763,0.4869881165247216
0.75,toward,0.5,geom_r03,-0.00022178449318333016,-0.0006136397348490696,0.575581228609145
0.75,toward,0.5,geom_r04,-0.0012131710188821865,-0.0022858323321223173,0.49382178232492685
0.75,toward,0.5,geom_r05,0.0007022260305341588,0.001165922372909689,0.5051944731949427
0.75,toward,0.5,geom_r06,-0.0011651494476910829,-0.0018891100189175614,0.4987420025249945
0.75,toward,0.5,geom_r07,-0.0009343716647102207,-0.000812861038957835,0.492808391799146
0.75,toward,0.75,geom_r00,-0.0008015764761852839,-0.0015558685406182882,0.6323645091045513
0.75,toward,0.75,geom_r01,-0.0007085974362380787,-0.0009929555117198507,0.5684210681622726
0.75,toward,0.75,geom_r02,-0.0005896660000421772,-0.0014817035922308763,0.556857895995482
0.75,toward,0.75,geom_r03,-0.0003727494234522233,-0.0006136397348490696,0.6430939199698903
0.75,toward,0.75,geom_r04,-0.0011991626073108996,-0.0022858323321223173,0.587266783737747
0.75,toward,0.75,geom_r05,0.0007569828792339806,0.001165922372909689,0.575548207851325
0.75,toward,0.75,geom_r06,-0.0010822013674608444,-0.0018891100189175614,0.5868937235379751
0.75,toward,0.75,geom_r07,-0.0008365240756192938,-0.000812861038957835,0.5704442799770889
0.75,toward,1.0,geom_r00,-0.0008998052861708405,-0.0015558685406182882,0.7038178201311676
0.75,toward,1.0,geom_r01,-0.0008172718598039586,-0.0009929555117198507,0.6260898688155614
0.75,toward,1.0,geom_r02,-0.000550841057296747,-0.0014817035922308763,0.6267276754662423
0.75,toward,1.0,geom_r03,-0.0005027929212275684,-0.0006136397348490696,0.7106066113306356
0.75,toward,1.0,geom_r04,-0.001159864996121529,-0.0022858323321223173,0.6807117851505671
0.75,toward,1.0,geom_r05,0.0008397441047406362,0.001165922372909689,0.6459019425077073
0.75,toward,1.0,geom_r06,-0.0009710567305468709,-0.0018891100189175614,0.6750454445509556
0.75,toward,1.0,geom_r07,-0.0007006904877595588,-0.000812861038957835,0.6480801681550313
0.75,closer,0.5,geom_r00,-0.0005269376600346432,-0.0015558685406182882,0.5526593544422516
0.75,closer,0.5,geom_r01,-0.0006173017209468723,-0.0009929555117198507,0.495335165889327
0.75,closer,0.5,geom_r02,-0.0005786056238028525,-0.0014817035922308763,0.4842996007798157
0.75,closer,0.5,geom_r03,-0.00025550445772348773,-0.0006136397348490696,0.5711905430552147
0.75,closer,0.5,geom_r04,-0.0011677105642109442,-0.0022858323321223173,0.480814191341562
0.75,closer,0.5,geom_r05,0.0007983596298691831,0.001165922372909689,0.4884365283378479
0.75,closer,0.5,geom_r06,-0.0010332293720124452,-0.0018891100189175614,0.47547395102095824
0.75,closer,0.5,geom_r07,-0.0011443886636286482,-0.000812861038957835,0.48172928291340383
0.75,closer,0.75,geom_r00,-0.0005635071385811097,-0.0015558685406182882,0.6199867436510261
0.75,closer,0.75,geom_r01,-0.0007614020246869968,-0.0009929555117198507,0.5452954157327874
0.75,closer,0.75,geom_r02,-0.0005416027868094808,-0.0014817035922308763,0.552825122378123
0.75,closer,0.75,geom_r03,-0.0004240748079020751,-0.0006136397348490696,0.6365078916389947
0.75,closer,0.75,geom_r04,-0.0011336941577958504,-0.0022858323321223173,0.5677553972626996
0.75,closer,0.75,geom_r05,0.0008953924077677033,0.001165922372909689,0.5504112905656826
0.75,closer,0.75,geom_r06,-0.0008899640864541425,-0.0018891100189175614,0.5519916462819207
0.75,closer,0.75,geom_r07,-0.001155196151725657,-0.000812861038957835,0.5538256166484756
0.75,closer,1.0,geom_r00,-0.0005847453700207339,-0.0015558685406182882,0.6873141328598005
0.75,closer,1.0,geom_r01,-0.0008921247457225334,-0.0009929555117198507,0.5952556655762477
0.75,closer,1.0,geom_r02,-0.00048747058226661366,-0.0014817035922308763,0.6213506439764305
0.75,closer,1.0,geom_r03,-0.0005722346504672959,-0.0006136397348490696,0.7018252402227748
0.75,closer,1.0,geom_r04,-0.001076209520054494,-0.0022858323321223173,0.6546966031838376
0.75,closer,1.0,geom_r05,0.0010164962989556159,0.001165922372909689,0.6123860527935173
0.75,closer,1.0,geom_r06,-0.0007224025329443107,-0.0018891100189175614,0.628509341542883
0.75,closer,1.0,geom_r07,-0.0011304172542909718,-0.000812861038957835,0.6259219503835469
0.75,soft_toward,0.5,geom_r00,-0.0007020089142780739,-0.0015558685406182882,0.5487061999250091
0.75,soft_toward,0.5,geom_r01,-0.0005090368481847074,-0.0009929555117198507,0.5093003210676473
0.75,soft_toward,0.5,geom_r02,-0.0007600266614693485,-0.0014817035922308763,0.49071639374149045
0.75,soft_toward,0.5,geom_r03,-0.00027487279132087927,-0.0006136397348490696,0.5744716428467592
0.75,soft_toward,0.5,geom_r04,-0.0013023528045590371,-0.0022858323321223173,0.48759383443093207
0.75,soft_toward,0.5,geom_r05,0.0006611392065576371,0.001165922372909689,0.5052134483747958
0.75,soft_toward,0.5,geom_r06,-0.0012162169618168406,-0.0018891100189175614,0.48958935911203255
0.75,soft_toward,0.5,geom_r07,-0.0010243137788787937,-0.000812861038957835,0.49061844273593164
0.75,soft_toward,0.75,geom_r00,-0.0008315235802410781,-0.0015558685406182882,0.6140570118751623
0.75,soft_toward,0.75,geom_r01,-0.0006030643438477146,-0.0009929555117198507,0.566243148500268
0.75,soft_toward,0.75,geom_r02,-0.0008175353929906759,-0.0014817035922308763,0.5624503118206355
0.75,soft_toward,0.75,geom_r03,-0.0004573599527487593,-0.0006136397348490696,0.6414295413263118
0.75,soft_toward,0.75,geom_r04,-0.0013411420087479087,-0.0022858323321223173,0.5779248618967551
0.75,soft_toward,0.75,geom_r05,0.0006849240210572427,0.001165922372909689,0.5755766706211047
0.75,soft_toward,0.75,geom_r06,-0.0011695511062780328,-0.0018891100189175614,0.5731647584185325
0.75,soft_toward,0.75,geom_r07,-0.0009840969578595038,-0.000812861038957835,0.5671593563822674
0.75,soft_toward,1.0,geom_r00,-0.0009494318348917119,-0.0015558685406182882,0.6794078238253156
0.75,soft_toward,1.0,geom_r01,-0.0006864133946169471,-0.0009929555117198507,0.6231859759328885
0.75,soft_toward,1.0,geom_r02,-0.0008604127983773413,-0.0014817035922308763,0.6341842298997806
0.75,soft_toward,1.0,geom_r03,-0.0006223431538332491,-0.0006136397348490696,0.7083874398058643
0.75,soft_toward,1.0,geom_r04,-0.0013602071945522098,-0.0022858323321223173,0.6682558893625776
0.75,soft_toward,1.0,geom_r05,0.0007296287207469998,0.001165922372909689,0.6459398928674136
0.75,soft_toward,1.0,geom_r06,-0.0011020572388690253,-0.0018891100189175614,0.6567401577250321
0.75,soft_toward,1.0,geom_r07,-0.0009144838209175221,-0.000812861038957835,0.6437002700286031
0.75,anti_toward_control,0.5,geom_r00,-0.0007377106194178529,-0.0015558685406182882,0.49642823662165425
0.75,anti_toward_control,0.5,geom_r01,-0.00041614167614090203,-0.0009929555117198507,0.5164672874275456
0.75,anti_toward_control,0.5,geom_r02,-0.001026646840644796,-0.0014817035922308763,0.47600996025286485
0.75,anti_toward_control,0.5,geom_r03,-2.8861948664249404e-05,-0.0006136397348490696,0.5118265659077155
0.75,anti_toward_control,0.5,geom_r04,-0.001584698792253425,-0.0022858323321223173,0.4154205903407727
0.75,anti_toward_control,0.5,geom_r05,0.0006056113464798507,0.001165922372909689,0.48078819864795075
0.75,anti_toward_control,0.5,geom_r06,-0.0015541989740683881,-0.0018891100189175614,0.4311760781403682
0.75,anti_toward_control,0.5,geom_r07,-0.0010119080351000953,-0.000812861038957835,0.4572404287918578
0.75,anti_toward_control,0.75,geom_r00,-0.0008903177771468762,-0.0015558685406182882,0.53564006692013
0.75,anti_toward_control,0.75,geom_r01,-0.0004549989451766434,-0.0009929555117198507,0.5769935980401151
