pair,set,top_n,actual_direction,known_status,family,actual_delta,n_cells,n_rows,n_subjects,n_blocks,swing_sum,top_swing_share,row_coverage,subject_coverage,block_coverage,between_train_runs_rate,edge_like_rate,is_weekend_rate,flank_conflict_rate,both_flanks_rate,e72_active_rate,e101_active_rate,all_veto_null_rate,all_safe_density_mean,broad_low_alpha_mass_mean,e101_plausible_mass_mean,target_Q1,target_Q2,target_Q3,target_S1,target_S2,target_S3,target_S4,context_between_train_runs,context_after_train_run,context_before_train_run,context_isolated,pos_single,pos_left_edge,pos_right_edge,pos_near_edge,pos_interior,block_len_1-2,block_len_3-5,block_len_6-10,block_len_11-16,q_share,s_share,q2s3_share
mixmin_vs_a2c8,top4,4,new_won,known,broad_public_success,-0.0011326804999999,4,4,1,3,0.00018767657142859092,0.2500000000000086,0.016,0.1,0.08333333333333333,1.0,0.49999999999999306,0.24999999999999703,0.0,1.0,0.750000000000003,0.249999999999996,0.49999999999999545,0.21261668684342705,0.016826574472957097,0.0007360809012233589,0.0,0.0,0.0,0.24999999999999703,0.500000000000007,0.249999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999306,0.0,0.500000000000007,0.0,0.7500000000000017,0.24999999999999842,0.0,0.0,1.0,0.249999999999996
mixmin_vs_a2c8,top16,16,new_won,known,broad_public_success,-0.0011326804999999,16,15,3,6,0.0007507062857143364,0.06250000000000443,0.06,0.3,0.16666666666666666,0.687500000000004,0.7499999999999958,0.18749999999999947,0.06249999999999968,0.687500000000004,0.8749999999999989,0.06250000000000128,0.31250000000000183,0.11813090105415956,0.013999187556241898,0.0012614984127393067,0.0,0.0,0.0,0.3125000000000002,0.5000000000000006,0.1250000000000008,0.06249999999999848,0.687500000000004,0.312499999999996,0.0,0.0,0.0,0.062499999999999514,0.1875000000000025,0.4999999999999938,0.2500000000000043,0.0,0.5625000000000036,0.24999999999999756,0.18749999999999886,0.0,1.0,0.1250000000000008
mixmin_vs_a2c8,top33,33,new_won,known,broad_public_success,-0.0011326804999999,33,31,7,12,0.001548331714285791,0.030303030303032993,0.124,0.7,0.3333333333333333,0.6969696969696986,0.5454545454545469,0.21212121212121174,0.06060606060606049,0.6969696969696986,0.787878787878789,0.09090909090909137,0.36363636363636387,0.12596302558257336,0.01497131504978907,0.0012550005461503466,0.0909090909090889,0.0,0.0,0.33333333333333326,0.2727272727272767,0.21212121212121154,0.09090909090908957,0.6969696969696986,0.3030303030303013,0.0,0.0,0.0,0.06060606060606056,0.1515151515151531,0.33333333333333326,0.4545454545454529,0.0,0.333333333333339,0.24242424242424168,0.4242424242424192,0.0909090909090889,0.9090909090909111,0.21212121212121154
e95_vs_mixmin,top4,4,new_won,known,frontier_hardtail_success,-1.5310700000048527e-05,4,4,2,4,0.000178931464079634,0.2597462411116856,0.016,0.2,0.1111111111111111,1.0,0.49906916829722986,0.0,0.0,1.0,1.0,1.0,0.2597462411116856,0.0,0.044135315258086824,0.002786201657458665,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2471616174613213,0.0,0.25190755083590854,0.0,0.5009308317027702,0.2471616174613213,0.25190755083590854,0.2597462411116856,0.24118459059108457,0.0,1.0,1.0
e95_vs_mixmin,top16,16,new_won,known,frontier_hardtail_success,-1.5310700000048527e-05,16,16,8,13,0.0006353467666655915,0.0731518245622207,0.064,0.8,0.3611111111111111,0.6938109998043878,0.6719466337861595,0.17580642160327178,0.18579934896893957,0.6938109998043878,1.0,1.0,0.19058951152962927,0.01060490474804646,0.11128304718412953,0.001419159232545619,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6938109998043878,0.30618900019561224,0.0,0.0,0.0696076416800623,0.18847004111092522,0.13505919108535067,0.27880975990982126,0.32805336621384057,0.13372260317510437,0.12529207678468612,0.2509998884467582,0.4899854315934514,0.0,1.0,1.0
e95_vs_mixmin,top33,33,new_won,known,frontier_hardtail_success,-1.5310700000048527e-05,33,32,9,19,0.0010667958596675018,0.04356670002992079,0.128,0.9,0.5277777777777778,0.5985777377856679,0.6113703905433864,0.24435704270034883,0.1386207713618961,0.5985777377856679,0.9850071757575716,0.9850071757575716,0.25144901100671674,0.022685129477642316,0.14808098673333273,0.0011714747643243096,0.0,0.0,0.0,0.0,0.01499282424242852,0.9850071757575716,0.0,0.598577737785668,0.4014222622143322,0.0,0.0,0.04145590712212612,0.19071459901243482,0.10696813236167342,0.27223175204715205,0.38862960945661373,0.07964056364437792,0.13160627111864626,0.24133929657460995,0.547413868662366,0.0,1.0,0.9850071757575716
e101_vs_e95,top4,4,new_lost,known,frontier_near_loss,9.036200000034356e-06,4,4,2,4,4.4732866019908446e-05,0.2597462411116752,0.016,0.2,0.1111111111111111,1.0,0.4990691682972414,0.0,0.0,1.0,1.0,1.0,0.2597462411116752,0.0,0.044135315258086845,0.0027862016574585285,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24716161746129472,0.0,0.2519075508359467,0.0,0.5009308317027588,0.24716161746129472,0.2519075508359467,0.2597462411116752,0.24118459059108352,0.0,1.0,1.0
e101_vs_e95,top16,16,new_lost,known,frontier_near_loss,9.036200000034356e-06,16,16,8,13,0.00015883669166639664,0.07315182456221826,0.064,0.8,0.3611111111111111,0.6938109998043858,0.6719466337861599,0.17580642160326787,0.18579934896893993,0.6938109998043858,1.0,1.0,0.19058951152962875,0.010604904748046609,0.11128304718412983,0.001419159232545582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6938109998043858,0.3061890001956142,0.0,0.0,0.06960764168005529,0.18847004111092577,0.13505919108536243,0.27880975990981655,0.3280533662138399,0.13372260317509793,0.1252920767846953,0.2509998884467537,0.4899854315934531,0.0,1.0,1.0
e101_vs_e95,top33,33,new_lost,known,frontier_near_loss,9.036200000034356e-06,33,33,10,20,0.0002666275599817164,0.04357836753117409,0.132,1.0,0.5555555555555556,0.6134670732178417,0.6115341202909721,0.2444224834176954,0.1386578950830567,0.6134670732178417,1.0,1.0,0.23651951157093834,0.016377330571364146,0.15059082597590284,0.0011717884943812818,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6134670732178417,0.3865329267821584,0.0,0.0,0.04146700933661219,0.1907656738659761,0.10699677925983202,0.2723046578285518,0.3884658797090279,0.07966189200699075,0.13164151630207072,0.2561329607725999,0.5325636309183387,0.0,1.0,1.0
e101_vs_mixmin,top4,4,new_won,known,mixmin_relative_success,-6.2745000000141715e-06,4,4,2,4,0.00013419859805972558,0.2597462411116891,0.016,0.2,0.1111111111111111,1.0,0.499069168297226,0.0,0.0,1.0,1.0,1.0,0.2597462411116891,0.0,0.0441353152580868,0.002786201657458711,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.24716161746133006,0.0,0.25190755083589594,0.0,0.500930831702774,0.24716161746133006,0.25190755083589594,0.2597462411116891,0.2411845905910849,0.0,1.0,1.0
