combo,ops,base_loss,candidate_loss,delta,geometry_delta,geometry_win_rate,geometry_Q1_delta,geometry_Q2_delta,geometry_Q3_delta,geometry_S1_delta,geometry_S2_delta,geometry_S3_delta,geometry_S4_delta
mp_q3off650_nonq2,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5645922767692991,-0.006473955853852131,-0.00506737905381024,1.0,-0.006767267492878049,0.0,-0.011927617029306914,-0.003988282613917249,-0.003961079839650983,-0.004662874508368292,-0.0041645318925500495
mp_q3off650_nonq2_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.2|w0.3; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5710662326231513,0.5663897493964833,-0.004676483226667916,-0.0035834850423525078,1.0,-0.005046052558820013,0.0,-0.008193918981601211,-0.002820736664358325,-0.0025341385286460905,-0.0032391022825973394,-0.003250446280444197
mp_q3off650_noq2_noq3,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5667866695595872,-0.004279563063564029,-0.0033634337639092625,1.0,-0.006767267492878049,0.0,0.0,-0.003988282613917249,-0.003961079839650983,-0.004662874508368292,-0.0041645318925500495
mp_q3off650_q1_s2_s3_s4,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5672566940198785,-0.0038095386032727108,-0.002793679104778257,0.9,-0.006767267492878049,0.0,0.0,0.0,-0.003961079839650983,-0.004662874508368292,-0.0041645318925500495
mp_q3off650_watch_s1_s2_q3,S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.5|w0.45; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.5|w0.45; Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45,0.5710662326231513,0.5674877118994094,-0.0035785207237418737,-0.002839568497553624,0.9,0.0,0.0,-0.011927617029306914,-0.003988282613917249,-0.003961079839650983,0.0,0.0
mp_q3off650_noq2_noq3_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; S1:mp__mp_watch_gap_sum_night18_36_very_irregular_flag|global_z|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5710662326231513,0.5679618961548012,-0.0031043364683500663,-0.002412925187838011,1.0,-0.005046052558820013,0.0,0.0,-0.002820736664358325,-0.0025341385286460905,-0.0032391022825973394,-0.003250446280444197
mp_q3off650_q1_s2_s3_s4_soft,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.2|w0.3; S2:mp__mp_wlight_all24h_longest_gap_min_same_weekend_dev|subject_rank|c0.2|w0.3; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.2|w0.3; S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.2|w0.3,0.5710662326231513,0.5683027009296289,-0.002763531693522392,-0.0020099628072154153,0.9,-0.005046052558820013,0.0,0.0,0.0,-0.0025341385286460905,-0.0032391022825973394,-0.003250446280444197
mp_q3off650_q3_hr,Q3:mp__mp_hr_pre6h_obs_frac_same_weekend_dev|subject_z|c0.5|w0.45,0.5710662326231513,0.5688718398328632,-0.002194392790288102,-0.001703945289901021,0.9,0.0,0.0,-0.011927617029306914,0.0,0.0,0.0,0.0
mp_q3off650_usage_q1_s3,Q1:mp__mp_usage_core5h_row_count|subject_rank|c0.5|w0.45; S3:mp__mp_usage_cand21_34_p90_gap_min|subject_rank|c0.5|w0.45,0.5710662326231513,0.5695320801797626,-0.0015341524433886145,-0.001632877428749535,0.9,-0.006767267492878049,0.0,0.0,0.0,0.0,-0.004662874508368292,0.0
mp_q3off650_s4_sensor_count,S4:mp__mp_sensor_active_count_pre6h_same_weekend_dev|subject_center|c0.5|w0.45,0.5710662326231513,0.5697049499364298,-0.0013612826867214212,-0.0005949331275071801,0.9,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041645318925500495
