category,value,broad_count,e101_count,pred_e101_mean,pred_vs_e95_e101_mean,e101_residual_mean,e101_rate,enrichment_vs_base
winner_live,e95,2763,53,-3.076916608229733e-05,-1.5458466082248805e-05,-2.449466608228316e-05,0.01918204849800941,1.1616917792127806
family,random_weighted,3424,52,-3.1619429609921615e-05,-1.6308729609873085e-05,-2.5344929609907444e-05,0.015186915887850467,0.9197409411378915
e101_tail_relation,tail_equal,37,37,-1.465145521096863e-05,6.592447890798972e-07,-8.376955210954458e-06,1.0,60.56140350877193
gamma_group,gamma_0,870,35,-2.544004115645551e-05,-1.012934115640698e-05,-1.9165541156441338e-05,0.040229885057471264,2.4363783020770318
mask_name,all,475,23,-2.5081509291166557e-05,-9.77080929111803e-06,-1.8807009291152386e-05,0.04842105263157895,2.9324469067405357
alpha_group,alpha_0p5_1,249,22,-1.9446416039079452e-05,-4.135716039030925e-06,-1.317191603906528e-05,0.08835341365461848,5.35080673571479
winner_future,e85,207,20,-2.0786423722295522e-05,-5.475723722246997e-06,-1.451192372228135e-05,0.0966183574879227,5.851343334180863
mask_name,e72_top50_hard,475,20,-2.595001928141533e-05,-1.0639319281366803e-05,-1.9675519281401157e-05,0.042105263157894736,2.549953831948292
e101_tail_relation,e101_lower_tail_than_e95,3415,20,-3.169871147304102e-05,-1.6388011472992494e-05,-2.542421147302685e-05,0.005856515373352855,0.3546787906809484
winner_future,noq2,79,18,-1.6951480702529557e-05,-1.640780702481028e-06,-1.0676980702515382e-05,0.22784810126582278,13.798800799467022
alpha_group,alpha_1_2,662,15,-2.2081620561506798e-05,-6.77092056145827e-06,-1.5807120561492626e-05,0.022658610271903322,1.3722372396247418
alpha_group,alpha_le_0p5,124,13,-1.861130382471057e-05,-3.3006038246620436e-06,-1.2336803824696399e-05,0.10483870967741936,6.349179400113187
winner_future,e89,2684,12,-3.2498233823778535e-05,-1.7187533823730012e-05,-2.6223733823764364e-05,0.004470938897168405,0.2707663346144796
gamma_group,gamma_0.5,902,11,-2.8587682814223256e-05,-1.3276982814174729e-05,-2.2313182814209085e-05,0.012195121951219513,0.738553701326487
winner_future,e90,343,6,-3.402246459399793e-05,-1.8711764593949407e-05,-2.7747964593983763e-05,0.01749271137026239,1.0593831517569434
