support_variant,slice,n_rows,shape_accuracy,support_accuracy,both_correct,support_rescue,shape_only_win,both_wrong,support_rescue_rate,shape_only_win_rate,e72_neighbor_share,exact_e95_e101_share
shape_support,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_between,all,264,0.7954545454545454,0.75,194,4,16,50,0.015151515151515152,0.06060606060606061,0.045454545454545456,0.015151515151515152
shape_support_drop_between,frontier,60,0.8333333333333334,0.7666666666666667,44,2,6,8,0.03333333333333333,0.1,0.2,0.06666666666666667
shape_support_drop_between,micro,32,0.75,0.6875,20,2,4,6,0.0625,0.125,0.375,0.125
shape_support_drop_between,e95_edge,28,0.7857142857142857,0.7142857142857143,18,2,4,4,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_between,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_between,e72_frontier_neighbor,12,0.5,0.6666666666666666,6,2,0,4,0.16666666666666666,0.0,1.0,0.0
shape_support_drop_flank,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_flank,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_flank,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_flank,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_flank,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_flank,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_focus,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_focus,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_focus,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_focus,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_focus,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_focus,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_global,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_global,frontier,60,0.8333333333333334,0.9,46,8,4,2,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_global,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_global,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_global,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_global,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_nearest,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_nearest,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_nearest,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_nearest,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_nearest,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_nearest,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_prior_split,all,264,0.7954545454545454,0.8257575757575758,194,24,16,30,0.09090909090909091,0.06060606060606061,0.045454545454545456,0.015151515151515152
shape_support_drop_prior_split,frontier,60,0.8333333333333334,0.7666666666666667,44,2,6,8,0.03333333333333333,0.1,0.2,0.06666666666666667
shape_support_drop_prior_split,micro,32,0.75,0.625,18,2,6,6,0.0625,0.1875,0.375,0.125
shape_support_drop_prior_split,e95_edge,28,0.7857142857142857,0.6428571428571429,16,2,6,4,0.07142857142857142,0.21428571428571427,0.42857142857142855,0.14285714285714285
shape_support_drop_prior_split,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_prior_split,e72_frontier_neighbor,12,0.5,0.6666666666666666,6,2,0,4,0.16666666666666666,0.0,1.0,0.0
shape_support_drop_subject,all,264,0.7954545454545454,0.803030303030303,196,16,14,38,0.06060606060606061,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_subject,frontier,60,0.8333333333333334,0.9,46,8,4,2,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_subject,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_subject,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_subject,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_subject,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_top1,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_top1,frontier,60,0.8333333333333334,0.9,46,8,4,2,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_top1,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_top1,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_top1,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_top1,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_top16_33,all,264,0.7954545454545454,0.8560606060606061,196,30,14,24,0.11363636363636363,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_top16_33,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_top16_33,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_top16_33,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_top16_33,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_top16_33,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_drop_visible,all,264,0.7954545454545454,0.7954545454545454,196,14,14,40,0.05303030303030303,0.05303030303030303,0.045454545454545456,0.015151515151515152
shape_support_drop_visible,frontier,60,0.8333333333333334,0.8666666666666667,46,6,4,4,0.1,0.06666666666666667,0.2,0.06666666666666667
shape_support_drop_visible,micro,32,0.75,0.8125,20,6,4,2,0.1875,0.125,0.375,0.125
shape_support_drop_visible,e95_edge,28,0.7857142857142857,0.8571428571428571,18,6,4,0,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.14285714285714285
shape_support_drop_visible,exact_e95_e101,4,1.0,0.0,0,0,4,0,0.0,1.0,0.0,1.0
shape_support_drop_visible,e72_frontier_neighbor,12,0.5,1.0,6,6,0,0,0.5,0.0,1.0,0.0
shape_support_keep_hard_only,all,264,0.7954545454545454,0.7878787878787878,186,22,24,32,0.08333333333333333,0.09090909090909091,0.045454545454545456,0.015151515151515152
shape_support_keep_hard_only,frontier,60,0.8333333333333334,0.7333333333333333,42,2,8,8,0.03333333333333333,0.13333333333333333,0.2,0.06666666666666667
