gate,kind,top_n,mean,max,p90,active_frac_0p5
fit24,fit,24,0.36029125666091594,0.8617804540398535,0.49701918841300413,0.312
fit64,fit,64,0.4018761182225628,0.7809565218276844,0.5034620305586789,0.292
fit128,fit,128,0.4436241389957345,0.7368885659430074,0.5494450893924449,0.304
rawcompat24,rawcompat,24,0.1629093763771262,0.9997675320576592,0.7639609938997104,0.116
rawcompat64,rawcompat,64,0.16294632409366844,0.9993591554428779,0.7636873227141203,0.116
rawcompat128,rawcompat,128,0.16300000016879368,0.9990319732560294,0.7634038260592407,0.116
allsign24,allsign,24,0.14981152024017214,0.9995011825441688,0.9991517251491724,0.108
allsign64,allsign,64,0.14988050904845956,0.9990578396038322,0.9986196946807852,0.108
allsign128,allsign,128,0.14996834611756374,0.9987754500600268,0.9982380958116601,0.108
targetgain24_Q3,targetgain,24,2.6324601873420366e-05,0.0002437463136427812,0.0002437463136427812,0.108
targetgain24_S4,targetgain,24,2.797835844377347e-07,2.5905887447938398e-06,2.5905887447938398e-06,0.108
targetgain64_Q3,targetgain,64,2.6310253588378802e-05,0.00024361345915165558,0.00024361345915165558,0.108
targetgain64_S4,targetgain,64,2.796310877489427e-07,2.5891767384161365e-06,2.5891767384161365e-06,0.108
fused24_Q3,fused,24,0.1678151869203925,1.0,0.9999965638538894,0.108
fused24_S4,fused,24,0.1678151869203925,1.0,0.9999965638538894,0.108
fused64_Q3,fused,64,0.16781813204485424,1.0,0.9999958977666134,0.108
fused64_S4,fused,64,0.16781813204485424,1.0,0.9999958977666134,0.108
