context,state_scope,safety_scope,overlap_kind,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure,best_changed_cells
all,all,veto_null_nonq2s3,hard,sqrt,12,4,0,5,0,0,-2.3756084444159775e-05,-4.31127468749559e-05,-1.1516438849309298e-05,0.0007853354336424078,154
all,all,veto_null_nonq2s3,state_soft,sqrt,12,3,0,5,0,0,-2.0460308904568514e-05,-3.261531491037914e-05,-8.156346169965356e-06,0.0007889140929277224,98
all,all,veto_null_nonq2s3,hard,raw,12,1,0,5,0,0,-1.9165645967822442e-05,-2.9535753664460302e-05,-7.539236930662046e-06,0.0007858096023508763,154
all,all,veto_null_nonq2s3,hard,sign,12,1,0,5,0,0,-1.8003628112439607e-05,-2.944873366517158e-05,-7.1770091001699585e-06,0.0007889140929277224,98
all,all,veto_null_nonq2s3,state_soft,sign,12,1,0,5,0,0,-1.8003628112439607e-05,-2.944873366517158e-05,-7.1770091001699585e-06,0.0007889140929277224,98
all,all,low_adverse75,hard,sqrt,12,5,0,4,0,0,-3.0467498413733196e-05,-5.577188385098994e-05,-1.5690661385343933e-05,0.000772208711729926,233
all,all,low_adverse75_nonactive,hard,sqrt,12,5,0,4,0,0,-3.042325255953049e-05,-5.5650347062754e-05,-1.5663126119297926e-05,0.0007789370175397361,231
all,all,low_adverse75,state_soft,sqrt,12,5,0,4,0,0,-3.0154428174666847e-05,-5.546651861835997e-05,-1.5526995301649434e-05,0.0007723052462167395,233
all,all,low_adverse75_nonactive,state_soft,sqrt,12,5,0,4,0,0,-3.011116967555072e-05,-5.53450608312835e-05,-1.5499875386134096e-05,0.0007789370175397361,231
all,all,veto_null,hard,sqrt,12,5,0,4,0,0,-2.9801443728882937e-05,-5.400837213009773e-05,-1.533702284275561e-05,0.0007789370175397361,217
all,all,veto_null,state_soft,sqrt,12,4,0,4,0,0,-2.947999554014924e-05,-5.367804474867742e-05,-1.5168159585266755e-05,0.0007789370175397361,217
all,all,low_adverse75,hard,sign,12,5,0,4,0,0,-2.506535848090241e-05,-5.022363296733302e-05,-1.326331388487424e-05,0.0007678976684428369,233
all,all,low_adverse75,state_soft,sign,12,5,0,4,0,0,-2.506535848090241e-05,-5.022363296733302e-05,-1.326331388487424e-05,0.0007678976684428369,233
all,all,low_adverse75_nonactive,hard,sign,12,5,0,4,0,0,-2.5046534895656336e-05,-5.020256549915581e-05,-1.3259666210685601e-05,0.0007789370175397361,231
all,all,low_adverse75_nonactive,state_soft,sign,12,5,0,4,0,0,-2.5046534895656336e-05,-5.020256549915581e-05,-1.3259666210685601e-05,0.0007789370175397361,231
all,all,veto_null,hard,sign,12,5,0,4,0,0,-2.4517460919137868e-05,-4.8879401913063354e-05,-1.3193619381083225e-05,0.0007789370175397361,217
all,all,veto_null,state_soft,sign,12,5,0,4,0,0,-2.4517460919137868e-05,-4.8879401913063354e-05,-1.3193619381083225e-05,0.0007789370175397361,217
all,non_q2s3,low_adverse75,hard,sqrt,12,3,0,4,0,0,-2.3173427732503526e-05,-3.904574342591135e-05,-1.0367188022047192e-05,0.0007889140929277224,127
all,non_q2s3,low_adverse75,state_soft,sqrt,12,3,0,4,0,0,-2.3058856591817722e-05,-3.898549417397828e-05,-1.0271190597498584e-05,0.0007889140929277224,127
all,all,low_adverse75,state_soft,raw,12,3,0,4,0,0,-2.488277493839508e-05,-3.8810459920615565e-05,-1.0086692176898104e-05,0.0007806907606886689,233
all,all,low_adverse75,hard,raw,12,3,0,4,0,0,-2.5049938638166402e-05,-3.8699370556555035e-05,-1.0138610336160293e-05,0.0007801452902307496,233
all,all,low_adverse75_nonactive,state_soft,raw,12,3,0,4,0,0,-2.480151221362359e-05,-3.865620295953898e-05,-1.0050547835702282e-05,0.0007824833935505656,231
all,all,low_adverse75_nonactive,hard,raw,12,3,0,4,0,0,-2.4967647957674366e-05,-3.8546435336464475e-05,-1.0102239484411862e-05,0.0007819924515482639,231
all,non_q2s3,low_adverse75_nonactive,hard,sqrt,12,3,0,4,0,0,-2.2829013943459486e-05,-3.790947913030793e-05,-8.825548857175233e-06,0.0007889140929277224,123
all,non_q2s3,low_adverse75_nonactive,state_soft,sqrt,12,3,0,4,0,0,-2.2711607164049852e-05,-3.787912049057923e-05,-9.053809058811128e-06,0.0007889140929277224,123
all,all,veto_null,state_soft,raw,12,3,0,4,0,0,-2.4148642354560046e-05,-3.736145474629292e-05,-9.377614521149189e-06,0.0007827429788215041,217
all,all,veto_null,hard,raw,12,3,0,4,0,0,-2.4341316440246175e-05,-3.730102882466286e-05,-9.458922329641652e-06,0.0007822002528679839,217
all,non_q2s3,low_adverse75,hard,sign,12,1,0,4,0,0,-1.998982797002391e-05,-3.5510771206455756e-05,-9.451717501536608e-06,0.0007889140929277224,127
all,non_q2s3,low_adverse75,state_soft,sign,12,1,0,4,0,0,-1.998982797002391e-05,-3.5510771206455756e-05,-9.451717501536608e-06,0.0007889140929277224,127
all,all,low_adverse75_nonq2s3,state_soft,sqrt,12,3,0,4,0,0,-2.151922328896827e-05,-3.548185003523723e-05,-8.578474316896315e-06,0.0007889140929277224,111
all,all,low_adverse75_nonq2s3,hard,sqrt,12,4,0,4,0,0,-2.1612730785158796e-05,-3.5472055664203344e-05,-8.458673225003205e-06,0.0007889140929277224,111
all,non_q2s3,low_adverse75_nonactive,hard,sign,12,1,0,4,0,0,-1.978107348399316e-05,-3.4377812638044794e-05,-7.885574147560661e-06,0.0007889140929277224,123
all,non_q2s3,low_adverse75_nonactive,state_soft,sign,12,1,0,4,0,0,-1.978107348399316e-05,-3.4377812638044794e-05,-7.885574147560661e-06,0.0007889140929277224,123
all,non_q2s3,low_adverse75,hard,raw,12,1,0,4,0,0,-2.109700896701927e-05,-3.384998595230912e-05,-9.004636432325196e-06,0.0007821650195837204,188
all,non_q2s3,low_adverse75,state_soft,raw,12,1,0,4,0,0,-2.095025003379103e-05,-3.379983542581718e-05,-8.924032594468538e-06,0.0007828040196295455,188
all,non_q2s3,low_adverse75_nonactive,hard,raw,12,1,0,4,0,0,-2.103168942990674e-05,-3.374021215404875e-05,-8.974345199697529e-06,0.0007821890628277693,187
all,non_q2s3,low_adverse75_nonactive,state_soft,raw,12,1,0,4,0,0,-2.0892243390191467e-05,-3.3697324463138024e-05,-8.895129388730274e-06,0.0007828260846616978,187
all,all,low_adverse75_nonq2s3,hard,raw,12,1,0,4,0,0,-2.0441721268471547e-05,-3.2524202354644945e-05,-8.06026120278185e-06,0.0007824739884289134,175
all,all,low_adverse75_nonq2s3,state_soft,raw,12,1,0,4,0,0,-2.0311413433504732e-05,-3.247798803958602e-05,-7.963883787230255e-06,0.000783092640154583,175
all,all,low_adverse75_nonq2s3,hard,sign,12,1,0,4,0,0,-1.870546300053455e-05,-3.2164082935390264e-05,-7.456790228019075e-06,0.0007889140929277224,111
all,all,low_adverse75_nonq2s3,state_soft,sign,12,1,0,4,0,0,-1.870546300053455e-05,-3.2164082935390264e-05,-7.456790228019075e-06,0.0007889140929277224,111
all,all,veto_null_nonq2s3,state_soft,raw,12,1,0,4,0,0,-1.9107358318781742e-05,-2.9650751870741803e-05,-6.855026667318411e-06,0.0007861087208960106,154
all,all,veto_null_nonactive,hard,sqrt,9,4,0,3,0,0,-2.9693109761308456e-05,-5.3852891494033846e-05,-1.5286166145342986e-05,0.0007789370175397361,216
all,all,veto_null_nonactive,state_soft,sqrt,9,4,0,3,0,0,-2.9360299457215078e-05,-5.350768943935378e-05,-1.5112197559163775e-05,0.0007789370175397361,216
raw05_compatible,all,low_adverse75,hard,sqrt,12,11,0,3,0,0,-2.019358417959527e-05,-5.1089570892100945e-05,-1.5247163467053063e-05,0.0007889140929277224,145
raw05_compatible,all,low_adverse75_nonactive,hard,sqrt,12,11,0,3,0,0,-2.007282600036131e-05,-5.096618737284291e-05,-1.5226852281046765e-05,0.0007889140929277224,143
raw05_compatible,all,low_adverse75,state_soft,sqrt,12,11,0,3,0,0,-2.0245985700273472e-05,-5.072134585946511e-05,-1.546422420142559e-05,0.0007889140929277224,145
raw05_compatible,all,low_adverse75_nonactive,state_soft,sqrt,12,11,0,3,0,0,-2.013477100970551e-05,-5.057880192712879e-05,-1.5436444899011006e-05,0.0007889140929277224,143
raw05_compatible,all,veto_null,hard,sqrt,12,11,0,3,0,0,-1.991918719357333e-05,-4.9645798973577236e-05,-1.5376398468387714e-05,0.0007824435463394764,198
raw05_compatible,all,veto_null_nonactive,hard,sqrt,12,11,0,3,0,0,-1.9986921392267654e-05,-4.9511510195219494e-05,-1.533081651412463e-05,0.0007889140929277224,136
raw05_compatible,all,veto_null,state_soft,sqrt,12,11,0,3,0,0,-1.992564039465794e-05,-4.926054153400395e-05,-1.560006319324903e-05,0.0007889140929277224,138
raw05_compatible,all,veto_null_nonactive,state_soft,sqrt,12,11,0,3,0,0,-2.0000331469094412e-05,-4.9125144572532644e-05,-1.5552670098778505e-05,0.0007889140929277224,136
all,all,veto_null_nonactive,hard,sign,9,5,0,3,0,0,-2.437459458437541e-05,-4.871950506441018e-05,-1.3179698755902183e-05,0.0007789370175397361,216
all,all,veto_null_nonactive,state_soft,sign,9,5,0,3,0,0,-2.437459458437541e-05,-4.871950506441018e-05,-1.3179698755902183e-05,0.0007789370175397361,216
raw05_compatible,non_q2s3,low_adverse75,hard,sqrt,12,11,0,3,0,0,-1.613635007580161e-05,-4.6808036449868246e-05,-1.356533564810565e-05,0.0007889140929277224,120
