variant,family,file,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,84,4.738095238095238,1.5,1.0,42,62,68,4.618580736203687,0.5990067183410861,0.00031028182374616127,0.00015034984644078618,1.0,0.5,0.7380952380952381,0.8095238095238095
e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_92cfe11c.csv,83,2.6265060240963853,3.0,1.0,34,77,82,4.635702836566949,0.2738674718163576,0.000318322246673888,0.00016071700699962337,0.9880952380952381,0.40476190476190477,0.9166666666666666,0.9761904761904762
e362_scale_g1.00_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_00_q11_08_q20_90_q30_45_s11_00_2ffbb23b.csv,81,7.469135802469136,4.0,1.0,8,50,54,4.244441719988168,0.24554689221901435,0.000296872264870224,0.00014519603718365917,0.9642857142857143,0.09523809523809523,0.5952380952380952,0.6428571428571429
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1198dfee.csv,83,4.253012048192771,3.0,2.0,0,58,83,4.58984715659612,0.48963736329024865,0.0002996626857512615,0.00014400896829793057,0.9880952380952381,0.0,0.6904761904761905,0.9880952380952381
e362_scale_g1.03_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q30_45_s11_00_de6e65a6.csv,81,11.012345679012345,7.0,2.0,0,29,53,4.1770495695359084,0.26804761314075065,0.0002975525784674548,0.00014497036890751767,0.9642857142857143,0.0,0.34523809523809523,0.6309523809523809
e362_scale_g1.03_q11.08_q20.90_q30.45_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q30_45_s10_90_9cb51509.csv,74,17.256756756756758,17.0,3.0,0,25,27,4.107456715858356,0.24917093199576276,0.00022445874177445143,0.00010781708739384206,0.8809523809523809,0.0,0.2976190476190476,0.32142857142857145
e362_donorblend_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_w0.15,donor_blend,analysis_outputs/submission_e363_cellrobust_e362_donorblend_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_w0_15_51cbdc8c.csv,83,15.650602409638553,14.0,2.0,0,23,27,4.088439128519121,0.3218841286441738,0.0003177644981226961,0.00015800515608513512,0.9880952380952381,0.0,0.27380952380952384,0.32142857142857145
e362_scale_g1.06_q11.08_q20.90_q30.45_s11.00,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_45_s11_00_3743ccda.csv,81,14.481481481481481,10.0,3.0,0,22,45,4.134551943704949,0.2835134564433396,0.00029809699637042147,0.000144834446468074,0.9642857142857143,0.0,0.2619047619047619,0.5357142857142857
e362_scale_g1.06_q11.08_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q31_00_s11_30_bffaf250.csv,84,26.583333333333332,21.0,2.0,0,22,41,3.879789302227827,0.6301541453037122,0.0003209148751895438,0.00015557502236479017,1.0,0.0,0.2619047619047619,0.4880952380952381
e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e360_e349_compact_core__learned_pc_episode_s1_counter_11_437d7acc.csv,83,29.457831325301203,33.0,5.0,0,14,27,3.8816242270469012,0.5026380148358967,0.00031738468053267766,0.0001605549079970477,0.9880952380952381,0.0,0.16666666666666666,0.32142857142857145
e362_graft_donor_q3_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_90048d2f.csv,84,43.845238095238095,33.5,3.0,0,11,16,3.6906919924337958,0.6843668117029605,0.00032491147774239864,0.0001643138291095039,1.0,0.0,0.13095238095238096,0.19047619047619047
e362_scale_g0.96_q11.08_q20.90_q31.00_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q31_00_s10_90_6cd43bb3.csv,82,18.26829268292683,13.5,4.0,0,7,37,3.9632366284255527,0.4580224509935502,0.0003048026468922634,0.00015263950342869021,0.9761904761904762,0.0,0.08333333333333333,0.44047619047619047
e362_scale_g1.06_q11.08_q20.90_q30.75_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_75_s11_30_d02aaf2d.csv,83,20.91566265060241,15.0,5.0,0,4,38,3.981547501481335,0.4840101560727185,0.0003100906601190705,0.0001489317056161876,0.9880952380952381,0.0,0.047619047619047616,0.4523809523809524
e362_scale_g1.06_q11.08_q20.90_q30.45_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q30_45_s10_90_97423861.csv,74,24.2027027027027,27.0,5.0,0,4,26,4.040361610033742,0.26024322412923384,0.00022511703413588503,0.00010759343745355932,0.8809523809523809,0.0,0.047619047619047616,0.30952380952380953
e362_scale_g0.96_q11.08_q20.90_q30.75_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q30_75_s10_70_b4153387.csv,73,14.753424657534246,9.0,3.0,0,3,43,4.122873084696574,0.2105352326372873,0.00021387119113167705,0.00010646985497523219,0.8690476190476191,0.0,0.03571428571428571,0.5119047619047619
e362_scale_g0.96_q11.08_q20.90_q30.75_s10.90,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q30_75_s10_90_f2243d75.csv,80,12.5375,11.0,3.0,0,2,36,4.09406013556116,0.2822619721529778,0.00028604994489380694,0.00014325979687222767,0.9523809523809523,0.0,0.023809523809523808,0.42857142857142855
e362_scale_g0.96_q11.08_q20.90_q31.00_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q31_00_s10_70_5cfec73f.csv,73,19.71232876712329,19.0,2.0,0,2,19,3.9508598352018525,0.3915779276262596,0.00021344184295269325,0.00010702268980012355,0.8690476190476191,0.0,0.023809523809523808,0.2261904761904762
