basename,source_path,old_promotion_decision,old_strict_promote,actual_mean,actual_p10,actual_p90,actual_beats_current_rate,incremental_bad_axis_vs_current,null_count,null_strict_rate,null_p90_q20,null_p90_median,null_p90_best,p90_dominance,mean_dominance,worst_mode_p90_dominance,matched_placebo_gate,train_policy_id,train_support_gate,train_gate_splits,train_actual_delta_mean,train_min_dominance,public_lb_if_known,public_delta_vs_current,known_public_worse_than_current,final_governor_decision,public_free_submission_ready,dateblock_p90_dominance,dateblock_null_strict_rate,dateblock_best_null_p90,row_p90_dominance,row_null_strict_rate,row_best_null_p90,subject_p90_dominance,subject_null_strict_rate,subject_best_null_p90,experiment,source_governor_file,strict_promote_gate,promotion_decision,final_decision,target_norm,family,story_axis,selector_visible_strict,selector_visible_soft,selector_visible,null_rare,null_common,p90_ok,mean_ok,worst_mode_ok,edge_ok,old_ready_rule,readiness_defects,readiness_distance,outcome_quadrant,failure_mode,candidate_id,view,model,split,target_kind,tail_q,policy,q3_dropped_cells,s4_dropped_cells,e237_score,action,fraction,rule_family,row_count,e247_overlap,e256_overlap,e284_overlap,sum_smooth_gain,mean_amp,mean_app_state,mean_app_story,mean_state_amp_z,target_task,feature_set,score_variant,k,undo_count,add_count,undo_fraction,add_fraction,latent_health_score,min_auc,mean_auc,min_ap_lift,source_transfer_auc,policy_id,top_frac,train_actual_delta,train_dominance,train_min_mode_dominance,test_available_cells,test_selected_cells,changed_cells_vs_current,l1_logit_delta_vs_current,max_abs_logit_delta_vs_current,target,view_id,rep,delta_mode,scale,delta_mean,delta_std,delta_p90_abs,delta_max_abs,label_mode,gate_group,test_selected_rows,test_delta_mean,test_delta_p90_abs,test_delta_l1,block_scheme,cv_group,block_frac,contrast_policy_id,parent_policy_id,rule,base_block_frac,train_selected_null_max,test_selected_blocks,test_null_mean_rate,test_null_max_rate,test_contrast_score,parent_actual_delta,parent_dominance,parent_min_mode_dominance,selected_blocks,selected_rows,selected_null_mean_rate,selected_null_max_rate,selected_score_rank,selected_rarity_score,selected_contrast_score,delta_l1,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,balanced_rank,episode,source_delta_logloss,source_robust_gate,source_dominance,source_min_mode_dominance,nonzero_rows,mean_abs_delta,max_abs_delta,signed_delta_sum,info_sensor_gate
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s010_c5e3baaf.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s010_c5e3baaf.csv,promote_candidate,True,-0.0002725858522838,-0.0003632384493822,-9.636906240105196e-05,0.9411764705882352,-0.0006604037642085,21.0,0.9047619047619048,,,,0.9047619047619048,0.8095238095238095,0.7142857142857143,,,,,,,,,,,False,,,,,,,,,,e297,analysis_outputs/e297_episode_state_materializer_governor.csv,True,promote_candidate,blocked_by_matched_nulls,S1,routine_fragmentation,e297/S1/routine_fragmentation/all_centered,True,True,True,False,True,True,True,True,True,False,1,0.8047619047619048,visible_but_null_common,matched_null_hallucination,,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,raw_human_context,,,0.1,,,,,,,,,,,,,,,,all_centered,,,,,,,,,,,,,,,,,,-0.0002725858522838,-0.0003632384493822,-9.636906240105196e-05,0.9411764705882352,,routine_fragmentation,-0.0098040291797294,True,0.9947916666666666,0.984375,250.0,0.0236242910121992,0.065,0.6767607273372814,False
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s022_7c891264.csv,promote_candidate,True,-0.0008381817482133,-0.0011724726351824,-0.0003524736247902,0.9411764705882352,-0.001452888281259,21.0,0.9523809523809524,,,,0.9047619047619048,0.8571428571428571,0.7142857142857143,,,,,,,,,,,False,,,,,,,,,,e297,analysis_outputs/e297_episode_state_materializer_governor.csv,True,promote_candidate,blocked_by_matched_nulls,S1,routine_fragmentation,e297/S1/routine_fragmentation/all_centered,True,True,True,False,True,True,True,True,True,False,1,0.8523809523809525,visible_but_null_common,matched_null_hallucination,,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,raw_human_context,,,0.22,,,,,,,,,,,,,,,,all_centered,,,,,,,,,,,,,,,,,,-0.0008381817482133,-0.0011724726351824,-0.0003524736247902,0.9411764705882352,,routine_fragmentation,-0.0098040291797294,True,0.9947916666666666,0.984375,250.0,0.0519734402268384,0.143,1.4888736001420186,False
submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025_f0ca188e.csv,analysis_outputs/submission_e291_lifeblock_Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025_f0ca188e.csv,promote_candidate,True,-0.0002289351063784,-0.0002909977972722,-0.0001567812157629,1.0,-0.0098100823771214,15.0,1.0,,,,0.9333333333333332,0.7333333333333333,0.8,,,,,,,,,,,False,,,,,,,,,,e291,analysis_outputs/e291_lifestyle_block_state_governor_summary.csv,False,promote_candidate,blocked_by_matched_nulls,Q3,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,e291/Q3/Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv/centered,True,True,True,False,True,True,True,True,True,False,1,0.9,visible_but_null_common,matched_null_hallucination,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv_bf70_centered_s025,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3_family_jepa_context_dateblock5_pc_subject_weekend_strong35_subject_cv,,-0.0167407564942824,0.8402777777777778,0.625,,,,,,Q3,family_jepa_context,pc,centered,0.25,,,,,strong35,,89.0,0.0064398222446894,0.02,1.6099555611723546,subject_weekend,subject_cv,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lo_f83c007a.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lo_f83c007a.csv,promote_candidate,True,-0.000165051665852,-0.0003010513144185,-5.258217398978411e-05,0.9117647058823528,0.0023004441393974,15.0,0.1333333333333333,,,,0.8666666666666667,0.4666666666666667,0.6,,,,,,,,,,,False,,,,,,,,,,e292,analysis_outputs/e292_contrastive_lifestyle_governor_summary.csv,False,promote_candidate,blocked_by_matched_nulls,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70,e292/S4/S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70/base_lowmax35,True,False,True,False,False,True,False,True,True,False,2,0.2666666666666666,visible_but_null_not_rare,matched_null_not_rare,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70_raw_s050,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0074049386949858,0.8541666666666666,0.7708333333333334,,,,,,S4,family_jepa_context,cluster6,raw,0.5,,,,,strong35,,50.0,0.0037648419602639,0.04,1.8009826349215006,subject_lifestyle_bin,subject_cv,,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv_base_lowmax35_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_subject_cv,base_lowmax35,0.7,0.7027777777777777,9.0,0.4845679012345679,0.7037037037037037,-0.1600804781115849,,,,,,,,,,,,,,,,,,,,,,,,,,
submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contr_0ddd0196.csv,analysis_outputs/submission_e292_contrastlife_S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contr_0ddd0196.csv,promote_candidate,True,-0.0001935691077546,-0.0003564053868976,-5.143677301359792e-05,0.9411764705882352,0.0010518300476197,15.0,0.2,,,,1.0,0.4,1.0,,,,,,,,,,,False,,,,,,,,,,e292,analysis_outputs/e292_contrastive_lifestyle_governor_summary.csv,False,promote_candidate,blocked_by_matched_nulls,S4,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,e292/S4/S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70/contrast_half,True,False,True,False,False,True,False,True,True,False,2,0.3999999999999999,visible_but_null_not_rare,matched_null_not_rare,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70_raw_s025,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0116243522242641,0.8819444444444444,0.8541666666666666,,,,,,S4,family_jepa_context,cluster6,raw,0.25,,,,,strong35,,96.0,0.0041599051454112,0.02,1.7422441332422884,subject_lifestyle_bin,dateblock_cv,,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv_contrast_half_bf70,S4_family_jepa_context_dateblock5_cluster6_subject_lifestyle_bin_strong35_dateblock_cv,contrast_half,0.7,0.9305555555555556,18.0,0.7752057613168724,0.9351851851851852,-0.0224395570001741,,,,,,,,,,,,,,,,,,,,,,,,,,
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s006_7e48318e.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_all_centered_s006_7e48318e.csv,too_small_to_submit,False,-0.0001485899724344,-0.0001973262734864,-4.887624306160008e-05,0.9411764705882352,-0.000396242258525,21.0,0.0952380952380952,,,,0.9047619047619048,0.8095238095238095,0.7142857142857143,,,,,,,,,,,False,,,,,,,,,,e297,analysis_outputs/e297_episode_state_materializer_governor.csv,False,too_small_to_submit,too_small_to_submit,S1,routine_fragmentation,e297/S1/routine_fragmentation/all_centered,False,False,False,True,False,True,True,True,False,False,2,0.5011237569384,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,raw_human_context,,,0.06,,,,,,,,,,,,,,,,all_centered,,,,,,,,,,,,,,,,,,-0.0001485899724344,-0.0001973262734864,-4.887624306160008e-05,0.9411764705882352,,routine_fragmentation,-0.0098040291797294,True,0.9947916666666666,0.984375,250.0,0.0141745746073195,0.039,0.4060564364023686,True
submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s006_55330ee9.csv,analysis_outputs/submission_e297_epstate_routine_fragmentation_S1_raw_human_context_dateblock5_topabs64_s006_55330ee9.csv,too_small_to_submit,False,-0.0001153904979058,-0.000164490754906,-2.118815519405413e-05,0.9411764705882352,-0.0012026926738945,21.0,0.0,,,,0.8571428571428571,0.7619047619047619,0.7142857142857143,,,,,,,,,,,False,,,,,,,,,,e297,analysis_outputs/e297_episode_state_materializer_governor.csv,False,too_small_to_submit,too_small_to_submit,S1,routine_fragmentation,e297/S1/routine_fragmentation/topabs64,False,False,False,True,False,True,True,True,False,False,2,0.5288118448059459,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,,,,dateblock5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,raw_human_context,,,0.06,,,,,,,,,,,,,,,,topabs64,,,,,,,,,,,,,,,,,,-0.0001153904979058,-0.000164490754906,-2.118815519405413e-05,0.9411764705882352,,routine_fragmentation,-0.0098040291797294,True,0.9947916666666666,0.984375,64.0,0.0075295981846671,0.039,0.440123127030821,True
submission_e285_e247resid_add_e247like_z_diary_state_pc6_top5_f0p25_6f3cde41.csv,analysis_outputs/submission_e285_e247resid_add_e247like_z_diary_state_pc6_top5_f0p25_6f3cde41.csv,too_small_to_submit,False,-5.761412318489865e-06,-7.395065671797201e-06,-3.480541969471926e-06,1.0,-8.084122860463339e-05,21.0,0.0,-3.347866486701474e-06,-3.183641492394782e-06,-3.58679445555709e-06,0.9523809523809524,0.8095238095238095,0.8571428571428571,False,,,,,,,,False,,False,0.8571428571428571,0.0,,1.0,0.0,,1.0,0.0,,e285,analysis_outputs/e285_e247_residual_human_state_governor_summary.csv,False,too_small_to_submit,too_small_to_submit,multi,human_boundary_add,e285/multi/human_boundary_add/add,False,False,False,True,False,True,True,True,False,False,2,0.546519458030528,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,add_e247like_z_diary_state_pc6_top5_f0p25,,,,,,,,,,add,0.25,human_boundary_add,5.0,0.0,0.0,1.0,0.0135214254055462,0.0370138867434169,-0.0071060997938734,-0.8153973622574074,-0.1522895557160744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submission_e269_phonebed_e247only_top8_amp015_bd6b7fee.csv,analysis_outputs/submission_e269_phonebed_e247only_top8_amp015_bd6b7fee.csv,too_small_to_submit,False,-3.809943046702433e-06,-4.863022585989781e-06,-2.459605775104158e-06,1.0,-6.475387988502668e-05,21.0,0.0,-1.9214393645903536e-06,-1.6524827993342996e-06,-2.3231516690765476e-06,1.0,1.0,1.0,False,,,,,,,,False,too_small_to_submit,False,1.0,0.0,-2.3231516690765476e-06,1.0,0.0,-1.9214393645903536e-06,1.0,0.0,-2.0029452687163195e-06,e279,analysis_outputs/e279_public_free_governor_summary.csv,False,too_small_to_submit,too_small_to_submit,multi,unknown,e279/multi/unknown,False,False,False,True,False,True,True,True,False,False,2,0.5475403942248959,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
submission_e269_phonebed_e247only_top5_amp025_d487a8ab.csv,analysis_outputs/submission_e269_phonebed_e247only_top5_amp025_d487a8ab.csv,too_small_to_submit,False,-4.243508898191794e-06,-5.659593434782579e-06,-1.907809996775985e-06,1.0,-2.625329921157604e-05,21.0,0.0,-1.6265573175651392e-06,-3.624335085284042e-07,-1.9815482356492247e-06,0.8571428571428571,0.9523809523809524,0.7142857142857143,False,,,,,,,,False,too_small_to_submit,False,1.0,0.0,-1.3101725112896646e-06,0.7142857142857143,0.0,-1.9810156713019778e-06,0.8571428571428571,0.0,-1.9815482356492247e-06,e279,analysis_outputs/e279_public_free_governor_summary.csv,False,too_small_to_submit,too_small_to_submit,multi,unknown,e279/multi/unknown,False,False,False,True,False,True,True,True,False,False,2,0.5480921900032241,null_rare_but_no_selector_edge,safe_but_too_small_or_wrong_sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
