method,ranker,keep_factor,rollback_cells,rollback_q2s3_cells,rollback_s_cells,parent_tag,parent_all_minus_base,parent_e72_gap,all_minus_base,sets_beating_base,sets_tail_neutral,relaxed_structural_tol1e12,e72_adverse_exposure_e101_plausible,e72_plausible_gap_vs_e95,budget_ok,post101_mean_vs_e95_e101_sensor,post101_p95_vs_e95_e101_sensor,post101_beat_e95_rate_e101_sensor,post101_ok,local_material,submit_relaxed,tail_equal_law_cosine,tail_equal_law_resid_ratio,mean_abs_logit_move_vs_e95,changed_cells_vs_e95,survival_score,tag
cell_clip,excess,0.0,55,3,14,e140_score_top_local_25c44401,-1.3973289434643377e-05,0.0006318733009858686,-1.0666781972479278e-05,3,1,True,0.0015573350202609344,2.8189256484623115e-18,True,-1.4379590653791572e-05,-3.7623425360365733e-06,1.0,True,True,True,0.9716933166277121,0.2436718036084945,0.0021142857142857703,185,1.066678197239471e-05,e142_cell_clip_09a92236
cell_clip,excess,0.0,53,3,12,e140_score_top_local_308573fc,-8.267254463456553e-06,0.0003132240334568683,-6.432811038847852e-06,3,1,True,0.0015573350202609344,2.8189256484623115e-18,True,-8.261839531777814e-06,-2.0746239078119052e-06,0.9649122807017544,True,True,True,0.9914669387545825,0.13118417646146618,0.0010685714285714855,187,6.432811038763284e-06,e142_cell_clip_38ec0f23
cell_clip,excess,0.0,46,3,12,e140_score_top_local_29d64fb1,-1.012627345442496e-05,0.0005957220339503683,-7.630617108067561e-06,3,1,False,0.0015573350202609344,2.8189256484623115e-18,True,-1.0910502442085146e-05,-2.607951405158881e-06,1.0,True,True,False,0.973758878219099,0.2351110153084833,0.0015314285714286275,134,-1.999992369382892,e142_cell_clip_19f79824
cell_clip,excess,0.0,44,3,10,e140_score_top_local_07002fed,-6.05051889013275e-06,0.0002952085728498684,-4.6261512391954085e-06,3,1,False,0.0015573350202609344,2.8189256484623115e-18,True,-6.2040792221464925e-06,-1.4919642290173168e-06,0.9649122807017544,True,True,False,0.9919940793227736,0.12721870367703556,0.0007771428571429116,136,-1.9999953738487608,e142_cell_clip_9b62fad7
cell_clip,excess,0.0,34,1,6,e140_score_top_local_07002fed,-6.05051889013275e-06,0.0002952085728498684,-4.7926634053618855e-06,3,1,True,0.0015626869751987718,5.351954937840185e-06,False,-6.134333407012246e-06,-4.063572992647847e-07,0.9473684210526315,True,True,False,0.9912399661890381,0.1331513261986661,0.0008342857142857674,146,-0.00015576598472984366,e142_cell_clip_df8d321c
cell_clip,excess,0.0,34,1,6,e140_score_top_local_308573fc,-8.267254463456553e-06,0.0003132240334568683,-7.071227246191469e-06,3,1,True,0.0015698767643718935,1.2541744110961895e-05,False,-8.409960869916475e-06,-5.100637153634267e-07,0.9649122807017544,True,True,False,0.9890690724983212,0.14874105461501783,0.0011771428571429121,206,-0.00036918109608266537,e142_cell_clip_1bf183c0
cell_clip,excess,0.0,34,1,7,e140_score_top_local_29d64fb1,-1.012627345442496e-05,0.0005957220339503683,-7.962674787420632e-06,3,1,True,0.0015717878152051365,1.4452794944204948e-05,False,-1.046678360105453e-05,-1.0393957833825576e-06,0.9649122807017544,True,True,False,0.9668417734631701,0.2642288994843056,0.0016685714285714864,146,-0.0004256211735387278,e142_cell_clip_f8ffc8ff
cell_clip,plausible_density,0.0,34,2,9,e140_score_top_local_29d64fb1,-1.012627345442496e-05,0.0005957220339503683,-7.991289973197091e-06,3,1,True,0.0015747880546290879,1.745303436815628e-05,False,-1.053350943892719e-05,-1.0431310236417416e-06,0.9649122807017544,True,True,False,0.9694265746363303,0.25462086131719325,0.0016685714285714858,146,-0.0005155997410714913,e142_cell_clip_2a4a48ac
cell_clip,excess_per_reward,0.0,34,3,8,e140_score_top_local_07002fed,-6.05051889013275e-06,0.0002952085728498684,-5.2195127445697764e-06,3,1,True,0.001574770277404749,1.7435257143817414e-05,False,-6.375113108975488e-06,-4.3530287389982473e-07,0.9473684210526315,True,True,False,0.9887946591486978,0.15087238220204596,0.000834285714285768,146,-0.0005178382015699526,e142_cell_clip_dc574a77
cell_clip,excess,0.0,34,1,6,e140_score_top_local_25c44401,-1.3973289434643377e-05,0.0006318733009858686,-1.1952814066074069e-05,3,1,True,0.0015863671483566228,2.903212809569119e-05,False,-1.4356188673978909e-05,-3.9779885923577026e-07,0.9473684210526315,True,True,False,0.9581182111759957,0.2974821092300385,0.002354285714285772,206,-0.0008590110288046616,e142_cell_clip_9e49f289
