scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_origin,top_file,top_score,generated_gated_count,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees,e365_rank,e365_score,top_beats_e365,top_is_e365
all__none,all,none,13,164,632,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.44978516624041,0,0.967032967032967,0.9945054945054945,1.0,0.9917393003710356,196.0,6.143222506393862,True,False
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,164,632,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.445386189258313,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,196.0,6.114782608695652,True,False
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,164,324,e371_identity_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv,8.415861892583122,0,0.9790209790209792,0.9930069930069931,1.0,0.9929823694376383,196.0,6.163222506393862,True,False
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,164,626,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.447892583120204,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,196.0,6.148746803069054,True,False
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,164,626,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.449938618925831,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,196.0,6.150537084398977,True,False
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,164,626,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.424363171355498,0,0.9580419580419581,0.9930069930069931,1.0,0.9947414184151023,197.0,5.655242966751918,True,False
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,164,627,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.45290537084399,0,0.9860139860139862,1.0,1.0,0.9964973622679555,196.0,6.146598465473145,True,False
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,164,628,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.451984654731458,0,1.0,1.0,1.0,0.99124495269876,196.0,6.141074168797954,True,False
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,164,557,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.458838874680307,0,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,196.0,6.169156010230179,True,False
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,164,621,e371_identity_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv,8.354480818414324,0,0.9720279720279721,0.9930069930069931,1.0,0.9947414184151023,196.0,6.278823529411764,True,False
all__drop_submission_e247_featnn1_nn_smooth_sum_top3,all,submission_e247_featnn1_nn_smooth_sum_top34_f1ff7e86.csv,12,164,624,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.33290537084399,0,0.9790209790209792,0.9930069930069931,1.0,0.99124495269876,196.0,6.144347826086957,True,False
all__drop_submission_e256_featnn1_top50_amp_then_smo,all,submission_e256_featnn1_top50_amp_then_smooth25_a3827329.csv,12,164,622,e371_identity_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_identity_q21p08_s11p15_3fcd04a5.csv,8.442613810741689,0,0.9860139860139862,0.9930069930069931,1.0,0.9772344233319931,196.0,6.353196930946291,True,False
all__drop_submission_e267_humansocial_tail_balanced_,all,submission_e267_humansocial_tail_balanced_2936100f.csv,12,164,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.189273657289004,0,0.965034965034965,0.9930069930069931,1.0,0.9947414184151023,197.0,5.853759590792839,True,False
all__drop_submission_e323_5508f966_uploadsafe_csv,all,submission_e323_5508f966_uploadsafe.csv,12,164,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,8.415462915601024,0,0.9720279720279721,0.9930069930069931,1.0,0.9964973622679555,196.0,6.131815856777494,True,False
axis__none,axis,none,13,62,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,7.246306905370844,0,0.967032967032967,0.9780219780219779,1.0,0.9876212919459094,196.0,5.703938618925831,True,False
axis__drop_submission_hybrid_0p578_logit_after_subjec,axis,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,62,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,7.26216368286445,0,0.9090909090909092,0.9720279720279721,1.0,0.9790209790209792,196.0,5.921432225063938,True,False
axis__drop_submission_hybrid_0p567_foldsafe_stage2_q1,axis,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,62,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,7.684260869565217,0,0.9580419580419581,0.965034965034965,1.0,0.9842396880153765,196.0,5.398260869565218,True,False
axis__drop_submission_ordinal_q_constraints_ambnext_Q,axis,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,62,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,7.274900255754475,0,0.8881118881118882,0.9510489510489512,1.0,0.9860139860139862,182.0,6.268900255754475,True,False
axis__drop_submission_mixmin_0c916bb4_csv,axis,submission_mixmin_0c916bb4.csv,12,62,633,e371_transfer_floor0.65_g0.7_q21p08_s11p15,q2_rowwise_safety_lifestyle_gate,e371_generated,analysis_outputs/submission_e371_q2rowsafe_e371_transfer_floor0_65_g0_7_q21p08_s11p15_98951e94.csv,7.237815856777493,0,0.9790209790209792,0.9930069930069931,1.0,0.9842396880153765,196.0,5.677953964194374,True,False
